user_id,restaurant_name,user_rating
---xAZNw9fFPBoy7jmkA2A,Chef Of India,4
--68ZwhCrUJUmCXXkMTMKw,Prime Food Market,5
--8M2DZ9JkDwTveuRhLPTQ,Del Posto,5
--ARr3m5JsxaX3DTUVQW7w,Morimoto,2
--CZJeSIpxwQ0VULjnM57w,The Brass Rail,1
--Hw61biyJnzwCAKl78x-w,The Park,1
--LgyYpGjp88kbHKt5KHgQ,Untitled,5
--M4oX5FSXZyEXgEJIrmBQ,Wafels & Dinges,5
--R5NHeSA_2D3TmiWkyrKA,Cafe Matt & Meera,5
--Ts7MIiUwKKLX3VBqleoQ,Flip Sigi,5
--Ts7MIiUwKKLX3VBqleoQ,JeJu Noodle Bar,5
--UpoWaaNqX0jK0d4mfuFQ,Employees Only,5
--_UBetu2u75xGuco8X40g,Very Fresh Noodles,5
--eN6W1eKX_SqKvxeUs7tg,Grimaldi’s,5
--fj5sI9mZIkpv5oBXzlJg,Los Tacos No.1,5
--k_LAwmOTDsrG_UCTH-Yw,El Rinkoncito Peruano,5
--ub2IyNvE0scdcdL21l2A,Adoro Lei,5
--xYASJ_l3jBylbEqb9rgw,Dino & Harrys Steakhouse,5
--xYASJ_l3jBylbEqb9rgw,Sorellina,5
--yav81LLQgcCyQXdpLyxA,Valbella,5
-01yo-SQ-UuQh_quQeMHfQ,Artichoke Basille’s Pizza & Bar,3
-0Bmhbk2kkLYSpxmRp1g9w,Karma Kafe,2
-0Bmhbk2kkLYSpxmRp1g9w,Malatesta Trattoria,4
-0Ci4uAwIkqWzL32-LmUzQ,New Thanh Hoai,5
-0Q1fuhnd4DyY6D_kd0mvw,The Lobster Place,5
-0Rqxfe6LC62PkMNeBId_w,Ainsworth Hoboken,1
-0TcSzuDQoY1btZWkisWrQ,Employees Only,2
-0TcSzuDQoY1btZWkisWrQ,Garden State Restaurant,1
-0X2XDuzLtcJ1sSFAXnFMQ,Barbuto,5
-0c7JA4I7Ch_EuozziOg2A,Catch,5
-12KD4NWxQmXhqIJsXz8iQ,Garden State Restaurant,1
-16wi1DxJivfeL9-B7ZdAQ,The Spotted Pig,3
-19NIchbAJre3dj7mwbNCA,The Wild Son,5
-1WLFN7fUkw_O-zlfDnphw,Catch,4
-1WrNjQ5wZEa6nJuLeur9w,Los Tacos No.1,5
-1WrNjQ5wZEa6nJuLeur9w,Mémé Mediterranean,4
-1WrNjQ5wZEa6nJuLeur9w,Oscar’s Place,1
-1fVDXHPkIULqmrrIbfzoA,White Star Bar,4
-1xznHdSy4Qjkp94mOdaUQ,Corkscrew Bar,3
-1xznHdSy4Qjkp94mOdaUQ,Fox and Crow,5
-1xznHdSy4Qjkp94mOdaUQ,Noodlefan,5
-2QYXSNhNRhsvrcBXq5fUw,Tommy’s Family Restaurant,2
-2kkTjt-UjI5E-EIDSZMyA,Birch Hoboken,1
-2p09mSYFYNnlRxTg1NkRA,Amanda’s Restaurant,5
-2u-gLc5hLOQTsdDEMj3Ag,Karma Kafe,5
-343zO8WoGM6IhKUS7VbJQ,Satay Malaysian Cuisine,5
-3AmcQYKtuaWtqNzvBA4aw,Casa La Femme,4
-3KdS5O2qgx0lzGjMw4DgQ,The Spotted Pig,3
-3NizkKyT2yxSVyvIxX5_Q,Malatesta Trattoria,4
-3Skfu1FlsLM0H4SdUN-Yg,Del Posto,5
-3TD_C4Xo1T8KgJuKYjkHg,EN Japanese Brasserie,4
-3TD_C4Xo1T8KgJuKYjkHg,Employees Only,5
-3nNeyhWPnQIQ4r89zy29w,Employees Only,5
-3sbwlzIks2za0h2YmneNA,Employees Only,5
-3sbwlzIks2za0h2YmneNA,Komegashi Too,4
-3sbwlzIks2za0h2YmneNA,Malatesta Trattoria,4
-3sbwlzIks2za0h2YmneNA,STK Downtown,5
-3sbwlzIks2za0h2YmneNA,The Spotted Pig,4
-3tIFO8OhKCfpa_WjbmsJw,Anthony David’s,5
-3tIFO8OhKCfpa_WjbmsJw,City Bistro,1
-3tIFO8OhKCfpa_WjbmsJw,Turning Point of Hoboken,4
-3ygwaE6uRv3-ZFZVPEQow,Sugar Factory,5
-4HyNfEdSO_KMmAV4ORKbQ,Bubby’s High Line,5
-4I5xv-CsUgiz1s48Wz-0A,Flip Sigi,3
-4I5xv-CsUgiz1s48Wz-0A,The Wild Son,4
-4I5xv-CsUgiz1s48Wz-0A,Westville Hudson,5
-4I7yEgKzQSx7q-8KdkpoQ,Ainsworth Hoboken,4
-4I7yEgKzQSx7q-8KdkpoQ,Ayame Hibachi & Sushi,4
-4I7yEgKzQSx7q-8KdkpoQ,Black Bear Bar & Grill,4
-4I7yEgKzQSx7q-8KdkpoQ,Cafe Matt & Meera,5
-4I7yEgKzQSx7q-8KdkpoQ,Choc O Pain,5
-4I7yEgKzQSx7q-8KdkpoQ,East LA,4
-4I7yEgKzQSx7q-8KdkpoQ,La Isla Restaurant,4
-4I7yEgKzQSx7q-8KdkpoQ,Napoli’s Brick Oven Pizza,4
-4I7yEgKzQSx7q-8KdkpoQ,Pho Nomenon Noodle & Grill,4
-4I7yEgKzQSx7q-8KdkpoQ,Pilsener Haus & Biergarten,4
-4I7yEgKzQSx7q-8KdkpoQ,The Little Grocery Downtown,5
-4I7yEgKzQSx7q-8KdkpoQ,Tony Boloney’s,1
-4I7yEgKzQSx7q-8KdkpoQ,Zafra Kitchen,5
-4LbsmBcEtxPUPvgN_VDaA,Serafina Meatpacking,3
-4NjBafOgaWrq3Z_3yZvLA,Ali Baba,3
-4NjBafOgaWrq3Z_3yZvLA,Empanadas Cafe,5
-4NjBafOgaWrq3Z_3yZvLA,Malatesta Trattoria,5
-4NjBafOgaWrq3Z_3yZvLA,The Park,4
-4NsW8VDiQypsRDlFLjqmA,Left Bank,2
-4YH_jAAjitthjPEiiPoEg,New Thanh Hoai,1
-4YH_jAAjitthjPEiiPoEg,The Cuban Restaurant and Bar,3
-4Ynu_Sh5ui30MqYrDRV0w,Arthurs,3
-4Ynu_Sh5ui30MqYrDRV0w,The Hamilton Inn,3
-4hM9SVAtpPsb6Aux7WEUQ,Morimoto,5
-4pprw63MLt0xsOlWYkuGw,STK Downtown,3
-4pre-wRGeh66MuG1PHWrQ,Oscar’s Place,5
-4uuWGCk866CoEVGaCb5EQ,Good Year Chinese Cuisine,4
-4ynzSA0ooS39Xu57W8vYQ,Green Pear Cafe,4
-5-K9q-Wr0B__2GiYmuBfQ,The Hamilton Inn,4
-543hu8WrA76LKmpO4kRaA,Corkscrew Bar,5
-543hu8WrA76LKmpO4kRaA,King Szechuan Palace,5
-543hu8WrA76LKmpO4kRaA,The Hutton,3
-54ychdxlJjHWEdLxlg8tA,Artichoke Basille’s Pizza & Bar,2
-54ychdxlJjHWEdLxlg8tA,Hudson Clearwater,3
-54ychdxlJjHWEdLxlg8tA,Left Bank,4
-54ychdxlJjHWEdLxlg8tA,Perry St,3
-54ychdxlJjHWEdLxlg8tA,The Standard Grill,3
-5Ov5TnhybgZidwso5ztFQ,The Spotted Pig,3
-5d1bFWE_C8QAC4lwLxJjw,Morimoto,3
-5fZnFeKdxWrM-17NCgSgw,Ruth’s Chris Steak House,5
-5j_5sPfYkcqa70hVUzqQw,Bin 14,4
-5j_5sPfYkcqa70hVUzqQw,Fig & Olive,4
-5j_5sPfYkcqa70hVUzqQw,Los Tacos No.1,5
-5j_5sPfYkcqa70hVUzqQw,Mamoun’s Falafel Restaurant,2
-5j_5sPfYkcqa70hVUzqQw,Noodlefan,4
-5j_5sPfYkcqa70hVUzqQw,Ultramarinos,2
-5rKoOiP7gnCz7bz9UnJLg,Dozzino,4
-5tikyRByMBoPYPpEBF3nw,Los Tacos No.1,5
-5uXOQivR4i5jxN5rPeKbA,Cafe Matt & Meera,2
-5z7wspRbJXEp42-6Su46A,Los Tacos No.1,2
-64S8DsjxPZa_AESQM5KjQ,El Gordo,4
-64S8DsjxPZa_AESQM5KjQ,Rumba’s Cafe,4
-64btjwUIVNu9JPvLvUgXQ,Conga Cafe,5
-68inPyLtHCh1ca2ZCZMbg,The Park,1
-6XlXVgJUHxKY7xurPzexg,Artichoke Basille’s Pizza & Bar,4
-6cBaOYhmm8J8LCaNCtMlA,Cucharamama,5
-6cFKtZSFtTri4vmrD9hug,Hamilton Pork,3
-6eieSonS-ej2QFijAtIFw,Employees Only,1
-6eieSonS-ej2QFijAtIFw,The Standard Grill,1
-6ghYQ3qcN_0aE4QUtCbSg,Malatesta Trattoria,5
-6hG67dYseWFYPUV3FUC_A,The Clam,5
-6rsAxMZyzOUOVD77mrj3Q,Willie McBrides,5
-6tmFJCQOsDJC3IivN0QlQ,Midtown Philly Steaks,5
-6zt9gih9z7CMDOMoOyn1w,Rosticeria Da Gigi,3
-729MplXfvA_0Zq56Axzsg,8th Street Tavern,5
-7894NiS1AC7SNfAyezufg,Los Tacos No.1,4
-78D7Mjyj0lF_qyQ3V78GA,Barbuto,4
-7UIU1L48sRvHT69gaklwA,Wafels & Dinges,5
-7a5_F-JNOIQWucN69gACw,Morimoto,5
-7h9lUX1PVcuPIYBllAZJw,Wafels & Dinges,5
-7iJ_zIH6_y0Ksn3pdZtoA,Zack’s Oak Bar & Restaurant,5
-7iX3kX68AAESFzrQtlpVw,Flip Sigi,4
-7iX3kX68AAESFzrQtlpVw,Morimoto,3
-7iX3kX68AAESFzrQtlpVw,Takashi,4
-7iX3kX68AAESFzrQtlpVw,The Spotted Pig,3
-7uKirACvr8b-coqnc5caQ,Los Tacos No.1,4
-7v2412d8cmO3Tle_JQcZQ,Pilsener Haus & Biergarten,5
-7xo86LqqGASlh8-CXcrbw,The Ear Inn,5
-81V1phq5g6zQfNHcl37cA,Morimoto,4
-81V1phq5g6zQfNHcl37cA,The Butcher’s Daughter,5
-86t4LauO8uFGnPn711L7Q,Barbuto,3
-86t4LauO8uFGnPn711L7Q,The Spotted Pig,4
-8VfkpCwbli3tmuYLmIUPw,Los Tacos No.1,4
-8bF0464sny5zvTIF8I9HA,Sushi House,4
-8umfB5EpYXvB_0vg814HA,The Hamilton Inn,5
-8umfB5EpYXvB_0vg814HA,White Star Bar,4
-8vBuaKlt3DKECMkg705Dw,Jack Austin’s,3
-93SZN5Iz89Zdt3czpv3bA,The Spotted Pig,3
-950wRGiu7u11TECCFlJ6w,EN Japanese Brasserie,3
-96enb8AjMh8dDwhQBHvIw,Sorellina,5
-9DR1xCTmP2wXw7R5NZHhw,Angel Azul Bakery Cafe,5
-9XGk7apKHKdZmjAQsLtFw,Artichoke Basille’s Pizza & Bar,4
-9XGk7apKHKdZmjAQsLtFw,Los Tacos No.1,5
-9bjrmuUfku8xxNKCBTMmA,Takashi,1
-9jx1NEVIuIhEjj5ksR2qQ,Catch,5
-9lNX5M5aRYY8-J44QU0gw,Sorellina,4
-9ytpHNT5gwePA-f-fqPAg,Perry St,4
-A-J3qd_3-_bc0LUhzSMHg,Del Frisco’s Grille,1
-ACubwURqsDNTtTTYXS87Q,The Spotted Pig,3
-ALSIf8-P6uWGTSUdwIbJQ,Otto Strada,4
-AOoY8Zhnb0ydOHwIJqUdA,Vivi Bubble Tea,5
-ARBhQakLi0fxjE9c8ctGA,House of Que,1
-AUiAfHaRfpWfmdBoYwZNw,Fig & Olive,3
-AcIIhrHIOD9YufBgmX3VA,The Lobster Place,5
-Aj5KDQ17zLjQw1SNNb-PA,Del Posto,4
-Ao4U6Hp3gP8PlZXN7UoOA,Casa La Femme,1
-Ao4U6Hp3gP8PlZXN7UoOA,Los Tacos No.1,5
-B64Xak0b_Qih7rTR9O9hA,Hamilton Pork,5
-BA0lhK-11ZRh-AwE7srWw,Employees Only,4
