,0
0,Grand Vin
1,Zack’s Oak Bar & Restaurant
2,The Cuban Restaurant and Bar
3,Halifax
4,Del Frisco’s Grille
5,South Street Fish & Ramen Co
6,Tutta Pesca
7,La Isla Restaurant
8,House of Que
9,Keming Restaurant
10,Cooper’s Union
11,Anthony David’s
12,Gogi Grill - Hoboken
13,La Casa
14,Koro Koro
15,Onieals
16,Pilsener Haus & Biergarten
17,Moran’s
18,Union Hall
19,House of Que
20,Sorellina
21,Panello
22,Fiore Deli of Hoboken
23,Blue Eyes Restaurant
24,The Shepherd & the Knucklehead
25,Mamoun’s Falafel Restaurant
26,Frankie & Ava’s Italian Eatery
27,Onieals
28,Koro Koro
29,Hoboken Turtle Club
30,Sorellina
31,Pilsener Haus & Biergarten
32,Union Hall
33,Makai Poké
34,Blue Eyes Restaurant
35,Panello
36,Northern Soul
37,The Shepherd & the Knucklehead
38,Tenth Street Pasta & Pizza
39,Birch Hoboken
40,Fiore Deli of Hoboken
41,Mamoun’s Falafel Restaurant
42,Frankie & Ava’s Italian Eatery
43,Greektown
44,San Giuseppe
45,Empanadas Cafe
46,Ali Baba
47,Carpe Diem Pub & Restaurant
48,Elysian Cafe
49,Urban Coalhouse Pizza + Bar
50,Cafe Matt & Meera
51,Flatbread Grill
52,City Bistro
53,Cafe Matt & Meera
54,Okinawa Sushi & Grill
55,Cafe Matt & Meera
56,Quality Greens Kitchen
57,Napoli’s Pizza
58,City Bistro
59,Arthurs
60,Sushi Lounge
61,Lola’s
62,Grimaldi’s
63,Bareburger
64,Dino & Harrys Steakhouse
65,Lo-Fatt-Chow
66,Grubbs Take Away
67,Turning Point of Hoboken
68,Vivi Bubble Tea
69,T Thai
70,Cafe Michelina
71,Court Street Restaurant & Bar
72,th & Willow Bar & Grill
73,Gold Roast Cafe
74,Fran’s Italian Deli
75,Trattoria Saporito
76,The Stewed Cow
77,Grubbs Take Away
78,Midtown Philly Steaks
79,Napoli’s Brick Oven Pizza
80,Charrito’s
81,Lo-Fatt-Chow
