,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,ngh9meLbuBKcSYZcU7fnFA,Mark G.,5.0 star rating,"Love this place. Been going here for at least 10 years. It has to be the most chill bar in Hoboken. Always good food, great selection of beers (draft and bottled) and terrific juke box. Bartenders are always friendly and attentive. There are some awesome personalities back there. The owners son is a great guy and is very knowledgeable about his drinks. I read that Jonathan S. was ripped off by the older guy with the mustache. I just can't believe that! That guy was behind that bar long before I ever walked in there. He's like a Hoboken legend and I just don't see him doing such a thing. Pool table and darts. It's a big place so you can always come in with a big crowd and have plenty of room to enjoy yourself.Looking forward to the next 10 years!",8th Street Tavern,3.0 star rating,$,"American, (New),, Sports, Bars"
1,gY_WWVIecaDTey0O66pLPQ,John C.,3.0 star rating,"I'll admit upfront that I'm a bit biased against the new name. I remember this place when it was Charlie's and packed with local college students. I came in the other night and it was just me and a few locals as I waited for a show to start. It's lost the vibe in the excitement that used to have. Even during the week it seemed a bit dead. That said, the bartender was more than nice and the beer selection was adequate although nothing that really got you excited. Overall this place is an adequate place to grab a drink and a city known for great taverns.",8th Street Tavern,3.0 star rating,$,"American, (New),, Sports, Bars"
2,8I7yeeeI6HWPMxRyqW9V8Q,Ellea F.,5.0 star rating,"We've been going to this dive bar for years. We were walking down Washington St. seeing all the other bars crowded and filled. We finally came up to 8th st. tavern, welcoming, clean, and room to drink and have fun. They had darts, billards, TVs, and a bar that spans across the whole area (so plenty of seats). The bartender (in a heavy Irish accent) came over and asked us what we'll have to drink. We loved it there ever since.Over the years, they added craft beers, more seats, TVs, and a nice juke box. The bartenders are friendly and willing to strike up a conversation. I guess its fair to mention its cash only but the prices are also fair. There's an ATM in the front for the non-cash holding people. Keep in mind its divey so come here with a dively mindset and get set to have fun.I'm a Stevens alumni and I highly recommend fellow students to come by and enjoy a cold one with a laid back atmosphere where you can enjoy plenty of drinks, space, and bar games without a 20 person queue.",8th Street Tavern,3.0 star rating,$,"American, (New),, Sports, Bars"
3,-729MplXfvA_0Zq56Axzsg,Victor M.,5.0 star rating,"Went to the Ballast Point Tap Takeover tonight. This is my go to bar in Hoboken for an awesome beer selection, and Ballast Point is one of my favorites. Great people, great food, great times! The veggie pot pie special was incredible and they made it vegan for me! Plus I won a Ballast Point Long board in the raffle. All around good night.",8th Street Tavern,3.0 star rating,$,"American, (New),, Sports, Bars"
4,kVo5eT00nswx8vb_hn9GFw,Lisa S.,5.0 star rating,Good bar for a casual hangout. Pretty easy to find an open stool and sit. They have a digital jukebox that you can play whatever you want (have to pay). I ordered the veggie burger and it was really good. Nice selection of beers and some cocktails that I was pleasantly surprised to find on the menu - one bad St. Germain so instant 5 stars in my book.,8th Street Tavern,3.0 star rating,$,"American, (New),, Sports, Bars"
5,c_MT8ZZmy6jYg3P8-0AYrA,Jonathan S.,1.0 star rating,"Chill little pretension-free spot. Darts, old video games and a sprawling bar area makes for a fun evening. Other than a slimy interaction with a staff member, my friends and I had a fine evening. That said, the older bartender (has a moustache) deliberately tried to short me $30 change last night (hoping I wouldn't notice or had forgotten that I gave him a $50). Shady. Who knows how many unsuspecting patrons he's ripped off in the past?",8th Street Tavern,3.0 star rating,$,"American, (New),, Sports, Bars"
6,72WEXN_T9tugFuNg0epTFw,Brian H.,5.0 star rating,"New menu/new chef = brilliant. The kitchen is putting out amazing food now. The Thai chicken salad has a ridiculously delicious peanut sauce, pizzas are Sicilian style now but still airy and crisp, and they have these great ""pub pies"" with the most delicious pastry baked on top. Not to mention the best French Onion Soup I've ever had! Cash only but worth it because it's cheaper than 90% of the other places in Hoboken and it's never a mob scene.",8th Street Tavern,3.0 star rating,$,"American, (New),, Sports, Bars"
7,WgxbNA8D5QDjcg-qmsUaag,Dave W.,5.0 star rating,"Excellent staff, really relaxed atmosphere compared to most similar Hoboken Bars. The new chef/menu is fantastic. Great for games, social get togethers and even the random drop in. Juke box is always a plus!",8th Street Tavern,3.0 star rating,$,"American, (New),, Sports, Bars"
8,JZJIG5KdsJHITf0i0loGXw,Joe E.,4.0 star rating,"We finally made our way (all be it one block) to try 8th Street for some of the much hyped food. Being a Sunday, it was pretty quiet, which was perfect for us. We got two great seats in time to watch the start of the Cavs game. The beer menu is pretty great, lot's of Kona which is our personal favorite beer and having Big Wave on tap was even better. Hopefully they continue to expand their draft beer selection. So, dinner...the menu is short and simple, but we really struggled to make our selections. Everything in writing looked delicious so after about 10 minutes and a few suggestions, we settled on; Spring Rolls, Fried Calamari and the Cubra Libre (special of the night). So, the only reason we give this 4 stars is just because it seemed to take a long time, but the kitchen looks like a 1 person operation and when the food started to come out, we were immediately impressed. The spring rolls were nice, I'm not the biggest fan overall, but I quickly ate mine and really enjoyed the sauce. It also looked and tasted fresh, which was a big bonus. I actually hat a broccoli crown on my fork at one point...and it was bright green! The calamari...that was pretty top notch, the sauce was good, but the calamari hit the spot! The breading was not to heavy and it tasted lightly fried. Then...the Cubra Libre. I personally cannot pass on a Cuban sandwich, as I person who cannot stand the taste of pickles, this is the only time I will eat them. The portion was huge, I wish I knew this before I had loaded up on Calamari. After my first bite, I actaully moved my plate away from my girlfriend because I knew she would want to eat it on her own. Each bite was better then the next. I think it was the sauce, but whatever it was, I literally cannot wait to try it again.",8th Street Tavern,3.0 star rating,$,"American, (New),, Sports, Bars"
9,RQW0v2Y0-aUjpUrzihHIcg,Paul C.,5.0 star rating,"Favorite bar in Hoboken. Friendly bartenders who really care about what they're pouring, great food, huge beer menu, and the best mixed drinks in town. Can't beat the bourbon night, happy hour, and football specials.",8th Street Tavern,3.0 star rating,$,"American, (New),, Sports, Bars"
