,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,5texJOiEmJJ8HdokYXnbXQ,G B.,5.0 star rating,"We started with the seasonal drinks. A cranberry Moscow mule and a smoked old fashioned. Yep. I said smoked. They actually infused hickory smoke in the drink. (See the picture) We had a late flight in so we needed to grab a bite. We had the Romeo. Ground sausage, fresh mozzarella, and caramelized onions. The onions really put it over the top great. A pizza is the perfect two person split.The atmosphere is a great casual feel with a great upscale menu and decor. We came at 11:45p and the music was cranked but we could still have a good conversation. Definitely worth a stop for this place.",Adoro Lei,4.5 star rating,$$,"Italian,, Pizza,, Lounges"
1,ZO4ED844ibqfvL9jC0dl8Q,Pam S.,4.0 star rating,"Went here with a bunch of people to sit at the bar and order food -- which was blessedly easy on a Saturday early evening (7ish) -- the atmosphere is really pleasant, kind of an Italian restaurant but more hipster. I ordered a beer and ordered a pizza with veggies no cheese for a vegan option -- they also have a cauliflower crust (for the gluten-free crowd) another vegan got, but it tasted like it had eggs in it in my humble opinion.The pizza was alright, prices were as to be expected, service was great especially considering we were a surprise small crowd ordering food at the bar. The bartender described the pizza as ""thin crust"" so we each ordered one, but I think you could share, perhaps add an appetizer, since it wasn't really really thin crust. The vegetables on the pizza did taste like canned mushrooms (faux pas) but I'm still rating it 4 because all things considered, we were able to come in, be served, have some beers, get some food, and it was a good time. Would recommend if you're in a pinch in the area.",Adoro Lei,4.5 star rating,$$,"Italian,, Pizza,, Lounges"
2,ABZS7aSnMdCyU-kppCedFg,Stacey L.,5.0 star rating,Wonderful find ! Pizza was fantastic. The staff was al very friendly. We will be back for sure. The truffle rice balls were really great too. Great music playing - cool vibe. Really enjoyed a late night dinner here.,Adoro Lei,4.5 star rating,$$,"Italian,, Pizza,, Lounges"
3,D9ZZVnSaUakIH168zFcl2A,David W.,4.0 star rating,Pizza is excellent. Standard wood fired pie. Crust is chewy with a nice taste. Had the margarita with a large bottle of mineral water. 27 bucks. Not bad for NYC. Enjoy,Adoro Lei,4.5 star rating,$$,"Italian,, Pizza,, Lounges"
4,EJ-TJL_6hML2_0qvIWCEqQ,Janelle K.,5.0 star rating,The BEST place ever!!! Our server Tara was the mob.com!!! The atmosphere and food and drinks  were wayyyyy beyond on point!! If you are a big group and looking for special attention this is THE SPOT......I MUST to check out!!! Just ask for Tara and be generous!!!,Adoro Lei,4.5 star rating,$$,"Italian,, Pizza,, Lounges"
5,EWTopznK9B-x9A9yTDbyxA,Peter C.,2.0 star rating,"I always start to doubt myself when I have a bad experience at somewhere so highly rated, but honestly I cannot see what all the fuss is about and I left here feeling really disappointed.One thing I will say is that the service is very fast and efficient...almost too fast and efficient. Within 5 minutes of arriving, we had already been served and were tucking into our appetizers. While I shouldn't hold this against them, it makes me a little suspicious how they were able to take our appetizer order and get it out to us so fast... that being said, the waiting staff were attentive, and really I cannot fault them.The food however left much to be desired. The only words I can use are bland and tasteless, and that pretty much covers the whole repertoire of our order.We had the following:-Calamari - very standard as far as taste goes. It was the kind of dish you'd get at a beach bar for a snack and sustenance as oppose to look forward to as part of an evening meal. Fairly flavorless and unseasoned, and also lacking texture.Rice balls - probably the best dish of the meal, but still nothing to write home about. Soft and gooey, and exuding strong aroma of truffle when broken open; they're served with a marinara sauce that's slightly on the watery side. Again, bar food in standard.Simonetta pizza - supposedly topped with mushrooms and goats cheese, but lacking any flavour that would indicate the two. The only flavour I could genuinely taste was the black pepper I cracked on top of it. Special shout out to the dough and crust however, as the texture and bite really was great.Little Queens Pasta - this literally tasted like something you'd whizz together as a quick dinner after the gym. With pasta, broccoli rabe and sausage meats as the base the of the dish, that's literally what it tasted like. The bare bones of the three. No seasoning or extras to bind it or bring it together. The dish was oily and severely lacking flavor.Crispy sprouts - despite being served on a sizzle plate, there was nothing crispy about them. They were actually boiled, instead of roasted, so immediately they lacked any of that crisp texture. Again, nothing binder the dish together. It was just boiled sprouts, bacon and a handful of cranberries.Pains me to say it based on other reviews, but this place really was disappointing in my eyes. Only saving grace to give it 2 stars was the way the waiting staff carried them self.Avoid.",Adoro Lei,4.5 star rating,$$,"Italian,, Pizza,, Lounges"
6,KQyfUXe5YusGrSuuWLHJiA,Juliane L.,5.0 star rating,"This place is amazing!!! We got to get a few pies to share and we had a great time! - plain cheese: your classic. It's always good. - mushroom and cheese: so delicious. This one was our favorite one!! - arugula, Parmesan and prosciutto. Excellent!! - one with chicken tenders? I didn't try this one but my friends loved it. - fried risotto balls: loved them! Overall, I loved the thin crust. The dough is delicious and crunchy. The toppings are tasty and fresh. The space is beautiful.",Adoro Lei,4.5 star rating,$$,"Italian,, Pizza,, Lounges"
7,ROWZNJRea4s3lGY_zzPeiQ,Devki P.,4.0 star rating,"The vibe in this place is really cool. It's dark and modern and the bar is really cool. Came here for dinner on a Tuesday night with my boyfriend and was really pleased with the meal. We decided to split the mini calzones for appetizers. They were filled with pesto and mozzarella and were actually really delicious - only down side was that they came with this gross watery tomato sauce, a simple marinara would've faired much better. For our main course we split the lover's purses and the rosina pizza (a NY style margherita). The purse's were really delicious with the sweetness of the pear/brown butter sauce perfectly cut by the cheese/arugula. The pizza was also yummy with a good crust. Overall a decent place. I enjoyed a glass of wine with my meal this time but hope to be back to give their cocktails a try.",Adoro Lei,4.5 star rating,$$,"Italian,, Pizza,, Lounges"
8,VLRFP1SC64E_gu7PY40sbg,Nick C.,4.0 star rating,Simple lunch menu but very fresh and delicious. Ordered the beet salad with steak and it was well flavored and not overpriced like many in the city. Service was great and location wasn't crowded. Would recommend for lunch if you're in the area.,Adoro Lei,4.5 star rating,$$,"Italian,, Pizza,, Lounges"
9,il_RjYmxbVAfaVmknnQTAA,John M.,3.0 star rating,"After a failed attempt to get into a Macallan tasting event around the block, we were given vouchers to still have a drink at Adoro Lei, so naturally we stopped in.While the bar service on a Wednesday night was definitely lacking, it was probably more than expected due to the overflow from the event. Aside from that, the staff were very friendly and the brick oven pizza was solid. For an Italian place, though, it really didn't seem to offer anything unique as far as the menu, decor, or overall vibe, which doesn't really differentiate it from most other places at all. I'd stop by if I was nearby, but wouldn't seek it out again.",Adoro Lei,4.5 star rating,$$,"Italian,, Pizza,, Lounges"
