,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,I-cIvsDlNlV1dk3pWCT69w,Esther J.,4.0 star rating,"Loved this small cute humble hipster Korean joint serving homemade Korean. Tried their stews. Great customer service. Simple buy at cashier and sit down setting although slightly confusing with the tip situation. Food hit the spot. No fuss, not crowded if you're craving Korean near Newport.",Ahri’s Kitchen,4.0 star rating,$$,Korean
1,JarcRZq4UXoBTZs5o1L1DQ,Xueming J.,3.0 star rating,"I was torn to give 2 or 3 stars, and I finally gave 3 stars since the food tasted authentic korean food. This is a rather small restaurant, it has about 6 or 7 two person table and then a bar typed table along one side of the wall and front windows. We came here for dinner and ordered seafood tofu soup and spicy pork shoulder. The food tasted good, but it is such a small portion. I would say it is a smaller portion than normal lunch menu in other restaurant. Each order comes with a tiny small container of kimchi where in most other restaurant you will get some small side dishes. There is no korean hot tea available either. Parking is available on the street, but usually you can find one within a block or so.",Ahri’s Kitchen,4.0 star rating,$$,Korean
2,AI1rYT1Hu-sIvKxGL0jW_A,Emily J.,3.0 star rating,Review based on Seamless order. I opted for the Bulgogi Soondubu (Tofu Stew) because it was recommended on Seamless and I wanted something soup-y. I added in udon for an extra dollar bc why not? Some of the udon came in a separate container. Still not sure why they didn't just put all the udon in a different container so by the time it's delivered it's not smushy. Whatevs. The broth is oily but soup overall is not bad. I wish they added in more tofu though bc it is tofu stew. The tofu comes in huge chunks and the kimchi inside the stew is a bit bland and mushy. Overall not worth the $14.99 + but if you're totally whatevs on Korean food you'll probably like it.,Ahri’s Kitchen,4.0 star rating,$$,Korean
3,Zpvxw9gxEz5a4SDQPaH2SA,Johnny G.,4.0 star rating,"Very pleasant location near the brownstones in Jersey City. A sit in spot, you make your order at the front and they bring your food out. The cashier was very delightful :). I had Grandmas dumpling with beef and the Spicy pork dupbop over sticky rice. The dumplings were super tender. The spicy pork was very spicy, the portion size was small, next time I will get the Bibim Rice. They also give you complimentary kimchi. if you are new to Korean food or a veteran it's a quality place to eat.",Ahri’s Kitchen,4.0 star rating,$$,Korean
4,LwQvuGC--FhHVCYZ9z_Etw,Patrick N.,5.0 star rating,"I would probably give this place a four star if it was in NYC, but I give it 5 considering it's Jersey City. The decor is casual and ordering is done at the counter. This place is BYOB and there's a liquor store right across from it. Now the food: Bibim bap: this was pretty standard and tasted as good as ones in ktown and Fort Lee. The rice was a bit undercooked, but the ingredients were plenty and a good variety. Pork Korean tacos: delicious with good fat and meat pork ratio. Tl;Dr I would definitely come again if I have cravings for Korean food. Bibim bap and Korean tacos were delicious.",Ahri’s Kitchen,4.0 star rating,$$,Korean
5,HJNS5cVIPdoptBc_j2_oxQ,Maria S.,4.0 star rating,"Cute, quaint and delicious! I don't usually step out of my comfort zone and go for Korean food but this place did not disappoint. The atmosphere was nice, the service was good and the flavors were incredible... especially if you like spicy food like I do! 4 stars because there was only one or two things on the menu that I would actually order but I will probably be coming back for another spicy bowl.",Ahri’s Kitchen,4.0 star rating,$$,Korean
6,hMAfAVFpOhFvAWSzs44E0g,Jenna S.,1.0 star rating,"Neither authentic Korean nor fusion. I am not sure what category this restaurant even falls under. I hope no one eats here and mistakenly believe this is what authentic Korean tastes like.. Authentic Korean food tastes much much better than the food served here. I ordered the seafood soondubu and the spicy pork shoulder dupbop. I am suspecting that the meat selections of the menu are better because it is harder for meat to taste bad. It is pretty spicy so be mindful. The seafood soondubu was the worst soondubu I've ever had.. I usually eat most of my food even if it doesn't meet my expectations but it tasted so bland and watered down that I literally couldn't eat more than two bites. It was basically red water with seafood inside. I was sad that the restaurant claimed to serve ""authentic Korean"" so that some may believe this is how authentic Korean actually taste. Relative to the quality, the food is pricy too. Pros? The staff was very friendly and the restaurant was cute. If you still decide to try this place out I suggest you pick from the meat selection.",Ahri’s Kitchen,4.0 star rating,$$,Korean
7,9Z0WAed-VQIyi392MPLTUQ,Millie Y.,2.0 star rating,"I ordered the vegetarian dumplings and veggie ramen - the dumplings were excellent, but the ramen was awful. I'm not trying to compare it to japanese ramen, but the noodles were not fresh, and the broth had 0 flavor.  It just tasted overwhelmingly of bland seaweed and egg.  This is probably the first time in my life I haven't finished a noodle dish. I would pass on this place, but perhaps the items with meat (or the bibimbap) are better.",Ahri’s Kitchen,4.0 star rating,$$,Korean
8,p1gQXnFigc_joKzHPcl9Ng,Enya L.,2.0 star rating,"My dad wanted some Korean food but we didn't want to go into the city so we decided to check out Ahri. It is not bad, especially for JC. Ahri is cute, casual, and most importantly BYOB, but not as cheap as you would expect it to be. It is not full service so order up front and grab a table yourself. The kimchi was alright and a bit too sour. The spicy pork shoulder was okay. The meat was cooked well but the flavor tasted like just poured sriracha on it but less flavorful. The Bone-in Short Rib Soup was good! The clear yet flavorful soup hit the spot. The short rib was so tender and delicious.",Ahri’s Kitchen,4.0 star rating,$$,Korean
9,KTGKrl68LuwaDGyzm8eLdg,Darshan S.,5.0 star rating,"We got the veg ramen, spicy pork and a side of bulgogi. Everything was good. We will definitely go back.",Ahri’s Kitchen,4.0 star rating,$$,Korean
10,qwK6E1ehscedtlIgek7kDA,Joanna B.,4.0 star rating,Food taste good and the place is small but cozy. The owner and employees are very accomodating. The only downside is parking. Its very difficult to find parking in this area. But worth the trip!,Ahri’s Kitchen,4.0 star rating,$$,Korean
11,d0BQLkOqoGtwX5TmgJcjfg,Vinod S.,3.0 star rating,"I really liked this place before but I'm downgrading it due to the recent menu changes. They used to have this beef bone broth soup that we really liked, as well as a stir fry glass noodles dish which was terrific too. No more. The bibimpap I just had was pretty decent and the seafood soup not bad as well. But we miss the old menu items! I hope they take note of that. Otherwise, still a pretty good spot. Lastly - definitely try the banana pudding they have from a local business, it is divine.",Ahri’s Kitchen,4.0 star rating,$$,Korean
12,wg7NqL22BU_GV9LtXvpscw,Chao X.,4.0 star rating,It's really hard to find Korean food around the Newport corporate jungles. This is one a refreshing find for me when I exhausted my options in the Newport mall food court. Its a modern take on Korean food and it's done right! This review is purely based on my two times being here - japchae (1st time) and Spicy Pork Rice Bowl (2nd time).Both of them are super tasty and come close to the good ones you'll have in Ktown(Manhattan). Spicy Pork has generous pork portion which was a big plus!Also kimchi is free! But they are pretty average.,Ahri’s Kitchen,4.0 star rating,$$,Korean
