,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,0_9ZUr0Rfs2tk4frJtQwNg,Sçar Ł.,4.0 star rating,"My friend and I came here for dinner. Overall, food and service was pretty good. Waiter was very nice. Inside was small and cozy. To start, I liked that they came out with with pita (vs cold). I was surprised they served it with butter. Most Middle Eastern restaurants that I've been to serve it with yogurt sauce or tahini. We ordered the 40 Thieves platter for 2, which was just enough for us. Our entree came with baba ganouj and hummus appetizer. Baba ganouj was very good as it had a very smoky flavor, which I love. Hummus was decent. They were nice enough to fulfill our request of substituting chicken cubes and beef gyro with additional lamb kabob and kofta. However, when the meal came out I was a bit disappointed that they didn't really add much (3 kofta total) and the lamb cubes were small. Nonetheless, they were both flavorful and not overcooked. It also came with a plate of yellow rice. I was told they do not have bulgur wheat (surprisingly for a middle eastern restaurant), but could charge me $2 for couscous. It also came with a small portion of salad.Pretty good price $28 for the meal :)",Ali Baba,4.0 star rating,$$,"Mediterranean,, Middle, Eastern,, Vegetarian"
1,xDYiNmKTDNL8RULdtvFoOQ,Ali W.,4.0 star rating,"Was in the area so I decided to stop by here for a quick pick-up. First off, decor of the restaurant was really nice. The place looked very clean as well so I'm looking forward to dining in one day. As for the food I ordered a lamb gyro sandwich and the tandoori chicken sandwich. The lamb was soft, succulent, fresh, and overall so delicious. My only constructive criticism with that is it didn't have a crispy exterior you sometimes see with lamb. My favorite thing about the sandwich was it wasn't overly salty or greasy. The tandoori chicken sandwich wasn't my favorite. It wasn't bad, but it was just a little bland. Also, a little difficult to eat; it's more of a messy sandwich than normal. The ingredients were fresh, but the chicken was a bit dry and didn't have much flavor. Overall, I would order the lamb gyro again but not the tandoori chicken. Also one thing I want to mention is the yogurt sauce that came with it was great. They gave me more than enough sauce for the sandwiches which was a great compliment to the food. Prices: more than fair. Service: it was a quick pick-up so I can't say much about this. The lady I picked up my food from was nice and the food was ready on time. No complaints here. I'll be back next time I'm in the area to try some more menu items.",Ali Baba,4.0 star rating,$$,"Mediterranean,, Middle, Eastern,, Vegetarian"
2,e3QMgNz7r8DkInA5Z8TOTw,Depeka S.,3.0 star rating,"Been here several times before. Came here after a break of 6months and ordered their vegetarian grand platter as always. However, today the falafel did not taste the same + smaller in size and the overall portion size has reduced too.",Ali Baba,4.0 star rating,$$,"Mediterranean,, Middle, Eastern,, Vegetarian"
3,I6ojGeQtnAE_jKqpJFydLQ,Katzy P.,5.0 star rating,This place is amazing - eating in or out. The staff is also incredible and it's super quick. Bring wine! The portions are large and it's fairly inexpensive. Make sure to get the baklava at the end.,Ali Baba,4.0 star rating,$$,"Mediterranean,, Middle, Eastern,, Vegetarian"
4,60xT8IJErBIOe1q8dGfIJw,Christina D.,5.0 star rating,"This place is both yummy AND economical!  Hubby and I stopped in for a quick dinner, and ordered the 40 Thieves Mixed Grill platter.  For $28 it came with a great variety of meats (chicken, kabob, lamb, etc), side of hummus and baba ganoush, wane pita and plate of yellow rice!!!!  We were blown away by the quality of the meats, the quantity and the price (esp on Washington St in Hoboken!!)For appetizers, we ordered the falafel and those were awesome!  I normally don't like falafel because 9 times out of 10, they are usually dry and flavorless. I took one off my hubby's plate, and I was extremely surprised and blown away by the amount of flavor that was packed in one little falafel!!!  The falafel was very crispy on the outside well tender on the inside. The seasoning was delicious and it packed a little kick at the end, most likely from a hot or smoked paprika.Our waitress was extremely friendly, and when she came to check on us I told her how much we love the falafel and she said that the owner makes the falafel mix from scratch himself and his his own original recipe. And it shows!Now that we are moving to this area, we will certainly be back to this little gem again and again.",Ali Baba,4.0 star rating,$$,"Mediterranean,, Middle, Eastern,, Vegetarian"
5,_nKCwxCbVLOVf-T52PiFWQ,Paige H.,5.0 star rating,"So yummy and so economical!!! Steven and I were in Hoboken for Davy Knowles at Maxwell's Tavern and needed dinner before. We decided on Middle Eastern/Mediterranean food and boy was it good. When we arrived, we were the only people and the waitress was thrilled. When we left we were one of three parties. Not sure why, other than it was a Wednesday, because it's such a neighborhood gem! The food was so yummy, fresh, and flavorful... It's a great spot for anyone in Hoboken :)",Ali Baba,4.0 star rating,$$,"Mediterranean,, Middle, Eastern,, Vegetarian"
6,jGrB-d3p6Fs_uxrW4qQ2BA,Genica O.,4.0 star rating,Reliable take out place.  Which they will make their own pita bread.  The hummus is always good.,Ali Baba,4.0 star rating,$$,"Mediterranean,, Middle, Eastern,, Vegetarian"
7,jRSlMinwn6Npg3PKZKkxFQ,John W.,4.0 star rating,"Great owner! An open invitation to Mediterranean family eating. The owner took great care of us, making us feel like family. The food was all pretty tasty, not spectacular, but solid in flavors!",Ali Baba,4.0 star rating,$$,"Mediterranean,, Middle, Eastern,, Vegetarian"
8,Kx6PGZFGoF8QKS--anq4tg,Rebecca R.,4.0 star rating,My husband and I always pass this restaurant so on a rainy night we decided to give it a shot and get delivery --- and I am glad we did We ordered: Spinach pie appetizerHummus appetizer Chicken tikka platterGyro sandwich My absolute favorite item: the hummus.  Incredible and hands down best I've had in a long time and for sure best in Hoboken.  Outstanding. My absolute not so much favorite: spinach pie appetizer.  I was expecting a true Greek spinach pie but maybe this was a different version of it? We got basically a pita with spinach stuck inside....The chicken tikka and the gyro were very good as well.  The restaurant gives you extra yogurt sauce which is always appreciated :)Good food overall,Ali Baba,4.0 star rating,$$,"Mediterranean,, Middle, Eastern,, Vegetarian"
9,1WZ9hfM9hf7kUyrMyCsloA,Salman K.,5.0 star rating,"Ali Baba is a cornerstone of Hoboken, being one of the oldest restaurants still in the city! I've been coming here for years and the food is always exceptional. I personally love the gyro and chicken kebab. Chef/Owner is always courteous and tries to stop by to ask how our meal is. If you're looking for authentic Middle Eastern food, check out Ali Baba for a warm ambience, excellent customer service, and delicious food. Highly recommend!",Ali Baba,4.0 star rating,$$,"Mediterranean,, Middle, Eastern,, Vegetarian"
