,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,9TAiFwQzKrlA5kdZUombJQ,Rachel R.,5.0 star rating,"wowzers!  the idaho taters are INSANE.  Be warned.. the spicy stew IS spicy, and amazing.  This place is expensive, and you will get the stink eye if you happen to have oh... say blue hair.....  The service was fantastic, no way could I afford to eat here if I was footing the bill.I was not, so I had a great time.   The pork chops looked really good.So many times the place has no way to live up to the hype, not this trip back in time to my aunts cool and semi creepy old house.  very crowded, must be that people like really great food and service.",Amanda’s Restaurant,4.0 star rating,$$$,"Breakfast, &, Brunch,, American, (New)"
1,JP5DEwtdpo99FaEP1icCdg,Kartik K.,4.0 star rating,I was at Amanda's for a Sunday brunch a few weeks back with a friend. Although the interiors were a little antiquated do not let that fool you. The brunch was solid. I got a salmon and spinach eggs Benedict which was on point. We shared a bread basket which was amazing - super fresh the only complain I might have is that we had too many of the corn muffins. I got a Hennessy based specialty coffee which was a bummer. Maybe that was just not my drink.All in all it was a solid brunch and I would rate it a 4.5 but since a girl named Amanda cancelled our first date last minute I'd take half a star off that rating.,Amanda’s Restaurant,4.0 star rating,$$$,"Breakfast, &, Brunch,, American, (New)"
2,TFmzpW06U2O5quynnwMrGA,Jack W.,5.0 star rating,"Never judge a restaurant by its exterior! I've passed Amanda's many times, but never looked beyond the simple exterior. Shame on me! From the moment you open the door, you are transported to an elegantly appointed interior that is reminiscent of a 19th Century parlor. The warm tones and stately decor really set the tone for what was a delightfully elegant meal. We were seated in a quiet table by the window, where I spent the evening jealous of my friend's seat, facing the restaurant. When the dining room is that pretty, passers-by just don't measure up.       I started with an Apricot-Sage Bumbler - a cocktail of theirs made with Bacardi Silver, apricots, honey, lemon, and sage. Served in a delicate cocktail glass and garnished with a fresh sage leaf, the bright yellow libation made me feel I was in a prohibition era speakeasy. I don't usually prefer rum, but the apricot and honey drew me in and made for a delicious cocktail combination.     Ordering from their three course, Hudson Restaurant Week prix fixe menu, I started with the steak tartare. Served with a quail egg, chili tempura, and shoestring potatoes, the meat was perfectly seasoned, and almost creamy in texture. The quail egg enhanced the creaminess, and the chili tempura added a welcomed bit of heat. Excellent idea adding the shoestring potatoes, as they provided wonderful crispness.     My meal continued with a Flintstones sized pork chop that could not have been cooked more perfectly. A lightly charred crust on the outside, and the juiciest, barely pink inside. The sweet potatoes and arugula lent a delightful sweetness and hardiness to the dish, as did the maple pearl onions. Ask for extra bread because you will want to sop up the veal jus the chop is floating on.      As I always say, food goes to your stomach, but dessert goes to your heart. The bombolini (donuts) were TO LIVE FOR!!! Freshly fried and rolled in cinnamon sugar, these sweet orbs of dough are a sweet tooth's fantasy. As light and airy as a cloud, but with enough flavor to make you eat 5 orders. The huckleberry sauce was superfluous for me, but only because the bombolini were so good on their own. I'd be remiss if I didn't mention that the salted caramel ice cream wasn't the best salted caramel ice cream I'd had. You could actually taste the salt AND the caramel. Had I been in the privacy of my own home, I'd have liked the bowl.      The service is wonderfully attentive but not remotely intrusive. In a word, Amanda's is elegant, through and through.",Amanda’s Restaurant,4.0 star rating,$$$,"Breakfast, &, Brunch,, American, (New)"
3,4lAQYtRnSB6qdinlNEwDcA,Lindsay M.,3.0 star rating,"I came to Amanda's Restaurant for brunch on a Saturday afternoon with my friends. It was definitely a nice restaurant, but I honestly didn't think it was anything special. The decor was a little weird - it's definitely unique but the pictures around the restaurant were just a bit strange for me. I felt like I was in someone's house, which was... interesting. The restaurant is also much larger than I expected - there's a few small rooms, so you can never quite get a sense of how big it is. However, we sat down right away, despite it being packed when we first walked in, which was nice.The food was definitely good - we all got the Tomato, Basil and Ricotta Omelette. We also got one side of Sausage for $8, which I thought was a little steep. Overall, everything was tasty.",Amanda’s Restaurant,4.0 star rating,$$$,"Breakfast, &, Brunch,, American, (New)"
4,Uqoep7WP3mX3Zen-y9RpLg,Pjpaz P.,2.0 star rating,"I guess every decent restaurant has its off days. On a recent Sunday, our waiter didn't want to be there and the kitchen couldn't keep our meals warm, our white wine cool or our sorbet unmelted. My chicken was fine, though - though not my dining companions' trout or ravioli.",Amanda’s Restaurant,4.0 star rating,$$$,"Breakfast, &, Brunch,, American, (New)"
5,2KqrgEYeLBeRF00c2IPrtQ,Paul H.,5.0 star rating,"Summary:A no-bro zone in Hoboken?  Shiver me timbers!  I made the Hajj out to Hoboken (shiver, eww New Jersey, ugh path) to see a friend for Saturday brunch. I was pleasantly surprised to find no chavvy Jersey bros here, thankfully.  It was just a nice overall experience that was cheaper than I expected.The Food:The eggs benedict over crabmeat was a fantastic idea.  50 points for Gryffindor!  The crabmeat was perfection.  Totally not the overly chewy crabcake you get at some places.  The bellini was not as sweet as what you get at some places and it hit just the right spot.The Atmosphere:This place had a Victorian feel to it which may be what's deterring the fist-pumping chavs (yes, I know I'm using Britspeak but I want to be all encompassing when speaking about trash).  The atmosphere was what made this place quite enjoyable.  It was quiet enough so that I could comfortably catch up with my friend.The Service:Lightning fast.  The drinks and food came out without much of a wait.  The waiter was very polite and left us alone to chit chat whilst I did not see the bottom of my water glass.  Gotta love the places where you get service without even noticing.Also, my friend drove me back into Manhattan so I didn't have to deal with that godforsaken path train.  Not really a service of the restaurant but made the experience much more enjoyable.  Til next year!",Amanda’s Restaurant,4.0 star rating,$$$,"Breakfast, &, Brunch,, American, (New)"
6,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,3.0 star rating,"So I finally tried Amanda's for brunch, and I think I'll be sticking to the Truffle Fusilli that I mentioned in my last review.My boyfriend and I came in on a Saturday with a 12:30 reservation. The place was pretty empty except for about two tables, and two separate parties going on in the back. We happened to be seated in the dining room that was right smack in the middle of the two parties, which made no sense - especially since the front dining room was empty. Naturally, it was very noisy but not the worst. We could have asked to move but we didn't. Luckily, the two parties didn't take away from their service because we got our food within 10 minutes of ordering, so we were in and out within 45 minutes.For drinks, he had the bloody mary (not good, very bitter) and I had the bellini (basic). Both were pretty expensive for brunch drinks ($8), for no reason but I get it - you're paying for the ambiance. It's not like we wanted to spend our brunch hour with a bunch of frat guys at a bar, pounding $3 Miller Lites anyway.For food, I had the Crispy Eggs (with asparagus, shiitake mushrooms, prosciutto and parmesan fonduta). The crispy eggs were interesting. It was like a scotch egg but without the sausage. It wasn't bad but it is a bit heavy for brunch, especially with the cheese fonduta. The side salad it was served with helped that out a little. I also wish there was more prosciutto. He had the Grilled Hangar Steak with Eggs. This came with some fruit and home fries. The steak was pretty good but you should order it one level rarer than how you would normally order it.Overall, I don't think brunch was anything amazing. But like I said, that truffle pasta will always have a place in my heart.",Amanda’s Restaurant,4.0 star rating,$$$,"Breakfast, &, Brunch,, American, (New)"
7,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,2.0 star rating,"Tired, uninspired cooking. Red state food in a blue city. Not well put together. The place is rather beautiful, and the staff attentive.  But, at the end of the day, you put most of your faith in the food.  And it's lacking.  It's not bad, per se.  But there's no personality.  Nothing special.  Nothing outside of the red states.  Hence, it fits Hoboken and her demographics perfectly.",Amanda’s Restaurant,4.0 star rating,$$$,"Breakfast, &, Brunch,, American, (New)"
8,8zwjp5dtLYLwmQnLWVKRIg,James B.,3.0 star rating,I loved the private rooms for couples. Romantic  ellagance and the food is to die for,Amanda’s Restaurant,4.0 star rating,$$$,"Breakfast, &, Brunch,, American, (New)"
9,gxENC_UdtelREs0DEsrmrg,Michael N.,5.0 star rating,"Believe the hype.Amanda's lived up to every expectation I had and more. I came here for the weekend early-bird prefix special for $19, everything was delicious! My girlfriend and I journeyed over a mile in the blistering cold only to be greeted by a nice cozy fireplace to warm us up at the entrance of this fine dining establishment. There was a coat check room as well.Amanda's takes service to another level! Yes,they will collect your crumbs off the table in between courses. Yes, they will be experts on the American cuisine  they serve and are more than happy to recommend their favorite dishes on the menu. Yes, they will be kind and gracious to ensure your experience is unmatched.Furthermore, I imagine people are coming here to celebrate events in their lives (i.e. graduations, anniversaries, birthdays, etc), but honestly this is a pleasant choice regardless. Come here with family, come here with friends, it doesn't matter! Groups of varying sizes will be greeted here with open arms. I assure you that this is one of the best dining experiences you will have in Hoboken, period.",Amanda’s Restaurant,4.0 star rating,$$$,"Breakfast, &, Brunch,, American, (New)"
