,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,qmu4gOF1u4k4RV3O6qk37A,Kyung K.,5.0 star rating,Nothing says home than a combo sub and a Boylan's ginger ale.Deserves every 5 star review,Andrea Salumeria,5.0 star rating,$,Delis
1,nthLJ9vuA3nOw3eORGDMTw,Alex Y.,5.0 star rating,"I have been drooling over all the sandwich pics over the last few months and finally got to chance to visit last week.  It's a bit tucked away in Jersey City heights, so parking could get tough.  Don't give up so easily though, because the extra effort is going to be worth it.Despite the fact that they only show 4 options on the sandwich menu, those are just suggestions.  The staff here can pretty much make anything you want if you want to order.  Speaking of staff, they are probably the nicest people in all of Jersey City.  Perfect atmosphere for a family business, no wonder they have been going strong since 1975.Since I wanted to try everything, I ordered the Soprano, the What's Up, the Combo, plus an extra side of fresh mutz to go.  It's not mozzarella around Hoboken or Jersey City, just mutz...Favorite turned out to be the Soprano.  Loved the contrast of the sun dried tomato against the creamy mozzarella and the perfectly cured prosciutto.  Could have finished the whole thing by myself, but decided to stick with the original game plan and sample the rest of the sandwiches as well.What's Up definitely lived up to the hype as well.  It carried a good bit of heat from the meat as well as the spicy peppers.  The only thing that I would opt out of next time would be the chunks of sharp provolone they put in there.  It was just throwing me off a bit.Overall, a great little deli with extremely reasonable prices for the quality that they put out.  Will be back again really soon.",Andrea Salumeria,5.0 star rating,$,Delis
2,M6ovR_D12p59j-EIY3BvzQ,Alexandra T.,5.0 star rating,"Can I give Andrea a 6/5? Super small Italian grocery/sandwich shop in the JC heights. Really narrow aisle to the counter to order, which made me feel like I was in an alleyway in Italy. Came in around 130pm on a Saturday afternoon with ~8-10 customers in front of us. Line moved really quickly and I checked at the pasta in the frig, meats and cheeses in the glass, and some pantry items on the shelves while waiting.We ordered a ball of fresh mozzarella (they keep this in the back), the what's up (hot everything sandwich with provolone), and prosciutto, Mozz, peppers and balsamic on a hero. Goddamn these sandwiches. Phenomenal floury bread just soft enough on the inside and perfectly crunchy on the outside. Generous servings of meat and mozz on the sandwiches. Everything tasted super fresh with real Italian flavors. Soft mozz that literally falls apart in your mouth. Total bill came to ~$30. I'm nyc, these sandwiches could have costed $18 each. Will most definitely be back.",Andrea Salumeria,5.0 star rating,$,Delis
3,UP1FTD0bpaIneaqZizyxsw,Melissa K.,5.0 star rating,"This is a staple to the Jersey City area. Looking for a traditional Italian Sub with all the fixins? Fresh Mutz, roasted peppers, crunchy bread, and the best cold cuts are all served here. It's a small place, and if you didn't know it was there you might miss it.  Besides subs, you can buy pastas, sauces, salads galore and so much more. My go to here, is a Chef Salad with Mutz. They mix salami, ham, provolone, lettuce and tomatoes in this drool worthy combo of oil and vinegar. Stuff it in a container and serve it with Italian bread. ( to soak up all that goodness at the bottom) You can't go wrong whether you get it on some bread or in bowl. Friendly, funny staff and decent prices",Andrea Salumeria,5.0 star rating,$,Delis
4,iHV_Ef7WMAu6u0XNyZgvJA,Sara M.,5.0 star rating,"Like everyone else has said, this is a damn good Italian sandwich. I still have my Hoboken go-to's, but this is no doubt the best that you can find in JC.The reason this sammie is so amazing is pretty simple. It's filled to the brim with meats, fresh mutz and veggies. So basically, it's all you could want from an Italian sandwich and more. The bread is perfectly baked and the portions are massive. One sandwich is easily enough to feed two people. We ordered two for two people and it was an unnecessary amount of food. I ended up eating half for lunch and half for din.I ordered a soprano which had fresh mutz, prosciutto, sopressata and sun dried tomato. The meat to cheese ratio was absolutely perfect and each bite was heavenly. My only complaint is that the sandwich was a bit oily so next time I'd ask them to go lighter. Otherwise, this was a top notch sandwich experience.While the menu is pretty basic lunch fare (sandwiches, salads, soups, etc) the storefront is actually a small speciality grocery store. You can find a variety of cold and packaged Italian grocery items. You can tell that most of the brands are authentic Italian. It's no surprise that Andrea Salumeria is a well known local favorite and is consistently ranked one of the best (if not the best)  Italian sandwiches in NJ. It's for sure worth a visit.",Andrea Salumeria,5.0 star rating,$,Delis
5,LBdiL0R5uXPbO533yFCa5A,Ariel J.,5.0 star rating,"Fresh ingredients, quality products, personal....this is the way a sandwich experience should be. I've been here a handful of times but admittedly forgot about this place until recently when I had a hankering for a good sub (sorry, subway eat fresh). This place has a limited menu and with good reason - everything they make is outstanding. I love anything with their sun dried tomatoes or their fresh mozzarella and typically make sure that whatever sandwich I get those are both included in some way.The staff is super friendly and quick. While you wait you can look around at all of their italian imports - I would imagine this is the kind of spot you'd visit if you want to make an authentic, home cooked Italian meal because they probably have ingredients there you can't get in too many other places.so go. goooooo. it's so worth the illegal fire hydrant park with your hazards on.",Andrea Salumeria,5.0 star rating,$,Delis
6,lYKdznv9Ccfchz30v5xsQQ,Joseph G.,5.0 star rating,"I feel like a review for this place isn't even needed anymore at this point. There's a reason why this is voted #1 deli, in Hudson County every year. I love this place. It's a few streets from my job and they do deliver during the lunch hours. It is definitely one of the more pricey delis, but you 100% get what you pay for. High quality deli meat, great fresh mozz and a great Italian bread. Also, the sandwiches are HUGE! For a normal person (not me), half of one of these sandwich's would probably be filling. I get the same thing every time I order, the What's Up, basically has all the spicy Italian meats, mozz and hot peppers. I recommend this to everyone who ever orders with me for their first time because it's delicious.If you're in the area looking for lunch, this is the place to go.",Andrea Salumeria,5.0 star rating,$,Delis
7,QMuoam92eea__Z6epdaxGA,Juan C.,5.0 star rating,I have only got the buffalo chicken sandwich with mozzarella. It's a great sandwich to have for lunch. It's very filling and big. It's so fresh . Cost about $8-10 dollars This is not a sit down restaurant.,Andrea Salumeria,5.0 star rating,$,Delis
8,-ZjTqfH_FCa27cUCgycj0w,Hersh S.,5.0 star rating,"Simply amazing. That's the best way to describe it, I went in not knowing what I wanted or what would go well together, but the guys there were extremely welcoming, helpful and pretty witty too. I got an awesome sandwich, some of there fresh made mutz, and couldn't resist getting some fresh piped cannoli's too. I can certainly see why these guys are seen as the best deli in NJ on multiple lists!",Andrea Salumeria,5.0 star rating,$,Delis
9,3FLzG21QEp8nf2w481HTiA,Brett I.,5.0 star rating,"Great Italian deli that makes great sandwiches. As of this writing they're around $9 or $10 dollars. They're very big and filling and, most importantly, fresh and tasty. I love Italian meats and cheeses, and so to find a deli in the area that makes super sandwiches is like a godsend. If you're a light eater, the sandwiches are big enough to save some of it for later or share it with another light eater.Came here for lunch the other day and ordered some sandwiches.WHAT'S UP~ the spicy sandwich, with hot capicola and hot peppers. If you like spiciness, this is the way to go; I was perspiring while eating the sandwich due to the heat. It was still good, thoroughly liked it.SOPRANO~ sopressata, prosciutto, mozzarella, sun dried tomatoes, EVOO. The general intensity of the sun dried tomatoes gave the sandwich robustness, and again, the freshness of the bread, meats, and cheeses made everything a really enjoyable and tasty sandwich.Since they're a deli they sell meats and cheeses and other specialty items by themselves by the pound. Also, everything is to-go, it's not a sit-down place. I will regularly return!",Andrea Salumeria,5.0 star rating,$,Delis
