,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,fbhRFckDkMOCZFSxpOM4xA,Kimberly M.,5.0 star rating,"If you're Italian, your parents would love this place.  In the 3 years I've lived in Hoboken, I had yet to try it.  I called for a same-night reservation on a Saturday and was able to land a table with my friend due to a cancellation.  The staff are very funny and welcoming.  There were two pasta dishes I wanted, so they offered me half and half.  We both agreed our dinners were the best Italian we've tried in town. And the icebox cake is perfect!  Hope we're able to come back soon.",Augustino’s,4.0 star rating,$$$,Italian
1,92bYO8orpZ380qvyIHFEng,Melissa T.,4.0 star rating,"We came to Augustino's at 5:30PM on a Thursday (since that was all that was available for 4 weeks) before Christmas. The restaurant is tiny and I mean TINY but it gives a very welcoming, intimate vibe. One thing I noticed immediately was that the waitresses & the rest of the staff work together - at no point was I trying to flag down our waitress, because a different one was already willing to help. I was surprised to find that their wine bottles we're extremely reasonably priced. For apps we had the calamari and the stuffed artichoke, I wasn't impressed with the artichoke, but it was good. For dinner we had veal francaise and chicken Parmesan - both were very tasty. For desert we had the ice box cake and I'm still dreaming about it - this coming from a usual non desert eater.PS - no credit cards, bring ya cash!",Augustino’s,4.0 star rating,$$$,Italian
2,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,5.0 star rating,"Probably the best pork chop I've ever had in life. And I don't even like pork chops, so that's saying a lot. My boyfriend and I came in on a Saturday at 6 pm. Almost everything you've read is true - giant servings of pork chops that you won't be able to finish, cash only, and needing to make ressos weeks in advance. But I'm not sure about these other reviews saying that the staff was rude. They were super nice to us and made us feel like we had been going to Augustino's for years, even though it was just our first time there.To start, they give you some bread, as well as two complimentary pieces of bruschetta with tomatoes. This was amazing. I could have just eaten a whole plate of these for dinner. We also ordered the clams casino to start, which are clams on the half shell with breadcrumbs and bacon. Can't really go wrong with anything with bacon in it.To drink, we decided to order their $20 bottle of riesling that everyone was talking about. It was too sweet for us, but it's a pretty good value if you like sweet wine. Augustino's is not BYOB but their other bottles are pretty reasonably priced as well.For entrees, he ordered the Breaded Pork Chops with Vinegar and Hot Peppers. This came out sizzling, as two thick pieces. I ordered their special of the day, which was a Prime Ribeye cooked in a spicy tomato sauce. This was a huge piece as well, and I was only able to finish about half of it. Entrees come with a small side of pasta in marinara sauce.Tip - they charge $5 for sharing dishes so you might as well just order your own and take the rest home for lunch the next day.",Augustino’s,4.0 star rating,$$$,Italian
3,nqrS1GYyYtyvQmvPnpkyMQ,Mitch C.,5.0 star rating,My wife and I have been to all the great Italian restaurants in the city and Augustino's gives them a run for their money. We had an incredible night there with another couple who live in Hoboken. This was easily the best restaurant we've been to (Anthony David's a close second if you can't get reservations here). Before we get to the food I have to say the staff is amazing. Not sure if this is a family business but they seem like one big family. They are all fantastic and happy to help make decisions for you or tell you that you are ordering wrong. I gave our waitress two options and she knew what I needed. My breaded pork chops with vinegar and hot peppers was one of the best pork chop dishes I've ever had. Two double cut pork chops (one came home with me)!  Everyone else had amazing dishes but if you like pork chops I say go for it. The complimentary Bruschetta was great and the appetizers were good but I'd suggest skipping them and saving room for your meal and dessertPrices are also super reasonable,Augustino’s,4.0 star rating,$$$,Italian
4,Jfn08iBR3uZnFx1rqz0qTQ,Melissa W.,3.0 star rating,"This review is based on eating at Augustino's three times.  The food is outstanding and maybe the best Italian you'll ever have.  That said, the service is awful and obnoxious.  The owners, bar tenders and servers are all very aggressive and short.  If you want to make a reservation, know exactly when you are willing to eat because they have limited availability and the whole call will last less than thirty seconds.  Once the owner accused us of not calling ahead, when in fact we had called twice to confirm.You also have to understand ""Augustino's speak"".  For example, they will offer you water - sparking, flat or Hoboken's finest.  We misinterpreted the last two to be the same thing since most places around here don't offer bottled flat water.  The waitress seemed annoyed when we clarified that we were fine with tap.  When specials are listed, servers often don't mention the price but we would have appreciated a heads up that our order was nearly double the price of the average entrée on the menu.  Lastly, we interpreted ""all set"" meant that they could take our payment.  It is courtesy in the industry to always bring back change even if the customer doesn't ask for it explicitly.  We were shocked that she assumed we were leaving a 30%+ tip, especially when we only ordered two items and didn't ask for anything extraordinary.During all the meals we felt uncomfortable and uneasy to ask for anything.  We eat and get out as fast as possible.  While the food is excellent, don't think we'll be back any time soon.",Augustino’s,4.0 star rating,$$$,Italian
5,44BuUdtthGoE2ASWPhnQFg,Nicole A.,5.0 star rating,"CHRISTINE IS THE GREATEST WOMAN ALIVE. WE LOVE HER. Every single time we come here, we have an incredible experience. The food is authentic Italian food with great flavors and the space is super cozy. I highly recommend this place if you are in the area.",Augustino’s,4.0 star rating,$$$,Italian
6,tB4QbqRENQCfS4PTgbz46w,Brian S.,5.0 star rating,I ordered steak and my date ordered porkchops. I loved every second of it.  I doubt I will ever forget going.  The staff was funny and attentive.  Way to go!!! I will be back!!!!!,Augustino’s,4.0 star rating,$$$,Italian
7,sTwvPXOtsPD48t-wN4L-7g,Natalia C.,4.0 star rating,"Love this restaurant. This is a very good Italian-American restaurant. I personally wouldn't consider it authentic-Italian as it is certainly geared towards a more Italian-American audience. I wouldn't bring my Nonna here, then again I wouldn't bring her to any Italian restaurant because she'll always say her cooking is better. They serve a wide variety of Italian-American comfort food. The waitresses are extremely welcoming. Their goal is to make everyone feel like a regular and have a personal experience and they achieve that. I do wish it was BYO that would bring the concept full circle. I don't really think they need any advice though, they are always full and require reservations well in advance. If you are a guy and want to impress a girl you're dating BRING HER HERE. Come once or twice shortly before so the staff know you then when you walk in with her they will act like you go all the time and you'll look really cool. Plus the food is great quality and the ambiance is perfect for an up-scale date. Hopefully she doesn't read this post. You're welcome.",Augustino’s,4.0 star rating,$$$,Italian
8,aIcQBlI8lG1tlS7jpsWsUQ,Samantha H.,5.0 star rating,"Best Italian place in hoboken! If you want traditional, over the top Italian food this is the place! The staff is knowledgeable, courteous and pleasant. If you go, and don't get the pleasure of meeting Sharon (the Owner) then keep going back till you do. She has a contagious smile that lights up that whole place, with a heart of gold. Definitely worth every penny!",Augustino’s,4.0 star rating,$$$,Italian
9,0-k_TcvjpYfvWOw8RSa5uQ,Daria A.,5.0 star rating,Everything at Augustino's is amazing - literally love all of their appetizers! Intimate setting with a friendly staff makes the experience that much more enjoyable too.,Augustino’s,4.0 star rating,$$$,Italian
