,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,SrtKnqrn4r2JVGhBpW3Gsw,Sunidhi G.,4.0 star rating,"Among the very few healthy food options in Newport area. I have tasted pretty much everything on the menu, and it has always been ok. Nothing exceptional, but nothing bad too. They have many vegetarian options on the menu (1 Star for that). Bit overpriced for the portions but again, every place with healthy food offering is like that.I would recommend to join their rewards program. They tend to give a lot of promotional rewards for use at the store. And you can order online as well. The smoothies and bowls are pretty good. Definitely recommended!",B.Good,3.5 star rating,$$,"Burgers,, Juice, Bars, &, Smoothies,, Sandwiches"
1,a3gImZSN8l4AIgzBkqa6Gw,Supriya M.,3.0 star rating,Well i liked this place - but i have mixed feelings.I ordered the avocado lime bowl - but they did not send me any avocado in it! Salad was a little dry and not so yummy as it sounds.Ordered the avocado toast with zatar - but I could hardly taste the zatar! :/Ordered Harvest Kale salad- and really did like this one...So well - mixed feelings towards this place...,B.Good,3.5 star rating,$$,"Burgers,, Juice, Bars, &, Smoothies,, Sandwiches"
2,5x32rH8h7j7P_gIaQ6TZdw,Anna L.,2.0 star rating,"This was a difficult rating.  I've always wanted to try b good because of the concept and freshness of the food but every time I look at the menu nothing ever sounded great, so even though I love trying new things I avoided this place because the menu and pricing.  Salad and bowls always sounded better elsewhere but this time their seasonal burger sang to me.  I walked in on a quiet sat afternoon.  A few people having lunch, 3 employees working.  My low rating is for 2 reason, 1 star because this guy ( he could of been the manager, dark complexion, Mohawk hair) took out order and gave us our food but geeez can I get a what's up, hello, thank you, a smile, forget all of it, how about a look that doesn't want to make me feel like you hate your job, you life and your just miserable and I'm bugging you by ordering my lunch.  He just had this shank face. I didn't do anything to guy but really looked like he didn't want to be there and I always say if your grumpy and miserable at your job, careers, professional, service industry your making everyone else feel miserable, get out of the job if you hate it so much.  We as consumers would have a better experience at your stores and you'll probably have more customers. He also rolled his eyes when another customer was placing his order.  Ugh that look on his face.  It was disgusting have a grumpy look when your dealing w customers.  - sorry we came in. My second star is for the food.  My burger was small but good. My fries were a tiny portion and not worth the price.  The salad was ok but I wouldn't pay for it again when there's so many other options around.  I do know that when I eat happy, food does taste good so maybe it effected my tastebuds eh still the burger was good. So what do I know. I wouldn't come back here unless someone I know says something is really good here then I would go try it again. I still think the concept is great. They locally source and that's always a plus, I think management needs to change or something.",B.Good,3.5 star rating,$$,"Burgers,, Juice, Bars, &, Smoothies,, Sandwiches"
3,HIioMCfH-S0JO34LzeBVtQ,Brian M.,3.0 star rating,"Overpriced, but overdelicious. I can't even tell if that sounds like a compliment, but it's meant to be. BRUH, oven baked fries are the greatest thing since sliced bread.There's a ton of options here within the options themselves. Place is spacious and usually dead from what I have seen passing by. I think the vibe is kinda cool, commercial, but not...it's hard to explain. But the fountain drinks look like beer taps.It's chill.I liked my burger, not a fan of the price, but I would probably choose this over Five Guys.",B.Good,3.5 star rating,$$,"Burgers,, Juice, Bars, &, Smoothies,, Sandwiches"
4,2Ms9FpoHZ_tukzCzE23ogQ,Alina V.,3.0 star rating,"My friend and I came in because we were looking for a nice healthy dinner, which from the menu, this place appeared to offer. We got the southwest chicken salad which comes with lettuce, avocado, toasted corn, tomatos, black beans, corn salsa, chipotle puree and balsamic vinaigrette on the side. The toasted corn was a bit odd in the salad, but the rest was pretty good, nothing too special. I think it was a bit pricy for the amount of food you get, I definitely expected there to be more in the bowl when I opened it when I got home.",B.Good,3.5 star rating,$$,"Burgers,, Juice, Bars, &, Smoothies,, Sandwiches"
5,Y5g9Sd_25WErkQ2F_94P3Q,Christina D.,5.0 star rating,"Wow this place surprised me. My sister had suggested it since she went in Connecticut and loved the eggplant meatballs of all things. I was skeptical being a meat lover myself but always up for eating healthy so i tried it. I did order mine with chicken but it was sooo good, the whole dish was delicious. I think the tomato sauce tied it all together but i was able to enjoy every bite of this beautifully green dish. My husband had one of their burgers with fries and he enjoyed that too. He had one of their lemonades and liked it but i found all of them too sweet. We will be back again, even if its just to have the same exact things.",B.Good,3.5 star rating,$$,"Burgers,, Juice, Bars, &, Smoothies,, Sandwiches"
6,Acdwqwy3HhiWzZHC9zvLeQ,Sonia M.,1.0 star rating,"Good food, but terrible customer service. So bad... very upsetting... Corporate Managment should address the issues a lot of customers have",B.Good,3.5 star rating,$$,"Burgers,, Juice, Bars, &, Smoothies,, Sandwiches"
7,iiF30e0KAkBrJ245asQ1sQ,Ben B.,1.0 star rating,"I feel sorry for the franchisees at this place. I've ordered countless times from this specific location and at least 1 in 3 orders are wrong. I've eaten at many B.Good restaurants (I'm a fan of the chain) and I'm used to great healthy food, prepared by professionals and delivered, as I order. Whoever prepares the orders here evidently doesn't care. It's a real shame, as a place like this could do much better.",B.Good,3.5 star rating,$$,"Burgers,, Juice, Bars, &, Smoothies,, Sandwiches"
8,hr5IJ4mxQIMOEonyPo6hjg,Shruti K.,4.0 star rating,"Delicious and healthy! I tried the power bowl and my boyfriend got the eggplant meatballs with zucchini spaghetti. The power bowl was definitely the better of the two (kale, chickpeas, multigrain, egg, lemon sauce) filled me up. We also enjoyed the blueberry smoothie which tasted fresh and authentic (I hate the sugary fake fruit ""smoothies"" that other places have).Service was okay, price is a bit expensive for the amount of food, but I guess it's really more for the quality and freshness of the food. One tip - download the app and you get free sides. We got fresh sweet potato fries in addition to our meal. Overall, great healthy option in the area! Plus you can always go shopping afterwards :)",B.Good,3.5 star rating,$$,"Burgers,, Juice, Bars, &, Smoothies,, Sandwiches"
9,C9aCmW0uF9VDkDH6vaiFcw,Jenna L.,4.0 star rating,I'm trying to eat healthy so stopped here and picked up the spicy avocado kale bowl with grilled chicken. It was so so good! I'm not a huge fan of kale but this was not chewy and well cooked. Also their chicken was really tender and well seasoned. The portion was pretty big- i couldn't finish my bowl. I can't wait to come back to try other items!!,B.Good,3.5 star rating,$$,"Burgers,, Juice, Bars, &, Smoothies,, Sandwiches"
