,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,pKA94qM-DNtXTM-uRHC5zw,Lindsay F.,4.0 star rating,"Bagatelle is not the type of restaurant that I typically frequent.  Sure, I enjoy French/Mediterranean cuisine and copious amounts of rosé just as much as the next person, but more often than not, I'm having a 'fat girl' day and I'd prefer *not* to be surrounded by models and their entourage when I'm trying to get my grub on.  Even the employees at Bagatelle are flawless!  Or being sprayed by champagne during one of those infamous weekend 'brunch parties.'  Call me boring, but I'll take my omelette with a side of peace and quiet, thank you very much.  Hold the Hollandaise and the live D.J.  All of that being said, I recently enjoyed dinner at Bagatelle sans a live D.J. set and was seated a good two tables' distance from the next gaggle of young models.  It was quite a pleasant and delicious evening!  My point?  Bagatelle has something for everyone, even your grandparents me!  Just do your homework prior to your visit to make sure you're a) not about to walk in to a party (if that's NOT what you're looking for) or b) lack thereof (if that's NOT what you're looking for).     Tuna TartareWhile most versions of tuna tartare pale in comparison to Chef Jean Georges' famous rendition at Nougatine, Bagatelle's interpretation can stand on its own.  The trifecta of textures - ripe, buttery avocado, crispy and salty taro chips, and cubed pieces of fresh, ruby red-hued tuna - flirt so compatibly with one another that you will find yourself enthusiastically alternating between bites of tuna and taro - tuna and avocado - avocado and taro, etc. - kissed with a sweet and savory soy dressing. Gnocchi à la Parisienne There's gnocchi.  And then there's Parisian gnocchi.  Sounds way more fancy, right?  It is!  If you're familiar with a profiterole, the same dough is used to make Parisian gnocchi: pâte à choux.  Hint, there are no potatoes in the French version of this recipe.     I'm not going to go as far as to say that I prefer the French rendition to the Italian, but damn.  Nothing quite compares to these perfectly-cooked pillows of warm dough that effortlessly envelope the inside of your mouth with such a rich, savory 'carb elixir.'  Paired with a buttery cream sauce infused with a mild hint of truffle, the dish is finished with salty Parmesan cheese.  C'est magnifique!  Apple GalaThis is one of those dishes that, upon arrival, is so visually unexpected and artfully stunning that it takes your breath away.  Quite literally.  And best of all?  It tastes great, too!  I can't quite describe this masterpiece much beyond the notes on the menu: ""Mascarpone mousse, apple filling, white chocolate, sablé Breton, fresh fruit, vanilla ice cream.""  Bottom line: If you're down with apples and willing to shell out $16 for a dessert, then don't even think twice about ordering this Instagram-worthy morsel of edible art.",Bagatelle - NY,3.0 star rating,$$$,"French,, Mediterranean,, Beer, Barawsuvqvreabrdbevr"
1,WuuOPTGsUTIBmSMV480IrA,Jasmin J.,2.0 star rating,"I went here for a brunch this past weekend with a group of friends. The food alone is at least 4.5 stars. Everyone at my table ordered something different (i.e. Burger, Gnocchi, Lobster Mac, Crabcakes, Disco Fries). Everything was delicious. The seasoning on the food is God-tier.However... My 2-star rating is strictly based on the service we received. Our 2:30 reservation was made a month prior to us being there. We had to wait an hour and a half to be seated. While we stood (uncomfortably, btw), we kept being pushed around very rudely by someone who I assume was management. As if it was our fault that we had no place to go. One thing about this place that we realized was, they absolutely do not stay true to their reservations, which is very unfair. They overbook, and then refuse to make people leave for other guests who planned to come there. I understand that people spend a large amount of money per table, but its inconsiderate to people who ALSO want to spend money, that are forced to stand for long periods of time, just to be rushed through their meal, so the restaurant can get them out in time to set up for dinner. I don't recommend this place for brunch. There are other restaurants that are way more organized, that will provide you the same exact experience. For dinner, however, I would hope this place has a different attitude, because I genuinely enjoyed the food and would love to have it again.",Bagatelle - NY,3.0 star rating,$$$,"French,, Mediterranean,, Beer, Barawsuvqvreabrdbevr"
2,i5ToimuO1870AdogqTD-gw,Tori W.,2.0 star rating,"I ate here on my first night in NY before going out with friends. I do not come to NY much, so I trusted my friends' opinions when they said this place was good. It was a Thursday night and they were blaring bad 90s music; it was so loud I had to shout to even have a conversation with my friend! I did enjoy the visual atmosphere, they were playing an old movie on a projector and the decor was nice. We ordered pizza, risotto, truffle gnocchi, and chicken. Everything was very subpar. If I had to choose the truffle gnocchi was the best dish but still ehhh I've had better.",Bagatelle - NY,3.0 star rating,$$$,"French,, Mediterranean,, Beer, Barawsuvqvreabrdbevr"
3,tgatBUab8oqkOFzfdzlnNQ,Peter D.,2.0 star rating,"Got here a few minutes before my wife, and sat by the bar where I was pretty much ignored. She was a moment behind me, which worked out and prevented more awkwardness.We were seated in the rear area, which was clearly the spot for those there for restaurant week, and not fresh from the runway or between trips to Europe. Crowd was the sterotype you hear about - the euros sniffing derisively at everything, elitist families complaining about their table (especially those seated in viewing distance of us RW rabble, and - ""these tables are square, can we have it ROUND! [yes this was a discussion]), and of course the tables of models. Food was very good, the Scottish salmon was prepped to bring out the specific flavors and textures, tasted just as when I had it in Scotland last year. The Shaved Brussels sprouts were salty but not bad. The tuna tartar was very good. Wine list is extravagant, but I would go all out on a vintage at a place like Tribeca Grill, not here. Desserts were very good. Music was subpar and the artwork tried too hard. Waiters were ok. All in all $120+ for Restaurant Week 'value' and still we felt ripped off and unwelcome. There are numerous other places around the city that I have spent 2-3x as much and had a better experience. Will make the effort to never return.",Bagatelle - NY,3.0 star rating,$$$,"French,, Mediterranean,, Beer, Barawsuvqvreabrdbevr"
4,yNoNTG1TzNjOZLOGsjamCg,Alejandra E.,5.0 star rating,"Love this place, when you want to have a good time just show up here. Brunch its always lit up and if you are not having a good time then there is something wrong with you lol. It can get very loud but everyone is just in the mood of having a good time. It is a great experience.",Bagatelle - NY,3.0 star rating,$$$,"French,, Mediterranean,, Beer, Barawsuvqvreabrdbevr"
5,vb4zYkbgT2lkasxiLzCtRw,Nadia S.,3.0 star rating,"This review is for both the food and the atmosphere. If I were to rate just the food, I'd give Bagatelle a solid 4 Stars. The waiters are really nice and attentive, even with the hustle and bustle of brunch. But the crowd (try hards) and the music brought down the experience for me... though it is a truly New York experience and something I recommend you try if you're visiting. Plus, the food is GOOD. I ordered the poached eggs with smoked salmon on avocado toast. Was cooked well but could have used a little seasoning or hollandaise sauce. The matcha French toast looked a little unsettling because of all the whipped cream and the green matcha, but it was actually QUITE delicious. Super soft but not undercooked and just flavorful and sweet. I would definitely order it again. The XXL pancake was a little dry, but not bad -- not a traditional pancake --- more of a sweet bread. And the truffle pizza was great. But the music here for Sunday brunch is super redundant (and this could just be my tastes). They play a lot of  EDMish beats with and an MC (though he has a nice voice) chimes in here and there to sing some lyrics and makes shout outs.... felt kind like a bad Bar Mitzvah.",Bagatelle - NY,3.0 star rating,$$$,"French,, Mediterranean,, Beer, Barawsuvqvreabrdbevr"
6,vKZOrUYaBKMpi7hdadUukA,Tori L.,4.0 star rating,"I wish I could give Bagatelle to different ratings: one before 3pm and one after 3pm. TOTAL 360. But by first impressions, they didn't seat us for our reservation for almost 30 minutes...With the lights on, this place is a swanky European bistro. The food is top-notch and all you could want from a brunch. Our table of 8 shared a massive cocktail pitcher with a bajillion crazy straws, which carried us through the transition of closing the curtains, the bar filling to the brim with club-goers, and bringing out the DJ until the lights dropped--along the bass! With the lights off, be ready to fist pump while you chew.Although honestly not totally my style, going to this brunch club is a great one-of-a-kind NYC experience! Just be warned: prepare to spend SO MUCH money and watch out for the firey champagne-wielding two-headed waitstaff ;)",Bagatelle - NY,3.0 star rating,$$$,"French,, Mediterranean,, Beer, Barawsuvqvreabrdbevr"
7,Yr-2z-yIapd9lp_tzCAVlQ,Sheri S.,4.0 star rating,"Great brunch, great service, great location so get ready to spend money when you go here! - expect to spend at least a hundred dollars per head.This place is larger than life! I had the fortunate experience to go here for their European inspired brunch extravaganza!!! Boy or boy was it worth it?!! -Boozy Brunch on another level.I had the Beef Short Rib Croissant with scrambled eggs and potatoes. For the table, we ordered a Champagne Sangria to share, which was delicious!!! The food was as memorable as the overall experience at Bagatelle.  The banana cheesecake was just right. The combination of a lovely aesthetically appealing venue and the way the venue changes into a day party was a fun experience all around.Definitely a unique experience worth trying at least once!!",Bagatelle - NY,3.0 star rating,$$$,"French,, Mediterranean,, Beer, Barawsuvqvreabrdbevr"
8,GVGLhFtAvD7u2qOqB03OgQ,Brittni D.,3.0 star rating,This place is a blast to celebrate any occasion.  I went for my birthday. I booked a month in advance for 6 people. The secret to getting a reservation is on a Saturday is to call and book or go directly to their website. You can't book on Saturday's on open but you can directly from their website. The dj is so talented. He performed saxophone solo that was just absolutely amazing.  The service was slow but the staff was polite and helpful so it made up for this shortcoming. The food was not great. Looks better than it tastes. Do not order the lobster roll- disgusting ......the strawberry margarita bowl is yummy...the crab cake is one ill re order.They perform special shows for tables the purchase bottle service . The cost for this is laughable. $1700 to $2200 - I recommend riding on the coat tails of another table that gets the service.,Bagatelle - NY,3.0 star rating,$$$,"French,, Mediterranean,, Beer, Barawsuvqvreabrdbevr"
9,KyEB3FdC0rU3Hc7Ky0v0Dg,Laura S.,3.0 star rating,"There is truly nothing like bagatelle. This is like experiencing the most bougie, but also ratchet boozy brunch at the same time.We waited over an hour despite having a reservation that we made a month in advance for my friends bday. We got compensated with a round of free drinks so that was nice.Once we finally got to our table, it definitely got lit. The food was actually pretty good. I got the crispy chicken sandwich while my friends tried the gnocci, pizza, pasta, etc. Service here is questionable, but get a few drinks in you and you'll stop caring lol4 pm is when the real party starts and they start all their little ""shows"". They close the curtains, turn off the lights, and let you start dancing on the chairs. Definitely something every New Yorker needs to experience at some point!The",Bagatelle - NY,3.0 star rating,$$$,"French,, Mediterranean,, Beer, Barawsuvqvreabrdbevr"
