,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,qgDKmrZlhkg2xw2Cds5RMQ,Harold G.,5.0 star rating,"Unique take on Mexican, almost decadent. As a local, I order and dine here ever week or two and it never disappoints. Baja special is the thing to get... then siesta.",Baja Mexican Cuisine,3.5 star rating,$$,Mexican
1,bLPbuTUXrVk7WdbgfwHwJw,Zak W.,3.0 star rating,"This was definitely an A-ok place imo. I think being a Texas girl where there's an abundance of Tex-mex and authentic Mexican food, I may be a little more critical on what's expected flavor wise. They definitely have all the standard Tex-mex food options: quesadillas, fajitas, enchiladas, etc. I took off stars for flavor. It was a bit bland. Definitely not a bad restaurant by any means. Their lunch menu was great price-wise. I'd definitely come back for happy hour where magaritas are $5. My partnered orders the steak quesadilla and loved it. Furthermore, the waitress that served my table was super nice and attentive. She did a great job at not being too overly attentive but attentive enough that we didn't feel she abandoned us. I recommend this place.",Baja Mexican Cuisine,3.5 star rating,$$,Mexican
2,pcsM2RK66c0kxSn4C_jqaQ,Amber B.,4.0 star rating,"I love Mexican food! I also love frozen margaritas! So, if you're anything like me (and have good taste) Baja Mexican Cuisine is def a place that you want to visit. Located a few blocks from what people would consider ""downtown Hoboken"", this place surely won't disappoint. My bf and I came here and enjoyed a delicious meal alongside two frozen margaritas each. Every single thing was delicious and our bartender (I really wish I got her name) was awesome and very attentive despite her being the only one working at the bar. Happy hour is only served at the bar and not outside which kind of sucks when you want to be in the good weather. You'll end up paying $11 for a frozen margarita if you sit outside as opposed to $5 if you sit at the bar. So, that's really my only complaint about this restaurant but come in, sit at the bar and have a good time!",Baja Mexican Cuisine,3.5 star rating,$$,Mexican
3,60xT8IJErBIOe1q8dGfIJw,Christina D.,1.0 star rating,"Ugh, the drinks are week and the food is boring.We came here for happy hour and there was nothing happy about it!  Our margaritas were poorly made, it was like you could taste the tequila while there not being a lot of tequila...not sure how that is accomplished but somehow they figured it out.We ordered a couple appetizers and they were terrible as well.  Ordered the guacamole and chips and the guac was AWFUL, we actually didn't even eat it because the texture was like baby vomit and it had no flavor or seasoning at all.  I think I've actually had better pre-packaged guacamole!!!We also ordered the jalapeno rellenos, which were so so...but it's only so so because it's stuffed with shrimp and cheese and fried!  How can you go wrong when you fry cheese? We could NOT get out of there fast enough...every time I pass by that place it makes cringe.  It's a real same because I LOVE LOVE LOVE Mexican food and they are so close to my home.  =(",Baja Mexican Cuisine,3.5 star rating,$$,Mexican
4,U_UvZKuqTV35_R_QaUsVPA,Christina G.,4.0 star rating,"needed to satisfy a fajita craving, and through my years of living in the area still hadnt visited baja mexican, this was gonna be the night!we were able to get two seats outside on the small patio area. it was a bit tight, but worth it. good people watching and the weather was perfect. we immediately started muching on the yummy complimentary chips and salsa. the chips here were thin, crispy and salty. they held up well to the salsa. they have a pretty extensive drink menu, mike had a glass of cab and i stuck to water. for food i started with a cup of Caldo Xochil since my throat had been bothering me. very tasty with a ton of fresh avocado. i had bistec ranchero for my main. mike got steak fajitas. huge portions!! my steak was super tender and deliciously seasoned. i was also able to save half of it for a later meal. definitely planning to come back here. the menu was extensive and had tex mex options too (flautas, chimichangas), something you dont usually see for the area. service was very friendly and stayed on top of things.",Baja Mexican Cuisine,3.5 star rating,$$,Mexican
5,OzHnHww9TcxF_zB5nCT0hA,Aprilann L.,3.0 star rating,"Celebrated my best friends 50th birthday at Bajas last night.  We made a reservation for 7:30 and were seated right away.  It was hard to find parking so I recommend that you park in a lot.  They used to have validated parking but not anymore. Our waitress was friendly and very attentive.   She took our drink order and supplied us with a good amount of their complimentary salsa and chips.  I loved their salsa.  It had just the right amount of spice.  The chips could have been better.  I found them to be a little on the stale side.  It was a birthday celebration so we started with a large pitcher of red Sangria.  They are not shy about adding alcohol to their cocktails.  We all enjoyed the Sangria very much.  We decided to order the Fajitas for two but it could actually feed four.  Lol. It had a everything but the kitchen sink in it.  Various  types of shrimp, chicken and beef.  However, quantity does not trump quality.   I was very disappointed with this dish. Most of the food with the exception shrimp was cold.  I like when the  Fajitas come out on sizzling plates.  The chicken was dry and tasteless.  The flank steak was tender but it was cold.  I don't know if this dish was reheated or just sitting out too long before they brought it to our table.  I was also disappointed in the amount of vegetables.  It was mostly grilled onions and hardly any peppers.  The two sides dishes rice and black beans were good but for the $62 price the entire dish should have been perfect.  I've had this dish in the past and it's always been very good.  I haven't been to Baja's in about 10 years and I was really looking forward to having dinner here.   I was visiting from Florida and my experience wasn't as good as I remembered it to be.   With so many good Mexican restaurants in the area I don't think I'd return.",Baja Mexican Cuisine,3.5 star rating,$$,Mexican
6,wBAUeDM0l2ht9k0H9K63gA,Ashley C.,5.0 star rating,"First time here today and we were blown away! Not only was the food delicious (ceviche ranked in the top 3 I've ever had and the fajitas were amazing) but the service was beyond stellar. I'm one of those people that find customer service to be just as important, if not more, than the food. If you treat me well, I'll be your most loyal customer. With that being said, you can't find better customer service unless you're at a fine dining restaurant dropping around $200. The waitress was incredibly attentive, checked up frequently, never had an empty cup of water. But what blew it alway was either the manager or perhaps the owner? I should have asked. This guy was the sweetest man ever! We ordered sopapillas (which I can't believe they even serve because I haven't found any place on the east coast that actually knows what this amazing dessert is!) but wait, there's no honey! Only a true southerner like me knows you can't have a sopapilla without honey, it's like fries with no ketchup. But a few minutes later, the sweet gentlemen comes up with a brand new container of honey! I asked him where he got it and he said he ran across the street and bought it for me! Are you kidding me? How amazingly nice is that? Who does that? I was blown away. It's the little things that make a great experience. We'll always remember this place. I wish all businesses were this amazing towards their customers. Just stellar service and a great time!",Baja Mexican Cuisine,3.5 star rating,$$,Mexican
7,T4bK1nxXUTxSa0g5VUq3SQ,Erika S.,4.0 star rating,There's not much to say about this place. But their food was pretty good and they don't hold back on the liquor. It's almost a mix of a sports bar and an actual restaurant. I have a little trouble marrying the two. The staff is really friendly and sweet and when we asked if they could take pictures of outlet group they didn't roll their eyes lol. I'll be back.,Baja Mexican Cuisine,3.5 star rating,$$,Mexican
8,j7nF2YkIVlKPsgTgOpeHfQ,Matthew L.,2.0 star rating,"I can safely say this will be the last time they get my business. I've gone in the past to dine in and the food was OKKK but in my opinion way over priced. My wife and I decided to try take out. She got chicken nachos and I the steak quesadilla. The nachos looked horrific and was just a cold blob of cheese, a few nachos, and some chunks of grilled chicken. Overall just a cold soggy mess. My quesadilla was just depressing. Not a bad amount of steak but is it two much to ask at $10.95 to get a full tortilla on the top and bottom. I've worked in the food and service industry and have to say this was an extreme let down. Shame on overly priced small portioned Mexican food with not a lot of flavor. Sorry but there are better spots in town with better portions and better tasting food.",Baja Mexican Cuisine,3.5 star rating,$$,Mexican
9,38gMT4gBp_SLeKQt9TPvXw,Pooja P.,3.0 star rating,"ordered a sizzling bean dip and it was legit refried beans with melted shredded cheese on top. not good and def a deceiving name. asked the waitress if the shrimp enchiladas came with a sauce because i like enchiladas only with sauce, and she said it has a tomato sauce on top. when received, no sauce. had to ask for some on the side. mediocre spot for a quick mexican fix but nothing great.",Baja Mexican Cuisine,3.5 star rating,$$,Mexican
