,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,RYrl2RPPUOyoZfbFiG9Qiw,Audrey K.,5.0 star rating,"First off, overall experience was great! I'm such a Cookie enthusiast that I had to try. The service was quick and efficient. When I first opened the box, I could immediately see that these were quality cookies and that they were baked with care. Lol some explanation huh? haha. But these cookies were fresh, smelled incredible, and just gooey inside (which let's be honest.. that IS what you want in a cookie). Team gooey and dense, not crispy and thin. The sizes of the cookies vary by flavor, but that's not a big concern because the taste is on point. They are pretty big in my opinion. would definitely recommend. so good!Must: (if I had to choose)-S'Mores-Kitchen Sinkbut they're all great",Bang Cookies,4.5 star rating,$,"Bakeries,, Desserts,, Food, Stands"
1,K-Jw6Qu_tpIOuOkvL5dChg,Bonnie P.,3.0 star rating,"These cookies although quite nice have two major issues, the first is that some are undercooked and the second is that it's way over priced. Hipster prices are just outrageous these days, one cookie, although large, costs $5?!?! What the heck?! They have a few great flavors and I bought all of them to try but wow that's so expensive! Also all of them were undercooked which might be there style but I think I got a tummy ache from them. I do have to say the chocolate sea salt was is good, all the others aren't that great. Would probably not return as it's just too expensive! You could literally buy an entire meal at one of the local restaurants for the same price like it's just not realistic. I can't say the quality is justified cause it's literally basic cookie dough ingredients nothing to be amazed by. I support local businesses but this one needs to support regular folks too, $5 for one cookie which is good...not great, is not cool!",Bang Cookies,4.5 star rating,$,"Bakeries,, Desserts,, Food, Stands"
2,ZAj-SDiLyhlxLw3iV6vo3Q,Jazmine B.,4.0 star rating,"Expensive, but what do you expect from an almost-but-not-quite Levain or Chip? And fortunately, the bottom line is that it's actually kinda worth it.It's a pick-up and takeout place, so don't expect seating. They compensate for that with the hip neon writing on the brick wall.Service is good. If you buy a cookie that is packed in a bag, they will take it out and reheat it for you. There are also a few samples of broken cookies for you to test out the cookie types.",Bang Cookies,4.5 star rating,$,"Bakeries,, Desserts,, Food, Stands"
3,oerqYfN7x5yfFWCvL7JNXw,Rachita B.,5.0 star rating,"Omg! These cookies are the holy grail. Every flavor I tried was amazing, but I'm a sucker for the chocolate chip walnut! It felt healthy cuz of the walnuts (haha). If you eat these at home, pop them in the microwave for about 15-20 seconds, and they will come out so gooey - like you just baked them! Not to mention, you home will smell delicious for days! I also recommend trying the triple chocolate, if chocolate if your thing, because it's so decadent that it reminded me of a brownie! Insanely good!I can't wait to go back to visit Bang soon!!",Bang Cookies,4.5 star rating,$,"Bakeries,, Desserts,, Food, Stands"
4,Gt6Zt96iuo_CmRNlNRfrqw,Sandy J.,4.0 star rating,My coworker bought me an assortment of 6 for my birthday. They were really good.  I have to say my favorite was the triple chocolate chunk I think.  I like the fact hat they are organic and have good ingredients!,Bang Cookies,4.5 star rating,$,"Bakeries,, Desserts,, Food, Stands"
5,ixqqv1BxTsNGPWiI5eyUgg,Samantha C.,5.0 star rating,The most amazing cookies I've ever had. Simply put the white chocolate macadamia is my favorite. Should I get into how perfectly blended the sweet and salty is with the sea salt chocolate chip? Or maybe how the chocolate chunk to walnut ratio is amazing. Rest In Peace to any thought of a diet. Will be back over and over. The delivery minimum is 6 cookies I think...but now that I've had a taste it's probably soooooo worth it. Too good.,Bang Cookies,4.5 star rating,$,"Bakeries,, Desserts,, Food, Stands"
6,V-_FscFKibEqEZD4jklrQA,Rebecca R.,3.0 star rating,"Unfortunately overhyped. Jersey's version of Levain. Underwhelming. Decent, at best. Having never heard of Bang Cookies before, I saw these folks on Pix11 one morning and was blown away that they used organic ingredients. Placed an order the same day and received an offer for a percentage off as a first time welcome, which I thought was a nice touch.  I had an issue with the code and sent an email to Bang however they did not answer.  It's been months and I still haven't heard back from them.  At $4.50 & $5.00 a pop, they really should have answered. Delivery was prompt. The tracking info was not accurate online but I was pleasantly surprised to find my package delivered two days later. The cookies are each wrapped individually in a clear, glassine wrapper. We had:Expresso Chocolate Chunk - so gross. Heavy, heavy bitter expresso flavor. Not much chocolate flavor.  ($5.00)Oatmeal Raisin- decent. Reminded me of a thicker version of the ones McDonald's used to carry ($4.50)Walnut Chocolate Chunk - I had high hopes for this one but the flavor fell short ($4.50)Triple Chocolate Chunk - Eh.  ($4.50)Peanut Butter Chocolate Chunk - basic. May have been better if made with dark chocolate ($4.50)Macadamia White Chocolate Chunk - this was the best one out of the bunch ($4.50)S'mores - the taste of this one was very generic. Overly sweet and tasted burned.  Not sure that any organic ingredients are used in this one ($5.00)Poor customer service paired with a basic product. I wouldn't order from them again.",Bang Cookies,4.5 star rating,$,"Bakeries,, Desserts,, Food, Stands"
7,WGiy4RGk5AjZ7daP_P4TAQ,Dairon M.,3.0 star rating,Delicious but significantly over priced. I'm all about supporting local businesses but the particular area it is located in does not reflect the sales price.,Bang Cookies,4.5 star rating,$,"Bakeries,, Desserts,, Food, Stands"
8,OCGy55HbjCAlUooWJytDjg,Danita D.,5.0 star rating,"My friend turned me on to these cookies and I'm hooked. I ordered and had them delivered for the first time today. Delivery was confirmed professionally, delivered in a timely manner. And most important they were delicious and devoured shortly after the bag was turned over to me. Great job!!!",Bang Cookies,4.5 star rating,$,"Bakeries,, Desserts,, Food, Stands"
9,pDrBViSAtuh7bTY9XBj_Yw,Christine J.,5.0 star rating,"Very happy with my overall experience at Bang Cookies! I bought a box and each different cookie was fresh and delicious. My favorite is their peanut butter. It's professional quality with homemade taste. Worth the price.Their employees are very nice as well, super friendly with great, fast, and efficient service. I'll definitely be making a trip back to here very soon.",Bang Cookies,4.5 star rating,$,"Bakeries,, Desserts,, Food, Stands"
