,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,chSaY82eYUVVXVpUJkLxGA,Theresa S.,5.0 star rating,"The BEST!!!Full disclosure, my husband and I order delivery from this location 3+ times a week. The food is fresh, organic and delicious! Definitely an upgrade from our previous delivery tendencies. They have an amazingly wide selection of offerings, each tastier than the last. And we love all the delivery guys, just the nicest, coolest guys (whoever does the hiring knows what's up!)Thanks you for being the nicest and always keeping us so well fed!",Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
1,Vavtd5JwMKYgxYz-X3Uyew,Huw P.,3.0 star rating,"I have been here a few times over the last few years and found it to be hit and miss, my advise is to stick with the basics, all the exotic meats sound wonderful but the reality is slightly different, the standard burger is good as are the fries, I have had the chicken sandwich too,  it found it greasy it's fried chicken so I admit this is to be expected but ....I wish they did some healthy options a grilled chicken sandwich for example.I will probably go back for lunch with people who are not adventurous eaters but do t find myself drawn there, BYO with a liquor store opposite is a big plus.",Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
2,RIhACn-oA3lxRBWst1_L1w,John M.,5.0 star rating,"The sweet potato and wild rice burger is excellent.  What makes it special is the avocado basil pesto spread.  Very tasty. It does not come with a side so if you you want fries, you have to order separately.  I ordered the sweet potato fries.  Overall good food.  Service can be a little slow. Just be assertive it things should move along.On my second visit service was so slow I had to dial back the rating. Three different groups received their food before even though I arrived and ordered before them.Third visit things went back to normal. The sweet potato and wild rice burger is still Awesome!  Excellent service now. Order for dinner was taken by HENRY right away and with a packed house I received my food very fast.  Bare burger is back on my rotation for dinner and lunch!",Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
3,6cu3Uor_enj9y0WYz61jPA,Asish P.,2.0 star rating,"Burgers and some of the other food items are ok... but a number of times they just seem to forget to give you everything you order.The most recent take out order, they left out one of the burgers.  Called them and there was nothing they could do... they wanted me to drive 20 mins back and pick up the burger...  when I finally spoke with a manager.. they said order through Uber eats and we will credit back the cost... They credited back the cost of the sandwich.. but left me with the fee from Uber eats.Won't be returning to this location anytime soon.",Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
4,cOMp1hIiv2ELu7_ibYs3xQ,Monica A.,5.0 star rating,Yes yes yes! Impossible burger will blow your mind!Regardless if you're vegetarian or vegan you must try it. It's delish!,Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
5,KtV_QkTMJ2mq2ayrCcUNLw,Nicole S.,5.0 star rating,The best burger and onion rings you will ever have. Seriously cancel your afternoon plans. Life is about to change.. and don't forget to get the onion rings.,Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
6,0NEKuyMU6yhjHwx8_iEPVQ,Holly M.,4.0 star rating,"Great fried chicken sandwich, fries, and onion rings. But my friend was served a cold burger missing some toppings that were listed on the menu for that burger. I enjoyed my chicken sandwich and I thought the strawberry hibiscus ice tea was amazing!! Friendly service and cool decor/ambiance. Would give it another try. .",Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
7,dv6QAMjl-fq-S3ck9OPY_w,Esther S.,5.0 star rating,"This place closes at 10pm and my friends and I came at 9:30pm... so I am sorry for being one of those customers who come in last minute.However, the staff was still pretty friendly and nice considering that we came in so late! It was a bit visible that they weren't super excited to have a group of 5 come in right before closing, but our server was very amicable and attentive to our needs.We ordered our foods (I just got dessert because I wasn't too hungry). I tried a bit of my friends' burgers and all I can say is that the burger is pretty sizeable! The french fries were extremely delicious.SHAKES ARE A MUST. YOU MUST MUST GET A SHAKE.We ordered small ones, but even the ""small"" shakes were giant! And it tasted like it was made of a in-house, homemade type of ice cream.They used the same type of ice cream for the dessert I got (I think it was called the sammy) which was basically a big ice cream cookie sandwich. It was freaking delicious, by the way. Cookie was fresh and warm, and the ice cream was delicious.Can you tell I really liked their ice cream and shakes?Anywho, at the end, when we asked for our bill, they had told us that their system shut down and that we would be getting our meals for!!! free!!!!!!!But we felt bad and dished out all the cash we had on us anyway (even though it probably wasn't enough to cover the actual bill...) and left. Thank you for the awesome experience and wonderful service!!",Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
8,iHV_Ef7WMAu6u0XNyZgvJA,Sara M.,4.0 star rating,"First time at the Hoboken location! Bareburger is and has always been one of my favorites. I wish that there was one closer to me in JC, but for now the Hoboken location will have to do. Ironically enough I almost never order a burger. Their fried chicken is just way too good. I usually order the chicken on a sammie or keep things really simple and order the chicken fingers. This time I went with an order of the fingers. Although the price tag is a bit high for chicken fingers (12 dollars) the basket comes with enough to feed two people and a trio of dipping sauces - BBQ, ranch and horseradish. The chicken fingers are always extra crispy and golden fried to perfection. To drink I went with a strawberry lemonade. It was sweet and delicious and came in an enormous glass.  Bareburger never lets me down. The service is always pleasant and the food is consistently fresh and delicious. Between salads, sandwiches, burgers and sides there are plenty of options on the menu to satisfy all. I was here with a vegetarian who was overwhelmed by their veggie options, which is saying alot for a burger joint! If you have never tried Bareburger before then definitely make it a point to.",Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
9,hRZXgBzbF8thUUUAcL-Vcw,Rachel A.,4.0 star rating,"I've ordered from this on UberEats, and have enjoyed it both times. I've only gotten the chicken sandwiches and both tasted great, even as to go. I especially enjoy the sweet potato fries. They're not disgustingly soggy as most fries are when you get delivery. If you're reading this review because you're wondering if you should order this, just do it.",Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
10,MW7K5I06XMgBjm9IG3fEGw,Kels M.,1.0 star rating,"Delivered oily, overcooked sweet potato fries. Added pic of the fries on their profile",Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
11,wKKZ8yKwfEntzNaivF0baA,Sofia D.,3.0 star rating,"Not the best burger I've had honestly. It was mediocre. The restaurant needs to hire more servers- as there was just one assisting the entire location. I do not think I will be going back to this place, but it was an okay experience.",Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
12,B-U7fN__cwJ45wbtihaHhQ,Fae S.,2.0 star rating,"Second time at a bareburger joint, but it was my first time at this location. Even though, the ratings were not that high I still decided to check it out for myself. Unfortunately, the service was very slow and the employees were not attentive at all. There were maybe four people in the restaurant and it took forever to get some utensils and napkins. Also, when we wanted to leave we had to wait a very long time for the check. I would suggest checking out their location in Montclair for a better bareburger experience.",Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
13,sdkWib964Wug9eWWQb6byg,Jeff D.,4.0 star rating,"There are a lot of places to get a good burger in Hoboken but Bareburger stays in our rotation.  One of my top five out of the new wave of fast casual burger chains.  Skip the exotic stuff.  Stick to the basic burgers, fries and fried chicken Sandwiches.  The chocolate shakes have actual chocolate pieces at the bottom which are money.  Not a fan of their bacon, though.  Too thick and chewy.  Good kids menu and kid friendly vibe.  Service is a little slow so don't expect to be in and out of there in a hurry.  Take your time and savor the flavor.",Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
14,BuypMeNEcAqBgqhzKLnhuw,Becky H.,4.0 star rating,"I love Bareburger, they have an incredible black bean and corn veggie burger and delicious sides. Only downfall is their delivery - it's always very slow, the food is usually cold and if you've ordered a sauce on the side (which you pay for, though around 55¢) it's a flip of a coin if you'll receive it. All in all, the food is great, but eat in or pick up for the best experience.",Bareburger,3.5 star rating,$$,"Burgers,, Salad,, American, (Traditional)"
