,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,ykskComhbdAQoC0pvYyFtA,Dominic M.,5.0 star rating,So pizza was good.....sausage grinder was on point!  Best sandwich in the area.  Even better biancamano's in my option.  Both are crazy good.Pizza slices are legitimately HUGE and staff extremely nice and friendly.  Good beer choices and great hours for late night runs.Customers seems to love it and like to welcome you with jokes about Greeks and Italians!,Benny Tudino’s Pizzeria,3.5 star rating,$,Pizza
1,toXVYEH84-ymr_ggCrKMNA,Matt K.,3.0 star rating,"Great plain slice - terrible, unfriendly, impersonal and unsanitary service. I always walk by and frequently pick up a plain slice for 3$ (or 3,50$, depending on the day and who I hand my money to). The flavor, consistency and portion size are great. You're lucky if somebody looks at you tho, nobody says Hi and then once you've ordered, suddenly 2 other guys ask you ""Yeah!?!"" impatiently, although u had just ordered. Slice is usually thrown in the oven with the same bare hands that just handled my cash. When I ask ""to go"" you won't be given a box for a single or two slices... you have to insisit. I'm a foreigner and walking into this Albanian pizza restaurant, I always feel very foreign and out of place... probably because I don't speak Albanian.",Benny Tudino’s Pizzeria,3.5 star rating,$,Pizza
2,jV3HmQ-bMAG_wR3X_IVB0A,Art J.,4.0 star rating,"Rated only on the plain cheese pizza slice for $3.50.When I am in Hoboken, I have to stop here for my fix of pizza. Their regular pie is 32 inches wide. When you go up to the counter to order your slice, this is what you'll get.The slice is large.The slice is thin crusted.The slice has a good balance of cheese & tomato sauce.The slice is better when you add Oregano to it. The slice is then flavorful & tasty.The slice is hot if you get one that just came out of the oven.The slice is priced a bit high.Btw, I always have to get a second slice regardless if I am still a bit hungry or full just because, its that good. Btw it's BYOB.",Benny Tudino’s Pizzeria,3.5 star rating,$,Pizza
3,byL4t_9J80uOx8ZAgfcv9Q,Amy M.,4.0 star rating,"Seriously the biggest pizza I have ever had! We decided to try something fun & new and we weren't disappointed! The pizza was seriously huge and it was good! The service was fast too! The pizza started at $28 and each topping was $6, we got 2 toppings so $40. It was definitely worth it! The pizza came in 8 huge slices so plenty to eat too. I was full from one slice!",Benny Tudino’s Pizzeria,3.5 star rating,$,Pizza
4,FCjbnOfTcA5OCauoLrKVvA,Jeanine M.,4.0 star rating,For $3.50 a slice (a HUGE slice) it's definitely worth it. The sauce is tangy like I like it and the cheese.... Gooey cheese. Cheap and delicious! Workers are a little impersonal but it is a pizza spot so I don't really expect much. Would definitely come again for the big slice!,Benny Tudino’s Pizzeria,3.5 star rating,$,Pizza
5,xM0C8YlgixO7D1O5et1YuA,Ruslan K.,5.0 star rating,"I loved the super large pizza slices. One pie fed as us all, that is 4 adults and 3 kids and we took 2 extra slices home. Beer pitchers only $8. The server was great too and was very accommodating and really great at taking care of us. I wish I had remembered her name but forgot. We were there night of 03/28/18. Thanks!",Benny Tudino’s Pizzeria,3.5 star rating,$,Pizza
6,_TwgAShonhh5F1agEtDgVw,T G.,5.0 star rating,"This review is for delivery only- I have never had an issue with time- the food is usually within the expected time window 40-60min) and the food always arrives hot! We usually order a Large cheese pizza (sometimes we had 1/2 mushroom and onion), wings (so freakin good- we were seriously impressed!!) and a garden salad! (So I don't feel as guilty) Everything was fresh and delicious, I love to support local family owned restaurants and will continue to order from here again!",Benny Tudino’s Pizzeria,3.5 star rating,$,Pizza
7,AP-QqWMEsyiHb5eRAdQVGg,Jenni K.,4.0 star rating,"I haven't dined at the restaurant but did order take-out one night. I was fairly surprised by the amount of food they gave and the quality of the shrimp in my SHRIMP SCAMPI. I usually never order pasta for delivery because it's usually gross by the time it gets to me, but my food was fine and still hot when I started eating. The shrimps were very plump and well-marinaded. They didn't skimp out either -- I think I counted 7-8 shrimps. My boyfriend ordered a CALZONE that was freaking humongous. It was a bit too burnt on one side, but it was pretty tasty. I don't really like calzones much, but my boyfriend seemed to enjoy it. I forget what else he ordered but we were both very satisfied with our order. I see that everyone really likes their pizza, so I'll have to stop in next time and pick up a slice...or pie!",Benny Tudino’s Pizzeria,3.5 star rating,$,Pizza
8,yC9H-N4oIlANXZXZN9Emew,Dispose R.,3.0 star rating,"Been coming here for 20 years, the pizza is delicious sometimes they serve it cold or burnt because they reheat the slices but when you get that perfect slice it's amazing I would give this place 5 Stars if they hired a courteous staff, it's a bunch of Albanians with the worst attitude! They don't greet you to say hi the rush you to order they are rude not sanitary and very pushy, they also talk loudly amongst themselves all the time the waitress if you sit down are also very dry and pushy they need to send the staff to a training camp for customer service but pizza is so good I deal with it..",Benny Tudino’s Pizzeria,3.5 star rating,$,Pizza
9,gX3GV7sYm3QlPasge-bBbA,Caitlyn G.,3.0 star rating,"Honestly, my boyfriend and I came just because we saw that this place had the ""biggest slice of pizza"". Jersey is known for its pizza places though, so we wanted to see what this was like. Benny Tudino's is located in busy Hoboken - so of course parking will be somewhat difficult. The parking is metered street parking where you'll pay at a kiosk. Interestingly enough, I wouldn't have expected this to be a pizza place based on the front of the business. It looks very nice outside with outdoor seating and flowers. But then again, there's huge writing that says ""Home of the Largest Slice"". The interior also doesn't look like a pizza place. When you walk in, it sort of does look like a pizza place, but the back is a different story. It's very nice in the back of the restaurant.As for the food, I'll just keep it short. We looked at the menu which had a lot of items. I didn't really know what to choose from. However, this place is known for the largest pizza slice, so there wasn't really a difficult decision. The price is pretty good for $3.50. The slice is definitely big. I was happy with the quantity. Quality-wise, the pizza is somewhat average, but the cheese does taste good. Will I come back here though? Not sure. Maybe if I'm craving a slice.",Benny Tudino’s Pizzeria,3.5 star rating,$,Pizza
