,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,vENYppiaoUO7hfkB7qvEFw,Bridget W.,5.0 star rating,"Excellent, just amazing.I've never liked sushi. Never. Raw fish is just not my thing. Since becoming vegan, I've discovered vegetable sushi and I knew I needed to come here. After seeing this place on BuzzFeed, I was so excited to come and see what all the hype was about.My Dad and I decided to order a few dishes and share everything. We ordered the Coconut Curry soup, The Badge Dumplings, La Fiesta Roll, Spicy Mang Roll and Sweet Tree Roll.Everything. Was. Incredible. The coconut curry soup was delicious and had succulent asparagus inside. The Badge dumplings were bursting with flavor and had an awesome Ponzu sauce. The La Fiesta Roll had great zesty flavor and was paired with tomato guajillo sauce. The Sweet Tree Roll was very light with the sweet potato inside. And the Spicy Mang roll was my favorite because of the sweet mango and toasted cayenne sauce. My Dad used to eat loads of Fish sushi and he said this was the best sushi he's ever had. The flavors were incredible! We will DEFINITELY be back!",Beyond Sushi,4.5 star rating,$$,"Sushi, Bars,, Vegan,, Kosher"
1,h94Qj3KFVWr7FKcpM5likw,Mike O.,4.0 star rating,Not what I thought it would be. There are a few really good rolls but to be honest I am lost at the flavor of some selections. Very cool place to try at least 1ce!,Beyond Sushi,4.5 star rating,$$,"Sushi, Bars,, Vegan,, Kosher"
2,Uf_nzWSu3mCNw5WEtTHycQ,Elena L.,3.0 star rating,"Gonna be honest... I think I like non vegan sushi better! LOL Love the concept: Fresh, wholesome ingredients incorporated into sushi. I for sure felt ""super healthy"" and ""hip"" after eating here, but taste was just lacking for me. Soy sauce fixed everything though ;)I guess if I was vegan this is the place to go. They do get creative with their rolls and other menu items. Pretty difficult to choose if you're a newbie there. Really not much to say, other than sushi rolls are indeed beautiful and instagram worthy lol. I wouldn't go out of my way for Beyond Sushi unless I am on a diet. It's great diet food. Do try their watermelon lemon mint drink-- Its super refreshing!",Beyond Sushi,4.5 star rating,$$,"Sushi, Bars,, Vegan,, Kosher"
3,xCj4VKsBDcq7b5DuQauPew,Hasan M.,4.0 star rating,"It's a decent place with some really interesting food combinations. If you miss actual Sushi this place will only remind you of parts of it (ie ginger, soy, rice, wasabi, nori) but will not hit the spot.That doesn't mean what I had wasn't really delicious. The dumplings were incredibly satisfying and tasted amazing. The mushroom roll was good too but dumplings were the star.I like that they had samples to try as well. Very friendly staff.",Beyond Sushi,4.5 star rating,$$,"Sushi, Bars,, Vegan,, Kosher"
4,vGViv8aJH1Idpkt3qv_n9w,Miriam M.,4.0 star rating,"While it's not true sushi, it's an interesting idea with wholesome, healthy ingredients. Beyond sushi is very refreshing amongst the oh so delicious but caloric food options at Chelsea Market. I tried the sweet potato black rice sushi (don't recall the name) and the mushroom dumplings. I got a side of the peanut jalapeno sauce too because I'm a PB addict- really good! The ""sushi"" was tasty but I preferred the dumplings. Those babies were bursting with flavor. They also have affordable lunch specials (see photos) and I really enjoyed the cucmber/agave lemonade. Would definitely come back to try the bowls next time.",Beyond Sushi,4.5 star rating,$$,"Sushi, Bars,, Vegan,, Kosher"
5,Xc10F3R81voR1MPL0aKr9g,Elizabeth B.,5.0 star rating,"My favorite sushi in the whole world!!!The first time I tried this brand was years ago at NYC Veg Fest...I have been hooked ever since!Quality ingredients, consistently fresh, just amazing.Spicy Mang and the Mighty Mushroom are my jam.I could seriously eat a million of these rolls...or any of their rolls and I would NEVER get sick of them!Many different items on the menu...there is something for everyone. Their miso soup hits the spot on a cold cold NYC day!When I order veg sushi anywhere in the world, I always think about Beyond Sushi...And nothing else will ever compare!!!!!",Beyond Sushi,4.5 star rating,$$,"Sushi, Bars,, Vegan,, Kosher"
6,v6s4VoPSd6BjurvlDS0_FQ,Victoria T.,4.0 star rating,"Really enjoyed this place. I ordered the dumpling soup (large in a 32 oz bowl), which is one of the seasonal options that is not on the regular menu. The base was white miso mixed with beets - unique and delicious! My mom ordered the 4-piece sampler and sunchoke/leek dumplings, which were also good. Only two bar stools at the counter with no leg room unfortunately. There are some tables nearby at the doughnuttery.",Beyond Sushi,4.5 star rating,$$,"Sushi, Bars,, Vegan,, Kosher"
7,qwqqPpPUYTv7l81slQiiAA,Lindsey E.,4.0 star rating,"Beyond Sushi has such a great concept! All vegan sushi made from unique ingredients that satisfy any sushi lover's craving. I love sushi but most of the time I am limited to avocado rolls or a basic veggie roll when visiting traditional sushi spots. Beyond Sushi offers so many more options. My partner and I tried the Chelsea Market location while visiting NYC recently. I tried the mighty mushroom as well as some jack fruit dumplings. Both were delicious. The sushi roll was made with black rice, various mushrooms, and tofu. It had a great texture and was quite filling. My partner had the spicy mang roll and a four piece sampler. The sampler is a great option if you are undecided because you get to try several types. In addition to sushi, they have noodle salads, soups, rice paper rolls/wraps, and noodle soups. Everything looked great and it was hard to make a choice, but we definitely enjoyed everything we ordered. If I lived in the area I would eat here often. The prices were good ($6.95 for an 8 piece roll) and the service was friendly. If you aren't familiar with Chelsea Market then it is good to know that a lot of the eateries are set up as ""grab and go"" and there is communal seating throughout. We were able to find a table right away and actually didn't have to wait in line at all to place our order. Definitely a solid choice!",Beyond Sushi,4.5 star rating,$$,"Sushi, Bars,, Vegan,, Kosher"
8,dDl2JNvYV9qWqxJK9QazxA,Cecily W.,5.0 star rating,"Wow, who said you must have fish or other meat to enjoy sushi. Beyond Sushi provide better options. Beyond Sushi was on my list as I planned to visit NYC. I'm glad they have one inside Chelsea Market. I hope to see more vegan Sushi place all around the country. This place is not big, but they are very efficient when preparing your food. It is very reasonable priced. For the quality of the food you get, the price is incredible. I like they that they use black rice instead white rice, and they prepared the black rice soft enough. I don't feel like I miss the fish in a typical Sushi as the avocado is just right in the combination. The Spicy Mang is not spicy, don't afraid to try it if you cannot handle spicy well.   The ingredients are very fresh. And the food is beautifully prepared. I love this place!",Beyond Sushi,4.5 star rating,$$,"Sushi, Bars,, Vegan,, Kosher"
9,u8ktnDKhDtUZJ4cc-C1bsA,Kim N.,5.0 star rating,"How good can veggie sushi be?At this place, they are beyond good. So good I hesitate to call them sushi. It is Beyond Sushi!The sushi skeptics will leave converted: this place does what they do so well that they don't need to be compared with sushi.I've been here twice over 2years and both times left feeling inspired. The work they do with healthy veggies... Each bite is a harmony of texture and flavour, a study of fresh ingredients combined just right. Be sure to squeeze the sauce onto your bites for an extra kick. The counter at Chelsea Market is perfect to sample and explore, but next time I just might need to visit their restaurant for a dine-in experience.",Beyond Sushi,4.5 star rating,$$,"Sushi, Bars,, Vegan,, Kosher"
10,0WIKJqPInxuM20n0_WOzoQ,Sarah T.,4.0 star rating,"Beyond Sushi, is like, beyond good. Located in the Chelsea Market, all types of greasy food were calling my name. But, I've been trying to eat healthier somewhat, so I beelined for Beyond Sushi. Their chili mushroom noodle soup is packed with flavor and so filling. Its a huge bowl too! I had their seasonal dumplings, and a sushi roll. You won't be missing fish. I promise!",Beyond Sushi,4.5 star rating,$$,"Sushi, Bars,, Vegan,, Kosher"
