,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,6nSp4lJGT2wLJoodtkHt6A,Madeleine V.,4.0 star rating,"Amazing food and great service! Our server provided excellent wine recommendations and assisted with the menu. Really enjoyed the meatballs and octopus small plates - delicious.One minor thing which could really elevate Bin 14 to a top quality wine bar - the person greeting people at the door and the girl behind the bar were both wearing sweatshirts which, despite the lovely decor, pricey menu and well dressed waiters, really brought down the feel of the place. When dining at a wine bar I for a special occasion (we went for my birthday) I would prefer the person who greets me not to be in sweats. Other than that - great place!",Bin 14,3.5 star rating,$$$,"Wine, Bars,, Italian"
1,pKV4fwsJZodstQzDM_Bn2Q,Katherine R.,1.0 star rating,"I am a regular here so i was caught off guard by my recent experience at the new bottomless brunch.  I typically have a great meal and service at Bin 14, but last Sunday, that was not the case. I came with 3 other friends for brunch and we all placed our appetizer order.  3 of us had the kale salad, and one friend ordered fries.  When our waiter arrived 20 minutes later with our food, he did not even stop to hear my friend say that he gave her a kale salad, when she had ordered fries.  He did not come back to check up on us for another 15 minutes, so she decided to eat the salad anyway because she was so hungry at that point.  When he came back, he mistakenly brought an order of fries for our table since he thought that's what we wanted- which was not the case.  Throughout the rest of our meal, we repeatedly had to ask 3-4 times for water.  It got to the point where another waiter noticed that our waiter was not being attentive and would come around and fill our waters and ask if we needed more drinks.Lastly, the most memorable part of brunch was having to ask for our bottomless drinks 3-4 times each time we wanted another alcoholic beverage.  My friend asked for another bloody mary THREE (3) times about an hour into the brunch.  On the third time she asked our waiter, instead of him saying anything back to her, he immediately ran to check the time clock to see if we had any time left during our 90 minute bottomless brunch limit.  He came back and told us this would be our last round, when she had asked for the drink 20 minutes beforehand and he never came back.  He blamed it on the bartenders for not making it, when we knew he just was not being attentive after he messed up our food orders, never gave us water refills, or taking 4 times to get our drinks.I was embarrassed to bring my out of town friends here after giving them rave reviews on Bin 14. I will not be coming back for brunch again to avoid having the same careless, snobby waiter.",Bin 14,3.5 star rating,$$$,"Wine, Bars,, Italian"
2,KswuWhanNz4QbIWtTdb_2w,Lucy L.,5.0 star rating,My suggestion is to make a reservation... we sat at the bar here... the service was great and the atmosphere was very romantic and soothing. Everything I ate here was AMAZING!!! The meatballs were tender and flavorful. The short rib was tender and perfect!! The margaritas were good and strong. The salad had the most delicious dressing and fresh ingredients!! Well worth every penny. I definitely recommend this place to everyone.,Bin 14,3.5 star rating,$$$,"Wine, Bars,, Italian"
3,B75jiYF808xq9vqi1PTOgw,Chris Z.,2.0 star rating,"We tried this place with a small group of wine loving people and were quite disappointed. While the wines are OK they were nothing special, no happy hour or so and we paid 80$ for 4 wines and gladly left. Service was friendly but this is not NYC and a big rip off.",Bin 14,3.5 star rating,$$$,"Wine, Bars,, Italian"
4,alJh76EIku41gWHK6krF1w,Christine P.,5.0 star rating,"I've lived around the corner for 3 years and have heard great things but have yet to try! Finally this past weekend, my roommate and I went for brunch and we were not disappointed. We sat at the bar and the bartender was extremely knowledgeable/helpful with both the wine selection and food. She even offered to sub a few things for us to make sure we were fully satisfied with our food selections which we greatly appreciated. The brunch was great, wine was great; as was the service. We will definitely be coming back",Bin 14,3.5 star rating,$$$,"Wine, Bars,, Italian"
5,Gnj3X_Zs99KS0AIVeYQVGA,Jerry L.,4.0 star rating,"If you're looking for a good gluten-free option for pizza or pasta this is the place to visit in Hoboken, if you don't want to deal with the rush I suggest going around 6 on the weekend and before 6 on a weekday, they have a great wine bar list, I would suggest start off with the truffle honey mozzarella but if you're looking to avoid dairy try the bruschetta option, really enjoyed the tuna tartare, jalapeño scallions and capers bruschetta ($5), then I ordered the Pork belly, pickled grapes,celery root, apples and mojo as a small plate ($10)For pizza we ordered the gluten free margherita pie which is a personal pan which comes with fresh margherita mozzarella and basil pie ($11) but you can also go for a classic pie which comes with cherry tomatoes which is quite exquisite one of the best pies I've had in town especially for gluten free crust which tastes homemade.For entree in ordered the sausage & beef bolognese, tomato, ricotta, garlic and cavatelli (gluten-free) ($17)It's cash or card and you can sit outside in front of the restaurant or if you want privacy you can sit in the back. Enjoy!",Bin 14,3.5 star rating,$$$,"Wine, Bars,, Italian"
6,3MsvlOQJp7pWxOkBzjUe7A,Thea Z.,3.0 star rating,"I REALLY want to like this place at the 5 star level, but I just cant. I've been here 4 or 5 times and each time I have an ok experience with average to a tad frustrating service, avg to great food, and decent ambiance. There are very few wine bar options in Hoboken so I am bound to continue coming back here. Food: They have a great variety of casual to upper scale small plates and pizza's. As far as the homemade mozz goes, thats one of the more unique plates and I can heartily recommend the truffle honey version, but not the Extra virgin olive oil, fleur de sel, cracked pepper. I've been served it cold and rock hard before - if that happens send it back because when it actually arrives warm, its delish. Interested in the pizza? Go for the Prosciutto di Parma, fig, ricotta NOT the Bacon & apple, blue, ricotta, fresnos, basil, hot hone one (WAY too much going on there and very odd tasting, and a weird choice to have on the menu in the spring). Other highlights: Baby octopus app, Tuna tartare bruschetta. NOT the Truffle fries (always soggy). Drink: Great selection of wine (obvi) and a fun fact - they do 2 oz pours in case you want to try a wine or just want a tiny glass. Service: They tend to forget about the folks in the front outdoor seating, inside gets great service, and back patio decent service. Ambiance: The outdoor back patio when its cool out with heated lamps is a cool vibe out there, though depending on your location to the heat lamps it could be chilly. The inside gets loud. Other thoughts: There is usually a wait especially in the evenings. The challenge is there is no place to wait inside and gets very awkward very quickly. If they up the service, do a bit better with food quality and flavor, and have a more reasonable place to wait, it would be a 4/5 for sure.",Bin 14,3.5 star rating,$$$,"Wine, Bars,, Italian"
7,uO8jd3cgNqWe0qA5rEYEaA,Elizabeth L.,3.0 star rating,"Went to Bin 14 last night for a family birthday. Great selection of small plates and very interesting wine list. As others have mentioned, the prices are on the high side for Hoboken, but the food is fairly high quality.The biggest disappointment was the pumpkin tortellini. It was on the entree menu, but the portion when the plate came out was just three small tortellini! The other entrees we had (beef and sausage bolognese and rabbit pot pie) weren't huge, but their portions were still filling. The pumpkin tortellini should be on the small plates menu, don't order it expecting a meal!",Bin 14,3.5 star rating,$$$,"Wine, Bars,, Italian"
8,3e_FpAZYijFo6k3L6AMyYw,Paula H.,5.0 star rating,Delicious! Perfect for date night... only thing is main entrees are pretty small. They have a huge selection of wine and they'll give you a taste before ordering a glass which is awesome. Love the kale salad and the steak entree!,Bin 14,3.5 star rating,$$$,"Wine, Bars,, Italian"
9,D7Gg0MPqQPKPvbgX5XT0fQ,June C.,4.0 star rating,Tried at Hudson Restaurants Week 2018. $15.99 with a salad and a pizza. Both very delicious. Easy environment and good service.,Bin 14,3.5 star rating,$$$,"Wine, Bars,, Italian"
