,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,rrtEm09rNvxtOG7Z_optpg,Dexter V.,4.0 star rating,"There are certain points in a person's epicurean adventures when he or she reflects at the ridiculousness of the dish(es) that are set before them.  I've had a few over the years, but perhaps the most recent one was the experience at Birch Hoboken. It's no secret that I was excited to give this restaurant a try especially with their widely-praised and decadent milk-shake creations.  Having nothing to do on a Saturday evening, I thought it best to grab an early dinner before all the Hoboken ruffians came out in droves for their weekly orgy ritual called bar-hopping. After looking at the menu, I knew that the Graze Burger was going to satisfy my taste-buds that evening. A perfectly cooked, juicy steak topped with mission figs, caramelized onions, honey goat cheese, and baby arugula for some nice bitterness was absolutely spot-on.  The umami taste of the burger played very well with the sweetness of both the fig and honey goat cheese. It reflects a heavy Mediterranean flavor which I loved. A burger meal would not be complete without a side of fries and because I like to play Russian roulette with my arteries, I opted for the loaded fries. A delicious presentation of French fries, sour cream, bacon, and chives. Last, but certainly not least, was my drink of poison for that evening.  I went with the restaurant's namesake ""Nuts About Birch."" Let me simply copy the description from Birch's website: ""Reese's peanut butter pie, butterfinger crunch drizzled chocolate syrup, assorted chocolate pretzels, chocolate covered rim, reese's pieces, chocolate ice cream blended with nutella & peanut butter, and fresh organic milk....sorry my heart stopped for a second as I dreamed about that shake and at the same time reflect at how ridiculous being a foody is. I'm no nutritionist but based on my description, the meal I consumed that evening probably numbered in the 9-10,000 calories. Oh well, I guess the dishes at Birch is not for the faint of heart...",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
1,fZUCC6nvSibKje6PlDqEBg,Steph E.,2.0 star rating,"Ive actually been here on two separate occasions. For the night club and for brunch. Below i will list my experience with each of them. NIGHTCLUB: as far as the night club goes it was overall a pretty average night club experience in hoboken. They played good music, music you would find on the radio the dj was pretty good and they had props which was a plus. Its also best to put your name on the vip list online to avoid paying the cover. The place is nicely decorated. Will i return for the night club? Maybe but would not be my first choice. BRUNCH: so my friends and i follow them on instagram and saw all of the great pictures and brunch that was advertised so we decided to go. The service was  not good, very very slow. It took about 15 minuets for them to bring our mimosas. They had about one server working for the brunch they advertised so well. Which i didn't understand. The menu as far as food went was very disappointing. There is no brunch menu per say just the little appetizers that stick on top of the bloody mary and thats pretty much it. No brunch food at all. Highly disappointed because we had came with an appetite for brunch food. So that led us to have to order burgers off of there regular menu. The burger was good, good quality meat. Would i go back for brunch? Absolutely not. If your looking for a place to have bottomless mimosas and drinks with your friends and just have drinks. This place is a good fit. However, if you are looking for an actual brunch to accompany your mimosas this is not the place. There are plenty of other places in hoboken that serve a good meal and even have bottomless drinks on Sundays. Wish my experience was different because i had high hopes according to how there instagram looked.",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
2,EVwT9lleIRE9JB-kRNs0Ng,Stacey T.,3.0 star rating,"My 2 coworkers and I stopped by here after work to share an appetizer before heading on to our evening plans.  Our mistake for not checking the menu first, but they don't offer any appetizers -- just burgers, salads, fries, sandwiches and gelato/sundaes/milkshakes.  To our disappointment there weren't any gluten free options to accommodate our friend with Celiac (the fries are fried with other foods), so we didn't end up ordering anything besides a cup of gelato to share.The waiter was friendly but seemed like it may have been his first day.  We also had a minor issue when we received the bill as the cup of gelato was at a higher price point than what is posted on the wall behind the gelato counter.  They resolved it, but overall it was a bit of a rocky experience.  I'm sure the food is good, but I'm not excited to run back here.",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
3,Ok1dQhsagG4woh9dhHSiCg,Amit J.,4.0 star rating,"Had Birch on my to go to list since it first opened and finally decided to visit when a friend was visiting from out of town on a Sunday evening. The place had a decent amount of people but wasn't overly crowded and had a good mix of young professionals, families and even a family birthday party. It seemed to have something for everyone and had a nice laid-back, yet classy vibe to it. We were promptly seated as soon as we got inside and the server was pleasant. The menu didn't have an extensive variety of options but had the basics like burgers, sandwiches, salads, etc. We started with beers and I ordered the Chipotle Burger with a Veggie Patty (Blend of heirloom beans, lentils, veggies and herbs, Chipotle and lime mayo, pickled jalapenos, sliced avocado, lettuce) and Cheese Fries ($12). Everything was absolutely delicious and the side of Chipotle Mayo I got was everything, with a spicy kick and authentic taste to it. They also have gelatos and those awesomely curated milkshakes like you see in the city, which you can spike for a couple dollars extra. We also saw ice cream cookies which looked absolutely scrumptious and both are certainly on my to try list for next time. We loved Birch, it had a friendly and inviting atmosphere but was quiet and cozy enough to have a good conversation at. I'll certainly be coming back here as often as possible!",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
4,h3UxLpkt78PYssTFrICCpQ,Maricia H.,2.0 star rating,"This place overall was a total mess for me. They have a very limited menu and not a lot of options or substitutions. Everything is either on a bun bread or salad. Also, the flavors are not really anything that stand out or anything that would cause me to return again. The fries where really burnt and The shrimps where not cleaned. The staff however seems really nice but the service was very slow and awkward at times because they were busy talking to each other. When the bill came we noticed that the prices that were on the menu was not the price that we were billed, so we had to wait for them to adjust it. I wouldn't return for the food, but I do think that on my next visit I would only come for dessert.",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
5,OMJwlCECjqBtY3cCxhpqyw,Venus R.,4.0 star rating,"Good place for burgers and shakes. Shakes can have an added shot of bailey or khaula. I wouldn't say this place is good for brunch since it only burgers on the menu. But the truffle fries were amazing. The cocktails were ok, a lot of ppl rave about there bottomless brunch since u can get mimosas with a rum of frosting and sprinkles, but after the second drink it starts to become a little too much. So if ur looking for a good burger this is a great option, but if your looking for brunch go elsewhere.",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
6,g9AwAti_lhciJtjExyHRjA,Quincy L.,3.0 star rating,"Airport food sucks, so I went on a train journey out to Hoboken for something to eat. (Long train ride, just Uber it if you have a layover) back to this restaurant, as the name suggest, the restaurant is decorated with birch as a theme. I can see this place as a party scene with the bar and galeto stand. So the order for today's lunch is a OMG french onion burger with the Kobe beef up charge medium well and truffle fries as the side.The truffle was good, lots of truffles on the fries. The burger......Epis was right in his reciew, it doesn't matter how good the beef is, without salt and pepper on a burger patty, the flavor does not pop. Salt and pepper please. Also, the patty is a bit small for the bun it's house in.If I were to rate just the burger, it would be work only a 2 star. (Keep in mind the price of this burger is high too so I have expectation) the fries made it a 3 star.",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
7,-2kkTjt-UjI5E-EIDSZMyA,Jeffrey V.,1.0 star rating,"This review is for the club portion. It is a ridiculous joke. Very cheesy, def mostly out of towners that are not the average Hoboken resident. This is a low class place to us from Hoboken, to them coming fromJersey city, Newark, or the burbs this is a big night out. Save yourself and just go to a real club in New York instead of this joke. Although we did get a good laugh out of most of the attendees and staff.",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
8,e4XFtoRLlYSq34hH2Jrx0w,Amanda K.,2.0 star rating,"This place was super weird to me and I honestly don't get it.  We popped in after seeing their chalkboard sign that says clearly read ""brunch"" but don't actually combine Breakfast/Lunch food.  They don't have appetizers, or eggs or french toast.  their ""brunch"" is food on sticks on top of a bloody Mary.  But if you want those designer milkshakes that all the food is stuck to the outside of the glass then I guess go here and have ice cream for breakfast",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
9,y_LETSyVwMVKbMSHwHDioQ,Erin A.,4.0 star rating,"We were looking for somewhere different to go to in Hoboken since we are frequent visitors. BIRCH came up on yelp. Good old yelp! The first thing that of course caught my eyes were the milkshakes so I had to go. Birch is located nicely right off of the main street, not too hard to find parking on a weekday. The interior is very nice very contemporary and modern. There was a cool pod like swing and there's string lights everywhere. Loved the ambiance. There's also a club like area upstairs for night life, I didn't get to see it but I would definitely consider going back to check it out! Milkshakes There are 6 choices ranging for 13-15 (not terribly priced). We got the carnival ($15) which was vanilla, strawberry, with candy, cereal, cotton candy!The taste was 10/10. I drank it all, literally so good!Presentation though was not really like the photo on the menu. It wasn't as full of candy and decorations like the menu photo. Food They had many different burgers to choose from. I'm a vegetarian and there was only 1 choice which was a bean burger. I do not like bean burgers though. So we got 2 orders of fries. -Old bay fries $7 I really enjoyed the flavor! No complaints !-White truffle fries $7 Can never go wrong with truffle fries !The staff was great as well, very attentive!I definitely would go back to try other shakes and to check out of the nightlife! I really liked the ambiance of the space!",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
10,Vr94oCgVobXtkrRkg1i3PQ,Jane Y.,3.0 star rating,"I have been to Birch a couple times now. The first time I went we were seated downstairs in the small bar area with tables for dining (I think about 30 people can be seated?) and the upstairs was closed off for a private event, so my guess is that it's an event space as you could see pre teens throwing some balls around and a photo booth. Unfortunately, there are no doors that could close to separate the upstairs noise from flowing down the stairs and we could loudly hear the DJ and the music. As a result, it was just too loud and we decided to dine elsewhere, and only stayed for dessert. The milkshakes (about $15 each) are everything you would expect them to be - sweet, delicious, smooth, cold, and decadent. They decorate the glasses so lavishly that you can't help but order at least one. I would recommend sharing one with someone as they are truly rich, and each time I've been there, wasn't able to finish one, even when sharing. I have ordered the Cookie Monster Shake, Nuts About Birch Shake, Give Me S'Mores, and It's Mint to Be. For $4 more you can add a shot of liquor to the milkshakes. The pour is not a generous and you cannot taste any alcohol in the milkshakes. In fact, I've even heard tables around me say the same thing to themselves. As for the burgers, they aren't anything special. Each burger entree comes with the option of sirloin or Kobe beef for an up charge of $2. It's totally not worth it. The meat come cooked as requested, but it wasn't any more tender than what a sirloin patty would have been like. They also trick you into choosing the fries (each comes with plain) as they say, ""which fries would you like with that."" You can choose from plain, white truffle, cheese, loaded, and old bay. The brioche bun (I think that's what they use) was a little dry, and every burger comes as described... unfortunately the different toppings just can't be tasted well to make much of a difference to your burger experience.Finally, can't forget to mention the service - each time I've been there two different servers checked on us regularly throughout the night. Our water glasses were always full, and items like extra napkins were brought to us before we had to even ask for them. Needless to say, they were very attentive and the service was great. They were ever present without being annoying.",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
11,2Xf8YyKoGsb0x_P5YxORyA,Natty C.,5.0 star rating,"5 stars for customer service. The owner was so genuine and you can tell he really cares about his business. This location in Hoboken always turns over, being Reign and BOA previously, I hope Birch is here to stay. I can only speak for the restaurant. It's also a club. I passed by the sign for the milkshakes and had to come in (think Black Tap NYC) but better! They were amazing! And you can spike them with rum or other alcohol for $4 more.I did not try any of the food but the burgers looked delicious. The owner let us try two of their craft cocktails. One of them he lit on fire! (Smoked Old Fashioned). I was thoroughly impressed with everything. The ambiance is classy and fun. I will be back to try their burgers and the night club on the weekend.",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
12,4lAQYtRnSB6qdinlNEwDcA,Lindsay M.,3.0 star rating,"I went here on a Friday night after the restaurant turned into a club. Overall, I think this place is pretty average. When I think of Hoboken, I think more of a bar scene vs. club scene. This is really the only wannabe club offering in Hoboken, and honestly, I think it misses the mark. The place was rather empty and the DJs were eh. The ambiance was beautiful, but I would've much preferred to be in any popular club in NYC. Definitely not terrible, but not my favorite scene in Hoboken.",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
13,s1s9ce3n73vRahPxUiXEzg,Cecilia G.,1.0 star rating,"I paid extra for the ""Kobe"" beef for my bacon cheese burger and got the strawberry milkshake.  The good:It's definitely high quality meat.  Is it really Kobe beef?  I'm skeptical since in the USA they usually get Wagyu beef from Australia and not Kobe beef from Japan. Either way it's excellent quality beef.  The fries were very good.Staff was excellent.  The bad:The burger was bland!  It's definitely NOT seasoned well or seasoned at all.  I had to ask for salt. Any chef knows you need to add some salt or a pinch of salt to bring the flavors out and this has to be done prior to cooking the meat.    So whoever preps the ""Kobe"" ground beef definitely did not add salt or pepper to it.  Even with the cheese and bacon it was bland.  It reminds me of the steak house Prime and Beyond in Fort Lee, NJ.  They get the best pieces of steak like Peter Lugers but they have no idea on how to season the steak.  This place is the same situation. Milkshake was put in a small tall narrow glass.  I get more bang for the buck from a bareburger shake.Conclusion:For the price I paid, I expected way more. Yes the meat was high quality, but what's the point if they don't season it well?  I can pay way less and get a better tasting burger at Del Frisco or Biggies or even get organic grass fed burger at Bareburger. I will give them one more shot.  Hopefully they figure it out cuz it's a shame.",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
14,FJzmjmPF1RPd1SbAzbznXw,Varun R.,4.0 star rating,"Out of all the burger spots I have been to lately, birch is a pretty good option. We swung by here on a Sunday evening and I ordered the ""not your average cheeseburger"" and that came with fries.Overall a solid burger, the bun was lightly toasted and the meat was well grilled. Probably should have ordered it more light medium instead of medium well since the burger wasn't as juicy I like it. One note - they use a thick bacon instead of a thin crispy one. I liked it but I prefer the thins ones.That being said the fries were amazing! They had a old bay + garlic flavoring and were so tasty ! All in all, nice little spot for a burger.",Birch Hoboken,3.0 star rating,$$,"Burgers,, Bars,, Gelato"
