,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,EmpJuNmo1HEsX6x10z13-g,Ian K.,5.0 star rating,"Not to be confused with the other BBB (Big Ball Brand), the Black Bear Bar is the place to be for a Saturday (which are for the boys) Fun Day. From the hundreds of TVs, Saturday drink specials, and sports memorabilia hanging in the rafters BBB has it all! Upon walking in you're over taken by the massive wall of TVs that displays 10+ different sporting events. I NEED this in my apartment.Drinks to snag on Saturday's:-The Manmosa (champagne, vodka, OJ, AND blue moon). I had 3 and was feeling nice. Not sure why they add the Blue Moon, but the taste resembled a regular mimosa. ($7)-Regular Mimosa ($5)-Blue Moon ($5)Where can you get the above specials on a Saturday? I'll wait...NO WHERE! We'll be back just for these specials during March Madness. Good we snagged:-Side of fires ($7) -Spinach and Artichoke dip w/chips (~$8) Can't mess up the above food, but it was tasty! We've heard great things about their wings and things, so we'll also be back for those.",Black Bear Bar & Grill,3.5 star rating,$$,"Sports, Bars,, American, (New)"
1,rtuQ25-IiYnFnUDnBM1dSw,Marissa Z.,5.0 star rating,This was the first time I ever went into this place and at first I was little sketchy I thought that people were a little bit young and I didnt fit in but I went upstairs and it was a great DJThe bartenders were very niceThe music was very good and we had a lot of fun there we took the bartenders advice on having her special lemonade with blueberry Vodka and we stayed for two drinks. We were able to dance like retards to old school hip hop and we had a nice time I would definitely recommend- it was a lot better than the other shit holes around the area,Black Bear Bar & Grill,3.5 star rating,$$,"Sports, Bars,, American, (New)"
2,zCzn4B92Xrb1bTAS-M1fhQ,Octavia A.,1.0 star rating,"Don't go at night if you're a person of color. Went this passed Saturday night and all of the bartenders refused to help my friends and I, who were literally right in front of the bar with money in hand. They ignored us completely. One bartender even started to clean up around us instead of asking our order. But when a group of guys walked up behind us ready to order, then I guess they were the only ones visible to the bartenders as one of them rushed to take their order. Will never go back here. Even on their best day",Black Bear Bar & Grill,3.5 star rating,$$,"Sports, Bars,, American, (New)"
3,TcYqITjxnOrnyBz8LKuuGQ,Trevor M.,4.0 star rating,"Very solid bar menu. All the classics plus some. I was really impressed with their grilled shrimp wrap with the house ranch dressing, which I was pleasantly surprised to find wasn't normal ranch dressing. The service was attentive and the outdoor patio was a great bonus. The table next to us got the nachos and they also looked incredible. Only downside was that you couldn't get the draft beer happy hour specials unless you were eating inside, which I don't understand why that would remotely matter as they have the same menus.",Black Bear Bar & Grill,3.5 star rating,$$,"Sports, Bars,, American, (New)"
4,tsYIZHfTkoupEOjMgr0Q3g,Lindsay S.,4.0 star rating,"Good happy hour, fun bar. Chicken fingers had way too much breading, but overall fun place.",Black Bear Bar & Grill,3.5 star rating,$$,"Sports, Bars,, American, (New)"
5,sdkWib964Wug9eWWQb6byg,Jeff D.,4.0 star rating,"One of the increasingly few Hoboken bars that is still open since I first came to Hoboken 15 years ago.  Despite the seemingly never ending array of trendy ""sports"" bar opening, Black Bear has managed to stay relevant.  Good space and vibe.  Food is solid for a bar menu.  Only complaint was no game sound, but if you are looking for a comfortable place to casually watch sports and hang out with friends, this is a good option.",Black Bear Bar & Grill,3.5 star rating,$$,"Sports, Bars,, American, (New)"
6,dLCCYKrgyncZcAVfBgp2Mg,Kaitie M.,5.0 star rating,Great place to get a cold beer and some good food. The turkey burger wrap is bomb and so are the boneless wings. The vibe is low key and casual/comfortable. This is mine and my boyfriend's go-to whenever we're in Hoboken.,Black Bear Bar & Grill,3.5 star rating,$$,"Sports, Bars,, American, (New)"
7,2Ms9FpoHZ_tukzCzE23ogQ,Alina V.,4.0 star rating,"Great place to get dinner and a drink. Unfortunately their drink specials didn't apply if you sat outside, which was a little frustrating but we sat outside anyways because it was really nice out. We got the cajun shrimp wrap and the grilled cheese which were both really good and their prices are very reasonable. Definitely will be back to try some more things off their menu!",Black Bear Bar & Grill,3.5 star rating,$$,"Sports, Bars,, American, (New)"
8,lQfTrcCd_e2mU0NgO6chwA,Amanda P.,4.0 star rating,"A very solid bar to visit. I enjoyed their beer selection and was pleased when I asked our bartender to explain the difference between some choices and was helpful in making recommendations. It's one of the more mature bars in Hoboken so if you're looking for a calmer vibe than Green Rock or Tally-Ho, this is the place to go to.",Black Bear Bar & Grill,3.5 star rating,$$,"Sports, Bars,, American, (New)"
9,apKCYpC-2VY6EUzlqq5H2w,Keith D.,1.0 star rating,The biggest racial place in downtown HobokenThis place has trained everyone from their security to their servers and bar renders to be racial. They treat people like they are millionaires who want to stop people coming into this place. I am done with this place and will be filing a complaint for racial discrimination against them. Please avoid at all costs,Black Bear Bar & Grill,3.5 star rating,$$,"Sports, Bars,, American, (New)"
