,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,cXolg7bRI3Fgj6LJUYp26A,Amanda J.,5.0 star rating,"My favorite cafè in Hoboken! Good for a quick grab and go breakfast sandwich before jumping on the light rail, which is next to the shop. Besides fantastic coffee, the food menu is an all-star, all the time. I've never eaten anything other than delicious, fresh ingredients. This is my boyfriends favorite spot to sit with his laptop to work for a few hours. The late day bargains on the pastries and baked goods are my favorite!! Wonderful family business that we're happy to support.",Black Rail Coffee,4.5 star rating,$,"Coffee, &, Tea,, Cafes,, Sandwiches"
1,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,4.0 star rating,"Located in the back of Hoboken near the light rail, Black Rail offers an assortment of sandwiches, basic coffees and a family-friendly, hip environment. Coffee is priced as any other local coffee shop but the price of avocado toast is robbery ($8.50!). Before I actually got here, I was hoping to order that but the price deterred me. Instead I got the Money Honey sans the honey ($6). It was pretty good and the lunch looked good as well. I would come back here if I ever wanted a more boujee flavored and priced sandwich. For drinks, I was hoping to find some more interesting types of coffee but didn't see anything that caught my eye. They had lavender hot chocolate, which I'll try next time I'm in the area and craving hot chocolate.",Black Rail Coffee,4.5 star rating,$,"Coffee, &, Tea,, Cafes,, Sandwiches"
2,sdkWib964Wug9eWWQb6byg,Jeff D.,4.0 star rating,Excellent place tucked in next to the Hoboken Light Rail stop.  My son remembers it for tasty croissants and good kombucha.  Tried the Peach for the first time and it was excellent.  The croissants were buttery and flaky.  I haven't eaten lunch there yet but looks to be an interesting array of sandwich options.  Maybe next time!,Black Rail Coffee,4.5 star rating,$,"Coffee, &, Tea,, Cafes,, Sandwiches"
3,k8ToEsaJuHbT-fGtFhpzKw,Bryan C.,3.0 star rating,"Came here as wanted to get some breakfast food and coffee before heading over to Shoprite as try not to go shopping when hungry as end up buying lots of junk food.Place looks like your stereotypical Indy coffee shop with mix matched chairs, chalkboard menu and intelligentsia coffee.  My iced mocha coffee was good though a small for 450 seems pricey and large is 650.   Got the egg and sausage on an English muffin which they oddly pre make, wrap in foil and put in a warming tray like it was McDonald's or a gas station.  Even if they were making it constantly a few minutes in one of those Cools down the meat and makes bun soggy. The avocado toasts looked better.  Based on food alone gets a 1 star and almost gave place 2.  Likely will not be Back here.",Black Rail Coffee,4.5 star rating,$,"Coffee, &, Tea,, Cafes,, Sandwiches"
4,svFycHjXZYpNVutZ_0_gDQ,Jessica W.,5.0 star rating,"This place is awesome. Erica is by far my favorite person there, she remembers my drink always and greets me with a smile always! The location is super convenient, prices are so reasonable for the product you get! My only complaint is they aren't open on Sundays, so I amForced to look elsewhere and suffer. Definitely check this place out before hopping on the light rail to work!! Or on a Saturday AM grab a coffee and outside reading the paper.",Black Rail Coffee,4.5 star rating,$,"Coffee, &, Tea,, Cafes,, Sandwiches"
5,VdwsBfxuBAnfavac0akKsQ,Tony R.,5.0 star rating,"Love these guys. This western part of Hoboken doesn't get much love but this gem, which is right next to the Light Rail is hard to resist. Tucked into a residential building this coffee place is easily accessed from the northern entrance/exit of the NJ Light Rail. Coffee is always fresh and the food options are pretty great too. Top notch service and always friendly. Great array of flavors and milks for the latte connoisseur and a great spot for brunch. Avocado Toast and great breakfast sandwiches. Also a great place to bring your laptop to get some work done or meet with a friend or colleague.",Black Rail Coffee,4.5 star rating,$,"Coffee, &, Tea,, Cafes,, Sandwiches"
6,h8hmoKaCbOwHmx8oUezN0Q,Evette S.,5.0 star rating,"I work around the corner from this place and pass by it every day. Today I decided to stop in to this neat little coffee shop cuz it was a hot day, and it was right next to the light rail.I ordered a small cold-brew ice coffee, had a seat, and was pleasantly surprised. The ice coffee was fantastic, and there's a small ""fixin's"" bar off to side where you can add sugar & extra milk to your drinks.This place is really hipster, nice beats playing on the speakers, tons of outlets for you to plug in your devices and just chill for a while.I haven't tried the food, but they have a decent menu to choose from. I'll definitely come back to this place and eat, maybe even bring some friends.",Black Rail Coffee,4.5 star rating,$,"Coffee, &, Tea,, Cafes,, Sandwiches"
7,q3sTs30eeBr6zVylesvfuw,Ritesh S.,4.0 star rating,"Great coffee, friendly staff and nice atmosphere. They serve intelligentsia coffee which tastes great.I usually order biggie small sized iced latte (20 oz) and a pastry or sandwich. They have wide variety of  pastries and sandwiches available for breakfast and lunch.",Black Rail Coffee,4.5 star rating,$,"Coffee, &, Tea,, Cafes,, Sandwiches"
8,3AxfexuRXv6TqIbk31rfcg,Andrew M.,4.0 star rating,"Ya know, I like this place. They have quality food and decent coffee. Service is good too. Just a tip for first-time customers: Do NOT, under any circumstances, look their custodian in the eyes. He may look friendly, but he will attack you and it will hurt. I learned this the hard way! Bathrooms are clean though.",Black Rail Coffee,4.5 star rating,$,"Coffee, &, Tea,, Cafes,, Sandwiches"
9,Z36IYDWcrDzDSocrqzYmhQ,J K.,5.0 star rating,What a family friendly cafe!!This small place has everything that you want for hot summer days.I came here with my hubby and he ordered black iced coffee and I ordered Nitro Kombucha and it was perfect iced drinks.I tried Kombucha for the first time and I loved it. It was sweet and sour and sparkling taste. Perfect balance!!!I also like the mini ice cubes.,Black Rail Coffee,4.5 star rating,$,"Coffee, &, Tea,, Cafes,, Sandwiches"
