,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Zre5Bjwh83wnQyE8yyf39g,Adam G.,5.0 star rating,"TL;DR - BEST OAT CAPPUCINO E.V.E.R.!Are you the kind of person who likes drinking non-dairy milks with your coffee?If you are, this place is a *must*.The people here know their non-dairy milks; and the oat is le-git.BONUS: the staff is super friendly and the atmosphere lovely and welcoming.",Bluestone Lane,4.0 star rating,$$,"Coffee, &, Tea,, Gluten-Free,, Breakfast, &, Brunch"
1,fOsA7PneimbFlbIfXx5ZOQ,Shital B.,2.0 star rating,Service this afternoon at bluestone was a nightmare Servers were short staffed and the young lady who was our server looked as if it was her first week on the job! Highly unorganized and chaotic experience. I was tempted to pick up my own drink from the bar as I could see it sitting there getting cold!!Service needs work at the hoboken location- get it together you have been open for several months now,Bluestone Lane,4.0 star rating,$$,"Coffee, &, Tea,, Gluten-Free,, Breakfast, &, Brunch"
2,wU62o5mwLK14jtk0eRRvqg,Tom B.,5.0 star rating,"My favourite Bluestone location, and a weekend staple of mine! There really isn't anything that compares to a good Aussie coffee. The magic is always strong, a perfect way to kick off the weekend's activities. I've worked my way through the menu, having tried around three quarters of what they have to offer. Depending on your level of hunger, and inclination to eat healthy, there's plenty to choose from. My go to options are the avocado toast with a poached egg, the granola with unreal lemon curd and berries, and the breakfast bowl which is bursting full of fresh goodness. If your first brunch course leaves you wanting a little more, the almond butter and raspberry jam toast is the perfect little dessert to finish off with. On another note, my girlfriend basically lives for the salmon, cream cheese toast with a side of the heirloom tomatoes. For any fish-lovers, this is definitely a great option. If you're heading down on the weekend (especially when the weather is good), make sure you stop by in the late morning, rather than the afternoon since it gets extremely busy!",Bluestone Lane,4.0 star rating,$$,"Coffee, &, Tea,, Gluten-Free,, Breakfast, &, Brunch"
3,Vavtd5JwMKYgxYz-X3Uyew,Huw P.,4.0 star rating,"My new favorite coffee shop, friendly staff, good drink selection, interesting food menu and a nice clean bright atmosphere, can get a little child rich, as in screaming kids and wonderful mums but that's Hoboken..... I was very impressed by the selection of gluten free pastries by the till be sure to check them out. Lastly they are cash free so cards only.",Bluestone Lane,4.0 star rating,$$,"Coffee, &, Tea,, Gluten-Free,, Breakfast, &, Brunch"
4,08tors8snSUYBKsSzEvtJQ,Kimi G.,5.0 star rating,"Excellent fresh food and drinks! Wow! I had two ""golden lattes"" (turmeric, cinnamon and steamed almond milk) which was so deliciously smooth! I've never had this before and getting two days a lot! I also had delicious multigrain toast with the freshest cream cheese and lemony lox on top. I am so glad my friend suggested meeting here as I've never been to this chain before but would love to come back. Additionally, this is a relatively small coffee shop but the wait staff was able to accommodate my friend with a stroller so easily. I wasn't sure it would happen during Sunday brunch but they made it seem effortless. Yum yum yum!",Bluestone Lane,4.0 star rating,$$,"Coffee, &, Tea,, Gluten-Free,, Breakfast, &, Brunch"
5,7larXtYcdIK_NTTo7ic3Sw,Kelly N.,5.0 star rating,"I think I'm in love... The service is the sweetest, and everything on their menu is lovely. Happy girl:)",Bluestone Lane,4.0 star rating,$$,"Coffee, &, Tea,, Gluten-Free,, Breakfast, &, Brunch"
6,fNM6bp2WeikcJZZWo54AeQ,Christie W.,5.0 star rating,Such a cute coffee place. Love the decor and vibes. Ordered a cappuccino and it was made perfectly. I always love going to aussie cafes because they make the best coffee. No australian accents though which is a bummer. But nice to see the menu items named after local suburbs. Makes me feel like im in melbourne for a little while.,Bluestone Lane,4.0 star rating,$$,"Coffee, &, Tea,, Gluten-Free,, Breakfast, &, Brunch"
7,HFZsUc9iMI3zQk9cDt1dqQ,Katie Z.,4.0 star rating,"Love this place! A girlfriend brought me here while visiting Hoboken. In a great location right on Washington St. surrounded by tons of shopping. I should enjoyed the Fitzroy, delicious fresh squeezed juice pineapple, ginger, grapefruit and lime-yum! My friend and I shared the toast with almond butter and bananas, would highly recommend!",Bluestone Lane,4.0 star rating,$$,"Coffee, &, Tea,, Gluten-Free,, Breakfast, &, Brunch"
8,b0I801D55aSbaJUUsi8Jqg,Stephanie C.,2.0 star rating,"Underwhelming and expensive. Avocado toast did not taste fresh and the Lorne green juice had too much ice in the glass. With so many places to brunch in Hoboken, spend your time and money elsewhere.",Bluestone Lane,4.0 star rating,$$,"Coffee, &, Tea,, Gluten-Free,, Breakfast, &, Brunch"
9,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,2.0 star rating,Where do I begin. This place is ridiculously expensive and i only ordered a tea?! What are they sourcing their ingredients from mars or something?The taste isnt even great if I am paying a premium I would at least expect perfection.I am not that interested in these new age coffee shops that charge an arm and a leg for something like tea/coffee. I wish the place luck but i wont be going there.,Bluestone Lane,4.0 star rating,$$,"Coffee, &, Tea,, Gluten-Free,, Breakfast, &, Brunch"
