,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,HIioMCfH-S0JO34LzeBVtQ,Brian M.,4.0 star rating,"Aight, so, it's always been my dream, as a teacher, to have a place where I could do grades and drink...something other than coffee. I would leave Jersey City, my home, and venture out to Williamsburg for this Japanese/German spot called Blank that was part bar, part coffee shop. Barcade is also a good spot to work and drink a stout or two, but not if you need to read paperwork as it's dark. I don't use paper, so that didn't bother me.Brewshot is like Blank, but without the German/Japanese vibe (I adore) or the 45 minute commute.I've never eaten here, just partaken in their amazing Happy Hours. They offer to turn the lights on in my area when I come with my MacBook (I always go with my MacBook. I've only ever been here for business).I like this place for my particular intentions and hope they keep it up. I know some people are gonna be salty because it's not Porta or Webster Hall, but you don't gotta get your margarita with salt on the rim.",Brewshot,4.0 star rating,$$,"Coffee, &, Tea,, Cocktail, Bars,, American, (Traditional)"
1,Ik2_fN_Fc1QUifzun4Dv4A,Brian A.,2.0 star rating,"I recently moved near by and wanted to give this place a shot as there aren't many options in shoutings distance.On my first visit I thought it was decent enough given the hodgepodge idea of a coffee bar/ bar bar. I'm sure it won't bode well for business, however I like the idea of a place where I can watch football and it not packed to the brim for a giants game. After a lackluster selection of beers, terrible wings,( I may be in the minority here but when you say the chef's special for wings is a blend of seasoning and don't explain its curry and turmeric, wtf) and poor seating arrangement for TV viewing I still wasn't turned off enough to not come back. Given the proximity I came this past Thursday to find the doors closed at 10:45 pm and a nice fresh pile of vomit right in front.I know liquor licenses aren't cheap if you want to be successful you may either to pick coffee bar or bar bar and do one better.",Brewshot,4.0 star rating,$$,"Coffee, &, Tea,, Cocktail, Bars,, American, (Traditional)"
2,0XvJw4ocEM-5cqSj_Vqylg,George K.,5.0 star rating,Food is amazing. Must go. The chicken sandwich is one of the best I have ever had and the staff is always so friendly and accommodating. When I first moved in to cast iron lofts I was nervous their wouldn't  be any food options near by and I could not have asked for anything better then Brewshot.,Brewshot,4.0 star rating,$$,"Coffee, &, Tea,, Cocktail, Bars,, American, (Traditional)"
3,WnmCWjgGxAol4y46YAixoA,Alissa T.,5.0 star rating,"My friend & I hosted a 'Howl-o-ween' puppy fundraiser here & it was amazing. Management had switched mid contract which made me nervous at first but it turned out to be better than fine. Brewshot and their staff over delivered! They not only got security and a dj on their own dime due to management switch, they made us 300 jello shots and desserts on top of the alcohol and food already included. It doesn't stop there.. they even donated a percentage of our bill back to us to add to our donation to Father John's Animal House. We ended up raising $1,210 with Brewshot's help! This is definitely our go-to venue from here on out. Thank you ALL.",Brewshot,4.0 star rating,$$,"Coffee, &, Tea,, Cocktail, Bars,, American, (Traditional)"
4,sGl2nMUxkFPoVS3xPzp0Cg,Asia M.,5.0 star rating,The wings are amazing! And the drinks are on point . The atmosphere is great for friends or to have a date night. Will def be back,Brewshot,4.0 star rating,$$,"Coffee, &, Tea,, Cocktail, Bars,, American, (Traditional)"
5,nGcT_bWJZdRv79CEXIRG9g,Richenda R.,5.0 star rating,"The new bartender, Matha, was warm and welcoming. She even let my crew pick our own playlist.",Brewshot,4.0 star rating,$$,"Coffee, &, Tea,, Cocktail, Bars,, American, (Traditional)"
6,pwIQKhhVQ9yr69MlNb8HOA,A C.,5.0 star rating,"Love stopping by to see my crew over at Brewshot in the mornings. This is my go-to spot on my way to work. I've been coming by religiously, every morning, for the past month or so. Not only is the staff super friendly, they have turned into my morning family. Their baristas are an absolute charm to talk too, and I'm all about a good laugh to spice up my grumpy mornings. Their cooks always accommodate my food allergies, and even ask if I would like to substitute ingredients-- I really appreciate this the most!Bagels are always fresh, and toasty! They also have a divine selection of teas-- try their iced hibiscus tea! See you guys soon!",Brewshot,4.0 star rating,$$,"Coffee, &, Tea,, Cocktail, Bars,, American, (Traditional)"
7,t_JmUGpmoWvGICJuUAYp2g,Debbie W.,5.0 star rating,"Since my last post, the new GM at Brewshot invited us back in for another try.  We were VERY pleased.  The bar manager Kristen served us and was very attentive and on point.  The executive chef also came out to talk to us and explain changes that were being made to improve the service going forward.  The food was great (we shared a caesar salad and both got the salmon) but the food was never the problem, that was always good :) We'll def be back soon!",Brewshot,4.0 star rating,$$,"Coffee, &, Tea,, Cocktail, Bars,, American, (Traditional)"
8,vuAVBa0Vk5Aw-LN_3ZGWWg,Katharine K.,5.0 star rating,"Good food, clean, friendly (Felicia is an awesome bartender), good prices....great  experience over all.",Brewshot,4.0 star rating,$$,"Coffee, &, Tea,, Cocktail, Bars,, American, (Traditional)"
9,zAvLfeOUmcA1lWxuVKX9GQ,Annette N.,5.0 star rating,It's a great pre game and the food is awesome. I have lived in the area and a great place to eat and get take out.,Brewshot,4.0 star rating,$$,"Coffee, &, Tea,, Cocktail, Bars,, American, (Traditional)"
