,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,GNnj6Nh9krmB71UiTpVU5g,Chris L.,5.0 star rating,"This place is a little gem tucked into the heart of Hoboken!They might serve some of the best vodka sauce I've had.  It has a perfect balance of consistency and flavor.  Its BYOB and they have outdoor seating, which are definitely positives.To top it all off, the staff is super friendly (one of the best I've experienced in town) and will customize the order exactly the way you want it.This is a must-try!",Cafe Michelina,3.5 star rating,$$,Italian
1,Rth6t8yZWg498e0XJwWv7Q,S F.,5.0 star rating,The best Italian food in Hoboken..Always Great!!!!!Delivery is prompt and same flavor....Love the Eggplant!!,Cafe Michelina,3.5 star rating,$$,Italian
2,JdOVQnXtIH-vQbXe0yqAXw,Diane S.,4.0 star rating,"We had dinner at Cafe Michelina on a busy Friday night in November and had the Stuffed Rigatoni and Chicken and the Veal Carozza, which was a combination of veal and eggplant parmesan. Both were very good. The food isn't going to blow you away here but we like Michelina for its casual atmosphere, decent food, large portions and the fact that its BYO. And on that note, I would like to remind the PATRONS of a simple BYO rule: WHEN YOU FINISH DINNER, PLEASE CLEAR YOUR TABLE!  DO NOT LINGER OVER THE BOTTLE OF WINE THAT YOU BROUGHT!  If you wish to stay and occupy a table on a busy night, then order coffee or dessert. It is just rude and unfair to the servers to camp out and finish a wine that the restaurant did not sell to you. Turning tables is how the restaurant and servers earn their living.It was unbelievable. This couple of women had finished dinner and occupied a four-top the entire time we were at Michelina, lingering over their 1.5 Liter bottle of Yellow Tail (ugh!). Meanwhile, there was a line of at least 6 people waiting for a table. They didn't take the hint when the server repeatedly came back for the check. Come on people!",Cafe Michelina,3.5 star rating,$$,Italian
3,D3MuZ6SPPM8LX_siDqgM4w,Michael P.,3.0 star rating,We have visited Cafe Michelina a bunch of times for many years BUT this visit was not a good showing! We were very disappointed! The wait staff seemed more involved with their own conversations instead of taking care of tables! The chicken parm was terrible! Lack of sauce and a thin piece of crappy fried chicken!! Not sure if this was an off night but come on guys! Better step it up for next time! You guys are an amazing restaurant! KeepIt that way,Cafe Michelina,3.5 star rating,$$,Italian
4,q7Mb8zPMTH3rlK4MFnj6CA,Meg F.,4.0 star rating,"Italian BYOB that has great prices. My roommate and I came here for dinner, ordered 2 entrees and an appetizer and only paid 25 bucks each. Highly suggest this place if you are looking for good Italian food. My only downside of this place is I felt rushed. We had to place our an entire order when we were ordering. Our entrees came out on top of our appetizers",Cafe Michelina,3.5 star rating,$$,Italian
5,Fr6b1tmX-OAEPP6Tg8oZRw,Jim G.,4.0 star rating,They had me at eggplant parmigiana in the reviews and it didn't disappoint. Solid four stars. The service was attentive and the complimentary bruschetta had a nice oil flavor. The spaghetti is very thin like angel hair which is also a personal fave.,Cafe Michelina,3.5 star rating,$$,Italian
6,dg8--Yx4209LJpuKn7W2LQ,Mike G.,5.0 star rating,Have been coming here for years and enjoyed consistently good food. Portions are generous. Nice family run business. Pietro's chicken parm is magical. BYOB is a plus!,Cafe Michelina,3.5 star rating,$$,Italian
7,gW_v3DCnfiy5VNLk3FbR5Q,D D.,1.0 star rating,Slow service. The Caesar salad was disgusting. Soaking wet with water and barely any dressing. Stuffed rigatoni was ok but the chicken it cake with was rubbery and sticky. Vodka sauce was very bland. They also got my friend's order wrong and tried to convince her to eat it anyway. On top of being overpriced they overbilled on the salad. I will say the portions were large but I threw out half my meal anyway since it was so bad. Not going back.,Cafe Michelina,3.5 star rating,$$,Italian
8,5AHzVILMcPLyMuvGV4kNow,Clarke S.,2.0 star rating,"We have been regular customers of Cafe Michelina over the past two years. I can honestly say that we eat here or order about once a month. In the past few times pickup and delivery service has much to be desired... today will be the last delivery we will order from Café Michelina after we received our favorite dish (here), the Chicken Michelina with penne. We both ordered the same dish and combined both dishes had leas than 25 pieces of penne. And also, when someone delivers your food, in my book 10% is sufficient as a tip and the guy rolled his eyes.... so we are now cooking extra penny to supplement this expensive experience. :(. I wish I could post a picture along with my review, but you should see the picture itself in another post that I put up there.",Cafe Michelina,3.5 star rating,$$,Italian
9,2NK6zKxFEdj8WJEGaV2HMQ,Sharon E.,5.0 star rating,"This place is a hidden gem in Hoboken!  The penne vodka, chicken portobello in Marsala sauce and the eggplant Parmesan were all fabulous!  The food was delicious and the ambiance was casual and comfortable. The staff were attentive and the service was great!  I can't wait to go back!",Cafe Michelina,3.5 star rating,$$,Italian
