,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,cbtqguGifRx5rPmC_Bsq8w,Ngoc P.,4.0 star rating,"Neat place. Probably not the best for a date or mingling with friends. The several times I've been here, everyone was either glued to their laptops or working/studying. Its super quiet even with the music and I felt pretty awkward being the only ones talking. But if you're looking for a good study spot or a quiet place to so work, this is definitely a good option. I'm going to start by talking about their quiches. I didn't expect a quiche from a chain bakery to totally blow every other place out of the water. Better than the other french bakeries in town I might add. I was impressed. Velvety smooth filling layered with salty meat and a dynamite crust. It's probably a days' worth of calories but whatever. Girl's gotta enjoy her weekends. The other pastries are pretty standard and the coffees are good. I'd make the trip back just for those damn quiches.",Caffe Bene,3.5 star rating,$,"Coffee, &, Tea,, Bakeries,, Sandwiches"
1,FWGKud1x3J0hHuq3W1HkRQ,JP S.,2.0 star rating,"We were surprised and excited to have a Caffe Bene so close to the PATH and in JC. On a Friday cold night, we needed some sweets and hot drinks. Now I've been to a couple of Caffe Bene. It seems so promising from the outside. The plushy decor and sweet displays always brings you into the fold of the store. But the substance is not there. A lot of the items and drinks are facade of a wannabe coffee specialty store. What is left is the scraps and 10 hour old pastries at the end of the business day.We tried to order 2 items and both were not available. Ended up with a sliver of stale cheese cake. Service and preparation took long a long time. Not sure if they were understaffed on a Friday night or just cleaning up after long day. The bathroom needed a lot of cleaning and fixing up at this location. A new location but it seems hopeless it would change for the better.",Caffe Bene,3.5 star rating,$,"Coffee, &, Tea,, Bakeries,, Sandwiches"
2,2Ms9FpoHZ_tukzCzE23ogQ,Alina V.,3.0 star rating,"Came here for some dessert and coffee, and was a bit underwhelmed. We tried the peach green tea and the passion fruit tea, both were very good! However the desserts were not that good. We got the crème brulee; the custard was good, but there was no sugar layer on top that is supposed to be hard. It ruined the essence of a crème brulee. The plain cheesecake was good, I would get that again.We also got the pistachio macaroon cake which was good but even though I have a big sweet tooth, I found it too sweet for my taste.I definitely expected more from the desserts but the atmosphere is great. They have wifi and its a great place to come and study or do some work.",Caffe Bene,3.5 star rating,$,"Coffee, &, Tea,, Bakeries,, Sandwiches"
3,-oz7ifboERbXxepFzVo3Rg,Greg C.,5.0 star rating,"I think I found my new cafe! Coffee shops and cafes are popping up like dandelions in Jersey City, and nowhere is it more obvious than Newport! This one, in my humble opinion, is a welcome addition. Let's start with the food. Fantastic! They have all of the pastries that you would expect from a great coffee shop. They have a number of tasty specialty quiches, made to order sandwiches, and the best part...WAFFLES & GELATO! Coffee, tasty waffles, and creamy gelato is a winning combo!They have a great clean, casual, welcoming decor, plenty of tables for sitting with friends or getting some work done, and a super friendly, hard working, motivated staff. Bravo! I'm a fan.",Caffe Bene,3.5 star rating,$,"Coffee, &, Tea,, Bakeries,, Sandwiches"
4,m7L-lzzmXzDZ5CadcvbRCQ,Gerard R.,2.0 star rating,Funny story. Came here in the afternoon as I was dying for a pick me up. Got a double espresso and threw it down. Got back to my office and was more tired than before I drank it. Really odd effect. Anyways two stars for the nice cashier that served me.,Caffe Bene,3.5 star rating,$,"Coffee, &, Tea,, Bakeries,, Sandwiches"
5,rrtEm09rNvxtOG7Z_optpg,Dexter V.,3.0 star rating,"So I walked into this place needing some hot drink after chillin (literally) at Surf City.  It was around 10 at night when my friends and I came.  The place looks like a typical coffee house and it tries to exude that.  However, unlike other Caffebene I've been to this branch definitely has a more industrial feel.  Also the books they have on display, which at other 'Bennes you actually can read to pass the time, are all kept on display shelves way above an average person's reach.  That's kind of counter-productive in my opinion but hey what do I know about reading books anyway right?  Moving along, I instantly looked at the menu as soon as I got to the counter to reacquaint myself with their offering.  And then I saw it: Tropical Sunrise Mocktail.  All thoughts of that hot espresso, cappuccino or latte instantly left my brain and I became fixated on that one singular drink.  I had to have it.  I needed it.  I lived for it.  So after indulging my inner mocktail fanboy, I left the store a happy man...until I got out into the cold again.Walking outside in the chilly summer night I instantly regretted drinking that oh-so-delicious mocktail.  So I had no choice but to make a return trip back into the store to get that hot drink I originally wanted.  Thankfully my buddy Calvin was in the same boat since he also got a cold drink ('cause we're both idiots) so I didn't look like a total tool coming back and finally ordering some chai latte.  All I can tell you is it really hit the spot.  And you know what else hit the spot, this Caffebene location in Newport.",Caffe Bene,3.5 star rating,$,"Coffee, &, Tea,, Bakeries,, Sandwiches"
6,VzjdhCECYs8jbTKXZSqBZg,Jessica C.,3.0 star rating,"It was okay. It was a typical bougie coffee shop with mediocre waffles. I went here with my family, their were 6 of us and 1 two years old and 1 eight month old baby. It was not a place to go with kids. The place is filled with either businessmen getting a quick coffee or college students studying.I can't yelp what my family ordered and what they thought about it because I didn't bother asking. But I had the ""strawnana waffle"" or something like that - a strawberry banana waffle. I also had a tiramisu cake slice (because they also have it in a macaroon) and a strawberry banana smoothie.I wasn't too impressed with the waffle as it was a bit too dry for me with very little of the chocolate drizzle to give every bite that good flavor. The strawberries and bananas tasted fresh so that was a plus!The tiramisu had me very disappointed!! But maybe my standards are set too high. I just came back from Italy last week and their tiramisu was to die for and I've been craving, so coming here was just such a let down for my crave. It was nowhere near being at least okay.The strawberry banana smoothie was really, really good. I actually might come back for JUST that reason.Also, there is no parking since it is downtown jersey City, so good luck finding parking!",Caffe Bene,3.5 star rating,$,"Coffee, &, Tea,, Bakeries,, Sandwiches"
7,-srBuMt-vvZfzqzgkGPO8w,Benjamin R.,4.0 star rating,"The coffee is good and the prices are reasonable. An additional upside is that there has never been a line in the several times I've been there. There are no real downsides, I just prefer locally owned roasters and coffee brewers.If I could give one suggestion to the management it would be to install more standing, bar-type areas to drink coffee and work. I, for one, like to stand up when I venture out of my cubicle, rather than walk across the street only to sit down again.",Caffe Bene,3.5 star rating,$,"Coffee, &, Tea,, Bakeries,, Sandwiches"
8,pesm4D_IC0OapuZx0bpqgw,Jeannie G.,2.0 star rating,"Need a coffee and don't feel like walking down the street to Starbucks, swing by here. I have been to other locations and this specific one does not deliver many pastries but a small selection of other desserts.Not cheap desserts behind the glass (decorated with lots of detail), $3 macaroons, $6-7 fruit tarts/cakes, $3 brownies. Convenient quiet place to study, read, use Wi-fi, dessert after a date.-came on a Sunday afternoon, seats packed w/laptop users not going anywhere -ordered ""Ginger Spiced Apple Cider"" (basic)+ fudge brownie (pretty dense and fudgey)-great lighting; decorative bookshelves through out-open concept layout; few seats facing sidewalk/windows-service fairly quick-no line at the counter-super quiet inside***All in all, this place did its job with providing a nice warm seasonal drink and a small quick snack after a long stroll on the Harborwalk. Thanks Caffeebeane!",Caffe Bene,3.5 star rating,$,"Coffee, &, Tea,, Bakeries,, Sandwiches"
9,fqctl7hiR0pt7MHu5F4jvg,Jon L.,4.0 star rating,"Soft opening this week, so no pastries and limited menu items, but official opening with all menu items next week. Angel and the rest of the staff seem really friendly. Lots of space for studying and good lighting - this will be a good alternative to the Starbucks. Overall, excited for this addition to Newport.",Caffe Bene,3.5 star rating,$,"Coffee, &, Tea,, Bakeries,, Sandwiches"
10,M31wmUXdttt-aHCFYxxu2A,Nelson L.,5.0 star rating,"Overall: 5/5Good place to work or to hang out with friends. Relaxed environment, not too loud, with good wifi. If I was to study at a coffee shop, this would be it.Atmosphere: 4/5Relaxed, chill... a good place to work on side projects. There were also quite a few couples here too ;) Unfortunately I'm single so I don't know how romantic the place can be haha. Some people stay for hours and the staff don't seem to mind. The wifi is fast.Food: 3/5Average. It's like any other dessert place, personally speaking. The atmosphere is the main draw here The multigrain drink seems healthy and reasonably priced. The bubble tea (from another location) is not recommended tho.Service: 5/5 !!!!This is mainly because of one of the staff members named ""Angel"".So I had ordered a waffle with no whipped cream... unfortunately someone took my order and there weren't any waffles left. While talking to the staff member about this, Angel stepped in and apologized for the mixup. He also suggested (without my asking) that they should offer me a free drink. I hadn't asked for this, but it's definitely a nice gesture. He was also a cool guy to chat with after as well, and as I was new, suggested a free drink for me.",Caffe Bene,3.5 star rating,$,"Coffee, &, Tea,, Bakeries,, Sandwiches"
11,2Z_XlcN6rhOwISFg4EaiyQ,Jill Y.,3.0 star rating,Nice quiet spot for study and reading. But the music they play is so random Lol...Stms really distracting,Caffe Bene,3.5 star rating,$,"Coffee, &, Tea,, Bakeries,, Sandwiches"
12,Ylx-pXksZlOB0wGB9ZdrxA,Yuwei W.,4.0 star rating,Drink and dessert are pretty good. Environment is comfortable but often all seats are occupied in the afternoon (even weekdays). Anyway this is a good place for study or casual hangout.,Caffe Bene,3.5 star rating,$,"Coffee, &, Tea,, Bakeries,, Sandwiches"
