,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,mVMnnIsVcryf3JK08BzN9g,Adele P.,4.0 star rating,"Attended a great birthday party here for my friend Vicki. The place is the beautifully decorated. Unfortunately, it snowed the night of our visit and a number of friends canceled at the last minute, but the group of us who attended had a very nice time.I don't know how thrilled the birthday girl and her family were with the second table being taken away due to the cancellations, especially since they had already paid for that number of attendees.  We could have used some extra room because were were shoehorned in pretty tightly. I think there were about 15 of us all together, and had one long table placed up against one of the corner, circular booths. The food was served family style with large platters that were brought out by servers. They would put things on everyone's plate and then leave the rest on the table so we could pick. The appetizers alone were very filling. I loved the chicken, the lamb chops were great, and the hummus & baba ghanouj were nicely done. One of the appetizers was a crab cake that was put on my plate before I could ask if it had crab, so I was a little ticked about that. I tried to ask and the server walked away. The woman next to me tasted it, said ""yeah, it's crab.""  I can handle my allergy but give me a second to ask. The nurse sitting across from me grabbed my plate and handed me her clean plate in exchange. We were told the belly dancers would be out at 9 but they didn't go on until sometime between 10:30 & 11. Once the show started you really couldn't leave because you'd be in the way, so I felt a bit captive at that point. The guy in charge said it was because of the snow but someone else said this happens all the time - they wait for the place to fill up with a late-drinking crowd.So, food is good, management seems a bit disinterested, I won't judge based on how they did or didn't handle the party since the birthday lady's family was handling that, and it does look like a nice place for a romantic time out. I'd go again, I think, but there are other Middle Eastern places I like more.",Casa La Femme,3.5 star rating,$$$,"Egyptian,, Moroccan,, Mediterranean"
1,ii7l7VI6yAJEjUD9i11iMA,Shab A.,5.0 star rating,"Where else in Manhattan can you get top notch food paired with great entertainment (belly dance show followed by live DJ music), impeccable service and great decor? That's why I picked Casa La Femme for my 30th birthday to celebrate with my 10 girlfriends. The manager Ameer went above and beyond to accommodate all my asks. He's the nicest and the most patient person! I was so nervous something would go wrong, but wow, did they surpass my expectations?! The food was amazing, we loved the belly dancer and he DJ played great music for us at the end of the evening to we could shake it up. Can't go wrong with Casa La Femme. Don't let the negative reviews stop you from experiencing this truly hidden gem! You'll love it.",Casa La Femme,3.5 star rating,$$$,"Egyptian,, Moroccan,, Mediterranean"
2,PVdKQ_rgLcQTmhal7uAoZg,Katterin L.,4.0 star rating,"I came here on the 16th of March as a birthday celebration. Overall I thought the food, the show [bellydancers] and environment  was great... they were even nice when we told them we were only going to be 15 mins late of our reservation. Inside is beautiful. The only complain I have is how long it took them to take out our food. I'm not kidding you...we arrived at 845 and didn't leave until like 1230 because that is how long it took w bring each course out. We got the pixie course and the food was delicious. The drinks were on point. Overall good experience.",Casa La Femme,3.5 star rating,$$$,"Egyptian,, Moroccan,, Mediterranean"
3,taDuym1jnQkIt2h7TDl9jw,Shay B.,1.0 star rating,"One star because the ambiance was nice and the belly dancers are entertaining . Other then that don't waste your time. Poorly managed, service is horribly, food is overpriced for portion sizes. Worst group birthday Dinner experience I've ever experienced.",Casa La Femme,3.5 star rating,$$$,"Egyptian,, Moroccan,, Mediterranean"
4,EAnXILpLYuHl2PqdKsEpyw,Ally L.,5.0 star rating,"Been here many times, most recently for a birthday dinner and the service, entertainment, food and music were all fantastic.Probably my favorite place in NYC. Highly recommend.",Casa La Femme,3.5 star rating,$$$,"Egyptian,, Moroccan,, Mediterranean"
5,TXlw_uAtRAjIaCtPr3cZRw,Allie C.,4.0 star rating,"I've been coming here for 10 years, and I've always had a great time!The waitstaff is professional, know the menu inside and out, and will make spot on recommendations when asked.Food is really tasty, and close to being authentic, without having any extreme spice. On my last visit, they were very accommodating when I needed to switch the time of my reservation. However, they told me that the belly dancer would be coming at a specific time, so I booked my reservation around that. When I was almost done with our meal, and saw that there was only one other  table beside mine, I asked about the dancer. Was told she would be coming out in an hour. Since I have been told over the phone several times that the performance  is at a specific time every night, I wondered if they delayed her dancing, in order to get more tips. Which leads me to my next point:Warning : highly recommend coming without children. It's a quiet, Romantic vibe here, with a nightly belly dance show that can include quite an eyeful, and the dancer usually has dollar bills tucked into her skirt/belt... fine for adult audiences, but I prefer not to have little ones getting into the habit of tipping dancing girls a dollar at a time.",Casa La Femme,3.5 star rating,$$$,"Egyptian,, Moroccan,, Mediterranean"
6,2Xf8YyKoGsb0x_P5YxORyA,Natty C.,5.0 star rating,"Amazing food and service. I don't understand the bad reviews. This place hits on all the marks: great food, drinks and ambiance. I was blown away by the decor. I would recommend getting the prix fixe menu for $60 per person. Our server Joseph went above and beyond and was very accommodating to my large group. I had the best birthday dinner. I definitely recommend for a special occasion or impressing a date.",Casa La Femme,3.5 star rating,$$$,"Egyptian,, Moroccan,, Mediterranean"
7,xhFdtmTWO-sfLaSonBQDxw,Priscilla A.,1.0 star rating,"The worst group dinner experience I have ever had in my entire life! Food was mediocre, it took 20 minutes for a glass of water, 50 minutes for our first round of alcoholic beverages to be delivered, a long ordering process which lead to a long wait for our food which arrived with several mistakes and they lost my birthday cake for a while. There's not enough staff, alcohol and fruit. They ran out of drink ingredients, fruit garnish and champagne.  It was so excruciating most of my guests called it an early night as did I. I had to go through my bill w the manager and stand over him to make corrections. Be warned- don't celebrate anything important here.",Casa La Femme,3.5 star rating,$$$,"Egyptian,, Moroccan,, Mediterranean"
8,IrD5nSotFVL_ahj9iHu-vA,Rosanna W.,5.0 star rating,"Gorgeous gorgeous setting. I felt like I was in a mini 5 star hotel in Dubai! The floor is made of real grass! There are six private bathrooms in this hotel, and each have a different color scheme. They even have belly dancers come to dance in this restaurant. I came here with my boyfriend, and we enjoyed the hummus platter, as well as the show. The dancer was so beautiful and skilled. She balanced candles on her head and also her legs even! It was incredible.",Casa La Femme,3.5 star rating,$$$,"Egyptian,, Moroccan,, Mediterranean"
9,nR0ytYiyJGKsO8wknWU8jg,Jasmine J.,5.0 star rating,"Such a great restaurant! Literally everything was amazing. All courses was delicious, the service was impeccable & the decor is so dope! I will recommend everyone try this place once because I'll definitely be back. I took myBoyfriend for his birthday dinner & he was super appreciative. We had the best time ever!",Casa La Femme,3.5 star rating,$$$,"Egyptian,, Moroccan,, Mediterranean"
