,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,I1cp-ku6C8IPpvcjy80Ofw,Natalie K.,4.0 star rating,"So impressed with all the VEGAN options here! I never expected to be able to enjoy eating at a seafood restaurants with my friends. Yet at Catch, they have 3 vegan specialties, in addition to several other menu items that state they can be made vegan. A lot of the sides are also vegan. They also list what is gluten-free, making this an awesome place for people with dietary restrictions to eat with a group of people. MUST TRY: crispy cauliflower. It looked like fried shrimp, but instead it was delicious crispy little bites of fried cauliflower coated in a flavorful and slightly spicy sauce (tasted like sweet and sour almost). I also really loved the hearts of palm vegan ""crab cake"". Such an interesting texture that mimics flaky crab. The sweet potato gnocchi was delicious and is more filling that the other two vegan dishes. The dishes was $20-$22 each so it is on the pricey side. I wouldn't get all three if you were eating them by yourself!It does get VERY crowded at peak times such as friday/weekend dinner- so be sure to make a reservation. The tables were packed and kind of small so you might have to squish.Great drink menu + non alcoholic drinks as well. I enjoyed my Revitalizer juice a lot (carrot + apple + ginger). I was so sad they were out of the vegan cheesecake dessert- but the fact that it exists on the menu blew my mind. They also have dairy-free sorbets for something lighter. Service was great! Food came out fast, and besides being very busy, the waiter was attentive and friendly. All in all I will be back! Great place for a nice social dinner and great food.",Catch,3.0 star rating,$$$,"Asian, Fusion,, Sushi, Bars,, Seafood"
1,JZgX9edHgqO8mpQiU1i8xg,Craig Z.,1.0 star rating,"This is one of the worst restaurants I have been to in a long time.  I went for a business lunch, and didn't pay, but on future lunches with the same person, I asked to go for fast food instead, because even on someone else's dime, this place is not worth eating at.Nothing I had was good, and most of what I ate was pretty bad.  I can't remember all of the names for the different raw fish dishes, but the special rolls (maki) at any neighborhood sushi place would be better than anything I had here.  The fish wasn't particularly fresh, and the seasonings didn't work.As for cooked food, I can't remember anything other than the broccoli rabe...it was such a black hole of good taste that nothing else escaped it gravitational pull.  It looked disgusting too, brown, as if no one in the kitchen knew how to cook greens properly.  And it was sauced with some kind of vinegar that made it seem rotten...who knows, maybe it was.I had some rose' wine my dining companion recommended, but it wasn't good...he thought the bottle had probably been open too long.  The services was bad, and I think one of the plates had a chip in it.  And for all of this, you pay exorbitant prices.I think a lot of the reviews are probably from people who went for the bar and the scene.",Catch,3.0 star rating,$$$,"Asian, Fusion,, Sushi, Bars,, Seafood"
2,LgHl0_z1AqjCj98ZZzkSZQ,Rick H.,5.0 star rating,"This restaurant is awesome!  I went with several friends on a Wednesday night and as the evening went on this place became packed. What a great place for dinner!  I haven't had a meal this good in a while. The service and food were excellent. You can order entres or small portions to share.  We had a whole Snapper and  twi Swordfish and the were cooked perfectly. My Swordfish steak was grilled with a side of pesto and mixed vegetables. The wine, Sanoma Cutter Les Pierre was the perfect match. I also had a few Rogue Dead Guy Ales. The deserts were difficult to choose because they all looked so delicious. We had several. Check out the pictures. If you are in the meat packing district check out Catch. You will not be disappointed.",Catch,3.0 star rating,$$$,"Asian, Fusion,, Sushi, Bars,, Seafood"
3,pAH7UV5XXP_8mj5IIZzIDw,Rossy M.,3.0 star rating,"Came here for Restaurant Week with a friend and the food was just okay. We got the rock shrimp as appetizers which were delicious. As entrees my friend had the salmon (amazinggg), and I had the grilled mahi mahi which unfortunately left a lot to be desired. The dessert was not that great either. The lush lemonade and pineapple trainwreck cocktails were good, the kali one wasn't really my favorite. Our server was nice and attentive. As for the restaurant set up I feel like the tables are way too crowded together, we felt like we were having dinner with the couple next to us.After dinner we headed to the roof for some drinks. The ambiance was nice, the music was popping, usual Meatpacking crowd. I imagine it's better in the summer because you can go outside. They had stopped serving the restaurant's signature cocktails because it was late so we had well drinks instead - a little on the pricey side but they don't skimp on the alcohol. Overall a solid spot if you're looking to have dinner and then some fun after.",Catch,3.0 star rating,$$$,"Asian, Fusion,, Sushi, Bars,, Seafood"
4,D7Gg0MPqQPKPvbgX5XT0fQ,June C.,5.0 star rating,Tried their $29 lunch at New York restaurant week. Their sushi rolls are the best I ever tried... one of the waiter is very professional but the other one is kinda out of situation... and it's hard to get reservation too. I would like to come again next time to try their rooftop lounge at night.,Catch,3.0 star rating,$$$,"Asian, Fusion,, Sushi, Bars,, Seafood"
5,HwrqD1oHxCe9k4PUCmg7fw,Taylor C.,5.0 star rating,"I'd heard rave reviews from friends who'd visited Catch in LA and knew I had to try it myself. Thankfully, they participated in Restaurant Week & i am so glad they did! The service was absolutely impeccable - Tim was our server and was just plain wonderful in every way. Our reservation was honored right on time on a busy night, and all of the food was to die for. We had the shrimp (tasted like bang bang sauce, super good!) and the MRC roll for our first course, and the mahi mahi and the mussels for our second. We ordered lobster mac (not on the RW menu) but it was damn near life changing - so worth it! By the time the smores pizza came out for dessert we were too stuffed to eat more than a few bites, which was upsetting because it was sooo delicious.I will absolutely be returning to Catch & will have no issue paying full price! I rarely say this but..worth the hype!",Catch,3.0 star rating,$$$,"Asian, Fusion,, Sushi, Bars,, Seafood"
6,-SwNBozpV_vLZa2ujt6L9A,Nicole B.,4.0 star rating,"We came for restaurant week and it was nice.  I love the food from the sea so their restaurant week menu wasn't bad.1st I got the crispy shrimp  and they were very tasty + nice portion2nd course was the Mai Mai with tamarind butter off the chain delicious3rd was the sorbet on a bed of tropical fruit and shredded wheat (only way i can describe it but worked so well with the sorbet)....it was super tasty and refreshing!Make a reservation early because it gets very crowded, then you reservation is more like a place holder...llsOur server was awesome she was knowledgeable and fun..totally enjoyed the experience.Only reason I give it 4 stars is becuz i am a cheap Phatt girl and they did loose me at the tasty, pretty good strength $18 drinks...soooo it was RW  I indulged and enjoyed.  Note to self definitely try more food but bring my flask!!!! llsGreat place!!!",Catch,3.0 star rating,$$$,"Asian, Fusion,, Sushi, Bars,, Seafood"
7,EqrasoVaQDbl_6s5Xf8PAg,Fatima H.,3.0 star rating,"I had been wanting to try this place for a while & after our initial Christmas dinner plans fell through we saw that Catch was open. Technically our reservation was for 9:15PM but we wound up arriving about an hour earlier & fortunately they were able to seat us. Breakdown below. Pros Drinks - the drinks here are pretty good and pack a punch. Service - loved our server, she knew the menu well and had great recommendations. Atmosphere/decor - Sexy yet comfy. Definitely a fun atmosphere.Meh The food - we ordered a ton of food, the MRC roll, octopus, bao buns, wagyu tacos & the whole dorado but nothing on this menu wowed me. On top of that for the prices you could definitely find better seafood restaurants. The dorado was drenched in a lemon butter sauce. The sauce was good but it should've just had a few drops/been seasoned with it vs drowning in the sauce. I couldn't actually taste the fish. The whole time I was thinking, I wish I had some mashed potatoes to smother in that sauce. Cons Truffle Sashimi - so normally love truffle with most foods but doesn't work with a good piece of sashimi. The tuna on it's own was flavorful & the truffle just overwhelmed the fish. Totally not worth it. Overall my experience here was underwhelming. I'd come here for drinks but not dinner. TL:DR Underwhelming menu, drinks & service are great.",Catch,3.0 star rating,$$$,"Asian, Fusion,, Sushi, Bars,, Seafood"
8,7rHfqfJGWO7rt_6uef-rDg,Sacheen V.,5.0 star rating,"Absolutely had a great time here. Ambiance was perfect. Came in to celebrate my birthday with some friends and family. Place was pretty crowded but it was a nice crowd. Good feeling. Our server Clarissa who was very sweet and informative was great!! Trusted all of her recommendations and they were right on point!!  We were a party of 6. We all had something different. The truffle fries were delicious. The avocado toast was very filling and tasty. Had a nice mixture of pomegranate seeds and almonds mixed in the avocado. We chose to have our eggs scrambled on top instead of the poached that was on the menu. Very good. They were cooked to perfection. I had the beef sandwich. Clarissa recommended it and said it was amazing and guess what? IT WAS AMAZING!!! Enjoyed every moment of it. The lobster Mac n cheese was very good also and filling. My girlfriend had the grilled octopus which I also had a taste of and it was tasty. A couple of friends had the lobster roll which was also mouth watering. Everything we had was very delicious. To top off the end of the brunch we hat the ""hit me"" cake!!! OMG!! To die for!! Loved it. Can not wait to come back for dinner.",Catch,3.0 star rating,$$$,"Asian, Fusion,, Sushi, Bars,, Seafood"
9,DDWTRX_3-y1KsL0598qupA,Joy G.,3.0 star rating,"Catch is very, very good for two things: (1) people-watching in an eye-catching doozy of a space and (2) eating small amounts of food and shuddering at how much damage you're racking up. On this side of the Meatpacking District, you will get a stare-down if you come in wearing slightly scuffed sneakers. I came on a ridiculously rain-soaked evening, yet I was the only one looking like a drowned rat in the whole dining room. Everyone else seemed perfectly dry and well-coiffed. It was something out of the Twilight Zone. Second, the food was tasty but ... well, I don't have the biggest appetite in the world but I was left feeling disoriented when, after eating three appetizers and two large plates, I felt like I could have used a hamburger. Of the appetizers, the ceviche was the best, though the blood orange ponzu was an interesting ingredient choice, as the citrus/acidity didn't really fit the crab and lobster.  Also tried the Catch Roll, which was extremely basic, and the Crunchy Rice Cakes, which were about the size of my hand. C'mon. And I will say that we only ordered the rice cakes because the waiter seemed personally put off by the fact that we only wanted two apps and one entree and no drinks. So, like a golden retriever practically shaking with the need to please, I caved. If it weren't for the prices, the menu feels like it's from a Thai/Chinese/Japanese place that tries to cover everything and doesn't do anything well.The dorado came soaked in butter and oil. It was seriously like ordering a plate of butter with a side of fish. Throughout the whole meal, I was trying to gauge whether the other customers were really that satiated by a few bites of oily fish or just really good at masking their hunger. The Hit Me was amazing, though. It is the sole reason why Catch is getting three stars instead of two. And people can obviously do whatever they want but I felt a bit sad at seeing tables ordering this chocolate concoction from the heavens, whacking at it for the Insta, and then not eating a bite. This has nothing to do with Catch, just thought I'd throw it out there.",Catch,3.0 star rating,$$$,"Asian, Fusion,, Sushi, Bars,, Seafood"
