,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,EVwT9lleIRE9JB-kRNs0Ng,Stacey T.,3.0 star rating,"I've been to this location and the downtown location a few times.  The downtown location is much smaller and closer to the hustle/bustle so it was always full during lunch hours.  The downtown location was closed for a period of time due to construction and now that it's reopened it's vegetarian/vegan only.  I realize this location is further uptown, but cannot figure out why it's always empty.  Because traffic is minimal, there is usually only one person there to host/wait tables, but this has not been an issue for us.Same as the downtown location, guacamole is still made fresh at the side of your table based on the spice temperature you request.  The food isn't AMAZING, but it's consistent and reliably good.  I will say that the lunch platters aren't the cheapest (ie: chicken fajitas are $14 plus tip/tax) so that may be another reason there aren't more patrons.  I wonder what it's like for the dinner crowd.",Charritos Midtown,2.5 star rating,$$,Mexican
1,fkOEQFBzCb2dhm3kz_mU3Q,Jane M.,1.0 star rating,"The Charritos Uptown was SO DELICIOUS, way different than this one, Charritos Midtown. The food at this midtown location is really bad. I mean TERRIBLE. Suffice to say the taste and visual were both disgusting. I can't believe anyone who makes this slop has ever cooked before. I was so disappointed, because I was so excited when I saw it was opening--it's so much closer to me than the one uptown. And the decor is so lovely, it's such a waste! I've gone three times, each time hoping it would get better, but each time I leave disgusted. I have completely written it off. Just googled it and confirmed my beloved Charritos Uptown is closed. How sad, it was amazing.  RIP Charritos, indeed. :(",Charritos Midtown,2.5 star rating,$$,Mexican
2,yBVjHh3xwqAZq6iy5pk5Dg,Sara M.,5.0 star rating,Really authentic Mexican food! Excellent service and beautiful atmosphere! Just loved it!!!,Charritos Midtown,2.5 star rating,$$,Mexican
3,lM0W3WLp-5w84mpEIBaMBg,Nikki S.,2.0 star rating,"Five stars for the food, 0 for the service. The service was horrendous. When we walked in, there was only one other table being used, so there's no excuse as to why it was so bad. We ordered two appetizers immediately and they came out quickly.  It then took over a half hour to get our food orders in. We had to keep flagging people down, and they still would turn around and head back to the bar area. We finally got orders I'm after giving up and walking to the bar. On top of that, it was impossible to just get waters. I asked for a refill of water twice....an hour later as I was paying, it comes.",Charritos Midtown,2.5 star rating,$$,Mexican
4,7wnXENfT2dDtt0AXcHKzhQ,Danielle G.,3.0 star rating,Love the decor but food not the best. The flavor just not there. Not bad not great. But service was good and BYOB is always a nice option.,Charritos Midtown,2.5 star rating,$$,Mexican
5,JNmKC7f6bLTl7iLadzmBhA,monica s.,5.0 star rating,"This food is beyond good.  Reminds me of home and of moms cooking.  The staff attend to your needs with friendly smiles.  Chips and salas have a good taste.  It's BYOB for micheladas, sangria, margaritas but the have all the mixes to make drinks.  They don't offer Ice Tea but have hot tea.  They serve coke-cola, Sprite, horchata, agua de Jamaica, and Mexican fruit sodas. The tacos, torta, and chilaquiles we ordered was very authentic!  If you are looking for authentic Mexican don't look any further you have arrived.",Charritos Midtown,2.5 star rating,$$,Mexican
6,jXxn-ixk4rdJUcfDclspDQ,Julia S.,4.0 star rating,"We had dinner at this place, on the street because it was a warm summer night, and it was really good. We had guacamole as an appetizer and tacos as a first dish. Everything was good and the prices are ok too. All the employees were really nice.",Charritos Midtown,2.5 star rating,$$,Mexican
7,fC-X39d9iOqIQKGILg8ZOQ,Stephanie S.,2.0 star rating,"Was super excited for a bigger new location to one of my favorite Mexican restaurants, but very disappointed that the menu is different from the other locations, no burritos!!???!! That's a staple and they don't have it here.They also wouldn't switch out chicken for steak in the enchiladas we obviously would have paid more but they refused. Seems like they don't do any substitutions at all with anything because I also prefer flour tortillas to corn, which they offered as a side dish, but wouldn't do with the tacos. ??? So weird. The food was really tasty but they are Much smaller portions than the other locations too. Not very thrilled.  Won't be back to this location",Charritos Midtown,2.5 star rating,$$,Mexican
8,NWLqOKl0Vxi7qK-6EoBLbg,Brandon E.,4.0 star rating,"You know I've always said what our square mile city really needs is 3 of the same Mexican restaurant...To be honest, I loved Sabores more than Charritos and was sad that it closed, but Charritos stepped in to take its spot. We decided to give it a try the other day. I will say this, it seems to be slightly different than the other two. One of the differences is everything seems to be a buck or two more than the other two. Bigger space, higher rent I guess. They did a good job renovating the space and expanded the ""bar area"" (still BYOB) a bit. Now the food, we came for brunch, it looked to be a similar menu but this time they actually had the steak torta, the uptown charrittos has NEVER had it in at least a dozen times trying to order it. It was pretty tasty, a little too much mayo but overall very good. These come with kinda like ribbon fries instead of rice and beans which I liked. The wife got the chorizo torta and it was the same as the other locations, but very good.The salsa was very different it was more watery and seemed more like a sauce than salsa, this I wasn't a fan of and they give you a tiny little ramekin of it to start, it's hard to dip. Service was a little better than just order, drop off food after 4 minutes and then check. They actually were friendly. So I will hope that maybe they are stepping up their game service wise at this location.I'll give it another try if I'm not near the one closer to my apartment.",Charritos Midtown,2.5 star rating,$$,Mexican
9,8DvkDaeyubRwcpGCp9hg5w,Scott S.,2.0 star rating,"I used to love the uptown location, and i generally have been fine with this spot. It is *very* expensive relative to other Mexican restaurants, but the food is good. There are other Mexican spots with better food in the area that are much cheaper (Cemitas Pueblas, Los Tres Chilitos), but i will say there is no way around any of these places screwing up delivery orders. Anyway, I order from Charritos quite a bit and usually happy with it, but I have to say I'm pretty put off by them. As you know we had quite the snowstorm yesterday (snow & thunderstorm) and with my fridge & freezer only consisting of shop rite brand d'giorno pizza and trader joes frozen peas from earlier in the decade, I knew I had to act fast. So I place an order to Charritos (figured out of Hoboken spots wouldn't deliver in the storm) and threw a $15 tip on it for the delivery guy braving the weather. Realized i didn't order dessert and called for some Flan, and boom, $7 on my credit card in a flash. I get my big delivery and pull out my combo fajitas, which at twenty seven dollars better be the fajita equivalent of the martin & lewis shake from Jack Rabbit Slims. Considering I can get the same thing at Chili's for $10 less (I know you foodies are rolling your eyes at me right now, but you gotta admit you love Chillis. and if you don't it's also okay, I can freely admit I was and still am upset Hoboken closed Dominos). and then i open my order and what the deuce - there are no tortillas! I mean, that's a pretty crucial component of the fajitias dish - never went to Chills and had them not give me the tortillas. so i call the restaurant and since there is a storm i understand they can't send a delivery guy back (although after a $15 tip, i figured maybe he'd volunteer!). so they offer to refund me $2.50 and apologize. i have no choice but to accept, but as you can imagine, they were quick to put the extra charge on for the flan, but they never refund me for the tortillas. so of course i call seamless the next evening, and they contact the restaurant, and now my $2.50 refund is only $2.00!  so disappointing. so my advice to you is to start drinking heavily flounder. actually my advice is if you're stuck in a snowstorm and craving fajitas, I think you may need to put on your snow boots and head to Chillis. and here are two tips for you since you read my complaint about $2 refunds - awesome Mexican in San Fran is called Don Pistos, and best Mexican probably anywhere is La Buena Barra in MTY.",Charritos Midtown,2.5 star rating,$$,Mexican
10,r4wdiLPhiAQTnPlcZIn5vA,Christina C.,2.0 star rating,"The new menu at this location is not great. I used to love Charritos but recently they've truncated their menu. All the specials I used to enjoy are now only available on certain days as specials. Every other day the menu includes tacos, burritos and a few classics. I'm not 100% sure, but it seems like the prices have gone up as well. I probably won't be back if this shortened menu stays",Charritos Midtown,2.5 star rating,$$,Mexican
11,qQOYdTL9EWKBBR7nirMRBg,Miriam G.,3.0 star rating,The food gets worse and worse every time I come here. The lack of menu options and the service has moved the restaurant from five to three stars for me. One plus is the guacamole is so tasty. Other then that I have nothing else to say.,Charritos Midtown,2.5 star rating,$$,Mexican
12,p6dCpYc1ClGUlS-x4PA3kA,Angela C.,1.0 star rating,"As a long time customer of Charritos, my heart has officially been broken.  I learned my favorite location has been closed down this week when I tried to call and order delivery, so I tried to order from one of the other two locations.I first called midtown, however they would not take a delivery order and instructed me to order on grubhub.  So I downloaded grubhub and went to place my order.  First of all, the whole menu isn't even on grub hub.  Why?!  I have no idea.  And 2nd the prices are 20% more!!!!  So next I called downtown, and they told me they do not deliver either.  I mean what TF is going on,  I am happy to pay cash for you to deliver my food which has been the policy for years now.  Downtown told me to order on grubhub, and when I explained the whole menu wasn't on there, they told me to edit something similar.  I tried but how am I supposed to order a quesadilla when there isn't even one on there?!  So I then tried to call downtown for a takeout order, but they didnt have the enchiladas I wanted.  Now I am extremely frustrated, since I was looking forward to Charritos since the afternoon.Finally, I called back midtown and placed an order for everything I wanted, but I had to drive there to pick it up.  Which at this point I was so fed up, I just did it.Well we picked up our food no problem.  When I got home I was extremely disappointed.  Here were my issues:1. The chips are different!!!! How can this be?! The amazing thin tortilla chips have been replaced with a thicker stale version.2. The salsa is different, ok what is going on?  How do you change your salsa recipe, or is it now store bought?3. I was given white rice with the quesdilla,  ummm white rice?????  4. They were stingy with the guacamole, it was not a whole avocado, and it was their pre-made version not the fresh version.So I am sad to say I will not be coming back.  Your new business model is awful, and clearly your new cooks in the kitchen do not know what is going on. I will be trying every other mexican restaurant in town.  And I suggest not giving them anymore business.RIP Charritos",Charritos Midtown,2.5 star rating,$$,Mexican
