,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,kwwsfummfBCroYRZ77Mbzg,Xcetera x.,5.0 star rating,"An all vegetarian menu. Wow what a brave move. Please keep in mind only this location went all vegetarian And they do it all so well. It's still extensive and so tasty. The guacamole is, of course as good as it has always been in charritos! Made fresh, table side with degree of spice to your preference. The burrito with vegetarian picadillo was filling and tasteful with a side of rice and beans. No complaints, rather much curiosity and delight from the person who ordered it. (How can I replicate this at home? What veggies are in here?) I ordered the gorditas...think open pupusas kind sandwiches. Corn torta stuffed with beans and other deliciousness. Two in an order. Delightful. And the molotes...stuffed maduros (sweet plantains) so delish.  Yum yum yum. Nothing disappointed in fact it was all so guiltless and flavorful and the service was the perfect combo of respecting your space and keeping you hydrated. Nicely done. And thank you for the full vegetarian menu. (Bow)",Charrito’s,3.5 star rating,$$,Mexican
1,0EQLLKhYgf6hkPlA5gXdkA,Mira R.,3.0 star rating,"I went in SUPER excited to try out their vegetarian menu. Guacamole wasn't as spicy as I requested (5th st guac, former uptown location) still has the best guacamole hands down. This guacamole doesn't taste the same. Food seemed dry and bland. If you are following a vegetarian, vegan, low sodium and BLAND flavor diet then this is the place to go. Everything just tasted dry to me. Place is TINY, hard to get in and out of your table without knocking someone else's table.Not sure if I'll be returning to this place again. Will probably stick w 5th st location so I don't come out of the restaurant feeling peeved Bc I didn't like the food I ate.",Charrito’s,3.5 star rating,$$,Mexican
2,b0x4HrjoB6Mo47G5bJN0rw,Irina D.,3.0 star rating,"It truly pains me to write this review of Charrito's downtown location but I feel like I must. Since I wrote the original review I've been to this location several times and enjoyed it immensely. However, the current incarnation of the restaurant, which displays the word ""Vegetarian"" on its front window, leaves a lot to be desired. What remains true to its original form is the gorgeous painted walls (mural like) which seem inviting and that the small size of the restaurant creates a welcomed intimacy. Charritos' brand name has gone through a lot of changes in the past several months. They first opened a midtown location, which had a different menu than the downtown and (now closed) uptown location, while the downtown location was going through renovations. Once my beloved uptown location closed I was waiting in anticipation for the downtown location to open as the only non-meat item on the midtown location's menu is their staple table-made guacamole. I was even more excited to find out that the downtown location had a vegetarian menu and had one of my favorite dishes (Chiles Rellenos). I've managed to convince my carnivore fiance to come here about a week ago for an early dinner. He got there before me and got a table as the restaurant was pretty much empty. Once I got there he told me that he saw at least one couple leave after being told it's vegetarian only.While the restaurant was pretty empty once I came in, besides one party, it has filled up in the time we were there (each party coming in was told the same thing about the vegetarian menu). We started with the table-made guacamole and while it was just as good as in other locations, we both noticed the size of it was much smaller than usual. I later realized they only used one avocado, as opposed to their regular two, yet charged the same amount for it. I am not sure if there was some kind of shortage but either way, that was really disappointing.As for the Chiles Rellenos themselves, my favorite part about the dish is the oaxaca cheese they are filled with. What I didn't realize until ordering is that this restaurant isn't actually vegetarian but it's actually vegan. Perhaps the owners and workers do not know the difference but it's a significant one. The poblano pepper instead was stuffed with a cashew based sauce. It was not bad but it was far from the flavor of their original Chiles Rellenos. My fiance ordered the Fajitas (Sautéed peppers, onions, tomatoes and squash. Served with rice, beans and almond cream) and found it to be just ok, he ordered a size of cheese but it was vegan cheese and far from the best I've ever tasted.I am honestly not sure if I will be back.",Charrito’s,3.5 star rating,$$,Mexican
3,a0f1WawCbZmmupTjSd099g,Jadira Q.,3.0 star rating,"Before I start this review, I think its important to note there is 2 Charrito's in Hoboken.  The one on 121 Washington is VEGETARIAN while the one on 518 is not! lolI say this only because we were all in the mood for steak and we had  no idea there were two Charrito's in Hoboken.  We went to the one in 518 first but quickly discovered our friends were not there so no biggie! We walked down to the one on 121.  This is when we quickly discovered there were no meat options here!But nonetheless we sat and really took in how pretty and intimate this location was.  The walls are beautifully painted and the seats against the wall are lined with delicate pillows...and the plates! The cutest little things I have seen! Everything about this place is carefully thought out which I can really appreciate it.Because it was BYOB, we asked the waiter that was dressed in typical Mexican attire to make us a Margarita pitcher with the Tequila we brought.  They don't offer any flavors for the Margarita but the regular one tasted just fine to us. Maybe because he used half the bottle but it was still pretty good! lolFor food, we decided to order the Guacamole, the Tamales and the Molotes which were pan fried plantain that is stuffed with cheese, tomato sauce and queso fresco topped with pickled onions.  All were pretty good and apparently the tamales were spicy.  Perhaps maybe because I have a high tolerance for spice but I didn't think it was that bad but it did take over your entire palette so everyone decided to taste since the poor guy was breaking out in a sweat!! Good times! lolThe Guacamole was also really good and made to order tableside.  I think everyone there had ordered it and you can decide the level of spice to it. We were really tempted to order the Nopales, which is the grilled cactus but none of us pulled the trigger to try it!  Perhaps I will try during my next visit because the presentation of the Guacamole was pretty adorable and I can see this place being a cute spot to catch up with one of my friends :)",Charrito’s,3.5 star rating,$$,Mexican
4,N9gE4o_FnxHTY2nLQsiFsw,Pearl S.,4.0 star rating,"Charrito's a Hoboken favorite of mine. Yesterday, a friend and I were planning to have dinner at the midtown location, thinking the downtown location was still closed. We were pleasantly surprised when we discovered that the downtown location has reopened and now the menu is fully vegan, with the exception of two items which are vegetarian. We ordered the elotes, enchiladas rojas, alambres, and the chips & salsa. Everything was just as delicious as before and we could not even taste the difference between vegan cheese and dairy cheese on the elotes. The chips were accompanied by two sauces, one which was a roasted tomato salsa and another was a which was the consistency of a well-blended green smoothie, both were absolutely delicious. The enchiladas were filled with sautéed greens and topped with a spicy red sauce. Btw its BYOB so be sure to bring a bottle of wine to their their sangria (or tequila for their margs)!",Charrito’s,3.5 star rating,$$,Mexican
5,cnpgtNvAqypi0MS9pH5zvA,Romi J.,4.0 star rating,"Ambiance is fantastic it was nice and toasty. It was very colorful and reminded me of Mexico.FoodAparently they ownly serve vegetarian food now.  I was starving and already sat down so I decided to stay. I ordered the green enchilda. While it was flavorful, I thought the portion size for Mexican food was quite small. In addition, for some some seasoned vegetables, black beans, rice and two enchildas the prive was pretty steep $16.05 (without tip).The service was good, granted there was only three of us there on a Tuesday night.In sum, I wouldnt return because of the steep prices.",Charrito’s,3.5 star rating,$$,Mexican
6,JDi9kmwEUMdWgkVI2asMFg,Milan S.,5.0 star rating,Best Mexican food! Love everything I have tried. Been here multiple times.. great food and service.,Charrito’s,3.5 star rating,$$,Mexican
7,YS76qea53tIuVsnzzczPIg,Jordan L.,4.0 star rating,"The 121 Washington location is all plant based and VEGETARIAN and VEGAN, which for me being a vegetarian was amazing! We started by bringing a bottle of Tequila purchased from across the street at Sparro Liquors (how perfect). We ordered a pitcher of margaritas which were very strong. I only hope the servers used the entire bottle of Tequila, because we did not get it back! The food was Amazing and so so filling. We ordered the Quesorito (Queso + vegan chorizo + Mushrooms) served with corn tortillas and salad, as well as the fried plantains stuffed with vegan cream cheese. Luckily, we did not order anything else because these two dishes alone were huge and extremely satisfying. 9 out of 10, I would hands down go back again! The location is small, but intimate, and we were the first ones there and within one hour every table was packed. Hoboken needs more vegan and vegetarian places. Thank you Charritos!",Charrito’s,3.5 star rating,$$,Mexican
8,7h2wGMj-N2VwQ7dVu6Wazw,Alex V.,4.0 star rating,"My wife and I were craving some Mexican food, and we remembered this place. Been here before, and we loved the tableside guacamole preparation, so we got it again. This time, we asked them to make it spicy, and it came out amazing. We pretty much licked it clean.Also got some beef enchiladas with rice and refried beans as well as chilaquiles with pork. Both dishes were very tasty and hit the spot.I do agree with what a few other reviewers mentioned, that it's a bit overpriced for Mexican food. I guess Hoboken rent is expensive, so they're trying to make a profit.",Charrito’s,3.5 star rating,$$,Mexican
9,zB8TS8sr8zLQ7hSu78Gkjw,Wei V.,4.0 star rating,"Suddenly I had a craving for Mexican food on Sunday, my husband and I decided to go to Charrito's and have an early lunch. When we walked into the restaurant right before they opened, the staffs were still preparing. They told us to have a seat politely.We ordered the tableside guacamole, chilaquiles con carne with spiced pork loin and enchiladas norteñas with beef. Everything came out great. It was a lot of food for both us.",Charrito’s,3.5 star rating,$$,Mexican
10,YwL66RHnviw4nxIc_48VYg,Jim N.,5.0 star rating,"Hands down my favorite restaurant in Hoboken.  That guacamole is delicious!  Most of the menu is vegan at this location, and apparently they make their own vegan cheese and sour cream.  Definitely a must try even if you're not vegetarian or vegan.",Charrito’s,3.5 star rating,$$,Mexican
11,jtE5t6k8qdG1La_s9OSpaA,Lauren S.,1.0 star rating,"I would have given this place 4 stars for the food quality. The Entrees (burritos) and guac were excellent. However, the service was absolutely terrible. Tables that were seated way after us were eating their meals so I had to inquire about ours. We then waited about another 20 minutes to get our orders. Okay they forgot, whatever. But after that incident, the staff STILL didn't care to attend to us or try to provide extra good service for the remainder of the night (you know, since they forgot our dinner). We waited centuries to be brought more water, and for our check.  At one point I waved the server over to let him know we were ready for him to collect our payment. He glanced at us and continued to talk to the other server and straighten out tables for another 5 minutes. At this point, the restaurant was entirely empty except for our table. We had been polite about our forgotten meals, so there was no excuse for this. These servers had zero consideration for the customers and I won't be back to this location.",Charrito’s,3.5 star rating,$$,Mexican
12,-DyKQFfW51s30DVkQ8g4-A,Varsha S.,5.0 star rating,This is converted into VEGETARIAN restaurant ....Absolutely fantastic local VEGETARIAN / VEGAN food joint for the choice of of menu they have... They have nice vegetarian/ vegan items... Nice mexican music too..!,Charrito’s,3.5 star rating,$$,Mexican
13,StfbS_0p8bln7c8cQma2oA,Kalli F.,5.0 star rating,"First time going after being referred by a friend. Tight spaces between tables but extremely kind waitstaff. Ordered chips and salsa to start although they were making guacamole at the next table that looked pretty great even for someone who isn't a guac fan. Chips were extremely fresh and salsa was pretty good. We both ordered fajitas, chicken and steak, the portions were absurd i had more steak than I've ever seen on a plate It was perfectly cooked and seasoned and the chicken was equally delicious. Would come back here a million times",Charrito’s,3.5 star rating,$$,Mexican
14,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,2.0 star rating,"Yea, this place is...interesting.1. There is not one, not two, but three locations in Hoboken alone.  All on the *same street*.  Which suggest it's doing well, and I'm all for a local guy succeeding.  But see point 3. 2.  It's expensive for what you're getting.  Mexican food can be labor intensive -I get that- but come on.  But it's really not real Mexican cusine.  See point 3.3.  The vast majority of the menu is American food, coupled with a vein or two of relative authenticity.  Which, sadly, reflects Hoboken's bro demo. and unsophisticated pallet.  4.  The sheep line up for this place.  Which, well, see point 3.",Charrito’s,3.5 star rating,$$,Mexican
15,QmXD8PoMBe5WHX0diF2g0g,Shonnie H.,3.0 star rating,"It's a hole in the wall restaurant with a few indoor and outdoor seating. The A/C was very temperamental - on and off every 10 mins or so, and on a 90+ degree day with barely any breeze, it's NOT okay. I'm not sure if it's their A/C setting or if they're turning it on/off every so often, but STAPH IT. We came in and were greeted by very nonchalant staff. We chose our seat and put bottles of wine on the table - a lady came by and asked if we needed glasses for the wine. WELL, let me think about that. Has anyone ever said ""don't bring me glasses, Ima drink straight from the bottle?"" Odd question. There weren't many customers - in fact, we were the only ones sitting inside. So the swiftness of service isn't surprising. We ordered our food. The pollo en rajas was decent. The rice and beans were cooked well, but nothing to sing about. The shredded beef burrito was apparently good, but we ended up taking half of each plate home. We also were only given one glass of water - 'twas a bit bizarre, and what would've happened if I wasn't the sharebear carebear?Anyway, it's as authentic as it gets for Mexican food in this particularly area, so I might make another visit - but definitely never to come during hot summer days.",Charrito’s,3.5 star rating,$$,Mexican
16,iGZ4KHfjLncVMxqGyfW9_g,Susan N.,3.0 star rating,"Our waiter was awesome. He was friendly and enthusiastic about describing things on the menu. He offered us a sample of their house-made vegan cheese, which I think was cashew based -- delicious!  We liked our food, but the reason I give 3 stars is because the prices are too high for the portions they serve.   The money we spent should of had us leaving with our bellies full, but instead thought yikes I guess we'll stop for a cheap snack on the way home.",Charrito’s,3.5 star rating,$$,Mexican
17,o9ESW2XAPGuTNIAuPRaf2g,Jennifer R.,3.0 star rating,"*Lunch Review*Firstly: I have a cilantro allergy and struggle with Mexican and was SO appreciative that the waiter put all the cilantro on the side for my friend to enjoy. We came for lunch and shared the mushroom queso and then I ordered carne asada. There are complimentary chips and salsa. The chips were average (they could've used some salt) and I couldn't eat the salsa because cilantro. The queso was DELISH. The mushrooms were perfectly cooked, the cheese was melty & delicious, and the many tortillas were warm. Also, The tortilla basket was adorable-- a little sombrero. I'm easily amused but I loved that little touch! Giving this three stars because the carne asada was SO dry & bland & rubbery. After a delicious queso, I was hoping for a yummy taco but was so not into these. I ordered sour cream to supplement the dryness, and that was yummy, but I definitely wouldn't order the tacos again. Cute place (fun, intimate Mexican vibe), but definitely would never order the tacos again.",Charrito’s,3.5 star rating,$$,Mexican
