,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,TQGDwTz79OGwhv1b5muTXg,Aishwarya A.,5.0 star rating,"Excellent food !!! Very happy to have found this place !!!! They have very authentic food. The food is perfectly spiced.The Biryani is a must try dish.The ambiance, music and seating everything seems to be great. Service is very professional and attentive.",Chef Of India,4.0 star rating,$$,Indian
1,a3gImZSN8l4AIgzBkqa6Gw,Supriya M.,1.0 star rating,"Ok....well...so we ordered  - paneer makhni, Bihari aloo gobhi (both dishes come with rice)We chose spicy ( and not very spicy from the 5 options)The food was inedible! It was so spicy that me n my husband, had only five bites each and had to dump all the food into our trash can! There was also less salt in the food which made it worse.I even tried eating it with yogurt and it didn't matter :(Never ordering again!!!",Chef Of India,4.0 star rating,$$,Indian
2,naOy5YL9XYnDFrevgumcDw,Aziz A.,5.0 star rating,"We went there for quick dinner and turned out to be very pleasant and high quality food. Service was emplecible,  promt and done with genuine smile. Good was fresh and delicious.  Ordered 7 different dishes and every one of them on was on point. Check them out, you won't be dissapointed.",Chef Of India,4.0 star rating,$$,Indian
3,H2sDIBfVJMbsEJxyd40KKA,Sophia C.,4.0 star rating,"My husband and I came for dinner on a Friday night and it was dead. But as 9pm hit and the place was packed. The vibe is super casual. And all the food was delightfully spicier than expected! We ordered the eggplant curry, lamb biryiani and some garlic naans. It was waaay too much food for just the two of us. Will definitely come back and order more mild dishes to balance out the meal.",Chef Of India,4.0 star rating,$$,Indian
4,VvjvDenuLLtvzxWeAZVMBg,Chris F.,5.0 star rating,"I have to say, I can't stop thinking about the food I had from here. Full disclosure: the food was so amazing I had the leftovers for breakfast the next morning. I ordered the chicken tikka masala, Kashmiri goat rogan josh, vegetable samosa, bengaluru aloo bonda, and garlic naan. The food was so perfectly seasoned. Just the right amount of salt and spice, and the struggle was real driving home with all this food next to me. The potions were generous and well priced. I would happily eat at this restaurant on a daily basis.",Chef Of India,4.0 star rating,$$,Indian
5,wKKZ8yKwfEntzNaivF0baA,Sofia D.,4.0 star rating,"We chose this place to have my mother's 60th birthday party. The food was really good, the service was exceptional. Seems like this place is always busy, mostly with online/phone orders. They should really invest in decorating the place a bit more. It's below basic, for sure. Might definitely go back or order online.",Chef Of India,4.0 star rating,$$,Indian
6,YHE_Y-LHONwjcHyAgN9YBw,Chris G.,1.0 star rating,This food was awful! I've lived on Indian food all my life. All the dishes Suck! No one makes tiki masala with onions & peppers ( your idiots ) it's not Mexican food. I'd pass on this restaurant.,Chef Of India,4.0 star rating,$$,Indian
7,7h2wGMj-N2VwQ7dVu6Wazw,Alex V.,4.0 star rating,"I've ordered delivery from here several times now and they've been consistently great in terms of food quality and wait time. My go to dish here is the Kashmiri Goat Rogan Josh and my order feels incomplete without it. It's basically a goat curry stew in a rich, thick gravy with a ton of flavor. It's insanely addictive. The portions here are huge. For $53 (including tips and after a 10% discount), I got a chicken biryani and 3 main dishes. Two people can easily dine on this 3 times.",Chef Of India,4.0 star rating,$$,Indian
8,eTaLcPk5BImO4A4C99dn2w,Bina B.,1.0 star rating,"I have no idea why they have such great reviews. The food was not good at all. Having tasted the better Indian restaurants in Jersey City, I wanted to give this place a shot because of all the positive reviews but my experience was no way near that. I can positively say that the delivery was on time but that was about all I can give credit for. The curry was not good and to be quite honest none of the food tasted fresh. For the price point that Indian food is sold in this area the quality has to match and sadly this place did not nail it.",Chef Of India,4.0 star rating,$$,Indian
9,60xT8IJErBIOe1q8dGfIJw,Christina D.,2.0 star rating,"The delivery was great, the food, so-so.Ordered through YELP24, and the delivery was prompt and within the promised time.Ordered the Butter Chicken, Chicken Tikka and some mixed vegetable curry.All were blah tasting and the sauce was oddly rich.  Not rich in a creamy kind of way but the texture of the sauce was heavy and thick.  The chicken tikka sauce was quite sweet, sweeter than any other Chicken Tikka I've ever had...between the texture and the sweetness of the sauce, i literally could not finish it.The butter chicken was again, over powered by sauce, and not in a good way.  The sauce was very thick and over powering to the point that I had to throw it out.The mixed vegetable curry was again, blah and the vegetables were bland...this was probably my most bland and uninteresting review, which in great irony, is perfect for my dining experience.Ugh disappointing overall.",Chef Of India,4.0 star rating,$$,Indian
10,XHENCtNQ6DvQs1SAIi-4UQ,Drew M.,5.0 star rating,"Great food. Reasonably priced. Only ever had delivery so can't speak to restaurant experience. Food arrives hot, fresh, and well-prepared.",Chef Of India,4.0 star rating,$$,Indian
11,u78CMrsEjky8Ryr3D-oWuQ,Taiba Sheerin A.,3.0 star rating,"Kadai vegetable was more gravy and only those frozen bag type veggies (peas, carrots, beans). It could have used more potato, cauliflower or other type veggies. The chicken biriyani tasted okay but the meat in there seemed a bit old.",Chef Of India,4.0 star rating,$$,Indian
12,zB8TS8sr8zLQ7hSu78Gkjw,Wei V.,4.0 star rating,"This is probably one of my favorite Indian delivery restaurants in Jersey City. My husband found it through Yelp one day. The delivery was pretty quick. We would order the Kashmiri Goat Rogan Josh each time, which was definitely one of my favorite dishes from this place. I also liked the chicken biryani a lot. I also liked for each order we received a little dessert.",Chef Of India,4.0 star rating,$$,Indian
13,lhCiptxgoxoKyRNIYLpCpA,Sherrel F.,5.0 star rating,Wow. The masali dosa is the best Ive ever had!!!! They take a lot of pride in their food. Everything fresh and delicious. And they even serve it with dal.,Chef Of India,4.0 star rating,$$,Indian
14,zY9u2Ul-MLvxov3QFeR26Q,Pam S.,5.0 star rating,"I'm glad I decided to order a delivery from this restaurant! The food was phenomenal and it arrived promptly, great portions, I will order again and again.",Chef Of India,4.0 star rating,$$,Indian
