,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,bLPbuTUXrVk7WdbgfwHwJw,Zak W.,4.0 star rating,"Super yummy Koren fried chicken spot in Hoboken. The restaurant is very simple as the menu is not expansive, which works fine for me. I ordered the Large wings and drumstick combo and an order of french fries. They offer two sauces for the chicken-- garlic soy & sweet & spicy. Both sauces were delicious. I preferred the garlic soy but my partner loved the sweet and spicy. Chicken was freshly prepared and juicy the way fried chicken should be. Pricing wasn't bad, service was quick, employees were very friendly.I've never done their take-out so I can't speak to that experience.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
1,tt1vLgAP5UpRXAKJLT2KWg,Alec K.,4.0 star rating,"Good place to get fried chicken with Korean-esque sauces. The food itself is pretty good and I eat here at least once a month. They have a good looking store and their prices are roughly the same as most Hoboken establishments. Their two sauces are decent, although the quality of the sweet and spicy sauce is much higher then that of the soy garlic, and I do wish they'd add more sauce options, with only two things get boring pretty quick. Unfortunately Chicken Factory has a pretty long wait time for food to come out of the kitchen. When you finally get it, the quality can very quite a bit. In each box we find around  the pieces are great looking and taste/feel great. The other pieces can be shriveled or have immensely hard/crunchy portions, some pieces have too little sauce on them and all you taste is the chicken. The size of pieces very as well and some are far too large. As for their non-chicken dishes, their cole slaw is decent but I find their Japchae to be of poor quality. As other people have said, sometimes their rice is burnt. Overall a decent place for a lunch or dinner in Hoboken.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
2,5QXQjHmPiO6Plj1eF_oxpw,Belle D.,4.0 star rating,"My boyfriend recently tried this place out and after he told me it was delicious, I found Chicken Factory at the top of my ""take out list"" (I hope I'm not the only one with that type of list haha). We ordered the large wing and drumstick combo, half sweet & spicy half soy garlic with a side of fries. We placed the order through Yelp and was pleased to see how easy it was to use.Upon picking up, I wanted to redeem the check in offer for a free bottle of soda, but the employee was very short and said that they ""don't do that"".. I was more disappointed at how the employee handled it than not receiving the free soda. After being turned down, we picked up the order and were on our way to eat at the comfort of my boyfriend's living room. When we unpackaged the food, we saw the chicken to be sufficiently sauced, which is a very important to me, and that the fries were soggy from the steam. I wish the box was ventilated, even with 3 or 4 poked holes, to let the steam out a little.Despite the soggy fries, the chicken was delicious and seemed fair for the price that we paid. The interior the restaurant was not very clean or cozy, screamed ""take out"" more than ""eat in"", so I was expecting a little more in terms of packaging of food for take out. All in all, the food was definitely a hit and deserves a solid four stars.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
3,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,3.0 star rating,"When this place opened several years ago it was pretty revolutionary.See, it was a Hoboken-based food establishment that wasn't a bro-bar, wasn't faux-elitist 'wish I was opening in the city' and was actually somewhat (intentional word...) authentic 'international food'.The food?   The wings are pretty good; I've had better and I've had worse. And the bibimbap?  Pretty meh.  There are better options abound.But with more relatively 'authentic' options having since opened, meh doesn't really cut it anymore.  The Factory needs to expand it's menu and offer more Korean dishes (hello, Jjigaes), up its food game and remain competitive considering the better options which have since opened.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
4,rQ8pMqJxPqwu8OCU8awsKA,Angeline C.,3.0 star rating,"I ordered delivery here recently and the chicken really hit the spot!  It was very tasty and just what I expected it to taste.  Prices were just a tad on the pricey side since we had to pay a delivery fee, tax and also tip.  So if you can avoid delivery, go pick it up.  I ordered the jap chae as well and that was a rip off unfortunately.  For the price, you get a teeny tiny portion.  It comes in a bento style box with rice, salad, pickled cucumbers and cole slaw.  Now that might sound like a good combo to you and worth the price, but it is not.  A typical order of jap chae for the price they charge is just jap chae by itself.  It's usually a large portion and filling and bang for your buck.  This was not the case here.  Do not order the jap chae here.  Not worth it.  Go elsewhere where they serve it properly.  There was only one option on the menu and it didn't indicate it came with the rest of the stuff.  The stuff it came with were just cheap fillers that don't cost much.  Definitely a rip off and not worth your money.  I repeat do not order this.  I have a feeling the other dishes besides the chicken might be like this too so make sure before you order so you know what you're getting.  I would eat the chicken again here, but I would not do delivery.  It's too bad because their chicken is actually good.  It's just a shame it's so expensive, they charge for delivery and rip you off on stuff like the jap chae.  I hate it when places nickel and dime.  This is not how korean places usually operate.  It's probably because it's the only korean spot in the area so they can do whatever they want.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
5,T9xLOjbWITOK0DiEdCOyTw,Laura E.,4.0 star rating,"I've been here for their lunch special a few times, and for $8 you get around 7-8 wings with a side of rice and coleslaw. It takes around 15-20 minutes for the food to come out, but its worth the wait. This place has nothing on the Korean fried chicken places in Queens, however it does the job of fulfilling my sticky, soy fried chicken cravings. They also offer other Korean dishes like bibimbap and french fries, and do delivery.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
6,l2-tfy5a1fYT4XKt20L8vw,Joan Y.,4.0 star rating,"I was really excited when a Korean anything came to Hoboken, especially Korean fried chicken. The chicken is great and I've ditched Cluck U whenever I have a craving. It can take awhile though (at least it's fresh!) so I suggest ordering ahead of time if possible (they're on seamless which is so convenient). The other Korean dishes are fine, but not something to write home about. I've tried a few diff varieties of the bibimbap (mixed rice with meat and veggies) but I'd recommend you save that dish for a trip to KTown. Overall, I give the chicken a high vote of confidence. I like to get the half wings / half drumsticks in the garlic soy & the sweet and spicy two sauce combo. The half and half combo is pretty clutch! The spicy is a bit spicy for me, so I let it cool down and I swear the kick isn't as bad.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
7,_3KlXVIhrKd-LNFZ1dnc7g,Shane B.,4.0 star rating,Tried this place for the first time and got both wings and bugolgi. I'll start with the bugolgi which I'd say was 3/10 it had decent taste but just didn't taste fresh. It also came with salad rice and 2 other sides which I did not order and there was no mention of on the menu. I thought for the price I'd get 2-3x the amount of meat I was given considering the menu states only the meat and rice were in the meal. I would not order again and would not recommend it. I also got a large order of wings and split the sauce. Most people complain that the soy ginger doesn't taste like soy ginger at all but what I got was a nice crispy wing that had a touch of soy flavoring which was nice because it didn't over power the great taste of the chicken. The spicy sauce was also a tad spicier than what I would normally like but had fantastic flavor. I appreciated the mix of large drum sticks with wings. It was also pretty great biting into the wings and having them still steaming hot even though I ordered delivery. Wings were 9.5/10 in taste texture and were a decent value too. I would highly recommend either sauce or even splitting it if you don't mind spicy.,Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
8,wQYXCH3KQunMMZ7Nh3RZCQ,Dasle K.,4.0 star rating,"KFC (Korean Fried Chicken) in Hoboken?! Sign me up.I came here with 3 other coworkers and we ordered wings/drumsticks, large fries, and the original bibimbap. Odd combo but we finished everything! The chicken can use a little more flavor, but it was freshly cooked and yummy. The bibimbap and fries were pretty good, but I thought the fries were slightly overcooked.Our lunch came out to $55, so about $13.75 each, which was pretty reasonable for the amount and variety of food we had. The owner is super friendly and she even gave us tons of free radish for our chicken! Overall, a solid lunch spot in Hoboken. Can't wait to come back to try their other dishes.... and have more KFC.Important tip: The fried chicken is cooked to order, so make sure to call in advance! It takes about 15-20 minutes, so if you're coming for lunch, it's probably best to have the chicken come out when you arrive.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
9,sdkWib964Wug9eWWQb6byg,Jeff D.,4.0 star rating,Korean takeout + excellent wings.  What is not to love!  Plenty of vegetarian choices if you swing that way.  We enjoy the bibimbap both with meat and without.  Try the fried chicken cutlet with rice if you have little ones who aren't ready for the spicy stuff.  Solidly in the rotation for the forseeable future.,Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
10,MRZos5M7jhaDwxwra_erlg,博宇,5.0 star rating,very good fried chicken and very good delivery service as well.Definitely would order again.,Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
11,p1gQXnFigc_joKzHPcl9Ng,Enya L.,1.0 star rating,"We just finished moving and were starving so we decided to try it out. The photos looked so delicious.... but the food was subpar, overpriced and took forever to come out.-The bibimbap ( rice mixed with vegetables) came in a plastic bowl half empty. I dumped a crazy amount of red sauce after my first bite because it was just so bland. I would not recommend ordering it! You're better off with just rice. -The fried chicken looked pretty good, but it was just alright. Again not much soy garlic flavor. We were all starving, yet the three of us couldn't even finish an order of chicken and rice. I would much rather take the 20 mins path ride to ktown than eat here again.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
12,ud7T58Rnp8iNx6ljj_vXfA,Michael M.,4.0 star rating,"Love their mixed bucket of wings - half sweet spicy and half soy garlic. Nice thing is you can request the exact split you'd like (at least they let me do it :))!Flavors are awesome, super hot, cooked perfectly. GREAT skin on these things - I assume they are double deep fried? So not good at all for a health conscious meal...I haven't had anything else of theirs so don't feel right giving them a full 5* rating. Hopefully more to come!",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
13,A7QBziVkIQUVkTB4OtLtzw,Joe V.,1.0 star rating,Horrible service. Erika night shift manager is the worst - these employees as a whole are horrible and do NOT care about the quality of the food or service,Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
14,05OJz_thu9rV8qhKznpOUg,G P.,1.0 star rating,There was no flavor in these wings except cloying sweetness.How can you call a flavorless wing Korean? I had to put my own sauce on which sort of defeats the purpose of ordering (very expensive as far as wings go) food.,Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
15,DvOVei_FUicKnOYBZVHgDA,Molly K.,4.0 star rating,I've had it to-go. Very good fries! Check was good (obviously). No complaints about the food. Can't speak for the interior since I had it to-go.,Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
16,m_J19ZftmRc0vFsmj9ti5g,Justin D.,4.0 star rating,"Quick delivery even in the snow. I got wings and drumsticks. Wings were really good, crispy and flavorful. The larger  drumsticks were not crisp and were a bit chewy and tough. Pretty gross. I recommend the wings.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
17,ul52qcM7rs4Of7Ffm-9DhQ,Pouria B.,1.0 star rating,"It had not friendly, the seafood pie was very bland and I just could feel the taste of onion",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
18,5AmhBX4CDSidARtaF5cXcA,Nathalia C.,5.0 star rating,"Looove love love the chicken here! Whatever I get, it always includes a combination of the sweet spicy and soy garlic. Like previously mentioned, I'm sure it's not the best choice for a health conscious person but a treat once in a while doesn't hurt.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
19,e-GddD7CmBwYwmIl4pZGvw,Brian B.,4.0 star rating,"Chicken was awesome, crisp beyond belief. Sauce was amazing. Cons: I actually wish they were smaller, I hate big ass wings. Blue cheese comes in a dressing packet, huge blue cheese guy.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
20,bLPbuTUXrVk7WdbgfwHwJw,Zak W.,4.0 star rating,"Super yummy Koren fried chicken spot in Hoboken. The restaurant is very simple as the menu is not expansive, which works fine for me. I ordered the Large wings and drumstick combo and an order of french fries. They offer two sauces for the chicken-- garlic soy & sweet & spicy. Both sauces were delicious. I preferred the garlic soy but my partner loved the sweet and spicy. Chicken was freshly prepared and juicy the way fried chicken should be. Pricing wasn't bad, service was quick, employees were very friendly.I've never done their take-out so I can't speak to that experience.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
21,tt1vLgAP5UpRXAKJLT2KWg,Alec K.,4.0 star rating,"Good place to get fried chicken with Korean-esque sauces. The food itself is pretty good and I eat here at least once a month. They have a good looking store and their prices are roughly the same as most Hoboken establishments. Their two sauces are decent, although the quality of the sweet and spicy sauce is much higher then that of the soy garlic, and I do wish they'd add more sauce options, with only two things get boring pretty quick. Unfortunately Chicken Factory has a pretty long wait time for food to come out of the kitchen. When you finally get it, the quality can very quite a bit. In each box we find around  the pieces are great looking and taste/feel great. The other pieces can be shriveled or have immensely hard/crunchy portions, some pieces have too little sauce on them and all you taste is the chicken. The size of pieces very as well and some are far too large. As for their non-chicken dishes, their cole slaw is decent but I find their Japchae to be of poor quality. As other people have said, sometimes their rice is burnt. Overall a decent place for a lunch or dinner in Hoboken.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
22,5QXQjHmPiO6Plj1eF_oxpw,Belle D.,4.0 star rating,"My boyfriend recently tried this place out and after he told me it was delicious, I found Chicken Factory at the top of my ""take out list"" (I hope I'm not the only one with that type of list haha). We ordered the large wing and drumstick combo, half sweet & spicy half soy garlic with a side of fries. We placed the order through Yelp and was pleased to see how easy it was to use.Upon picking up, I wanted to redeem the check in offer for a free bottle of soda, but the employee was very short and said that they ""don't do that"".. I was more disappointed at how the employee handled it than not receiving the free soda. After being turned down, we picked up the order and were on our way to eat at the comfort of my boyfriend's living room. When we unpackaged the food, we saw the chicken to be sufficiently sauced, which is a very important to me, and that the fries were soggy from the steam. I wish the box was ventilated, even with 3 or 4 poked holes, to let the steam out a little.Despite the soggy fries, the chicken was delicious and seemed fair for the price that we paid. The interior the restaurant was not very clean or cozy, screamed ""take out"" more than ""eat in"", so I was expecting a little more in terms of packaging of food for take out. All in all, the food was definitely a hit and deserves a solid four stars.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
23,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,3.0 star rating,"When this place opened several years ago it was pretty revolutionary.See, it was a Hoboken-based food establishment that wasn't a bro-bar, wasn't faux-elitist 'wish I was opening in the city' and was actually somewhat (intentional word...) authentic 'international food'.The food?   The wings are pretty good; I've had better and I've had worse. And the bibimbap?  Pretty meh.  There are better options abound.But with more relatively 'authentic' options having since opened, meh doesn't really cut it anymore.  The Factory needs to expand it's menu and offer more Korean dishes (hello, Jjigaes), up its food game and remain competitive considering the better options which have since opened.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
24,rQ8pMqJxPqwu8OCU8awsKA,Angeline C.,3.0 star rating,"I ordered delivery here recently and the chicken really hit the spot!  It was very tasty and just what I expected it to taste.  Prices were just a tad on the pricey side since we had to pay a delivery fee, tax and also tip.  So if you can avoid delivery, go pick it up.  I ordered the jap chae as well and that was a rip off unfortunately.  For the price, you get a teeny tiny portion.  It comes in a bento style box with rice, salad, pickled cucumbers and cole slaw.  Now that might sound like a good combo to you and worth the price, but it is not.  A typical order of jap chae for the price they charge is just jap chae by itself.  It's usually a large portion and filling and bang for your buck.  This was not the case here.  Do not order the jap chae here.  Not worth it.  Go elsewhere where they serve it properly.  There was only one option on the menu and it didn't indicate it came with the rest of the stuff.  The stuff it came with were just cheap fillers that don't cost much.  Definitely a rip off and not worth your money.  I repeat do not order this.  I have a feeling the other dishes besides the chicken might be like this too so make sure before you order so you know what you're getting.  I would eat the chicken again here, but I would not do delivery.  It's too bad because their chicken is actually good.  It's just a shame it's so expensive, they charge for delivery and rip you off on stuff like the jap chae.  I hate it when places nickel and dime.  This is not how korean places usually operate.  It's probably because it's the only korean spot in the area so they can do whatever they want.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
25,T9xLOjbWITOK0DiEdCOyTw,Laura E.,4.0 star rating,"I've been here for their lunch special a few times, and for $8 you get around 7-8 wings with a side of rice and coleslaw. It takes around 15-20 minutes for the food to come out, but its worth the wait. This place has nothing on the Korean fried chicken places in Queens, however it does the job of fulfilling my sticky, soy fried chicken cravings. They also offer other Korean dishes like bibimbap and french fries, and do delivery.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
26,l2-tfy5a1fYT4XKt20L8vw,Joan Y.,4.0 star rating,"I was really excited when a Korean anything came to Hoboken, especially Korean fried chicken. The chicken is great and I've ditched Cluck U whenever I have a craving. It can take awhile though (at least it's fresh!) so I suggest ordering ahead of time if possible (they're on seamless which is so convenient). The other Korean dishes are fine, but not something to write home about. I've tried a few diff varieties of the bibimbap (mixed rice with meat and veggies) but I'd recommend you save that dish for a trip to KTown. Overall, I give the chicken a high vote of confidence. I like to get the half wings / half drumsticks in the garlic soy & the sweet and spicy two sauce combo. The half and half combo is pretty clutch! The spicy is a bit spicy for me, so I let it cool down and I swear the kick isn't as bad.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
27,_3KlXVIhrKd-LNFZ1dnc7g,Shane B.,4.0 star rating,Tried this place for the first time and got both wings and bugolgi. I'll start with the bugolgi which I'd say was 3/10 it had decent taste but just didn't taste fresh. It also came with salad rice and 2 other sides which I did not order and there was no mention of on the menu. I thought for the price I'd get 2-3x the amount of meat I was given considering the menu states only the meat and rice were in the meal. I would not order again and would not recommend it. I also got a large order of wings and split the sauce. Most people complain that the soy ginger doesn't taste like soy ginger at all but what I got was a nice crispy wing that had a touch of soy flavoring which was nice because it didn't over power the great taste of the chicken. The spicy sauce was also a tad spicier than what I would normally like but had fantastic flavor. I appreciated the mix of large drum sticks with wings. It was also pretty great biting into the wings and having them still steaming hot even though I ordered delivery. Wings were 9.5/10 in taste texture and were a decent value too. I would highly recommend either sauce or even splitting it if you don't mind spicy.,Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
28,wQYXCH3KQunMMZ7Nh3RZCQ,Dasle K.,4.0 star rating,"KFC (Korean Fried Chicken) in Hoboken?! Sign me up.I came here with 3 other coworkers and we ordered wings/drumsticks, large fries, and the original bibimbap. Odd combo but we finished everything! The chicken can use a little more flavor, but it was freshly cooked and yummy. The bibimbap and fries were pretty good, but I thought the fries were slightly overcooked.Our lunch came out to $55, so about $13.75 each, which was pretty reasonable for the amount and variety of food we had. The owner is super friendly and she even gave us tons of free radish for our chicken! Overall, a solid lunch spot in Hoboken. Can't wait to come back to try their other dishes.... and have more KFC.Important tip: The fried chicken is cooked to order, so make sure to call in advance! It takes about 15-20 minutes, so if you're coming for lunch, it's probably best to have the chicken come out when you arrive.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
29,sdkWib964Wug9eWWQb6byg,Jeff D.,4.0 star rating,Korean takeout + excellent wings.  What is not to love!  Plenty of vegetarian choices if you swing that way.  We enjoy the bibimbap both with meat and without.  Try the fried chicken cutlet with rice if you have little ones who aren't ready for the spicy stuff.  Solidly in the rotation for the forseeable future.,Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
30,MRZos5M7jhaDwxwra_erlg,博宇,5.0 star rating,very good fried chicken and very good delivery service as well.Definitely would order again.,Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
31,p1gQXnFigc_joKzHPcl9Ng,Enya L.,1.0 star rating,"We just finished moving and were starving so we decided to try it out. The photos looked so delicious.... but the food was subpar, overpriced and took forever to come out.-The bibimbap ( rice mixed with vegetables) came in a plastic bowl half empty. I dumped a crazy amount of red sauce after my first bite because it was just so bland. I would not recommend ordering it! You're better off with just rice. -The fried chicken looked pretty good, but it was just alright. Again not much soy garlic flavor. We were all starving, yet the three of us couldn't even finish an order of chicken and rice. I would much rather take the 20 mins path ride to ktown than eat here again.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
32,ud7T58Rnp8iNx6ljj_vXfA,Michael M.,4.0 star rating,"Love their mixed bucket of wings - half sweet spicy and half soy garlic. Nice thing is you can request the exact split you'd like (at least they let me do it :))!Flavors are awesome, super hot, cooked perfectly. GREAT skin on these things - I assume they are double deep fried? So not good at all for a health conscious meal...I haven't had anything else of theirs so don't feel right giving them a full 5* rating. Hopefully more to come!",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
33,A7QBziVkIQUVkTB4OtLtzw,Joe V.,1.0 star rating,Horrible service. Erika night shift manager is the worst - these employees as a whole are horrible and do NOT care about the quality of the food or service,Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
34,05OJz_thu9rV8qhKznpOUg,G P.,1.0 star rating,There was no flavor in these wings except cloying sweetness.How can you call a flavorless wing Korean? I had to put my own sauce on which sort of defeats the purpose of ordering (very expensive as far as wings go) food.,Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
35,DvOVei_FUicKnOYBZVHgDA,Molly K.,4.0 star rating,I've had it to-go. Very good fries! Check was good (obviously). No complaints about the food. Can't speak for the interior since I had it to-go.,Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
36,m_J19ZftmRc0vFsmj9ti5g,Justin D.,4.0 star rating,"Quick delivery even in the snow. I got wings and drumsticks. Wings were really good, crispy and flavorful. The larger  drumsticks were not crisp and were a bit chewy and tough. Pretty gross. I recommend the wings.",Chicken Factory,3.5 star rating,$$,"Chicken, Wings,, Korean"
