,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Gnj3X_Zs99KS0AIVeYQVGA,Jerry L.,5.0 star rating,"One of my favorite little rustic downtown spots in Hoboken, love their baked goods and soups.A very reliable service from their managers and staff.It's great for meetings downstairs or upstairs which is very toddler friendly (upstairs).  I normally grab a la coluombe double espresso cortado  with the $3.20 financiers (gluten-free) but their croissants $2.90,  kouigns $3.35 or their Banana Creme tarte $6.75 are amazing! They accept cash/card/applepay and have gender neutral restrooms. Excited for their new shop opening up on 15th street by the Tea Building. Enjoy.",Choc O Pain,4.0 star rating,$$,"Bakeries,, Coffee, &, Tea,, French"
1,s6TnINODnAwhHk0e_QXayg,Arshi K.,4.0 star rating,"Choc-O-Pain is still one of my favorite hangouts in Hoboken. I agree that it can be hit or a miss if you're getting anything other than a croissant or pastry. Mornings are pretty rushed and the two ladies behind the counter try their best to meet the barrage of mommy groups, out and about professionals and everyone else in between. Still nothing can come close to their chocolate tart, chocolate croissant and almond croissant. The upstairs can be a refuge in the afternoons if you manage to snag a spot. I like that they are very family friendly and have space for babies to crawl and a bunch of toys to keep them occupied. #winningOther pluses: clean restrooms, free WiFi and water jugs aplenty. Wait - did I just send more people their way? May be they can head to uptown Hoboken where a new branch is opening shortly!",Choc O Pain,4.0 star rating,$$,"Bakeries,, Coffee, &, Tea,, French"
2,uUjEn5pffadqlEqvpHKqPw,Aly T.,4.0 star rating,"Fresh pastries in the morning. The almond chocolate croissant was fantastic. There were also some French people picking up pastries so I assume it's pretty authentic. I have heard from friends they have not had the same experience in the afternoon. Apparently they run out of pastries or they are not as fresh later on. Something to just be aware of when planning a visit.As for the coffee: While my almond latte was delicious, my boyfriend just ordered a regular coffee and it was so bad. Like bad bad. It tasted like coffee grounds in water. When he let the servers know behind the counter, they just poured the first one out and gave him a refill to try again. It was still really bad, I also gave it a try to make sure..we didn't bother to ask for a refund, just threw it away. So while the espresso drinks and pastries were good, something is up with the regular coffee.",Choc O Pain,4.0 star rating,$$,"Bakeries,, Coffee, &, Tea,, French"
3,D7Gg0MPqQPKPvbgX5XT0fQ,June C.,4.0 star rating,"The bread here is very good but it's kinda expensive for me though... and small... they have good coffee here too they used modcup from jersey city. I would say the bread in this bakery taste like Asian bread, while there are plenty of Asian bakeries could beat this one with better bread and cheaper price... it's just a fine bakery only in little expensive Hoboken. But definitely better choice than Carlos.",Choc O Pain,4.0 star rating,$$,"Bakeries,, Coffee, &, Tea,, French"
4,Vavtd5JwMKYgxYz-X3Uyew,Huw P.,4.0 star rating,"Best French bread in Hoboken, not mad on the patisserie, it can get chaotic  at  the weekend as the  system for ordering and paying is far from organized, I have walked out in the past frustrated due to the chaos.",Choc O Pain,4.0 star rating,$$,"Bakeries,, Coffee, &, Tea,, French"
5,3MsvlOQJp7pWxOkBzjUe7A,Thea Z.,4.0 star rating,"Up until late this has always been a solid 5 star gem in Hoboken. Their tasty pastries and hot/iced coffees are amongst the best in Hoboken, and even in Jersey/NYC for that matter. Its a delightful cafe off of the hustle and bustle of Washington Street. When you step in you might as well be on a side street of Paris (not that I've been but its what I imagine it would look like). Highlights: the choc o pain, quiches, chouquettes, and the pleasant nature that they serve every item with. Their coffee is outstanding. Pretty much any food item you order will not disappoint. Lowlights: their service is haphazard. dining in they have forgotten to make my food a few times. The seating is right up against where the line is so its not exactly a relaxing place. Their mugs are chipped and the refrigerated display case isn't working still. They are out of coffee sleeves and instead are double cupping things. They could benefit from a re-worked traffic flow pattern and a little bit of reinvestment. Despite your flaws, you will always have my foodie heart in your hand Cho O Pain!",Choc O Pain,4.0 star rating,$$,"Bakeries,, Coffee, &, Tea,, French"
6,p1gQXnFigc_joKzHPcl9Ng,Enya L.,5.0 star rating,"MY FAVORITE CAFE IN HOBOKEN!! Their pastries are so delicious. My favorite is the Petit Kouign. The chocolate one is caramelized on the outside and soft and chewy inside. The apple one was buttery & flaky all around. The raspberry one was sweet and tart. I love how each flavor has its own unique spin. I also love the Financiers. It's hard to explain, just try it! The bread and pastries are just amazing. They brew la colombe (my favorite coffee brand in NYC). The staff is super friendly. The cafe has such a community feel. Upstairs there are toys and books for kids. It's great for when you're working but like a little buzz noise.",Choc O Pain,4.0 star rating,$$,"Bakeries,, Coffee, &, Tea,, French"
7,DlFBTjBl5ErfpYTewp2Yxw,Mikkel M.,5.0 star rating,This place is the real deal for french pastries! Their upstairs seating was the perfect spot to meet a friend and cowork with a plate of pastries to enjoy. Their wifi wasn't great upstairs. Not sure about downstairs. Parking is a pain so walk there if you can.,Choc O Pain,4.0 star rating,$$,"Bakeries,, Coffee, &, Tea,, French"
8,qYVuPmjg_3OtngGVf56DGg,Jenny C.,4.0 star rating,Great homemade pastries. They are known for their pastries and you can't really go wrong with it. Comfortable ambiance. Don't get the yogurt though. Their yogurt is not homemade and is general grocery store brands. Their granola is also store bought and tasted old. Doubt they wash the fruits before putting it in the yogurt. Saw them take the fruits right out of the plastic container to cut and put in the bowl.,Choc O Pain,4.0 star rating,$$,"Bakeries,, Coffee, &, Tea,, French"
9,rjeg8M6keZ0jIWOwUYUbEQ,Catherine L.,5.0 star rating,"The service is friendly and the environment very Frenchie and quaint... but how's the drink and food you ask! The cafe latte was delicious, not bitter or diluted, and the almond croissant and very nice, flaky and sweet. I recommend this place if you like that French cafe atmosphere (without the Fresh waiter attitude).",Choc O Pain,4.0 star rating,$$,"Bakeries,, Coffee, &, Tea,, French"
