,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Qlh_ysNiVCN-GDH-xs3WIw,Violeta V.,4.0 star rating,"The plce can really use a do over, it looks rundown. be patient with the stuff do... but good food",Churrasquiera Europa,3.5 star rating,$$,"Brazilian,, Portuguese,, Spanish,, Southern"
1,OhiIhhqCpoh6ZL8CoNUTyQ,Benjamin W.,3.0 star rating,"I had the chance to try out this place for their lunch buffet during jury duty.  All I can say is the food is super salty and the chicken is a bit on the dry side.  Everything is on hot buffet plates so it may be due to the fact that it just sits there simmering and drying out.  I grabbed a seat at the bar which was spotty with people from jury duty as well. I can't say I would be back if I am craving portuguese or spanish food but if I was starving, I may just venture back in here. The espresso is on point and super strong..so that is a plus considering I had to head back to the jury waiting room, twiddle my thumb like everyone else while trying to connect to the crappy wifi.",Churrasquiera Europa,3.5 star rating,$$,"Brazilian,, Portuguese,, Spanish,, Southern"
2,qQylrtpwAMs8jrS7m-BOdg,Magy Y.,1.0 star rating,"ALERT ALERT DO NOT EAT HERE I REPEAT DO NOT EAT HEREI came here to eat with a friend yesterday 10/8/17 around 10pm. Took a minute or two to be acknowledged but eventually we were seated and given menus. We ordered two glasses of water and our waiter came back with a pitcher. I guess he couldn't be bothered with refilling but whatever. For our meals, we ordered the skirt steak for one and the mariscada in red sauce. After about 30 minutes, we received our food. It was A LOT. There was at least a pound of rice but hey the more the merrier I guess. Anyway, my friend and I eat as much as we could and we end up taking the leftovers home. So here I am 24 hours later heating up my leftovers about to eat some rice, shrimp, lobster, and whatever else was in the mariscada. As I'm eating, I notice the shrimp was falling apart a little so I peeled off whatever it was. Once peeling the shrimp, I was shocked when I saw this thick black line right in the middle of the back of the shrimp. I was like ""Oh my god, they don't devein the shrimp. THEY DON'T CLEAN THE SHRIMP. OH MY GOD. HOLY F***"" So obviously I freaked out. If you aren't aware, all shrimp have a vein in their backs but it isn't actually a vein, it's their digestive tract which basically means there's feces or poop in that tract. The darker it is, the dirtier and if you look at the photo I've included, you can see that this vein is practically black. So anyway, after I was done freaking out, I began to check all the shrimp for this vein (which wasn't much because I had already ate most of it) and of course, I found the vein in every single shrimp. I was absolutely disgusted and told my friend ASAP and luckily she hadn't eaten her leftovers yet. I wasn't so fortunate. I came here to write this review but before I did this, I swiped through other reviewers photos just to see if anyone else had shrimp that was also not cleaned and right away, i noticed that every picture with shrimp was not cleaned. you can tell because the back on the shrimp is not split and displaying that butterfly effect that clean shrimp have. go ahead and look through the pictures and you'll see what I'm talking about. The most shocking thing is how far back the pictures go where the shrimp are not cleaned. This tells me that this was not a mishap or a bad batch of shrimp but actually it's normal practice for them to serve dirty shrimp. Just appalling really. Whoever preps the food needs to be fired and retrained.OVERALL: terrible experience. It was my first time there and obviously my last time. Same goes for my friend. If you still choose to eat here, completely avoid the shrimp unless you like  sh*tty shrimp.",Churrasquiera Europa,3.5 star rating,$$,"Brazilian,, Portuguese,, Spanish,, Southern"
3,uCcWpQZmxFN59C5FTW8KfQ,Elizabeth R.,1.0 star rating,"I used to like this place until my last order. I placed an order for pick up a BBQ platter; when I got home most of the meat was raw, chicken and ribs were pink and bloody. Just make sure that your food is well cooked. Me and my family got sick",Churrasquiera Europa,3.5 star rating,$$,"Brazilian,, Portuguese,, Spanish,, Southern"
4,ckwsMCrFW5Wwt0wqSElUrQ,BumPp D.,5.0 star rating,"After Reading Reviews I decided to give this place a try.  I pass by regularly, and it's been there for years.  Normally if your not doing good business, you don't last as long as this place has, so why not.  Nothing fancy, but very Authentic. Staff was courteous, and the food was delicious. Everything. Tried the Skirt Steak n Shrimp for 2, and my Daughter had the Chicken Fettuccini Alfredo. My Daughter loved her food, and to be honest, they gave her enough to last a week.  She ate a grown portion and still was able to bag up n bring home 2 more meals worth.  Same with the Skirt Steak. We were only able to finish 1 and had to bring the rest home. Definitely enough for 4. And the Blue Sangria made for a Slow Ride Home Will definitely visit Again.",Churrasquiera Europa,3.5 star rating,$$,"Brazilian,, Portuguese,, Spanish,, Southern"
5,KcoJ7SkyZbBns5gtgQ0iJg,Mara M.,5.0 star rating,"What to da about this place??? The food is plenty and cooked to perfection. The mix of people that were at the restaurant made me feel even more welcomed, and reminded me what the US is really about. Cultures coming together and enjoying a meal and laughter. The sangria was perfect, the meat, was perfect... EVERYTHING! The service was good (not great), but I understand that when a place is so busy, servers can't be everywhere. One of my favorite places to eat in Jersey City.",Churrasquiera Europa,3.5 star rating,$$,"Brazilian,, Portuguese,, Spanish,, Southern"
6,tqZdVH6_oIszZAr1v3PyFg,V M.,5.0 star rating,"I have frequented this restaurant numerous times.  The decor is so-so.  But the food portions and pricing is amazing.  One of my favorites is the argentian churrasco with shrimp.  I have had the tbone, salmon, mixed meat platters, paella, kabobs, mussels, stuffed mushrooms.  Pretty much everything on the menu.  If you get a chance to go I suggest you do.  You won't be disappointed.",Churrasquiera Europa,3.5 star rating,$$,"Brazilian,, Portuguese,, Spanish,, Southern"
7,klWDiwhuERH7QwB8O0O_8g,Jaslynn L.,4.0 star rating,Skirt steak with shrimp for two is amazing. The gardiniera on top is so good I need to order extra on the side. Always will come back for this. Would be more often if it wasn't so expensive.,Churrasquiera Europa,3.5 star rating,$$,"Brazilian,, Portuguese,, Spanish,, Southern"
8,6-0rWK3w31pepvErn87Etw,Ilyas M.,1.0 star rating,"PLEASE STAY AWAY!!! READ WHAT I HAVE TO SAY.I came in here because of the positive reviews but I swear do not listen or believe them. They can't be more than false. I can't stress that enough!!!!! Do not come here!I ordered the steak done at medium temperature and the calamari. The meat came to my table raw, and I already knew that this was a bad idea, so I asked to redo it. When they redo it, the meat came overdone, chewy, rubbery, disgusting.. On top of that all, it was covered with grease. The steak came with vegetables, rice and beans. Vegetables tasted rotten are straight up frozen. The beans were just canned that came out of a microwave. The rice was surprisingly good because I think it came from a uncle bens package. Calamari looked good at first sight but it tasted like chewy rubber, it was disgusting. Only good thing about this place was the Poland spring water bottle I got and the rice.I left disappointed and will never come back.PLEASE STAY AWAY!!!!!!",Churrasquiera Europa,3.5 star rating,$$,"Brazilian,, Portuguese,, Spanish,, Southern"
9,At_T206t6hNm_x2FengyTQ,Rhea C.,5.0 star rating,My favorite Portugese spot. It never disappoints me especially the wide variety of food during brunch from 11-3 Monday-Fri.,Churrasquiera Europa,3.5 star rating,$$,"Brazilian,, Portuguese,, Spanish,, Southern"
