,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,HVdfimCh189LsS1EbYWqIw,Seth W.,5.0 star rating,"Solid spot for casual drinks and good food, all at reasonable prices. Love the atmosphere - not a bar, not a restaurant, not a tavern, not even really a typical ""bistro"" - but rather a well-balanced mix bringing out the best of each.Came on a Wednesday evening for wine and to split a pizza (prosciutto & arugula). Well done. Rest of the menu looked great as well - classic America fare with a little refinement.",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
1,_dncee53et_-1IId0xK2Mw,Kristin M.,3.0 star rating,"City Bistro you are just okay in my book, its not that the food was horrible but it wasn't anything memorable. Price wise -especially when you look at the price tag, I was just disappointed. For a night out on the town with the girls, I ordered two appetizers as my meal - the chicken meatballs and the garlic shrimp. The miss on the food definitely comes from the shrimp which were overcooked unfortunately while the chicken meatballs were decent. Overall I would recommend saving you money in this place to grab a drink or to stop by for its' rooftop in the summer. Atmosphere wise this place is intimate for a cute date night or if you are grabbing a drink with friends.",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
2,Y2InxQv2q01aJ6nHrlrAKg,Rebecca H.,5.0 star rating,"Do NOT pass this place up!!!! Great atmosphere! Passing through for business and stumbled upon this jewel. All the entrees sounded delicious that it literally made it so difficult to narrow it down!! Their red wine suggestion was fabulous after a long day in and out of the cold. Best chopped wedge salad I've ever had in my life. Best salad I've ever tasted! Lots of yummy surprises in that tasty salad!! I will come back for that alone!! I was going to get the Gilled skirt steak because that my favorite way for it to be prepared or the salmon and the sides sounded Devine!! Cauliflower rice and parmagian Brussels!! But I haven't eaten pasta in like 19 years so I went with Italian! Spaghetti. BUT not your average spaghetti!! The Meatballs!! Omg, melt in your mouth delicious!! You will fall out of your chair! Fresh basil, wonderful flavor!! I loved everything about this place, the food and the people! My server was new and she has not tried any the food but super sweet and obviously you can't go wrong with anything in this menu! Everything that came out of the kitchen looked tackle worthy! But I restrained myself! I also had dessert and coffee! I know I know but I had too!! I would have put a picture but I devoured it too soon!!!   Awesome vibe! Not sure if the pics capture just how charming this spot is! I will be back for sure!!",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
3,e4XFtoRLlYSq34hH2Jrx0w,Amanda K.,4.0 star rating,"I've been in Hoboken for 16 years now and I can't tell you how popular City Bistro used to be.  But recently it's been going down hill.  Food was frozen, cold, processed and simply losing out to all of the newer (farm to table type) restaurants in Hoboken.  I was honestly worried they were going to close.  But they CLEARLY took notice and revamped their menu and I couldn't be happier.  Last night we had mussels, Salmon with cauliflower rice and brussel sprouts.  SO GOOD I actually think I may go back again tonight.  If you stopped going there....go back!  Totally worth it again.",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
4,4lAQYtRnSB6qdinlNEwDcA,Lindsay M.,2.0 star rating,"City Bistro is honestly nothing special. This is one of the few rooftop bars in Hoboken, so I had high hopes and wanted to love it, but I was sadly underwhelmed. The food is okay - good but nothing special. Our favorite appetizer was the Firecracker Shrimp. The White Pizza was definitely not my favorite - I've had much better elsewhere. The main issue was that the service was not good. Our waitress was chatting with her co-workers half the time, and we had to go up to her several times to refill our drinks and eventually give us our check. The best part of the restaurant is the rooftop, which is only available during warm weather months.If you're looking to sit outdoors, this is a nice spot, but I would not come here for a great dining experience or great food.",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
5,OLuar_HGSTvZdkAOYVJcHQ,David C.,4.0 star rating,Egg whites omelet - a tad bit salty Crab cake eggs benedict- eggs were perfectly poached. Kids menu chicken fingers with fries - very crunchy the way we like it. Fries were a bit over salted Bellini was ok.Tons of space for the kid to run around. Digging the old school play list. Really 3.5 but proximity and comfort pushed it up.,City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
6,0iIlp-lbl30O8zH_D-7hyw,Victoria C.,3.0 star rating,Food is meh. Nachos were $15 but dry as heck. Pizza was oily. Service was slow.We moved to the bar area as the outdoor seating got really hot. The drinks were good - not overly sweet. The bartender was very attentive and the service was good there.,City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
7,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,3.0 star rating,This is strictly a review on the food. I was not impressed with the brunch here. Ordered the huevos rancheros and it was not the best. It lacked that flavor you normally find with this type of dish.The sweet potato fries were pretty good and so were the french toast. Overall not bad but not impressed.,City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
8,sohhYrRIMJnQC42drcPmMw,Kiki K.,4.0 star rating,"This bar has so many vibes. You can have a mellow and relaxed dinner on the ground floor,   mingle and meet people in the lounge area, or take in the sun and have a drink on the roof top. All 3 floors have areas for tables seating. The short rib nachos were very good, but a little small for a shareable appetizer. The meat was tasty and tender but it was the cheese that stoll the show (3 kinds of cheeses!).Our bartender, Tara, was amazing. She made great drink recommendations, was fast, attentive and friendly.  The bar and eating area were very crowded but she was organized and took care of everyone with a smile! Great place, I will go back soon.So why not 5 stars? The management wasn't very nice to the staff (barking orders to employees in front of customers) and the rooftop population should somehow be managed. It was too crowded. You can't even see the bar, much less order from it.",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
9,4MgXxv7HkO7SDhjxZIGKag,Stephen C.,2.0 star rating,"What happened to this place?  Used to come all the time.  Dropped in for lunch.  What a mistake.  How does a restaurant mess up a personal pizza?  The calamari was bad, the meatballs cold and the drink just ok.  Two stars only because the waiter was very nice.",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
10,4F4mUtyTS1lZNuLOeCXWUw,Eleni B.,5.0 star rating,"This was my first time trying this restaurant and I can't wait to go back!! Amazing food, nice staff, good prices! Must try this penne, spicy vodka sauce, broccoli rabe, sweet sausage, fresh mozzarella! To die for",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
11,l8_h_axKGp5aQeQfTC0_EQ,Diandra F.,4.0 star rating,"Pretty nice spot, good music, good service and great drinks. I can't rate the food because I kept ordering 99's (cocktail drink). My drink was great - loved it and I hope to be back for some more variety in my order.",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
12,rtuQ25-IiYnFnUDnBM1dSw,Marissa Z.,5.0 star rating,"Best Moscow mule ever!A tall blonde was behind the bar. She was great. The Christmas decorations were absolutely amazing We went on a slow night, but a nice crowd. I liked this place. It was half off vodka drinks. Would definitely return",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
13,svFycHjXZYpNVutZ_0_gDQ,Jessica W.,4.0 star rating,"This place is a rooftop bar uptown in Hoboken. You definitely have to walk up several steep flights of stairs so ladies hold on to the stairwell!Once up top, there is a seating section for. A sit down meal/ drinks and then there is a bar section. At the bar section there are a few seating areas but it gets crowded and people have to stand on busy nights or weekends. Smoking is allowed, not my favorite part but what can I do. The nachos upstairs are kind of amazing. It's perfect drinking food. Other notables are the shrimp and my friends seemed to like the hummus (I am allergic to sesame so it's not for me). They have several Mules on draft upstairs. Downstairs is a full restaurant as well and an indoor bar for the cooler months. It's not very well lit downstairs so it might not be the best place for a first date  if you are trying to see what they actually look like! Kidding .. kinda but it's a cool uptown place that caters to a slightlyOlder crowd than the downtown watering holes.",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
14,Q42pIjq6dF4Xg8snEX22Pg,Jennifer F.,4.0 star rating,"What a cute rooftop! There isn't much of a view and it's quite small and often at capacity during the weekend, but it's a great place. The wait for dinner on the rooftop isn't long because most people are hanging by the bar. The food is good and so are the drinks. The Berry mule drink was delicious. The short rib nachos appetizer was just ok but the arugula prosciutto was my favorite. $100 for 4 drinks, 1 salad, 1 appetizer and 1 pizza big enough to feed 3 - not bad!",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
15,zO6Fp8e-C3qfEAjf8sInHQ,Lucy X.,3.0 star rating,"We stopped by Labor Day Monday for their happy hour. Because it was labor day the rooftop had a crazy wait, but they also had outdoor seating on the street level which was great for enjoying the weather. We went up to the rooftop briefly and it was a pretty average rooftop. Monday is by far the best day in terms of week day special (half price food & drinks). We split the fish tacos ($14 full price), short rib grilled cheese ($15), and carbonara ($19). The fish tacos were full of favor but they skimped on the fish. You get 3 tacos per order so it was fine as an appetizer but would not recommend as an entree. The short rib grilled cheese was amazing - exactly what you'd imagine with tender short rib in a grill cheese + arugula. The carbonara was pretty average - a little oily for our taste. A lot of people around us ordered the hot chicken wings + pizza so we will be back to try! Overall good spot for happy hour weekday dinner, but pretty pricey if you had to pay full price.",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
16,9Ez5VsCtLOB8d2cfEZ80_w,Priscilla R.,4.0 star rating,"FRIDAY NIGHT REVIEW:I give this place 3 & 1/2 stars. I like that this place has 3 levels. It's great for a night out with friends and a cute date night spot as well. First floor has indoor and outdoor seating. Second floor was their lounge area (where you should get your drinks to avoid the rooftop bar lines!) Third floor is the rooftop which is what I came here for but unfortunately wasn't able to enjoy it much. I got there at 7pm and it was packed! Throughout the night it got even worst, you had to make a line to get up there so I can only imagine it got worst. I stayed in the lounge area which was cool. Our bartender, Tara, was amazing! Best Moscow mule I ever had !!! She did great being I felt they were understaffed. Management needs to chill out, they're super rude to their staff and should learn how to talk to people. I definitely want to come back and try out their food and hopefully get to enjoy their rooftop.",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
17,3voIDFGOKIDG3wNezNVz8Q,Joe M.,2.0 star rating,"We haven't gone here since we moved to Hoboken. We goto the madison for the Great service and food but we were thinking about doing something different.  We wanted a nice cheap happy hour. They told us everything but the strip steak was half off. The place was empty (usually we never goto anyplace empty but might as well try it). The salad wasn't very good. The wings good. The Chicken Tacos Decent, we got 2 orders because we were hungry. Then I got a wine beer and a burger. We got the bill and was charged full price for the salad.  We also had a 20 dollar gratuity added on.  I typically don't look at the bill and just sign. my wife went back in because she was surprised a quick half off happy hour cost  70 dollars.  She Questioned the Check and the bartender gave her 5 dollars and said he forgot to discount the salad. On my way home I thought about it and realized it was a little sneaky to throw in a 40% Tip (20% had the food been full price item).  We certainly tip generously but 20 dollars on a 45ish dollar happy hour is a little ridiculous.  Had this been another restaurant in hoboken or somewhere else the non happy hour price should have been about the same cost including tip.  little sketchy. Not Returning. Will stick with The madison as our goto from now on.Addendum: actually more than 40 % tip added on since they charged full price for salad. Wont come here again.",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
18,lVa2SBv8jp0V-dH5F2JsCg,Jennifer C.,2.0 star rating,"I wanted a decent rooftop on a Sunday and decided to try out City Bistro. The rooftop was welcoming and open which I enjoyed. Service was .... meh. We sat down ordered a few drinks and food. Needless to say, 35 mins later..... no food. We asked one of the (2) waiters handling our table and he said he would check up on it. Needless to say, ""they lost the ticket"". I like to give the benefit of doubt... even though there was a total of 4 tables out of like 12 in use on this side of the rooftop. After that our food came quickly. Once we finished eating we ordered another round of drinks and 15 mins later mentioned it to the waiter for a second time. They had ""forgotten"". That's when I was like how is this possible.. it's a Sunday and not even busy. The service is poor but the tacos were pretty good. Beware haha",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
19,1TzdspCaVnNy6NPgxAdQxw,Morgan B.,1.0 star rating,"PSA: DO NOT GO HEREMy fiance and I got immediately ill to our stomachs after eating here. In addition to the food, they sit tables on top of one another on the roof with music blaring from the speakers - I'm talking uncomfortably loud.We ordered the nachos - dry with minimal toppings; firecracker shrimp - fried shrimp doused in mayo ( i have a stomach ache just thinking about it); Chicken wings - which we apparently learned were under-cooked; chicken salad - lackluster with unappetizing chicken and wilted greens. Also the drinks come in bathroom water cups. eek.Save yourselves.",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
20,HVdfimCh189LsS1EbYWqIw,Seth W.,5.0 star rating,"Solid spot for casual drinks and good food, all at reasonable prices. Love the atmosphere - not a bar, not a restaurant, not a tavern, not even really a typical ""bistro"" - but rather a well-balanced mix bringing out the best of each.Came on a Wednesday evening for wine and to split a pizza (prosciutto & arugula). Well done. Rest of the menu looked great as well - classic America fare with a little refinement.",City Bistro,3.5 star rating,$$,"Bars,, American, (New)"
