,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,R7gus6IBN1FAid442Zxhag,Nez B.,4.0 star rating,"I came by on a Saturday night to celebrate a friend's bday party and I must say the vibe was popping. A strong latin core of music and some hip hop mixed in occasionally. Everyone was well dressed and it was a good ratio of girls about 1:1 although it seems a good amount of them came with guys or groups of friends. The drinks were reasonably priced and they even had some fireball and tequila shot specials for around $4-$5 I believe. A Johnny Walker on the rocks was around $12, cocktails around $10.Very cool small lounge to go for dancing and mingling to good music.",Coco Havana,3.0 star rating,$$,Cuban
1,qwZ5l6qTzUm1Z9YaayWNYg,Ed A.,1.0 star rating,"I hate to be ""that"" guy that leaves a 1 star review when they have a bad experience but...So this is my usual go-to spot for Latin dancing in the area. Good music, usually a $10-ish cover. Small dance floor, decent crowd. I went last Friday night with a cousin who is visiting from Ecuador. Rather than have her carry around her passport, I told her to just bring an ID with proof of age instead.We make a quick stop at Shannons, and she gets in without so much as a 2nd look from the bouncer.  Next stop, Coco Havana. The main bouncer guy (stocky, goatee, maybe retired or off duty Hoboken P.D?) put on his best ""Columbo"" impersonation and wouldn't accept it as a proper form of ID.  Fine, I get that each bar might have different rules or leniency in terms of ID. I don't have an issue with that. What I do have an issue with is his nasty and condescending attitude to someone whose only ""crime"" was not having a US identification. There's absolutely no reason for a doorman with an attitude problem and a power trip to harass potential customers. Oh, and they only have 2 bathroom stalls for the entire place, so both boys and girls have to wait 10-15 mins to handle their business. Bad. 1 star.",Coco Havana,3.0 star rating,$$,Cuban
2,xqijpkDD2d-6UGiXls5rbA,Caroline B.,4.0 star rating,"One of the fun things about dating someone who is relatively new to the US is that I can revisit places I have been to (often many times) before with fresh eyes.  An impromptu adventure on the PATH train after church this past Saturday took us to Hoboken.  The clear sky made the view of the west side of Manhattan somehow more majestic than usual and I even took a picture of my boyfriend taking a picture of it.  He was in awe.  We roamed aimlessly through the Mile Square City which really had never looked better.  Our appetites built as did the desire for potables.  He told me he was in the mood for Cuban and several places popped into my head, although I have fuzzy memories of an evening at Coco Havana a few years ago.  Maybe it had a different name?  Bizarre.  Regardless, the cucumber mojito and red sangria were just what we needed, and the food was very good.  He had pernil after I encouraged him to get something I was not going to make him at home and I had the salmon--he only likes raw fish and I don't like pork products.  I especially liked the presentation of the bread in the cigar box in terms of aesthetics.Our one concern was that the place was oddly quiet for a Saturday night, even for Hoboken.  However, a birthday party rolled in as we were leaving, so I assume things livened up a bit.  I am certain we will be back in town and, next time, this place will be top of mind.  I would especially like to check out brunch there.",Coco Havana,3.0 star rating,$$,Cuban
3,12XHIOwaakyxChOA0V-i5w,Kristen W.,4.0 star rating,Stylish decor and good music and excellent mojitos! Fun place nearby the path train to come for drinks and dancing.,Coco Havana,3.0 star rating,$$,Cuban
4,Zehue7rI5a408h4olxvG8g,James J.,1.0 star rating,"Came here with a reservation of 8 (called a few times to let them know of the person change). The initial water was quick but then a 40 minute wait for food. Three different tables received food well before us and then we were told our food was forgotten. Took another 30 minutes for new app and gave us watered down sangria as ""sorry"" still waiting for our entrees and it's close to 2 hours. Will update accordingly.",Coco Havana,3.0 star rating,$$,Cuban
5,8-nBwgknhT42h1Qu7fR6Mw,Jerry C.,4.0 star rating,"I've probably had weekend brunch at Coco Havana more than any other place in Hoboken. The service is nice and friendly, 4-stars worthy. The pace is unhurried, and you get at least 90 minutes for your unlimited pitchers of mimosas, sangrias, etc. (which is more than enough time to be pleasantly buzzed in the afternoon)!We tried all the pitchers and keep coming back to the mimosas. The brunch entrees are reasonably priced and there is a variety of Cuban items. The Cuban Egg sandwiches are good! Steak & Eggs. The skirt steak is cut thin, so no matter how you order it, it will be well done (and I've ordered medium rare and then rare several times). We just go with the flow. But the sides are good and I like their black beans.And the unlimited mimosas! What more do you need on a Saturday or Sunday afternoon?",Coco Havana,3.0 star rating,$$,Cuban
6,pcsM2RK66c0kxSn4C_jqaQ,Amber B.,3.0 star rating,"Ever go to a restaurant thinking it's another restaurant and it's too late to get up and leave because you don't want to be ""that person"" ? Well this is basically my story on a Friday night. I searched up Cuban food in the area and mistakenly went to the wrong Cuban restaurant. Yes, silly me. Any who, onto the food, drinks and overall experience. A solid 3/5. The nicest thing for me at this particular restaurant was the intimate set up. The dimly lit candles, the music and the overall ambiance. Walking into the restaurant, you're immediately greeted by a friendly host. We were asked if we had reservations and even though we didn't, it wasn't a problem and we were seated immediately. After being seated it took about 10 minutes for someone to come and greet up. Mistake number one! After we were finally greeted, we were told bread would be out shortly (and if by shortly you mean 20 minutes, UH OKAY) Weird enough, the bread might've been worth the wait -- SUPER GOOD and made to perfection. I know, I know it's just bread and carbs (OMG) I'll calm down now. Wait, I don't even think we were asked what we wanted to drink for another 10 minutes and the mediocre drinks (a white sangria for myself and a corona for the hubs) were def not worth the wait. As you can see, service here is practically non existent. And maybe after 40 minutes we finally had our dinner. I ordered the Vaca Frita -- crispy, twice cooked flank steak, sliced thin, onions and dressed with fresh lime wedge and two sides .. tostones and sautéed asparagus. The steak was completely dry, the asparagus wasn't the best also. Despite that, portions were fairly great. Personally, I just couldn't get over the steak stuck in my throat with every bite. The steak also lacked a lot of flavor. Perhaps because it was cooked twice. My tostones were a hit and were quickly devoured. For what we paid, I def didn't think this restaurant was worth it. The service was a huge let down and the food didn't make up for it at all. In the wake of my less than satisfied experience here I probably wouldn't return.",Coco Havana,3.0 star rating,$$,Cuban
7,KTY5LuBR4Aoog4lu7KqUOQ,Sheena D.,2.0 star rating,"Let's first start by getting a table for 4 fitting 5 people in. The ""crab cakes"" were so not crab, it was fish. Coconut shrimp was good. The drinks were absolutely disgusting to the pojnt I made the waitress take back the margarita that didn't tase once bit of guava but of total cheap tequila. Then to top it off, paying for the bill and the waitress cleaning up the table at the same time, she takes my friends tacos while he was still eating. This place was the worst place I've ever been to eat in Hoboken, the service to the food to the drinks.",Coco Havana,3.0 star rating,$$,Cuban
8,1wZTKNOkpMyyZrLZSeqHgw,Sandra K.,4.0 star rating,"This place has great food and great vibes. It's designed like a sports bar but also has a nice lounge feel to it. The brunch was really good. The entrées are also very decently priced-- they range anywhere between seven dollars and $15. They offer $27 bottomless mimosas with a choice of one entrée, but one glass is $4 so you can get away with ordering three drinks and one entree and spend less than $27. The food did take a while to cook, but they do offer bread as an appetizer to hold you over.It can get pretty busy on a Saturday afternoon, so be sure to make a reservation if you're going with a large party.",Coco Havana,3.0 star rating,$$,Cuban
9,nDbBSnCsrW0tHqdmI1wglg,Ryan H.,4.0 star rating,Not recommended for lunch. Service is very slow. It took me about 35 minutes between the time I ordered to the time I received my food.The foods themselves were actually pretty good. I would definitely go back here for dinner.,Coco Havana,3.0 star rating,$$,Cuban
