,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,OMJwlCECjqBtY3cCxhpqyw,Venus R.,5.0 star rating,"What a great addition! Before it was conga cafe it was Ricky's frontier. I must say I've never been to Ricky's because it looked so dated from the outside. When my husband and I first walked in we were pretty surprised how refreshing the decor and ambiance appeared to be. They have lunch specials 11-3pm Monday thru Friday. We wanted to try a couple of things so we stuck to the small plates. We ordered camarones al alijo, pástelon, empanada sampler, chichArron de pollo, arepa con ropa vieja and papa rellena. I must say they were all delicious my favorite was the arepa con ropa vieja and the pástelon so full of flavor. As drinks I had a coconut mojito which was such a treat. Not too sweet or overwhelming. Also had a cucumber mojito that was really refreshing. Can't wait to go back and try more! Definitely recommend! FYI-they also do fun events for customers. They had salsa classes with a live band on Thursday! So it's a great experience overall!",Conga Cafe,4.5 star rating,$$,"Bars,, Latin, American"
1,rPEsb2qZTr0H_AhTHcGjnw,Evelyn G.,3.0 star rating,"Honestly, I think the food here sucks. It's edible, but it's just not a place I'd visit for food. However, the bartender, Rob, is really attentive and friendly. He also makes a really great coconut mojito.  Service was A+++ Overall, I give this place 3 stars. It's a restaurant... the food should be a lot better. There are a lot of Cuban restaurants in the area with a similar menu, but with better quality food and flavors.  On a positive note, the decor is quite lovely and the service was impeccable.",Conga Cafe,4.5 star rating,$$,"Bars,, Latin, American"
2,ke-_XbewWRJUHNpfSa9EZg,Gary Y.,5.0 star rating,"I've been to Conga several times now and each time I go I fall more in love with this restaurant.  From the moment you walk in you are treated like  royalty. The drinks are always tasty and the food is delicious.  My favorite is the milanesa de Mimi and the paella!  We like to go on the weekends and stay late for a drink after dinner, don't be surprised to see a full room of people dancing and enjoying great live music! PS.  You must try the sangria! I highly recommend conga!",Conga Cafe,4.5 star rating,$$,"Bars,, Latin, American"
3,a0f1WawCbZmmupTjSd099g,Jadira Q.,4.0 star rating,"I definitely see why this place has such high ratings...The second you walk in you are taken back by the pretty decor.  The place is nicely laid out with long tables by the wall and windows and as you go towards the back there is a mix of high tables and low tables by the bar area.  There is usually live music in that section but when we went Saturday afternoon so we didn't get to experience it.We chose the high table and then started to take a look at the menu.  Everything looked amazing and the smell of the food that was being prepared had us salivating!   We started with a pitcher of Red Sangria while one of our male friends who is obsessed with Mimosa opted for his orange juice and champagne instead and we also got appetizers.For appetizers we just ordered some Tostones that where perfectly fried, cripsy and thin along with Chicharron de Pollo.  These were actually really good because they were chunks of golden breaded chicken and had really great flavor. It reminded me more like Masitas de Pollo.  The portions were not that big for all 4 of us but we were saving our appetite for the entrees anyway lolFor our entrees we got the Salmon with Mashed Potatoes, the Churrasco, the Vaca Frita (Pan seared shredded flank steak sauteed with onions) and the Bistec de Palomilla (Marinated sirloin with caramelized onions).  I had the Bistec de Palomilla and I thought it lacked a little flavor but it was still good.  I tasted the Vaca Frita and yeah I should have definitely ordered that instead.  It was full of flavor and it was not overly fried where it was super crispy and I thought I tasted something sweet in it.  Everyone else really liked their meals.From the Kids Menu, we also got the chicken with fries.  Fries were amazing and we kept picking from this poor boys plate lol and the chicken was more like Strips of Chicken Milanese.  Great flavor nonetheless.Only disappointment was the black beans.  They were a bit too watery and the portion was small.  I'm use to them being a bit thicker in consistency but overall we were satisfied with our meals.The waitress was also super patient with us while we were placing our order and because the Mimosa took so long to come out, she came back with two.I would definitely return to try some more of their dishes and see how it would be for dinner and the live music :)",Conga Cafe,4.5 star rating,$$,"Bars,, Latin, American"
4,HgjIUzWjFwYILF5032FQ1w,Stephanie Q.,5.0 star rating,"Love the environment, the music, the food, the service was perfect",Conga Cafe,4.5 star rating,$$,"Bars,, Latin, American"
5,JgrvPZPPcylxk7WMscU4cA,Tahera Z.,4.0 star rating,"I order from this place for lunch all the time through uber eats. They have delicious & cheap lunch specials. Finally stopped in on Saturday afternoon & it was great! The restaurant is very spacious & the decor is lovely. Not to mention free valet parking in Union City, jackpot! The service was great & the food was delicious. Besides the shrimp in garlic sauce app, which was a little more on the salty side.  Only reason I gave this place four starts was because it was really cold in the restaurant. We sat with our coats on.",Conga Cafe,4.5 star rating,$$,"Bars,, Latin, American"
6,EonBRZ2pf3Z8UqknyLjsXg,Carmen V.,4.0 star rating,"The restaurant is pretty nice inside and definitely gives off a rustic/modern Cuban restaurant. The artwork gives off a great cultural view of Cuba. I love the waiters and the hosts they're very attentive your needs. They come around to fill your water very frequently. And they gave my friend and I some good food and drinks recommendations! The food was savory and seasoned perfectly. I had the ropa vieja and tostones (substituted the rice) and my friend had the masitas de puerco with tostones as well. We loved both plates! Kind of filling but could be bigger in my opinion. Overall loved it. And we tried the classic mojito, coconut mojito, the strawberry lemon mojito and the passion fruit mojito! They were all really good and each was 6 bucks because we went around happy hour :)Loved this restaurant and recommend it for parties and dates.",Conga Cafe,4.5 star rating,$$,"Bars,, Latin, American"
7,rtuQ25-IiYnFnUDnBM1dSw,Marissa Z.,5.0 star rating,Another great lunch at Conga I love the decor and music 3rd visitGood serviceThey make red beans and rice like Omg,Conga Cafe,4.5 star rating,$$,"Bars,, Latin, American"
8,58MU48vEePww_8TjBzcgQg,Alexandra H.,5.0 star rating,Amazing place. Love the food and the atmosphere. Highly recommend. Hostess and owner are very kind and accommodating. Staff is pretty attentive. But most importantly the food and drinks are always on point. Definitely check this place out.,Conga Cafe,4.5 star rating,$$,"Bars,, Latin, American"
9,VcM41L58YOoqFiYUtddeNQ,Ana L.,4.0 star rating,"Loved the food! The owner was super friendly really cared about our opinions! The sangria is not watered down which is fantastic considering lots of cuban places do that! Overall great food, nice waiters very tentative. This was on a Sunday. Update: Only set back was when I went on a Saturday, was packed but that can be a good sign of a good place. HOWEVER, I ordered maduro and never got it, got charged for it and when I ordered it to go(since never received, I was offered to take it to go, since I was charged for it and it was paid for) I never got the to go waited 25 min for it.",Conga Cafe,4.5 star rating,$$,"Bars,, Latin, American"
