,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,uUjEn5pffadqlEqvpHKqPw,Aly T.,5.0 star rating,"After moving from NYC to Hoboken, I have been looking for a good coffee spot with decent breakfast sandwiches. There's really no where in Hoboken to get this besides the bagel places (which result in waiting for parking on Washington and then once you have parked, endless lines of hungover college students, moms with strollers in lululemon). There are some spots that have recently opened however they are insanely expensive. Not trying to spend my makeup allowance on breakfast. Move in Congress Station coffee...I come to this spot from Hoboken because it's so good (the coffee and the sandwiches) and the prices are so affordable. This place is unpretentious yet comfortable. Love love it.",Congress Station,4.5 star rating,$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Bagels"
1,0oP1JjchbOMrqQ7Km1tMoA,Corella F.,5.0 star rating,We are here from Houston on our honeymoon. I had a Carmel latte with macadamia nut milk and it was the best coffee I've had since I lived near Seattle 10 years ago. My husband had a chai tea and he said it was the best one he's ever had in his life! It's really cute place inside too.,Congress Station,4.5 star rating,$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Bagels"
2,D6xdk37v_XYIrwwgC-fzdg,Monique V.,5.0 star rating,Best way to start a morning especially if have to work! I love this place and love the owners.. sisters who remind me of me and my sister!!,Congress Station,4.5 star rating,$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Bagels"
3,E0f9JbCOWMpxhz9ZDL3lmA,Jalal L.,5.0 star rating,This was my first time coming here and it definitely won't be my last. This cafe has a quiet atmosphere that is relaxing. The menu is simple yet very good. It's a nice addition to the neighborhood. Barbara the owner is very friendly and welcoming. I highly recommend this place.,Congress Station,4.5 star rating,$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Bagels"
4,VLpP5KZPYonU0RnNX6bw4w,Paige W.,5.0 star rating,Amazing cold brew. Awesome staff... so nice and friendly. Beautiful zen back garden area. Location is just down the street from Sunday farmer's market on Palisades,Congress Station,4.5 star rating,$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Bagels"
5,d70WVqaaRsgNk8xfEa_YfA,Jesse A.,4.0 star rating,Very friendly. Intelligentsia coffee. Always smells like fresh bacon and coffee. Can't complain at all about that. Process way you'd expect from a good quality local coffee shop. Closes early in the day tho so get it while it lasts.,Congress Station,4.5 star rating,$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Bagels"
6,QX7xwMyjLdhFQul72T7R7w,Calla F.,5.0 star rating,"First visit here and I can already tell I'm definitely coming back. Both hot and iced coffees are very tasty, and their bagel sandwiches are top notch. I was impressed with their bagel sandwich with ""the works"" - fresh ingredients, and lots of them! Worth every penny!",Congress Station,4.5 star rating,$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Bagels"
7,Xo6QEQhhhIIHIreWmN2ukA,Patty G.,4.0 star rating,"So exciting to see a new neighborhood coffee shop. Stopped by on Sunday to grab a cup of coffee and check out the new shop. Very adorable and fresh looking. With 3 tables available you can really come in and sit if you wanted. Great variety on coffees and breakfast menu along with healthy options to your breakfast sandwich and more.It was quite busy on Sunday which was awesome to see! Prices were reasonable. Ordered a small latte with an egg white, bacon and cheese on a whole wheat bagel. Made on a small grill food was done quickly and it was perfect. Staff was friendly and you can tell the owner was excited to be busy. Will be stopping by more often.",Congress Station,4.5 star rating,$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Bagels"
8,6_RxhfD-RmJ87kfjyIlCTQ,Andres H.,5.0 star rating,"Love this place! They have great sandwiches and the people are super welcoming whenever I come in. Whenever I'm feeling too lazy to make anything.. Congress station is right up the block. Great location, great people, great food/drinks.",Congress Station,4.5 star rating,$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Bagels"
9,eCFqwIvLoxODhE8YiJpiKQ,Anthea L.,3.0 star rating,"This place is a really cute small mom and pop place. The atmosphere of this bagel place is very warm and homey. As for the food, they have really limited options but the prices are pretty good. The bagels are pretty big, bigger than what I am used to in Florida. With that being said, being from Florida I hear bagels up north are so much tastier, softer and tastier but this bagel was a little too dense and reminded me of a pretzel bread. I just think it's ok. Nothing spectacular but the service here is fantastic. The workers here are very kind.",Congress Station,4.5 star rating,$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Bagels"
10,VqiUvBnLQ9sWwTGizoTGvg,Timothy T.,5.0 star rating,"I moved to the Heights a little over a year ago. I originally had lived downtown, but that area has become prohibitively expensive. It's more quiet and laid back up here. I've been searching for a regular cafe that will happily receive my long stays and penchant for animated conversation.This place has all of this, plus Intelligentsia coffee, a grill (I've heretofore only ordered the smoked salmon wrap and avocado toast on multigrain), and Kilogram tea, which, upon recommendation of Barbara, has been one of, if not the, best bagged tea I've had. The only conceivable downside to this cafe is the lack of a bathroom, but I kind of enjoy that it requires me to take a quick walk to a bathroom nearby (in a restaurant or the fire station). It gives me a good break from work.I'd strongly recommend this place to anyone who: loves coffee, loves talking to people, appreciates simple yet good food; this applies to pretty much everybody besides hermits who don't go outside anyway (even if you are a reclusive hermit, you should come here!).",Congress Station,4.5 star rating,$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Bagels"
11,kUdgz8GPY2CiyvAnh_knFg,K L.,4.0 star rating,"This place is cozy. The service was great, and the food was really good. Definitely a great place for a quick bite.",Congress Station,4.5 star rating,$,"Coffee, &, Tea,, Breakfast, &, Brunch,, Bagels"
