,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,E9YBrAPP8wucePLSYGfBMg,Mariel H.,5.0 star rating,John is an amazing bartender. He made the best drinks and gave awesome service! Will definitely be back.,Cooper’s Union,4.0 star rating,$$,"Bars,, American, (Traditional)"
1,IdRrLkpF1U35CWCu8oF9iw,Kelly B.,4.0 star rating,Makes good whiskey sours. Pretty cool atmosphere. Bartender likes to accommodate when they don't have a selection of tequila in stock. Great selection of beers especially the bottled. If you're in jersey make sure to stop by.,Cooper’s Union,4.0 star rating,$$,"Bars,, American, (Traditional)"
2,mbxdo8Z59tcQc_FJMxHNeA,Trent T.,5.0 star rating,"I can't say enough about this place in one review. Clean, fun, tasty.We tried a number of apps from the mac and cheese balls to the pretzels and everything was fresh and delicious. Mac and cheese balls stood out by far they were absolutely delicious. The Mac sliders were medium rare cooked perfectly and they were great! We played some shuffle board to pass the day and couldn't have had more fun. I absolutely recommend this place moving forward.Cheers!",Cooper’s Union,4.0 star rating,$$,"Bars,, American, (Traditional)"
3,q3sTs30eeBr6zVylesvfuw,Ritesh S.,4.0 star rating,"Great place to hangout, play Shuffleboard & darts while listening to good music & sipping drinks. It has 2 bars and most of the seating is at bar only.I went on a Saturday night after a kong time with bunch of friends for drinks and play Shuffleboard and ended up spending whole night there. Great music, well made drinks, friendly atmosphere - what else you could ask for. It felt like a neighborhood bar with lot of regulars. I will definitely recommend this place.",Cooper’s Union,4.0 star rating,$$,"Bars,, American, (Traditional)"
4,AYQd0upkY7zxkj2-wVawYw,Al K.,1.0 star rating,"Brought a couple of out-of-towners to Cooper's Union after a NJ Red Bulls game...wish we went to Wicked Wolf. As soon as we walked in, the bartender commented obnoxiously on my friend's hat and proceeded to ridicule his soccer attire as two other barflies yucked it up. The mean-spiritedness of the bartender and unwelcoming clientele was enough to rethink drinking anything at this hole.",Cooper’s Union,4.0 star rating,$$,"Bars,, American, (Traditional)"
5,Sem4-qvcPorsi6siOPBJGA,Lindsey F.,5.0 star rating,Found this little gem by using Yelp and it does not disappoint.  It has a small dive bar/pub feel.  The bartenders are very friendly and helpful and the beer selection is pretty good.  They also have good bar food and specialty cocktails.  And don't forget the Red Dragon cinnamon whiskey.  As an out of towner looking for a good local cheap bar I highly recommend this place.,Cooper’s Union,4.0 star rating,$$,"Bars,, American, (Traditional)"
6,WUhSkcmpwe-KFsXCQZ8n6g,H H.,4.0 star rating,"Super cool ""speakeasy"" in Hoboken.  Went there once a while back while exploring, and ended up doing dinner and drinks.  This review is for that experience! Pro's:  covert entrance (you can find it in the alley on the cobblestone street where the back entrances to the carriage houses used to be!), decent food (some stuff is full on Irish inspired like the Shepard's pie!), decent drink selection (beer, wine, cocktails-tap and draft available for beer), games (shuffle board, darts), and a unique vibe with good service.Con's:  I can't really think of any-just a word of caution-the front entrance is right next to the Hoboken police station, so keep it in check when leaving after a few drinks!  Other than that, the menu is somewhat limited (think Irish pub bar fare).Swing by for a pint-enter through the back-you won't regret it!",Cooper’s Union,4.0 star rating,$$,"Bars,, American, (Traditional)"
7,nUIpIQZms4fJJeEohlMp3w,Nisha S.,3.0 star rating,Doesn't have much for vegetarians but mac and cheese bombs are amazing-highly recommend it! Two of my friends ordered poboys and they both devoured it. Only problem was that there's only one bathroom so there's usually a line.,Cooper’s Union,4.0 star rating,$$,"Bars,, American, (Traditional)"
8,Bieu0Eg-mRfU7G5IuLzVpw,Charlie H.,5.0 star rating,"I could not log into yelp fast enough to give Cooper's an excellent rating and highly recommend checking it out when you're in the Hoboken area. Headed into Hoboken with a few friends to meet my brother for some good old fashion day drinking. It's a necessity when the winter chill breaks and gives way to a day like we had today. We popped around to some of our normal spots and then my buddy said he wanted to play pool or shuffleboard. I knew of some Hoboken bars with pool tables, but none with shuffleboard tables. I jumped online and the first result was Cooper's. It was a stones throw away so we headed on over. It was early but there were still a handful of patrons at the front bar. I was immediately struck by how clean and well organized the location was. The bartender greeted us with a smile and immediately suggested some of their house shot specials ""red dragons"". We slurped them down (not bad, fireball with some other nice flavor notes) and commenced with our shuffleboard tournament. Great little table and we had it all to our selfs for an hour or 2. The beers were flowing and soon the hunger took hold of all of us. My brother grabbed a menu and threw in an order for the group. I was not expecting much, just some regular drunk bar eats to sop up our beer filled bellys...we were all pleasantly surprised when the food came out how damn good it all was. (Sliders, pretzel, nachos, and the amazing mac and cheese balls). I could go on forever about how much we all enjoyed this bar, but I'll end with this. I now have a new go to spot and can't wait to get back out to Hoboken next weekend to play some shuffleboard and eat some damn good bar food!",Cooper’s Union,4.0 star rating,$$,"Bars,, American, (Traditional)"
9,sxy0rXx2DpyzOm9LaVE8CA,Carla R.,5.0 star rating,"THE BEST BAR IN NEW JERSEY!Best cocktails ever, a great variety of beer (and always very cold =P ) and spirits, cozy environment, delicious food, and the best part is the staff that are always very welcoming and make sure that we have a great experience! If it's your first time there, they will make sure you try the Red Dragon, their homemade cinnamon whiskey, what is so damn good... it tastes like Christmas! LolBesides all of that, they have shuffle boar, darts and a jukebox!!! Definitely its my first choice for relaxing after a day of work, to have fun with friends or to go out with my boyfriend.",Cooper’s Union,4.0 star rating,$$,"Bars,, American, (Traditional)"
