,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,qi1WZiuwruoIP3eGj7Qwmg,Ron L.,5.0 star rating,Everytime I come home from Hawaii this is the only I go to for food drinks and quality people,Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
1,o76wRnisyi2Va0T2pQBOIQ,Silvino P.,3.0 star rating,"Place actually isn't bad I mean if I could give a 3 and a half stars I would, but they kind of messed up on my order and the grilled chicken sandwich I ordered was pretty small. Service wasn't bad either but I requested the Cajun mayo and they forgot(I'm sure he forgot) to add it on my sandwich and never came back to check on us so I couldn't ask for it if I tried. We sat on the table instead of on the bar as the bar was pretty crowded and we wanted to stay away from the crowd. The buffalo chicken wings were actually really good and the burger my friend had also looked delicious as he said it was but my chicken sandwich lacked size and flavor. I will give them another try since the food wasn't bad and hopefully the server that took care of us checks on us the next time, and hopefully I can change my review.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
2,0oP1JjchbOMrqQ7Km1tMoA,Corella F.,5.0 star rating,"We ate here on our honeymoon. I had a chicken ceased salad which was wonderful. My husband had the grilled chicken soft taco but it came out barbecue chicken and he didn't like it. Not that it was bad food, it just wasn't a liking to his taste buds. We had water which was good, didn't taste like tap water at all. There was live music for open mic night which was awesome. The place was packed but not rowdy and we didn't have trouble finding a table.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
3,O0TpoHxvOTgWX7MA6vG88w,Angel C.,4.0 star rating,Believe it or not this lil place actually has a good dj....moscow mule is the new drink to have but i still prefer a blue moon or guiness...alot of ppl i know actually hangs out here lol i showed up one night it was like a lil reunion...saturdays is the best night,Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
4,Zb4c8sWdwFPf0r9YuKQQsw,Shanen L.,4.0 star rating,"Great neighborhood bar with brunch on the weekend, bar food and burgers at other times and games on the TVs. It gets a bit loud during games, as you could imagine. Staff is friendly and quick. Their ""kitchen"" is literally the little griddle behind the bar. Bathroom is kind of set up awkwardly. I come here for brunch because their Bloody Marys are the best in JC, hands down. There are three different spice levels, I like mine spicy and find the medium heat one just perfect. I turned a little red sipping down the extra spicy one. Brunch menu is limited to a few breakfast items and wings. Wasn't really into their Benedicts but the egg tacos and wings were good. I am told this place is very different from how it was years ago.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
5,_fBThyM_-dOaNgdMW9pyQw,Amber H.,4.0 star rating,"Local neighborhood bar with great staff and a nice selection of drinks.  It attracts a lot of young professionals and locals and has a very relaxed, friendly vibe about it.  My only complaint is that when they have a DJ in there it's too loud to have a good conversation...and too small to really dance...I'd say scrap the DJ nights and focus on being a relaxed local bar!",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
6,0EQLLKhYgf6hkPlA5gXdkA,Mira R.,3.0 star rating,Loud! I would not recommend going here on a Saturday if you are planning on having a conversation/ catching up w friends. You won't be able to hear much haha! The bartender working there was nice.,Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
7,j0i50mVv4t1ntSziD6x3Fw,Erica T.,5.0 star rating,"Nice corner neighbor spot. Amazing food, great service and good music. Everything I had here has been awesome from the eggs benedict to the chicken and waffles and their specials are killer too! Good drinks, and if you're a Bloody Mary person they make awesome.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
8,ZZELut-m0rSyivf8saCMKA,Mark S.,4.0 star rating,"Weekend brunch review. Well this was a very pleasant surprise. Brunch is a favorite for me and the Mrs. The Corkscrew has a pretty nice sized menu with about nine to ten items for brunch.  It was hard to choose.  I finally decided on the brunch burger which had a Jersey sandwich staple, Taylor ham, egg and American cheese.  It is served on toasted bun and topped with a sriracha aioli and accompanied by sweet potato fries.  There is just something about a burger cooked on a grill that makes your mouth water.   This burger does that and more.  They are known for their burgers and I can see why, they are outstanding. The wife had the brunch Cubano, a traditional Cuban sandwich topped with a runny egg on an English muffin. It also comes with fried plantains. She really enjoyed it saying the egg with the salty pork and pickles were delicious. Believe it or not there was a three piece Jazz band that started playing shortly before we left. Which of course caused me to order a pint to prolong the stay. I had the Illusive Traveler Grapefruit Shandy. It was very refreshing with just a hint of the grapefruit.  I would definitely come back. Though they probably should think about hiring a waitress during the weekends as they were packed and seemed to me that 3 people just aren't enough.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
9,9WyawRKZU283n4dysBJVUQ,Big Easy K.,4.0 star rating,"I had the brunch burger, advertised as Pat LaFrieda (I'm a fan). She had the eggs Benedict. The burger came with a fried egg underneath. It was cooked to the proper doneness I'd ordered. While it was missing the cheddar cheese from the menu description, it was a good burger nevertheless, so I didn't mind (I did end up mentioning this to the waiter). It came with a perfectly fried order of waffle fries.The eggs Benedict were well received with a tasty albeit pretty thin hollandaise sauce. The accompanying home fries were spot on.Service was friendly and fine, with even the cook checking in with diners.The ambiance is a sports bar with several tables, most of which are the higher tables you find in a bar area of a larger restaurant. I liked the electronic music playing, but didn't open the Shazam app.There is a bit of a disconnect between the menu and what shows up on the bill. For example, the bill showed a burger charge plus a charge for the missing cheese, while the description on the menu said it included cheese. Since the waiter took the missing cheese charge off the bill, it didn't matter to me. You may want to keep an eye out.We'll likely be back.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
10,NSj6Xku_epkcWh1xlAPu9g,Susan F.,5.0 star rating,"I've been here twice & plan on coming back over & over again! Great food for Brunch, lunch or dinner! Great burgers!! Well made drinks & ice cold beer. Nice ambiance & interesting clientele. Very cool bar & neighborhood. Love it!",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
11,Osxg8AppTNPpLZ1ySSu9Rg,Kimberly C.,4.0 star rating,"Casual, solid sports bar with friendly staff. Great choices for beer and all the tv screens for my husband. There were only 3 people working on the Thursday night we were there, but still the service was good. My veggie burger and fries were good. Husband didn't care for their wings since they were breaded, but that's just a matter of how he likes his wings. Seating is self-served which I always like. We'll be back.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
12,3L5-jh0CIHplgBxyndgS2g,Arti G.,4.0 star rating,Good spot to have a few drinks and a bite to eat. Staff is friendly and they have some game nights,Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
13,dugA_rKOfCPu4Wdj5Rtt7g,Ashleigh O.,5.0 star rating,"I spent half of my NYE here. It was a lot of fun, for the most part. I haven't had the food yet but the drinks were a solid price and made well. It gets very loud here due to the music and influx of people but I've grown to accept that and don't mind. I think I'll partake in one of their trivia nights soon. It looks like a lot of fun.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
14,nrhE2wtkRbOkP3M1W9oygQ,Melissa M.,5.0 star rating,"I am a sucker for a good neighborhood bar!! And this one stole my heart!! My boyfriend lives around the corner and we often find ourselves here when we want a drink, a great dinner , or even just want to get out of the house! I seriously enjoy the service, the waiters and bartenders are so friendly, helpful, and great to chat with! The atmosphere and people are never too rowdy and always comforting. We stopped in on a fall night to grab a bite and some drinks before meeting friends downtown. The apple bottom burger was so on point and I like to say ""tasted like fall"". The drinks are priced great, I love cider which usually runs around 6-7$ and they have lots of beer on tap.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
15,3kqNwgqORGwbEnthqv0aHg,Hey J.,5.0 star rating,Small kitchen but well thought out menu. I really like this place. If you're new to the heights it's a good place to get to know your neighbors.,Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
16,Xo6QEQhhhIIHIreWmN2ukA,Patty G.,4.0 star rating,"Yay neighborhood bar! I swear I had already reviewed this place but it seems like that review is gone so here we go again. I've been to corkscrew before and after the renovations and must say kudos for the update!! Adding windows to the location is a big PLUS along with getting the pool table out.  Sorry, not sorry.  They have definitely update on so many level and kept the same feel as to a great neighborhood bar. Their food has stayed yummy and perhaps better than before. Their burgers are so delicious, the fries and the perfect amount of crispiness. They have Sunday Brunch that has live music as well.  Trivia on Thursday nights and I think Ladies night on Saturday.  TVs to watch games, high top tables, they even have a jukebox machine where you can play music. Definitely a great bar in the heights.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
17,htTAxyfxkK4dfu78UX3eww,Patricia R.,5.0 star rating,"I'm a Bloody Mary snob. I was hesitant to try theirs but then I saw it as a special on the drink menu.  Three different levels of spicy? Oh I just had to try.  Omg, addicted!! What is their secret? Absolutely superb. Fabulous vibe and creative, delicious food menu too!",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
18,OrIotbgwKqXMm3PwlgUSxQ,Tony L.,5.0 star rating,"Fantastic service. Ridiculously good food, especially the burgers, fried chicken sandwiches and waffle fries. My go to bar in the heights.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
19,LBbs_CNfvjzSFSMSEetqEg,Joseph A.,5.0 star rating,"This is my go to spot for wings and a burger.... the prices are unbelievable too.... if your in the heights go check out corkscrew tavern, you won't be disappointed at all..",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
20,qi1WZiuwruoIP3eGj7Qwmg,Ron L.,5.0 star rating,Everytime I come home from Hawaii this is the only I go to for food drinks and quality people,Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
21,o76wRnisyi2Va0T2pQBOIQ,Silvino P.,3.0 star rating,"Place actually isn't bad I mean if I could give a 3 and a half stars I would, but they kind of messed up on my order and the grilled chicken sandwich I ordered was pretty small. Service wasn't bad either but I requested the Cajun mayo and they forgot(I'm sure he forgot) to add it on my sandwich and never came back to check on us so I couldn't ask for it if I tried. We sat on the table instead of on the bar as the bar was pretty crowded and we wanted to stay away from the crowd. The buffalo chicken wings were actually really good and the burger my friend had also looked delicious as he said it was but my chicken sandwich lacked size and flavor. I will give them another try since the food wasn't bad and hopefully the server that took care of us checks on us the next time, and hopefully I can change my review.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
22,0oP1JjchbOMrqQ7Km1tMoA,Corella F.,5.0 star rating,"We ate here on our honeymoon. I had a chicken ceased salad which was wonderful. My husband had the grilled chicken soft taco but it came out barbecue chicken and he didn't like it. Not that it was bad food, it just wasn't a liking to his taste buds. We had water which was good, didn't taste like tap water at all. There was live music for open mic night which was awesome. The place was packed but not rowdy and we didn't have trouble finding a table.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
23,O0TpoHxvOTgWX7MA6vG88w,Angel C.,4.0 star rating,Believe it or not this lil place actually has a good dj....moscow mule is the new drink to have but i still prefer a blue moon or guiness...alot of ppl i know actually hangs out here lol i showed up one night it was like a lil reunion...saturdays is the best night,Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
24,Zb4c8sWdwFPf0r9YuKQQsw,Shanen L.,4.0 star rating,"Great neighborhood bar with brunch on the weekend, bar food and burgers at other times and games on the TVs. It gets a bit loud during games, as you could imagine. Staff is friendly and quick. Their ""kitchen"" is literally the little griddle behind the bar. Bathroom is kind of set up awkwardly. I come here for brunch because their Bloody Marys are the best in JC, hands down. There are three different spice levels, I like mine spicy and find the medium heat one just perfect. I turned a little red sipping down the extra spicy one. Brunch menu is limited to a few breakfast items and wings. Wasn't really into their Benedicts but the egg tacos and wings were good. I am told this place is very different from how it was years ago.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
25,_fBThyM_-dOaNgdMW9pyQw,Amber H.,4.0 star rating,"Local neighborhood bar with great staff and a nice selection of drinks.  It attracts a lot of young professionals and locals and has a very relaxed, friendly vibe about it.  My only complaint is that when they have a DJ in there it's too loud to have a good conversation...and too small to really dance...I'd say scrap the DJ nights and focus on being a relaxed local bar!",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
26,0EQLLKhYgf6hkPlA5gXdkA,Mira R.,3.0 star rating,Loud! I would not recommend going here on a Saturday if you are planning on having a conversation/ catching up w friends. You won't be able to hear much haha! The bartender working there was nice.,Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
27,j0i50mVv4t1ntSziD6x3Fw,Erica T.,5.0 star rating,"Nice corner neighbor spot. Amazing food, great service and good music. Everything I had here has been awesome from the eggs benedict to the chicken and waffles and their specials are killer too! Good drinks, and if you're a Bloody Mary person they make awesome.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
28,ZZELut-m0rSyivf8saCMKA,Mark S.,4.0 star rating,"Weekend brunch review. Well this was a very pleasant surprise. Brunch is a favorite for me and the Mrs. The Corkscrew has a pretty nice sized menu with about nine to ten items for brunch.  It was hard to choose.  I finally decided on the brunch burger which had a Jersey sandwich staple, Taylor ham, egg and American cheese.  It is served on toasted bun and topped with a sriracha aioli and accompanied by sweet potato fries.  There is just something about a burger cooked on a grill that makes your mouth water.   This burger does that and more.  They are known for their burgers and I can see why, they are outstanding. The wife had the brunch Cubano, a traditional Cuban sandwich topped with a runny egg on an English muffin. It also comes with fried plantains. She really enjoyed it saying the egg with the salty pork and pickles were delicious. Believe it or not there was a three piece Jazz band that started playing shortly before we left. Which of course caused me to order a pint to prolong the stay. I had the Illusive Traveler Grapefruit Shandy. It was very refreshing with just a hint of the grapefruit.  I would definitely come back. Though they probably should think about hiring a waitress during the weekends as they were packed and seemed to me that 3 people just aren't enough.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
29,9WyawRKZU283n4dysBJVUQ,Big Easy K.,4.0 star rating,"I had the brunch burger, advertised as Pat LaFrieda (I'm a fan). She had the eggs Benedict. The burger came with a fried egg underneath. It was cooked to the proper doneness I'd ordered. While it was missing the cheddar cheese from the menu description, it was a good burger nevertheless, so I didn't mind (I did end up mentioning this to the waiter). It came with a perfectly fried order of waffle fries.The eggs Benedict were well received with a tasty albeit pretty thin hollandaise sauce. The accompanying home fries were spot on.Service was friendly and fine, with even the cook checking in with diners.The ambiance is a sports bar with several tables, most of which are the higher tables you find in a bar area of a larger restaurant. I liked the electronic music playing, but didn't open the Shazam app.There is a bit of a disconnect between the menu and what shows up on the bill. For example, the bill showed a burger charge plus a charge for the missing cheese, while the description on the menu said it included cheese. Since the waiter took the missing cheese charge off the bill, it didn't matter to me. You may want to keep an eye out.We'll likely be back.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
30,NSj6Xku_epkcWh1xlAPu9g,Susan F.,5.0 star rating,"I've been here twice & plan on coming back over & over again! Great food for Brunch, lunch or dinner! Great burgers!! Well made drinks & ice cold beer. Nice ambiance & interesting clientele. Very cool bar & neighborhood. Love it!",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
31,Osxg8AppTNPpLZ1ySSu9Rg,Kimberly C.,4.0 star rating,"Casual, solid sports bar with friendly staff. Great choices for beer and all the tv screens for my husband. There were only 3 people working on the Thursday night we were there, but still the service was good. My veggie burger and fries were good. Husband didn't care for their wings since they were breaded, but that's just a matter of how he likes his wings. Seating is self-served which I always like. We'll be back.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
32,3L5-jh0CIHplgBxyndgS2g,Arti G.,4.0 star rating,Good spot to have a few drinks and a bite to eat. Staff is friendly and they have some game nights,Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
33,dugA_rKOfCPu4Wdj5Rtt7g,Ashleigh O.,5.0 star rating,"I spent half of my NYE here. It was a lot of fun, for the most part. I haven't had the food yet but the drinks were a solid price and made well. It gets very loud here due to the music and influx of people but I've grown to accept that and don't mind. I think I'll partake in one of their trivia nights soon. It looks like a lot of fun.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
34,nrhE2wtkRbOkP3M1W9oygQ,Melissa M.,5.0 star rating,"I am a sucker for a good neighborhood bar!! And this one stole my heart!! My boyfriend lives around the corner and we often find ourselves here when we want a drink, a great dinner , or even just want to get out of the house! I seriously enjoy the service, the waiters and bartenders are so friendly, helpful, and great to chat with! The atmosphere and people are never too rowdy and always comforting. We stopped in on a fall night to grab a bite and some drinks before meeting friends downtown. The apple bottom burger was so on point and I like to say ""tasted like fall"". The drinks are priced great, I love cider which usually runs around 6-7$ and they have lots of beer on tap.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
35,3kqNwgqORGwbEnthqv0aHg,Hey J.,5.0 star rating,Small kitchen but well thought out menu. I really like this place. If you're new to the heights it's a good place to get to know your neighbors.,Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
36,Xo6QEQhhhIIHIreWmN2ukA,Patty G.,4.0 star rating,"Yay neighborhood bar! I swear I had already reviewed this place but it seems like that review is gone so here we go again. I've been to corkscrew before and after the renovations and must say kudos for the update!! Adding windows to the location is a big PLUS along with getting the pool table out.  Sorry, not sorry.  They have definitely update on so many level and kept the same feel as to a great neighborhood bar. Their food has stayed yummy and perhaps better than before. Their burgers are so delicious, the fries and the perfect amount of crispiness. They have Sunday Brunch that has live music as well.  Trivia on Thursday nights and I think Ladies night on Saturday.  TVs to watch games, high top tables, they even have a jukebox machine where you can play music. Definitely a great bar in the heights.",Corkscrew Bar,4.0 star rating,$$,"Pubs,, American, (Traditional)"
