,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,gg2OwNgTCwONTVB1eXyeDg,Michelle F.,5.0 star rating,"I am always happily surprised when I eat at Court Street. It is unassuming.  When you walk in, you feel transported back in time with the beautiful window view looking onto the cobble stone street.  The atmosphere is very homey and enjoyable.  The service is great.Their Sunday brunch is fantastic.  They give you Irish Soda Bread and fresh fruit to start.  They have delicious brunch drink specials, I recommend the Peach Bellini. The burgers are cooked perfectly, they impressed my parents which is  hard to do.  Love their chicken sandwich as well and the bread makes the sandwich.Their dinners are delicious as well.  Great comfort food, cannot go wrong with anything.  I especially like the shrimp and pasta in a white wine cream sauce.The price is great and the service is always impeccable.",Court Street Restaurant & Bar,4.0 star rating,$$,"American, (Traditional),, Seafood,, Breakfast, &, Brunch"
1,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,3.0 star rating,"Court Street is consistent.Consistently $$ and bland, that is. The setting is nice enough (read: okay to bring the in-laws) but, at the end of the day, it's the food that really matters.  And that's where things take a turn south.See, it's not bad, nor bad quality.  But...bland.  No creativity in the execution.  No nuanced notes.  Nothing special.  It's WYSIWYG (what you see is what you get).  And that's just...bland.",Court Street Restaurant & Bar,4.0 star rating,$$,"American, (Traditional),, Seafood,, Breakfast, &, Brunch"
2,mG8aDWlxjCUGujrnImLXfw,Alexis B.,5.0 star rating,"Totally delicious. I highly recommend the lobster and shrimp over angel hair. It came in a creamy seafood sauce that was beyond amazing, just out of this world. The prime rib was also to die for. The french onion soup appetizer was incredible as well, very beefy, salty and cheesy; I could eat 10 more. The best part... it was very reasonably priced. We will definitely be back soon!",Court Street Restaurant & Bar,4.0 star rating,$$,"American, (Traditional),, Seafood,, Breakfast, &, Brunch"
3,B75jiYF808xq9vqi1PTOgw,Chris Z.,4.0 star rating,"One of the best and classy restaurants in Hoboken, which is not Italian. A business partner recommended to try the Monday night prime rib which we did besides some soup, chicken parmigiana and seafood pasta. All good and accompanied by 2 good bottles or red wine. Their wine list is not expensive and was awarded by wine spectator! We'll be back soon for some other specials and good times",Court Street Restaurant & Bar,4.0 star rating,$$,"American, (Traditional),, Seafood,, Breakfast, &, Brunch"
4,rtOgvrSLb8at6qIEIKu1_g,Sampad D.,4.0 star rating,This is a nice place in Hoboken. The servers are great and friendly.We ordered -Crab meat stuffed mushroom - 4/5Salmon - 4/5The complimentary breads were also very fresh.Overall a good experience !,Court Street Restaurant & Bar,4.0 star rating,$$,"American, (Traditional),, Seafood,, Breakfast, &, Brunch"
5,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,3.0 star rating,"From the outside looking in, Court Street looks like a regular bar. However, if you venture in past the bar, you'll see that they actually have a proper dining room in the back. I came in with my boyfriend and his parents on a Thursday at around 8, and it wasn't too packed.To start, we had the brie baked in a puff pastry, and the calamari. Both were great. The brie was nice and melty inside the perfectly toasted pastry. The calamari was extra crispy, without being or tasting too oily. As for the entrees, these were a bit lackluster. I had the penne with wweet Italian sausage. It was pretty basic - nothing I couldn't make at home. Unlike the appetizers, this on the other hand, was a bit too oily. But it might be from the sausage, which they did give a pretty generous portion of, so can't really complain about that. The prices have a pretty huge range. Some dishes are pretty reasonably priced (like my pasta dish, which was $13), but others seem to be expensive for no reason (like crab cakes for $24). Not sure I would be back for a whole meal, but I don't mind stopping by for some appetizers.",Court Street Restaurant & Bar,4.0 star rating,$$,"American, (Traditional),, Seafood,, Breakfast, &, Brunch"
6,0ykee5GvnIUDTbCcG3EeSA,Helen W.,1.0 star rating,"The food was okay, the service was so disappointing. I understand the waiters and waitress are usually busy on Friday night, but at least be patient. They kept walking around but never stoped to service you. It was my mom's birthday, we asked for one waiter's favor to take family photos for us. He showed impatience, and took blurred photos! They don't respect their job, or I guess they hate their boss. I paid 17.5% tips out of courtesy.",Court Street Restaurant & Bar,4.0 star rating,$$,"American, (Traditional),, Seafood,, Breakfast, &, Brunch"
7,e4XFtoRLlYSq34hH2Jrx0w,Amanda K.,4.0 star rating,Oldie but a goodie.  French onion soup? Check.  Calamari? Check.  Swordfish? Check.  Linguini with garlic? Check check and double check.  Service was great (Joanna) and the menu isn't over priced.  I'm going back more often.,Court Street Restaurant & Bar,4.0 star rating,$$,"American, (Traditional),, Seafood,, Breakfast, &, Brunch"
8,OMJwlCECjqBtY3cCxhpqyw,Venus R.,5.0 star rating,"This place is such an amazing gem! What I love about the space is that you can keep it low key and sit at the bar area or you can go into the dining room for date night. I came here twice already. First time it was in a Sunday and sat at the bar since there was a football game going on. Had a as an appetizer the crab cake and the portobello mushroom with broccoli rabe out of the specials for the night. The crab cake was Amazing and was the reason I wanted to go back so bad (well at least one of the reasons) for entree my husband had the rabbit and I had the shrimp and lobster in vodka sauce over linguini. Both so delicious and so fresh. It was literally a work of art ! For desert I had a pumpkin chocolate pie with coffee. The coffee was also great and that pie was divine ( another one of my reasons for going back!) 2nd time around went into the dining area on a Saturday and had as an appetizer the baked Brie and calamari. Calamari was so fresh and not fishy at all (which is a great sign) the breading was so light. That Brie was also something out of this world. Entree had fish and chips and my husband had some coq au vin. Needless to say we were not disappointed. Followed by another cup of coffee and a peanut butter chocolate pie ( the pumpkin wasn't served on that night) Definitely, a place to go and try! Worth every cent! Also, check out the specials in advance online. They also have different specials during the week and even a lobster specials on Saturday!!!",Court Street Restaurant & Bar,4.0 star rating,$$,"American, (Traditional),, Seafood,, Breakfast, &, Brunch"
9,mCVKhJzonBGiLkTHVQGdRw,Heather L.,4.0 star rating,"Solid and reasonably priced brunch placed in the middle of Hoboken. I've been before for dinner and to grab drinks but not for brunch. Brunch is what they do best w/o a doubt. Excellent drink menu including pitchers of Bloody Mary's or Mimosas for $12.  Attentive service, good ambiance, and a wide menu will welcome you. They do a brisk business but didn't seem to mind my friend and I sitting for a bit after we paid to catch up. I ordered the Eggs Florentine Benedict ($11) which was delicious. They do a great poached egg and I was really glad I ordered them as the eggs were cooked well and ran the just right amount when I cut into them. My friend got 3 eggs any way and also got the poached eggs so highly recommended. It also came w/some broccoli and home fries on the side though the home fries were a bit too greasy and crispy for my taste. All entrees also come with fresh fruit and soda bread which were good. A ton of food for $11.",Court Street Restaurant & Bar,4.0 star rating,$$,"American, (Traditional),, Seafood,, Breakfast, &, Brunch"
