,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,SRhJrfE-0PBlXrVrmn4l2w,Steve H.,5.0 star rating,"Everything was delicious, cooked perfectly and just flat out amazing.Friendly service as well.Artwork is great too!",Dark Side of the Moo Cafe,4.5 star rating,$$,"Burgers,, Cafes,, American, (Traditional)"
1,QIzcAdojWG5QlYlmESVCkQ,Larry S.,2.0 star rating,"We were visiting my son and his family in Jersey City, and he suggested hamburgers from Dark Side of the Moo for dinner. I was excited, hoping to have a positive Bareburger-like experience. Well, not only did I discover that my order was prepared incorrectly when he brought the food home, I found the hamburger to be a soggy, mushy disaster. To be perfectly honest, it tasted rancid to me. It took me hours before I got the taste of it out of my mouth.What an unhappy experience. I hope for everyone else's sake that this was the exception and not the rule. But as for me, I won't be back.",Dark Side of the Moo Cafe,4.5 star rating,$$,"Burgers,, Cafes,, American, (Traditional)"
2,CB-saoVxiFGC-HlTvz9Opw,Josh P.,5.0 star rating,"Excellent burger, shakes and banana pudding (no, really). Spoke to the staff and even the owner at DSotM. All of them were genuinely enthusiastic about the food they serve. A lot of passion was shared when they told us about the cuisine. For the adventurous or just those that are bored with the standard NJ fare, DSotM serves some really interesting meats. I am sure I am missing a few but I saw offered: turtle, kangaro, yak, camel, venison and bison.The burger I and my friend each had was very flavorful. The buns were delicious as well as all the fixings. My only criticism here would be the bun/meat ratio. Either the bun could be smaller or the meat a bit larger. As I type this, I remember they offered a double burger option. Perhaps if I had gotten that, my ratio would have been just fine.We did not try the exotics but if they are half the quality of the rest of the offerings, then they would still be pretty solid.For dessert we had the peanut butter banana pudding. Extremely delicious and different from standard dessert fare. Seating was a little on the tight side, so best to come at off hours or get take out.If you are fan of burgers, sweets, or food that's just the right side of different, then please give Dark Side of the Moo a try.",Dark Side of the Moo Cafe,4.5 star rating,$$,"Burgers,, Cafes,, American, (Traditional)"
3,XEQi7nisYpMH6_hCNqC4gg,Tony D.,5.0 star rating,"Really fantastic little hidden gem. They offer a very eclectic menu offering relatively hard to find choices like camel, kangaroo and wild boar. The staff was super exceptional. The service was friendly and attentive, and the food just tasted great.",Dark Side of the Moo Cafe,4.5 star rating,$$,"Burgers,, Cafes,, American, (Traditional)"
4,1DCIBeBviyAYeuAxP4IKnQ,Jack W.,1.0 star rating,"We spent 70 dollars here on the strength of great reviews and amazing sounding food. What we got was horrible. Absolutely terrible quality food. The very best thing we had was the southern comforts burger and that wasn't even good, it was just better than everything else! I don't know if they usually do better than this, everyone seems to say they do but man was our dinner bad. Literally everything was bad. Be very careful ordering from this place, they clearly don't care about putting an quality in the food they serve. Will never eat here again. I've posted pictures of our food so everyone can see what these guys cook. Horrible.The bacon Mac n cheese literally had a solid piece of something on top of it and then nothing at all in the actual Mac n cheese itself. Nothing even remotely resembling bacon was on it, and my burger had bacon on it, I know they have actual bacon! The chorizo was awful, didn't taste like chorizo at all. The cheese that was supposed to go on it tasted horrible, we couldn't even tell that it was cheese! We thought it was some sort of weird sauce because of how absolutely unlike cheese it was.The chorizo tacos were so poorly made we didn't even try to eat them after forcing ourselves to take a few bites.This place was a total waste of our money, they're just good at making a tasty sounding menu.",Dark Side of the Moo Cafe,4.5 star rating,$$,"Burgers,, Cafes,, American, (Traditional)"
5,lN0t2U6CzurPJ8bXcVdaFw,Eden M.,5.0 star rating,"The burgers here are stupendous. Unwieldy names aside, my partner and I destroyed our meal way too quickly, and wished we had space for more.",Dark Side of the Moo Cafe,4.5 star rating,$$,"Burgers,, Cafes,, American, (Traditional)"
6,60xT8IJErBIOe1q8dGfIJw,Christina D.,5.0 star rating,"My husband and I were in the height and we had lunch in their restaurant space.It's very small, but very homey. Their staff are extremely friendly welcoming and the food is delicious and fresh.  You are coming here for the food, not the decor.I had the yak burger and loved it; consistently good, fresh and the perfect temp at medium or medium rare.  The husband got the camel burger, and it was super delicious, although little gamy, which is normal for that type of meat.As an appetizer we got the chicken wings, with the fire sauce. The sauce was delicious, great level spice but just enough so they did not overrun the actual taste of the sauce and turn it to pure heat.  The chicken wings were big and meaty, although they could do less on the breading.We also got an order of the truffle french fries which were good but nothing to write home about. Basically when you come here stick to the burgers that you cannot go wrong.Since their menu is more expanded in the restaurant, they had a lot more options on their menu including various appetizers, salads, and desserts!",Dark Side of the Moo Cafe,4.5 star rating,$$,"Burgers,, Cafes,, American, (Traditional)"
7,JaesTErPaXXRRC0kqodDjA,May C.,5.0 star rating,"Yum!! I visited Dark Side of the Moo during Midnight Market JC and I don't regret it at all! I just wish I got a full sandwich instead of half. Their alligator sausage is delicious, I enjoyed every single bite of my sandwich. I'm super excited that they deliver and I'm really hoping they come all the way down to Paulus Hook!If you find yourself at Midnight Market JC, don't be afraid to approach the table. I honestly wasn't too sure of what they were selling at first because their table was quite empty minus the banner they had with their logo on it. The other vendors had food on display, large chalkboard signs with what they had on the menu, etc. I was extremely glad I took a leap and checked this place out because it was my favorite meal of the night.",Dark Side of the Moo Cafe,4.5 star rating,$$,"Burgers,, Cafes,, American, (Traditional)"
8,JH1O3IDipUfpZMxsoy4MZA,Jason C.,3.0 star rating,"Stopped by with friends for a late dinner. The staff were friendly, and I loved the decor. They really have a pretty unique concept for the area and very reasonable prices. If I could give 3.5 stars, I would. I had the duck burger which was just okay. It just didn't quite have the flavorful profile I was hoping for. Maybe a bit more spice would have helped? My friends loved their kangaroo and yak burgers which is why I'd bump things up half a star.",Dark Side of the Moo Cafe,4.5 star rating,$$,"Burgers,, Cafes,, American, (Traditional)"
9,95MH1nGcUQ2wdfdMl0GXzQ,Ramsey A.,3.0 star rating,"As far as burgers go, dark side of the moo is a pretty great burger spot. Now I'm sure you're wondering why the three stars if it's ""pretty great"" well the burger portion is quite small. It would take two burgers at the very least to fill you up. And that's just costly. I had also ordered BBQ chicken tacos and wings. The gentleman was kind enough to split my order of wings(8) and put two different sauces(Peach Habanero, Chipotle Ranch). That however didn't make up for the fact that the wings were subpar. The peach habanero were very soggy as well, and the chipotle ranch look like it was squirted out of a bottle instead of smothered in the sauce.The tacos were probably my least favorite out of everything I ordered. The cheese on the tacos was clumpy, and it wasn't as flavorful as I had hoped. Now with all of this said. Would I go back for another burger?? You're damn right I would! I'd just get some fries instead of anything else, maybe try out the gator sausage  too.",Dark Side of the Moo Cafe,4.5 star rating,$$,"Burgers,, Cafes,, American, (Traditional)"
