,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,sCxTpA7Db5xesTSljfnp7Q,Andre R.,5.0 star rating,"Reserve your ""table"", and your duck!A tale of two cities: My wife and home are collocated in Chicago, but not me- I work in NYC. The juggling act that is our lives involves lots of travel, with weekends spent mostly in chi-town where I play out my other full time job as a Tim Taylor doppelgänger on the set of my private production of ""Home Improvement."" I even have my own Wilson (hey Houtsma- shout out to you!) Sometimes, however, we switch it up and my wife visits NY. On those weekends, dinner at decoy is a given (in my best ""most interesting man in the universe"" impersonation: I don't always eat in NY, but when I do, I eat at Decoy)Reservations on weekends generally require advance booking (weeks), and for good reason: the duck, or perhaps the urchin, or maybe it's the short rib dumplings, the steak, or... The point is, it's all great.The fixed price menu for two yields a duck, choice of 2 app courses, and choice of rice (get the seafood fried rice!). Dinner for four still yields the same single duck, more apps, choice of rice plus two mains- more food than than four can consume in two sittings. But that's besides the point, because it's not about the quantity (which is prodigious), but the quality- which is off the charts good.",Decoy,4.0 star rating,$$$$,"Chinese,, Bars"
1,5sK_M0-b6lTENWEp7dYaMQ,Jeff W.,4.0 star rating,"You've obviously come here for the duck so first I'm going to outline some facts about ducks:1. Ducks can fly more than 300 miles in a single day.2. A duck's quack, contrary to popular belief, does in fact echo.3. Ducks, are omnivores, probably like you, so your time here will probably suck if you're veagan.4. The most commonly farmed duck, and the one you're most likely going to eat here is the Pekin duck (also called the Long Island duck). This is confusing as fk because Pekin (Beijing) and Long Island are really far from each other. But it's probably these duckboys can fly anywhere they damn please.Finally, ducks are fking delicious and especially the duck here. Go with a party of 5 and order 2 whole ducks as entree. Avoid everything else on the menu that's non-duck related because it sucks (e.g. steamed sea bass). Drinks were great, service was solid.I'm docking a star, however, because this place kills a lot of delicious ducks.",Decoy,4.0 star rating,$$$$,"Chinese,, Bars"
2,lHBdhSXXTZ38XJNX5rT1qQ,Andrew S.,5.0 star rating,"I came here for a work event and cannot recommend it highly enough.It's a well-hidden spot with dim reddish lighting that suggests the fulfillment of carnal (read: carnivorous) desires. I was not disappointed.The drink menu is fantastic. Look in the top right corner for their specials. I ordered a cocktail that, among other delicious things, boasted egg white and duck fat! It was as rich and delicious as I hoped with a little extra tang.If you go with a large party, the appetizers are dropped on your table like hail. Oh and there is only one table. So expect to make friends. The standouts were the incredibly rich and pleasantly spicy crab fried rice, the scalding crab and pork soup dumplings, and the crunchy shishito peppers stuffed with shrimp. Woah. And the duck was, unsurprisingly, incredible.The service was perfect. Every time you left the table they refolded your napkins and all the servers were happy to wax poetic about the dishes placed in front of us.No doubt I will be back.",Decoy,4.0 star rating,$$$$,"Chinese,, Bars"
3,488M_ubE3Dv8YKRL7XRo1w,Jocelyn K.,4.0 star rating,"After hearing bad reviews on Da Dong, my friend canceled his reservation and we decided to go to Decoy instead. The restaurant is incredibly tiny. It consists of one long table, the bar, and two tiny tables on either side of the door. If you have the misfortune of sitting near the entrance during the winter, make sure you wear a sweater. We did the $75 prix fixe for 5 people, which came with one plate of duck, 10 pancakes, sauces, Asian pickles, decoy chips, duck consommé, 4 sides, 3 entrees, 1 fried rice, and 1 vegetable side. Peking Duck - The duck tasted like the peking duck I've had at most Cantonese restaurants. The pancakes are really small and flimsy. They give us 10 and charge $6 for extra. They took away the extra before we finished even though they charged us for it. They put the duck on a smaller plate to make room for the other dishes, but didn't give us back the sauces and the pancakes. The three sauce that came with the duck were hoisin, cranberry (weird), and sesame (tastes like a tang yuan). The duck consommé was delicious and probably my favorite part. Overall, the duck was tasty, but I think I'd rather go to a Cantonese restaurant and get larger pieces of duck and pancake wraps there.Decoy Chips and Asian pickles - I loved the Decoy Chips!!! They turned out to be fried fish skin. The pickles were great as well. I loved the mango one the best. For those with shrimp allergies, the pickled cucumbers and cauliflower has shrimp in it.Oxtail dumplings - This was my favorite out of the four sides. The filling had an interesting briny taste to it. The dumplings also have shrimp in it for those who have shrimp allergies.Katz's Pastrami Triangles - Not my favorite. Crunchy vegetable and peanut dumplings - I thought these would be boring but I actually enjoyed these dumplings. It tasted like they used jicama in the filling.Grilled Wagyu beef pieces - I only had a small bite, since it was rather far away from me on the table. It was okay, not mind-blowing or anything, but that may be because my piece was too small. The beef also has shrimp in it. Chilean sea bass - This came as small pieces of bass with on a bed of vegetables. The flavor of the sauce was on the sweet side. Not my favorite sea bass dish, but it wasn't bad.Sauteed Diced Lamb on Roti - I enjoyed the flavor of the lamb which came as small pieces in a bowl made out of roti. The lamb wasn't too chewy.Grilled Pork ""Toro"" with Korean rice cakes - The pork and rice cakes were cut into little strips. I didn't get much of this since it was on the other side of the table.Truffle egg fried rice - Really delicious. The rice is covered in a fluffy and soft truffle-flavored omelette. The fried rice underneath was average as in not as good as a Chinese restaurant, but wow that egg was so good. This was better than all the entrees we ordered.Sauteed snow pea shoots - Way overpriced. I think a Cantonese restaurant can make this better for $6 less and twice the size. In terms of Peking Duck, I wouldn't say they are that much better than the Peking Duck you get at Cantonese restaurants. They are immensely better than DaDong though and I do think their entrees and sides make the prix fixe worth it.",Decoy,4.0 star rating,$$$$,"Chinese,, Bars"
4,8RVj_p50k6gwGsb7yG511g,Arthur C.,5.0 star rating,"Having dined recently at Dadong, I still had the sour taste of mediocre Peking duck in my mouth. Thankfully, my friend landed a reservation at Decoy and I am thrilled to report that it was not only better than Dadong (truly a low bar) but excellent in its own right.Peking duck is an excellent dish, one that too few people will ever get to try. There are numerous Chinese restaurants that roll out halfhearted takes on the dish for the imperceptive among us. Do not let yourself make that mistake; instead, indulge yourself and some friends at Decoy.Our party of four had the Peking duck dinner, comprised of the following:STARTERSHomemade Pickles: These sound very humble, but turn out to be six unique cups of light yet bright fruits and vegetables, including a lovely curry and fresh mango. Do not overlook these!Decoy Chips: Likewise not your boring old Lays; these are fried branzino skin cooked and seasoned to perfection to whet your appetite for the feast to come.SMALL PLATESOctopus Salad: The first small plate to come out, fittingly as it is served cold. The presentation was wonderful, a small plate of octopus and cucumber perched atop a white porcelain teapot filled with dry ice sublimating cool carbon dioxide out the spout. The flavors matched the display.Shrimp Stuffed Shishito Peppers: Well prepared, a half step above the kind you would find at many dim sum spots.Oxtail Dumplings: Everyone knows anything oxtail is yummy, and these are no exception. Tender and bursting with meat juice.MAIN DISHESSauteed Diced Lamb: Succulent and saucy, paired appropriately with Chinese broccoli and pickled shallots (grossly underutilized in cuisine). The lamb is actually served on top of a crepe-like pancake, in case you need to carbo-load for that marathon you are not running.Steamed Sea Bass: Good but not great, perhaps because we were nearing fullness as the meal came to a close. Probably the simplest dish on the night.RICETruffle Egg Fried Rice: A pleasant surprise, with a thin layer of cooked egg encasing the aromatic rice within like an omurice. I am not 100% sold on the marriage of truffle oil with rice yet, but this is a solid rendition.DUCKDuck Consomme Shots: How are more restaurants not catching on to consomme shots already? Everyone knows consomme is a fancy word for clarified liquid fat, but because it's French it must taste good. This one really does, and warms the soul before the sin that is about to unfold with the...Peking Duck: Serving hands down the best Peking duck - if not the best bird - I have had stateside, Decoy toes the line between crispiness and tenderness brilliantly. The pancakes are, importantly, the perfect texture and temperature as well. In addition to the typical cucumber and spring onions is an option of crispy shallots to accompany the duck slices into your pancake, which are an excellent innovation. Both the hoisin and sesame work well albeit separately and not in the same bite. The only slight hiccup is the baffling inclusion of a cranberry sauce alongside the traditional hoisin and a housemade sesame.Service was brisk but attentive, and although most parties greater than two will likely find themselves at the long communal table, you never feel claustrophobic. Rather, it makes for some entertaining people-watching or possibly even some friendly conversation (the horror!) with the adjacent group.",Decoy,4.0 star rating,$$$$,"Chinese,, Bars"
5,vH4_whddFLyRPV_i6msO_Q,Tiffany Y.,5.0 star rating,"AH-MAZE-BALLS. If I could give this place more stars I would. Decoy was HIGHLY recommended by the doctor that I work with who lives in the city..so I knew he knew all the good places to eat. My husband and I came here before Valentine's Day for an early celebration and I'm SO glad we did. We had reservations for 8:30pm and got here around 8:15pm and the place was already packed. VERY small place, it's on the bottom floor of their sister restaurant Red Farm. There's a long farm style table on the left that can fit around 20 (?) people and the bar to the right that can fit around 10ish. At the bar, an a la carte menu is available whereas at the table, it's a pre fixe menu. The pre fixe menu was $75pp with a choice of 2 appetizers and a main rice dish OR a side dish. Along with that came the Peking duck, branzino chips, pickled cucumbers, kimchi cauliflower, and mango. For the appetizers, we opted for the Waygu beef and vegetable and peanut dumplings. For our main course, we chose the crab and scallops rice dish. This was MORE than enough food for two people with leftovers to bring home for a full dinner! The entire staff was beyond amazing. As soon as we walked in, we were greeted by a young woman who was extremely friendly and wasn't even fazed by how busy it was. We were then seated and greeted immediately by our waiter who got us water within the first 5 minutes of us sitting down. As soon as he came back with our waters, he asked if this was our first time and explained the menu to us. After ordering, our food came out during the perfect timing. Empty dishes were taken away immediately and tables and plates were cleaned before our duck came out. All I'm trying to say, is that the service at this place is beyond awesome!The FOOD was f-in PHENOMENAL. Its really had to cook duck to begin with, but to cook it like how they do overseas, is amazing. Born and raised in Hong Kong, it's hard to find food that actually tastes like home- and I have to tell you, this tasted like home. I'd like to give my compliments to the chef(s) for making everything to perfection. The duck shooter that it comes with, is basically duck broth...let's just say everything you eat here is orgasmically good!The duck LITERALLY melts in your mouth with the crunchiness of the duck skin. Three sauces that came with the duck was a peanut sauce, cranberry, and a hoisin sauce (sweet brown sauce). I don't think I have any words to describe the duck without saying this is something you have to sit and try yourself! If you're not a duck fan, I suggest you try Decoy's duck...I can guarantee you'll be a duck fan after having tried their duck I will highly recommend this to friends and family and will for sure come back!",Decoy,4.0 star rating,$$$$,"Chinese,, Bars"
6,8zC2sXxQ3H7OYnlYtNOMCg,Nina C.,4.0 star rating,"Ah, where to begin. Decoy is hidden in the basement, down a narrow set of stairs. From the outside, the neon lights threw me off and I walked right by thinking it was a sports bar (idk why). Inside, the restaurant is cozy and comfortable.We made a reservation for 7:30 and were seated pretty quickly. We dined for about 2 hours and never felt rushed. Also, I have a shrimp allergy (sad, I know) and the staff was meticulous about letting us know what may contain shrimp. Spoiler alert: a lot of dishes contain shrimp or a shrimp sauce.The food was good. The menu was overwhelming before the waitress explained how it worked but still it could have been more straight forward. Something I'm still unclear about is the portion of duck and wraps you get (10 wraps to start, $6 for each additional 10.) Between the 5 of us we each had 4 wraps. Are the number of wraps you get based on # of people or is it a set amount? This would make a huge difference in whether I would go back as a party of 2 or more.Overall, service was great and food was good.",Decoy,4.0 star rating,$$$$,"Chinese,, Bars"
7,3z_fypaUbQR7lo2Hk5Rqyg,Lauren A.,5.0 star rating,"Everything we had (dinner tasting) menu was amazing. My favorite thing was the Grilled and Marinated Rib Steak, closely followed (if not tied) by the Peking Duck served with Shots, Pancakes and Sauces. You really can't go wrong here, but probably isn't a great option for a vegetarian. (Note that I have no idea if there is a different menu.)We were a large group (9) with a reservation, and were seated at RedFarm upstairs, which was lovely. Most of the staff were really friendly. It was an interesting arrangement, as we didn't have an assigned waitress/waiter - we could flag down anyone if we needed something like a spoon. We brought a cake and they had no problem dealing with the candles, and then taking it into the back to slice and serve it.Definitely want to go back!",Decoy,4.0 star rating,$$$$,"Chinese,, Bars"
8,xJXGrKkkYE8AHTZWZdxLqg,Jon P.,5.0 star rating,"The best Peking duck ive had! Make a reservation, because they'll run out of duck and then you're really missing out. $75 per person for a whole duck, with 2 appetizers and 1 side. We got the pastrami squares which were delicious which came with a honey mustard sauce. Next we got the wagyu beef, which was a bit too fatty for me, but that's just how the beef is. Get the Chinese broccoli as the side, goes great with the duck. Bookmarking this place for sure, amazing service, great ambiance, trendy.",Decoy,4.0 star rating,$$$$,"Chinese,, Bars"
9,frY6_k3cpGFsV4oA1eUpJA,Son N.,5.0 star rating,"When I was in NYC, I knew I had to come to this place for their famous peking duck. This is hands down the best peking duck I ever had. I was skeptical at first because it was very expensive. But after reading many great reviews, I knew I had to try it out. Besides the food, the service is also great. If you ever come here, make a reservation first.",Decoy,4.0 star rating,$$$$,"Chinese,, Bars"
