,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Fptyqx8eNV4Wlektb_nFLA,Mark F.,5.0 star rating,Great service ( thanks to Hope ! )Plenty of tablesFast serviceLots of choices on the menuClose to the water ( great view of Manhattan )Highly recommend,Del Frisco’s Grille,3.5 star rating,$$$,"American, (New),, Steakhouses,, Cocktail, Bars"
1,0LPdFJWVJoBH-Ogjdm9L4g,Susan A.,4.0 star rating,"steaktip salad was amazingly good -- truly a deloght with the salad, deviled egg, steak, tomatoes and mixed greens.service was decently attentive but not as on the ball as other steakhouses I've been to, but it was lunch hour in hoboken...drinks were ok but not amazingagain, that salad was pretty off the charts so everything else, byegones.",Del Frisco’s Grille,3.5 star rating,$$$,"American, (New),, Steakhouses,, Cocktail, Bars"
2,s3GSbC6pDv1_1AjmWlLngw,Steven G.,5.0 star rating,"Del Friscos offers a great atmosphere with a sick view, better food, and an even better bar area. The inside is bright, spacious and modern which provides a nice break from all those dimly-lit-for-no-reason restaurants. The staff are down to earth, extremely friendly, very knowledgable about the food and wine list and actually go out of their way to converse with their tables. I have actually left everything from my phone, my wallet, my AirPods to my umbrella at my table all on separate occasions and each time its been waiting for me at the hostess desk when I realize sometimes hours or days later.Although I eat here at least twice a month, this review is based off my most recent visit. I was here on a Saturday with my boyfriend after we both realized we should just cut our losses for the day and go somewhere to get drunk. Del Friscos was happy to help us with that. We sat at the bar and ordered the Philly Cheesesteak Egg Rolls along with two bottles of wine.We ended up sitting for hours watching the cruise ships go by and talking to the bartender the whole time. The place was never empty while we were there and we ended up having a great time. When we realized the dinner rush was starting and our speech was slurring we decided it was probably best to head home. On all the occasions I have been here I have never had a bad experience. If you do come in and see two guys probably having a little more to drink than they should, stop through and say hello, we like to think we're fun people.",Del Frisco’s Grille,3.5 star rating,$$$,"American, (New),, Steakhouses,, Cocktail, Bars"
3,zgVfsfrvRT8oXcB79GwK1w,Katie A.,5.0 star rating,"Del Frisco's is a safe dinner choice (haven't tried their brunch yet, but I plan to). There are a variety of choices (salads, burgers, grilled fish options, etc) and everything I've tried is good. It's a pretty busy spot, so I wouldn't risk going without a reservation. One thing I will say is that the appetizers (like the Ahi Tacos, deviled eggs... yum) are more memorable than the entrees. I prefer to come here for drinks and a few appetizers rather than a full meal. Try to get seated near a window -- Del Frisco's is on the water so you'll have a great view of NYC while you eat!UPDATE: Feel like I need to bump up my rating from four stars to five after the exceptional service I had at Del Frisco's last night. Our waiter (Andrew) was awesome! He gave us a great wine recommendation, let us move to a booth, and even brought out a complimentary side after we mentioned that we had never tried the Truffled Mac and Cheese before! He made our experience memorable and I'll definitely ask for him in the future.",Del Frisco’s Grille,3.5 star rating,$$$,"American, (New),, Steakhouses,, Cocktail, Bars"
4,pcsM2RK66c0kxSn4C_jqaQ,Amber B.,5.0 star rating,"Service? Amazing Food? Even Better Ambiance? Great Drinks? Delicious Prices? Reasonable My fiance and I came to Del Frisco's after receiving a gift card for Christmas. I booked a table through open table and everything was fine. Upon entering the restaurant, we were greeted by two extremely energetic and nice young ladies. Our table was ready immediately and although on Open Table I requested a window seat, we didn't get that. After arriving at our table, it took no more than 5 minutes for our waiter to come over, greet us and ask what we would like to drink. TALK ABOUT GOOD SERVICE. I ordered the sangria with a popsicle and the hubs a beer. All was fine with drinks that we decided to order another after we were finished. For our entrees, we both got burgers. I know, who comes to a prominent steakhouse and orders a burger, but let me tell ya, those burgers were on the money. I opted for the classic burger with potato fries while my fiance went with the filet mignon burger. Both burgers were equally delicious. Juicy, tender and cooked to perfection. Based on my experience here, I will be def visiting again. I wish I got the name of our waiter because his waitressing skills were superb. I will def be back once the weather is nice to dine outside.",Del Frisco’s Grille,3.5 star rating,$$$,"American, (New),, Steakhouses,, Cocktail, Bars"
5,xMFprs_xvEx4fLohmcvGAQ,Snow J.,5.0 star rating,"Great view, friendly server, delicious food (we ordered Wild Mushroom flatbread and Lemon Pancake), reasonable price. There is really nothing to complain about. We have been living in Hoboken for 2 years but haven't tried this place until today, mainly due to the mediocre reviews on Yelp. We normally go to Halifax but the service there has been going downhill (we had to wait longer and longer for the food, especially for the weekend all-inclusive brunch). I'm a little surprised why this place does not have a higher Yelp rating because based on our experience today, this place deserves nothing but a 5-star.",Del Frisco’s Grille,3.5 star rating,$$$,"American, (New),, Steakhouses,, Cocktail, Bars"
6,_TwgAShonhh5F1agEtDgVw,T G.,4.0 star rating,Mostly good things to say! First off the location is excellent- I have been here a few times and each meal has been pretty awesome. I have been for both dinner and lunch and for NYE - for starters the mac and cheese is phenomenal. I also really loved the burger and fries for lunch and the chocolate bread pudding is amazing! I didn't love the steak egg rolls - but other than that service has always been excellent and I love the location! I will definitely be back- also management if you could please add the lemon cake that is at your sister restaurant (the steak house) to the menu I would be so grateful! It's killer!!!,Del Frisco’s Grille,3.5 star rating,$$$,"American, (New),, Steakhouses,, Cocktail, Bars"
7,1ydiETXMVOiszLipbkv9Pw,Martine K.,5.0 star rating,What a great restaurant! Service was attentive and very helpful.  Drinks were great and the food even better.  I had a filet mignon with mac n cheese and broccoli sides.  Broccoli wasn't charred enough but it didn't deter us from eating.  Desserts  and starters were all yummy! I would definitely go here again.  My boyfriend's ribeye and mashed potatoes were one of the best he's ever had.,Del Frisco’s Grille,3.5 star rating,$$$,"American, (New),, Steakhouses,, Cocktail, Bars"
8,Y5g9Sd_25WErkQ2F_94P3Q,Christina D.,3.0 star rating,"I shouldve read the reviews on this place before we came because its nice, the service is great and i love the location but the food is what everyone else is saying, its decent but nothing to write home about.We started with the steak eggrolls which were good, really liked the sauce.I had the salmon with broccoli and my husband had the steak sandwich for our main courses. I didnt find the salmon very tasty, my husband thought his was good but probably not worth the price. It was a sort of expensive price for an okay meal.My husband did love the red sangria drink he had though!",Del Frisco’s Grille,3.5 star rating,$$$,"American, (New),, Steakhouses,, Cocktail, Bars"
9,z7jGrUH_KF1s2gNUrWVeQw,Ashley M.,5.0 star rating,"Came here with a girlfriend on a Thursday night for apps and drinks. I was pleasantly surprised how good the food and service was considering their yelp reviews were not the best. Our waiter was friendly and helped me make drink decisions when I was being indecisive. THE DRINKS ARE AMAZING. I would love to come back here to try more food from their menu, maybe even some dessert.",Del Frisco’s Grille,3.5 star rating,$$$,"American, (New),, Steakhouses,, Cocktail, Bars"
