,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,pTUJ_0UPeNUkGcBXyfoDhA,Lillian L.,5.0 star rating,"Honestly, coming from LA I loathed about the difficulty to find healthy eats around NYC at an affordable price, particularly in the fall/winter. But Dig Inn exceeded my expectation. Every bowl basically fulfills me for two meals. I typically order farm Greens w/ Mint or the Maine Farro w/ Butternut Squash as my base, charred brussels sprouts or roasted sweet potatoes, with herb roasted chicken. Boom. I was unsure with which salads are better (Dig Inn vs Sweetgreen) but I'm tempted to say Dig Inn. It gets busy during lunch hours on weekdays and seems intimidating, but seriously, the lines go by quicker than I'd expect (I installed the app and tried ordering from that, but the line went by just as quickly) Second time I ordered takeout via the app during the 2018 BOMB CYCLONE before the store opened and they amazingly had it ready for me as soon as they opened (11AM). Stamp of approval from an LA girl now working in Soho. LOVE YOU. Thanks for making salads / hipster food be bigger and more filling than people scoff at.",Dig Inn,4.0 star rating,$$,"American, (New)"
1,PpzDjjEsbifRh9OBfstBVQ,Jenny L.,1.0 star rating,"The food was bomb like always, except I was beyond disappointed (almost a little bit hurt) by the service today at the cashier.It was rush hour, and when I got to the cashier I told the cashier lady I will be using level up and got yelled at to contact the Level Up and that they are not responsible. Obviously I gave her a dumbfounded look and she repeated it again, with a laugh this time because she clearly saw the distraught on my face.  I understand it was rush hour, there a line, however level up is accepted in all locations at Dig Inn and if it was a misunderstanding, there was no need to berate anyone. Oh Dig Inn, for a high volume store please train your employees better, like manners.",Dig Inn,4.0 star rating,$$,"American, (New)"
2,S7DuxE_qo2PgYsgVSPj8Mg,Laura G.,3.0 star rating,"Not so great for first time customer. Nothing is labeled. Prices are not posted anywhere. Cold sides were shown first, did not realize you could get hot sides until after walking further down the line... Was told that I could not have an extra side while getting food, but when questioned at the register a second time, was told you could.  Food was good, it was more the experience of being a first time customer was the most frustrating part, especially during the lunch rush with very cold staff.I will try again, but the weird experience left a bad taste in my mouth",Dig Inn,4.0 star rating,$$,"American, (New)"
3,paeCcy1H7acPzqLkFFHe-w,Katie P.,5.0 star rating,"My new go-to lunch spot near my office. I love how fresh and high-quality the ingredients taste. I don't even feel that guilty when I order the Mac n cheese as part of my meal (probably should, but I don't). The line works similar to Chipotle- you order what base you want your bowl to have, then two sides and a protein. I love the roasted sweet potatoes and the salmon is cooked very well. The line might look long, but they keep it moving really quickly. The seating is limited it I'm usually able to find a spot during their busy time. I'll continue frequenting Dig Inn as long as I work in the area.",Dig Inn,4.0 star rating,$$,"American, (New)"
4,PpTYLNWjnm30QUZr2N9eyg,George S.,2.0 star rating,"Kale was stringy and tough, chicken was flavorless,$13.00 for a bowl. I knew I should have stopped at the taco truck and saved about 5 bucks.",Dig Inn,4.0 star rating,$$,"American, (New)"
5,d-po0UXc68g0l2eunNDalw,Victoria A.,1.0 star rating,This is the 2nd time I've gotten the meatballs and I'm not sure what they put in it but it feels like they mix some sort of stone in with the meat. When it happened before I thought it was an accident but It's impossible to eat because I'm constantly biting on one almost breaking my teeth before spitting it out. I couldn't even finish my meal because there were so many of these Little rocks. I don't think I'll be returning.,Dig Inn,4.0 star rating,$$,"American, (New)"
6,2vsuzSPlt8QNycZ42JQ_bw,Rose V.,5.0 star rating,"Fast and fresh, best choice for lunch in the neighborhood. Menu changes every few months too so always something new to try.",Dig Inn,4.0 star rating,$$,"American, (New)"
7,VfbvzfORp_RTQyBFFNZDYQ,Sam F.,5.0 star rating,"I have no idea how they make healthy food taste this good. I come in regularly since it's near my work, and it's usually busy but the line moves really quickly.  Love the mac and cheese and the sweet potatoes the most.",Dig Inn,4.0 star rating,$$,"American, (New)"
8,hXAD-TPANMvjWi7F0cd9QA,Michelle T.,4.0 star rating,"I've been to several Dig Inns before - mostly close to my other office locations. I finally came into this one with a coworker for lunch. The lines are long during lunch, but there's plenty of room to sit since mostly everyone takes their meals to go.  Even though the lines are long, they go by pretty fast. I'm not obsessed with ordering online and walking over to pick it up. They're always ready when I arrive and made exactly the way I ordered. Super-efficient and super delicious!  I love, love their mac & cheese as well as the pesto sauce. The grilled chicken breast is always super moist and juicy.",Dig Inn,4.0 star rating,$$,"American, (New)"
9,2nog8y43UtdWwwg1aODPPg,Crystal L.,5.0 star rating,"My most favorite Dig Inn In the city. Service is always so pleasant :)Right now, the vegan kale caesar is seriously fire. I could get that in a bowl and call it a day... actually... I might do that next time. I eat mainly plant based, so my go to is the 1/2 brown rice and 1/2 greens base... the kale Caesar (obviously), the sweet potatoes (also fire), and either the broccoli or the cauliflower. So good.",Dig Inn,4.0 star rating,$$,"American, (New)"
