,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Gnj3X_Zs99KS0AIVeYQVGA,Jerry L.,5.0 star rating,"This is one of the best places in the tri-state. I remember this place as Frankie and Johnnies when I started to attend special events like political functions to birthday celebrations or taking my family for an amazing meal. The service, decor and food are 5 stars.I never had issues here just amazing memories. I highly recommend to start out with the Applewood Smoked Bacon ($16) and the Fried Calamari ($17).  For entrees I would recommend the aged steaks whether it's the T-bone or Sirloin steak (16 oz - $41.00 or 22 oz. - $52).  (They have their own house steak sauce). If you're not into meat I recommend the Chilean Sea Bass Atlantic Salmon ($33) or the Alaskan Halibut ($33).I think the T-bone is a bit farrier which gives a little bit more flavor than the sirloin but for a nice 16 oz. You're going to be just fine if you enjoy a nice steak! You have to try to make room for dessert which are amazing as well, I recommend trying the Snowbroken (an oreo dessert) or the strawberry rhubarb which is sweet and tarty.The owner Dino is mostly there and very friendly to approach and if you're lucky they have a pianoist or a band performing on certain evenings which is delightful and let's you make some requests.They accept cash or credit just make sure you area able to find parking prior, there are lots available which you can find.  I believe for 3 hours and it costs around $8.00.",Dino & Harrys Steakhouse,3.5 star rating,$$$,"Steakhouses,, Wine, Bars"
1,mzGgk_y_3juq-aY08vmp6w,Bjorn P.,3.0 star rating,"Came to Dino and Harrys on a Wednesday evening. Reservations for 630. The place is charming and old but classy.  A grand piano in the front. Our seats were great - off to the side by the window so as not to be in the noisy main area - was feeling the more serene scene. The service was uninspired but adequate. There is a large wine list but no sommelier...the wait staff ""know the wine"". Not sure that they really know the wine but they knew enough I guess. Here's what we had:- Bread to start (warm and crusty)- Bacon (very good)- Penne cacio e Pepe (excellent - crisp peas and asparagus and al dente pasta. They split with no issue for an appetizer)- Porterhouse for 2 (it was ok. Something was off though. A little too chewy although it looked ok)- Creme Brûlée and Oreo desert (both good)- Bottle of St. Emillion (very good and reasonable)The reason for the moderate rating comes down to the sleepy service (it took a long time to get food), the ""ok"" porterhouse and what I'm currently feeling which is stomach pains. My friend also is feeling the same. In any case - I've heard the ribeye is better so I will be back at some point and hopefully have a better experience at which point I'll definitely increase my rating.",Dino & Harrys Steakhouse,3.5 star rating,$$$,"Steakhouses,, Wine, Bars"
2,JROIkn3Mg0APSXTtS7VH5w,Christine P.,1.0 star rating,"I had a bad feeling about this place from the moment we stepped inside. The areas around the maitre d's desk and the bar were packed with people still waiting to be seated for their 8pm reservations after 9pm (kind of defeating the purpose of a reservation at all, especially since they require a credit card to make one). No one seemed happy, ranging from mildly agitated to infuriated. It took a while for anyone to speak with us. The maitre d eventually reported it would be around 15-20 minutes, to which another guest responded ""it'll be an hour"" (another guest waiting for their 8pm reservation). Needless to say they had a few thoughts to share with management.Another guest with an 8:30 reservation started to complain again. He was curtly told there were still people waiting from 8pm. At this point I lost interest in dining here, as they clearly lacked basic customer service skills and were blatantly lying to their guests in order to keep them angrily waiting. Definitely a shame, because I've heard the food is quite good. When we tried to cancel our reservation, the maitre d attempted to keep us waiting, pointing out it had only been 10 minutes after our reservation. Once I told her I just heard her say they were backed up by over an hour, she finally relented and let us cancel the reservation.Apparently the people who stayed regretted their decision, due to the long wait and poor service during the meal, so I'm glad we left. We ended up having an amazing dinner at Lola's down the street.",Dino & Harrys Steakhouse,3.5 star rating,$$$,"Steakhouses,, Wine, Bars"
3,C8BRhiuPMZeVVtV94x7wKw,Gail E.,5.0 star rating,"Awesome experience, me and boyfriend came for our anniversary and it was so good !! We started off with the grilled octopus and oysters which were amazing especially the octopus !! Then. I had the 16 oz ribeye myBoyfriend had the porterhouse both perfectly cooked, we enjoyed it with string beans and augratain potatoes both cooked perfect aswell ! Ended the night with a espresso martini and creme brûlée my boyfriend had the Nutella sundae so good !",Dino & Harrys Steakhouse,3.5 star rating,$$$,"Steakhouses,, Wine, Bars"
4,QMuoam92eea__Z6epdaxGA,Juan C.,4.0 star rating,"Very hard to find parking utilize a parking lot if you can't find anything. I went for restaurant week, so the food may have been altered for the restaurant week menu. A pianists on the piano, makes for a great date night and a different venue style in the area. I had a salad (nuts, blue cheese, apple cuts), very good. I had the filet mignon and it was great and tender not much more to say about it. Ordered the orchard mule (apple/pear mule) $15 but great size and tasted great. Also, I had a desert, I can't remember the name of it but it's vanilla ice cream with fudge and coconut shavings (great for chocolate lover).",Dino & Harrys Steakhouse,3.5 star rating,$$$,"Steakhouses,, Wine, Bars"
5,4vTyY60_BH0oouYiU81zAQ,Kerry L.,4.0 star rating,"Conssumtate NJ steakhouse experience. I have been coming here for over twenty years, when it was Frankie and Johnny's. Every time I visit the NY City area, I come for dinner at this feel-good spot in Hoboken. Tasty steaks, cooked to order, same wonderful staff I have seen for many, many years (always a good sign) and still my favorite house steak sauce. Can't go wrong with anything on the menu.",Dino & Harrys Steakhouse,3.5 star rating,$$$,"Steakhouses,, Wine, Bars"
6,_WKWpvjD3avbwTbcWllgPw,Tanya T.,5.0 star rating,"Yay! For restaurant week. Parking sucks, however, there is a garage just one block away. 3 hours = $8.00. The decor and live music (pianist) made for a romantic date night. To drink: I decided on the Pinot Nior, my usual go to red and my date opted for a Moscow mule. To start: (restaurant week menu) we ordered an arugula, almond, blue cheese, fennel and apple salad and the chick cut bacon. Both were well balanced in flavor and very tasty. For entrees: we ordered the filet mignon medallions which were accompanied by mash potatoes and string beans, and the branzino, which was a beautifully pan seared filet over cauliflower rice. Both were very good. The filets were seasoned and cooked perfectly and the branzino was prepared very well. I would say top three branzino filets I've had thus far. Desert: we had the trio sorbet which consisted of tamarind, coconut, and mango over a watermelon sauce and a fudge, Oreo ice cream sundae with coconut chards. I will be back soon for a special occasion to try their regular dinner menu.",Dino & Harrys Steakhouse,3.5 star rating,$$$,"Steakhouses,, Wine, Bars"
7,0u_WIMoLLmqsfP4LrVw68Q,Kasey C.,5.0 star rating,"I'm not sure why there are so many negative reviews about this place but my visit to this restaurant with my husband was lovely. The parking wasn't that bad since there was plenty of metered parking outside and all we had to do was walk 2 blocks. We were 30 minutes early but they accommodated us to our table right away. My husband got a Sirloin Steak and I got the Organic Chicken despite this restaurant is known for their steak. We also got a Trio Empaladas as an appetizer. The food was amazing, the ambiance was lovely and service was great as well. There was a pianist who was playing 'Game of Thrones' and we found that pretty amusing. I would definitely come back.",Dino & Harrys Steakhouse,3.5 star rating,$$$,"Steakhouses,, Wine, Bars"
8,NcfeGRZIGWiQLYgR01tWfg,Mike E.,5.0 star rating,This place over-exceeded expectations. The atmosphere was lively.  The food was delicious.  The service was impeccable.  THE Cal Ripken Jr. (who we're told frequents this restaurant often) was sitting right near us!  How can this place be bad??,Dino & Harrys Steakhouse,3.5 star rating,$$$,"Steakhouses,, Wine, Bars"
9,LcBr0MKfqD5ZMGKcZTwPWg,Kristen J.,4.0 star rating,"I would give 4.5 stars if that were an option... We had dinner here last night for the first time. We started out with a drink at the bar while we waited for our table. For an appetizer we had the grilled octopus which was good, but not great. For dinner I had the petite filet and my husband had the 22 oz. sirloin and for sides we had the gnocchi and brussel sprouts. Everything was very good! The ambiance was great and our waitress Leslie was amazing! We will definitely be back!",Dino & Harrys Steakhouse,3.5 star rating,$$$,"Steakhouses,, Wine, Bars"
