,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,pqaYHP5O1aJlDX3f_LT6rg,Winny L.,4.0 star rating,"Come to Dorrian's a lot for lunch, after work drinks, and dinner. Great $5 happy hour drinks.Appetizers are great- fried calamari, fried mozzarella, spinach artichoke dipLove the chicken pot pie especially on a cold day!Very filling and tasty.Fish n chips are great tooBurgers are good as wellPu Pu platter is good too to share for 2 pplCan't go wrong with anything you orderService and staff are great!!Thanks Cam for accommodating our group for our friend's retirement drinks!!!",Dorrian’s Red Hand,3.5 star rating,$$,"Bars,, American, (Traditional),, Venues, &, Event, Spaces"
1,hmvVIVmvpwlBWc8E3RXdGg,Camille G.,4.0 star rating,"Got there for lunch waiting on rush hour to pass. Ordered a corned beef Rueben with fries. I must say the ladies were very attentive and friendly. Food came out within 15 mins, and it was piping hot. Fries were coated and delicious. Corned beef was tender and not dried, bread was toasted perfectly. The dip was amazing. I put it on everything. It was a cross between French and thousand island. Ambiance was very relaxed. When back in the area I would come back.",Dorrian’s Red Hand,3.5 star rating,$$,"Bars,, American, (Traditional),, Venues, &, Event, Spaces"
2,TWJ2uMybXuZ-onBTnx6ylg,Becky F.,5.0 star rating,"We've been to a few Dorians, always a good night out!Food 5/5: burgers are all good, salads are also free and tasty. Drinks are still but we'll made.Atmosphere 5/5: pretty dark and empty when we called at 8pm. Great waiter and bartenders. Ben particularly was phenomenal",Dorrian’s Red Hand,3.5 star rating,$$,"Bars,, American, (Traditional),, Venues, &, Event, Spaces"
3,zB8TS8sr8zLQ7hSu78Gkjw,Wei V.,4.0 star rating,"After a long while of not visiting this place, we finally made it with some friends, which happened to be their first time to be here. It was actually my first time having brunch at Dorrian's. Note: some dinner items weren't offered during the brunch, such as bangers & mash and fish & chips. The place was pretty empty on a Saturday early afternoon. We ordered the giant pretzel (soft and chewy, great with the cheese dip) and nachos (crunchy and loaded with guacamole, sour cream, salsa, and jalapeños). We all liked it. The giant pretzel served with a hanger, which was cool. I had the daily omelet, which was pretty standard. My husband ordered the cast iron breakfast skillet, which was my second choice. It's like the kitchen sink with Irish sausage, Neuske bacon, cheddar cheese, eggs and home fries. The friends got burger and pancakes, which looked delicious. Service was pretty good as usual. I do wish there were more items to choose from though. Overall, I would prefer coming here for dinner.",Dorrian’s Red Hand,3.5 star rating,$$,"Bars,, American, (Traditional),, Venues, &, Event, Spaces"
4,VmpbomUESagIKIGOYcq6Aw,Honey J.,5.0 star rating,They have the best buffalo wings and irish whiskey cake!! Ive come to this place quite a few times in the last 6 years and the quality is consistent! Definitely recommend it.,Dorrian’s Red Hand,3.5 star rating,$$,"Bars,, American, (Traditional),, Venues, &, Event, Spaces"
5,YoGBd1aKYAPfQBuiXDkXaQ,Subarna B.,4.0 star rating,Great service and great food..and guess what!!!! U can get a free cake on their promotional event...,Dorrian’s Red Hand,3.5 star rating,$$,"Bars,, American, (Traditional),, Venues, &, Event, Spaces"
6,EqNkX3vqUTQiO7iBYA_PRA,Stan A.,5.0 star rating,Great food and service. We have been going here for years and always have a wonderful time.,Dorrian’s Red Hand,3.5 star rating,$$,"Bars,, American, (Traditional),, Venues, &, Event, Spaces"
7,a8XqeTIBrfOqxLNEYpA7LQ,John R.,5.0 star rating,Excellent food and service. We all opted for salads that were fresh and delicious. Highly recommend Dorrian's!,Dorrian’s Red Hand,3.5 star rating,$$,"Bars,, American, (Traditional),, Venues, &, Event, Spaces"
8,MRC8PbW12SKeELdtzH88kw,Seth W.,5.0 star rating,Today myself and my colleague had toMake a wine delivery in Jersey City from Manhattan. It's 10 degrees out and we were anticipating a tough ride.  We came across Dorian's and our mood immediately changed.Marie the bartender was so welcoming it made us forget about the cold right away! The burgers are a 10 with a delicious brioche bun and quality meat. What a cozy great find!!,Dorrian’s Red Hand,3.5 star rating,$$,"Bars,, American, (Traditional),, Venues, &, Event, Spaces"
9,ZIOwL7BWxEA7wOBWUpeAfw,Angela F.,5.0 star rating,The food and service here are amazing! Make sure to ask for Marie and Amanda! Try the WHISKEY CAKE!!,Dorrian’s Red Hand,3.5 star rating,$$,"Bars,, American, (Traditional),, Venues, &, Event, Spaces"
10,9DVEfkJnN4a6FLS6KUeHfA,Nancy C.,2.0 star rating,"Dorrian's is pretty awful from a food and price perspective but I find myself coming here way more than I'd like, only due to the location. The wings, fries, apps are all your typical bar food staples and I know that they source this stuff all frozen because I've booked private parties here before. Look, that's all fine when it's a company outing but if any of your poor souls reading this are visiting jc or something, please skip.",Dorrian’s Red Hand,3.5 star rating,$$,"Bars,, American, (Traditional),, Venues, &, Event, Spaces"
11,8jddJRwWrspXK0TzXfuirg,Michael B.,4.0 star rating,"The food is very good. The service was fantastic, and they made sure that you where taken care of. The food sizes where fantastic, and plentiful. The atmosphere was warm and inviting.",Dorrian’s Red Hand,3.5 star rating,$$,"Bars,, American, (Traditional),, Venues, &, Event, Spaces"
