,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,XZIAEE2ZN6yxESKzXiZRqQ,Auggie L.,5.0 star rating,Went for DinnerFood - 5/5. The spicy meatballs are super tender and have a really nice sauce. It has a hint of spice in it but mostly a deep smoky flavor that keeps it fresh with every bite. The pizza is absolutely phenomenal! The dough is beautiful with the perfect amount of elasticity that gives you a great bite but keeps it soft. The cured meats pair perfectly with the awesome dough. Cheese and sauce is delicious and is surprisingly from Australia and the United States respectively proving that anyone can produce amazing ingredients regardless of location or cultural background.Service - 4/5. Quick and friendly. The restaurant is very casual and the service reflects it. They give you a pizza cutter as both your pizza cutter and to lift your pizzas.Value - 5/5. The pizza go for about $14 for a personal pie which is a little above average but the pizza here is so good. The dough will really make you happy to have dined here making it worth every dollar. Awesome value!Parking - Street (Free),Dozzino,3.5 star rating,$$,Pizza
1,nl5ohZVWhJZzu0iPoGEq8A,Jersey Mike F.,5.0 star rating,"JERSEY MIKE GIVING EVERYONE 5 STARS CAUSE THEY DESERVE ITFOLLOW MY SNAP @MFELICIANO671IG: JERSEYM1KELISTEN PEOPLE, Hoboken is inhabited nowadays by the typical hipster, so I'm gonna lay it straight.This place is perfect for BOTH PARTIES. let me explain.I'm from Newark. I AINT GOT Dozzino money. just being real, so being as I do not have the money to just stroll in when my girlfriend does not make dinner because shes afraid to touch raw chicken, but can cook the shit outta some snap peas, I come in to reward myself for working hard. I go for the all around delicious food. the Hudson, meatball appetizer, and super cheese are a couple of my favorites. The friendly staff always makes my day a little better and the food does its job, to deliciously and efficiently feed my big stomach. { I'm a fat guy}For all you hipsters out there this should also satisfy your obscure needs. the decor, vibe and staff all cater to the atmosphere your looking for. chalkboard menus, good music, waiters with gauges in their earlobes and enough vans to fill a skate park. i asked one of them to kiss me on the cheek and they did without hesitation. jonny pepperoni better take notes on service. maybe we just want a kiss on the cheek simetimes.  Boccie court in the back, BYOB what is not to love. amazing place. take my word, im a fat guy",Dozzino,3.5 star rating,$$,Pizza
2,V0-dkcjdQRHprNYvhV-ybA,Elchompo O.,5.0 star rating,Incredible everything about this place !One can't explain how one bite can make a man so happy so ima let my boy continue this...Yo this is joeys boy wassupppppppDozzino is the reason why I wake up in the morning. The only time I've ever seen Joey so happy was when he found out that pornhub was free!!! Anyways if you don't like this place you're probably a loser or the Anti Christ,Dozzino,3.5 star rating,$$,Pizza
3,W9gFG8MoFKYbdKtRXtYp7w,Colleen M.,1.0 star rating,"This was the most disorganized & haphazard establishment I've ever encountered. And someone needs to remind the extremely rude & arrogant owner that he's in the ""hospitality"" business & to look up the definition in the dictionary. The food is good for Hoboken standards but not worth enduring the horrendous service. The menu was virtually unreadable & printed in very tiny, faint print as if the copier ran out of toner--so the waiter suggested going online to read it--which, incredibly was the highest level of service received.  And my list of grievances just gets worse from there so I definitely won't be going back & recommend looking elsewhere if planning a large party or special occasion with people you care about. Your patronage will not be valued here!",Dozzino,3.5 star rating,$$,Pizza
4,Vt4t4nvt31hOCJ-lDzQnKw,Maryann S.,1.0 star rating,Terrible! They ran out of most of the menu items. Never been to a place that doesn't have ice! The staff was very nice & had very little to work with. Paper cups & napkins that are what you find in public restrooms. Probably why it was empty. The owner should think about pleasing his customers instead of himself. Not a repeat!,Dozzino,3.5 star rating,$$,Pizza
5,uOPqYG5GpeokCCaKBD8VHg,The Man G.,1.0 star rating,"Overpriced for what you get.  Waiters are rude like they could care less if you are there or not.If you actually do want to go, you need to hope there isn't a baby shower going on - I assume those are a cash cow for them.Pizza is bleh.  Two things going for the place is the outdoor seating and byob.",Dozzino,3.5 star rating,$$,Pizza
6,iIJV1mcZ97GPSZZfK3zoow,Jessica L.,2.0 star rating,"Went last night for the first time.... wasn't reallyimpressed.... they only had this dry sausage for the pizza and you couldn't even add your own toppings. What pizza place doesn't let you customize a pie? For $18 for a small thin pie, it wasn't that great. The server was nice and the BYOB was a nice addition, but not worth the money.... Also, if it's BYOB, why wouldn't they have at least glasses for you to pour wine/beer in? The paper cups given were not flying with me at all.",Dozzino,3.5 star rating,$$,Pizza
7,iHV_Ef7WMAu6u0XNyZgvJA,Sara M.,4.0 star rating,"Wow, this was some seriously tasty 'za. Came in with a large group for a birthday dinner and this was the perfect pick. You can call ahead for a reservation, they have plenty of large tables, it's BYOB and the menu is easy to please. Definitely couldn't ask for more. Well, guess it would have been nice to enjoy their bocci courts in the backyard. Will have to come back over summer!The menu has a variety of small plates (salads, crostini, veggies, meatballs, etc) and then lots and lots of pizza options. They were out of a decent amount of the small plates, but luckily had a ton of mouthwatering special to make up for it.  We started off with some bruschetta and ricotta crostini for the table. I wasn't a huge fan of the ricotta (weird texture, sort of looked and tasted like greek yogurt) but the bruschetta was excellent. The tomatoes were so fresh. For my main I ordered off the specials menu - brussels sprouts and pizza with ricotta, pepperoni and caramelized onions. The sprouts were incredible- perfectly crunchy and topped with parm cheese. Two orders came out on a large tray that could have easily fed our party of 10. The coal fired pizza was bomb. Thin, crispy and cheesy with a generous amount of toppings. Only complaint was that there was too much crust. Because the pizza isn't that big to begin with, we weren't left with a whole lot of pizza. Because of that, I'd suggest ordering a solo pizza, or getting at least one other thing if you are going to share. This was a great first trip and hopefully will not be my last time at Dozzino !",Dozzino,3.5 star rating,$$,Pizza
8,6wOKNWohu8npmmyinBftjw,Allison T.,2.0 star rating,"Hard for me to judge so completely, as I was here for another event, on a day they were officially closed but provided pizza for the guests. BUT, this was their time to shine... and they kinda didn't.Great environment, backyard pleasant, interior comfie, great welcoming staff, and cool location.I'm a stickler for great pizza being great ONLY if both the sauce, toppings AND crust is well done. I loved Dozzino's crust, nice crunch in the right places, thick enough to hold a hearty sauce and toppings, buttery, not greasy, and yet charred from the oven, good foldability, but also good to hold in-hand with just a napkin, should no plates arrive on time. But the crust didn't have a hearty, tasty sauce. Didn't have a decent amount of cheese. And the pepperoni/salami topping on the pie i had was scarce. It smelled great, came out nice and hot, cut into with a crunch. But that sauce was tasteless. It made me upset. I wanna someday prove NJ has some great pizza to my Brooklyn-raised friends who know great pizza. No, Dozzino... just no. 1 extra star for that crust, tho.",Dozzino,3.5 star rating,$$,Pizza
9,3CjAr33swsqJzWwuWwhRPg,Ranley K.,4.0 star rating,"BYOB! Not many places nowadays have BYOB, so drink away!I came here with an old college friend (during winter months) and we ordered two pizzas to share between the two of us. It took us awhile to choose and even longer for a server to come around and take our order since we were in the backroom.I only remember getting the basil and my Sicilian friend ordered another one that was also very good. Pizzas arrived 10-15 minutes and we chowed down and chattered away.The pizzas themselves, were good. I'm not Italian pizza expert, but I can say that I haven't had many that were better.We didn't notice we were the only ones left in the restaurant when we paid, but the staff never ever pushed us out the door. That's sometimes unheard of. I know if I were working, I personally would want to get the customers out so I could go home! Two thumbs up!I'll come back when the weather is nice so we can have some booze on the patio area!",Dozzino,3.5 star rating,$$,Pizza
