,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Os5D0K-yCYkakQIyNllIIQ,Jackie F.,4.0 star rating,"If you are coming here for really authentic Mexican or Tex mex food you will probably be sorely disappointed. This place really specializes in providing tasty non authentic food to soak up all of the alcohol you WILL drink here. That being said, this place gets 4 stars because it is a really fun place to go to happy hour or to get drinks with friends. The food is tasty and reasonably priced for just snacking with friends. Their happy hour special with half priced apps and margaritas makes this a really great place for hanging out. The margs are pretty strong and some flavors are better than others but you can tell by taste that the point of these drinks is for alcohol content not quality of ingredients",East LA,3.0 star rating,$$,"Mexican,, Bars"
1,bLPbuTUXrVk7WdbgfwHwJw,Zak W.,3.0 star rating,"Their drinks and happy hour is great! I came here on a Friday right during the last hour of happy hour. The drinks are strong but also tasty. Prices were competitive and there's a lot of flavors to choose from if you're getting a Margarita. The place is quite small so it gets packed really quick. The food was just ok though. I ordered the enchiladas, queso, an appetizer platter, and cheese quesadillas. Queso was kind of gritty. Enchiladas ok. I liked the appetizer platter a lot due to it being half-pricd for happy hour. It was weird that an 18% tip was automatically included even though I only had a party of two. I think this is enforced during happy hour but I could be wrong. I like and dislike this. It's good as far as ensuring servers are being compensated but was also weird being forced to tip. My server was great so this wasn't really an issue. I'd definitely recommend this place.",East LA,3.0 star rating,$$,"Mexican,, Bars"
2,-VCNcrxg09e0zZTZhqhyLQ,Angie B.,4.0 star rating,"I have one word. MARGARITAS! This is my go to spot for a drink out on a Friday night. Their frozen margaritas are truly the best. I loved the pomegranate flavor which was a recent discovery for me. I normally don't go for the pitchers because I like to order a different kind every time seeing as how they have a long list of flavors on the menu. To be honest, I'm all about the drinks when I come here, but I've tried the chimichangas and flauticas. The flauticas were good, skinny flautas cut in halves. It came with a side of three sauces that I could do without. The chimichanga was also flavorful, you can choose chicken or beef. It's basically a deep fried burrito. They also start you off with complimentary chips and salsa. The atmosphere here is super casual and it's a little on the smaller side even for hoboken, but service is friendly and fast. It's the perfect spot to come and unwind after a long work week.",East LA,3.0 star rating,$$,"Mexican,, Bars"
3,_TwgAShonhh5F1agEtDgVw,T G.,4.0 star rating,"I'm into it- the frozen margaritas are so strong, a small pitcher ($28) is seriously for 4 people lol this afternoon we tried the queso which was spicy and cheesy- they didn't come with anything but the waiter just refilled the chip basket. The tortilla soup was actually one of the best we have ever had- we were surprised but it was filled with fresh chunks of avocado, chicken, and cheese and also had some tortilla strips on top for crunch. It was delicious. We also tried the chimichanga and the taco salad. Both were good- not the best we have ever had but standard. Service was good! Don't forget to ask for extra napkins... and get the tortilla soup.",East LA,3.0 star rating,$$,"Mexican,, Bars"
4,D7Gg0MPqQPKPvbgX5XT0fQ,June C.,4.0 star rating,I tried their famous margarita and tacos. Margarita is great but tacos are okay. Too much ice in frozen margarita and it became hard to drink. The restaurant itself is not very clean. Probably will only come for their happy hour for margarita next time.,East LA,3.0 star rating,$$,"Mexican,, Bars"
5,y_LETSyVwMVKbMSHwHDioQ,Erin A.,2.0 star rating,I don't like to judge places based on reviews so I decided to give this place a chance. Moral of the story always listen to reviews ! They have nice out door seating which is a plus. But they made my dog stay on the other side of the fence. Poor pup.They bought him water which was nice The prices aren't terrible.I got the combo veggie taco and veggie burrito 13 dollars. The waiter asked if I was vegetarian and told me the rice was made with meat broth. that was nice he was aware of that! My boyfriend got some sort of meat tacos. The wait was long for the food. It about 30 minutes. Which is pretty crazy. It's tacos and burritos... For drinks I got the mango frozen margarita. I felt like it tasted odd. Different from usual margaritas I get. I consider myself a margarita expert... sort of..  Not like it was strong it just weird tasting. Was not a fan.The food was so average it's not even funny. For a 30 + minute wait you would think it would be spectacular or something.Mine was literally grilled veggies in a wrap with some cheese. Mind blown. My boyfriend did not enjoy his either.  I'll probably have to get different food after this because well... I'm still starving. Perhaps they need to fix this efficiency and food quality.  47 dollars for a long wait and food/drink we hated... oyyAlways listen to yelp reviews!!Spare yourselves.,East LA,3.0 star rating,$$,"Mexican,, Bars"
6,LqQXaVoo-rctZzrAc-RKrQ,Ina M.,4.0 star rating,"Yummy food and margaritas! I came with my friend on a Friday. It wasn't as busy so we got seats asap. The service was a little slow, but we still had a great time. I got the Chambord Margarita and it was good good good! I also got seafood here, and it was also good. I love the interior, but it does feel a little too crowded. I could hear the conversation of the guests next to me. Overall, it was a nice casual dinner. Might not come back anytime soon for dinner, but definitely for the margaritas.",East LA,3.0 star rating,$$,"Mexican,, Bars"
7,PTecul2T8N9KQ4ztr3CtWQ,Osanna C.,1.0 star rating,"Disgusting food everything tasted like it came out of a can. The beans rice and corn had some sort of "" cigarette smell "" it was just awful and I would never reconcile this to anyone.",East LA,3.0 star rating,$$,"Mexican,, Bars"
8,K_aVWhHeEN_77wTx5VSgBw,Emma S.,5.0 star rating,"I loved this place. Food and drinks were really good, and also great service. We went in on a Sunday afternoon and it was pretty quiet.",East LA,3.0 star rating,$$,"Mexican,, Bars"
9,rnnY6G_DVHT0s9Acyi7Nrg,Fatima K.,4.0 star rating,"Omg the drinks here are amazing! My friends and I were super hot so we wondered into this place. We sat at the bar and ordered all types of different margaritas, there were only $9, which is a great price. They had flavors like sangria, lime, patron and more. The place is cute and I would definitely go on a date here. The food however took a long time, I figured it was because we sat at the bar. This is a hidden gem in Hoboken and I'm sure it probably gets super packed on Thursday- Saturday. If you want to relax more, I would come back on a sunny Sunday. Honestly after two of these drinks you will start to feel awesome. There is outdoor sitting but it's limited. This is a must try! I would go back for sure.",East LA,3.0 star rating,$$,"Mexican,, Bars"
