,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,PvXt1YTax4PMXWNQOhjqAQ,Priti K.,5.0 star rating,"Question: Who does rotisserie chicken better than the Peruvians?Answer: No one.El Gordo holds up that hype! Pros: Excellent pollo a la brasa, rice and beans, plantains, skirt steak a little tough, but delicious flavor. The green sauce from heaven! Extra Pros: BYOB!!!!!!Cons: NoneI had food from here twice -- once as take out and once in restaurant. Hooked.",El Gordo,4.5 star rating,$$,"Peruvian,, Seafood"
1,3L5-jh0CIHplgBxyndgS2g,Arti G.,4.0 star rating,I've always been a huge fan of Peruvian food. And have been meaning to come to El Gordo since it's right in my neighborhood. I finally made it for lunch. We ordered the famous pollo asado (rotisserie chicken) and lomo saltado (sautéed steak) The food was delicious. Fresh and very tasty. The green sauce was outstanding! One of the best I've ever had. Portions were well sized. Our server was super nice as well. A plus - They have diet Inca Kola! The only downside was that they were out of 1/2 chicken when we went and it was 45 min wait. The price for 1/2 chicken and 2 sides is 10.75. So we had to get a quarter chicken although we wanted 1/2. And pay for an additional side. 6.75 + 3.50. So for same money we got way less chicken. Everything else was great! I can't wait to go back.,El Gordo,4.5 star rating,$$,"Peruvian,, Seafood"
2,OhVXhkN-Uj9T0gp5j3VxCw,Jonathan C.,5.0 star rating,"#Finally #Peruvianfood in #JerseyCity #WepaPros1. Affordable2. Large Portions3. Very Flavorful4. Rotisserie Chicken is the Best Ever. Hands Down5. Lomo Saltado with Beef is Freaking Genius and Awesome.6. Yuca Fries are the Best7. Kidney Beans are Flavorful. I never liked Kidney Beans until you guys/gals made them Right.8. The Interior is Nice. It feels like I just Walked into someone's Apartment. Very Modern. #Genius9. BYOBCons1. Every Friday maybe Buy One and get One Free. Or on your Slow Day. Ha ha2. Please add a second location Downtown Jersey City. Apparently, many New Residents think Latin Cuisine is Mexican Food Only... SmhGod bless you All.Jonathan",El Gordo,4.5 star rating,$$,"Peruvian,, Seafood"
3,GkIFTzTclfOUUTBWelxmrg,Betty C.,5.0 star rating,"Awesome Peruvian food with great service! I called twice for delivery, the owner Liz is the best and took my order quickly over the phone. The food was delivered in less than 30 min even with inclement weather! Food is fresh and delicious",El Gordo,4.5 star rating,$$,"Peruvian,, Seafood"
4,HqWPDjQje7BLGF_FslKZ9g,Dora Lung-Hsuan C.,4.0 star rating,"My Order was ""soup of the day"" and mix seafood (can't remember its name). Food was very delicious and big portion. I will totally come back again. But they only have one young girl for taking order, cashier, also cleaning tables, I did wait for a while. That's the only thing I was not happy about.",El Gordo,4.5 star rating,$$,"Peruvian,, Seafood"
5,3TI38TpPY8g7JEY8jzVJeA,Aileen C.,4.0 star rating,"Super casual place, but comfy, clean and modern.  The chicken was juicy!  Parking is a but of a pain in the neighborhood... So I envy those within walking and delivery distance!  I have had better lomo saltado (beef), but it wasn't bad.  I would definitely recommend the chicken and the combos come with generous sides",El Gordo,4.5 star rating,$$,"Peruvian,, Seafood"
6,_-9AblHx8xjoR8mBdWGF6Q,Michäel B.,5.0 star rating,The broth o n the Ceviche is GODLY ! I took a spoonful and had to take a moment to collect my thoughts. This is my second time here I love it,El Gordo,4.5 star rating,$$,"Peruvian,, Seafood"
7,OMJwlCECjqBtY3cCxhpqyw,Venus R.,5.0 star rating,"Ambiance: place is very clean neat and trendy, it's not good for big crowds but it's super cuteService: the staff was very helpful, always attentive and fast Food: I am so happy we finally have a good Peruvian spot in jersey city heights! I usually have to get Peruvian food by my job which is 45 minutes away. There well known green sauce is amazing. My food was fresh and delicious I had the seco combinado my husband loved his food as well and he had the aji de gallina. We will definitely be going back. They also deliver only to the heights area as of now. The only down side is i wanted to order something else at first but they were out of it, that might have been because we went there at 7ish but my dish was so delicious I forgot all about the other dish I originally wanted.",El Gordo,4.5 star rating,$$,"Peruvian,, Seafood"
8,93IvEEu8UMFs1__19AiKAg,John G.,1.0 star rating,Really upset that I was offered this believing it was lomo salteado styled just with beef and chicken but hey it was late night foods great little upset I didn't get what for though would still recommend :/2nd time back after this review - How do you close a kitchen 45 minutes before closing that's such a waste of time might as well change the closing hours.,El Gordo,4.5 star rating,$$,"Peruvian,, Seafood"
9,P0Gq6psimW2sqx2UDUYE-w,Will V.,4.0 star rating,Ordered takeout only but the chicken breast with chaufa vegetables/fried rice was excellent: cooked well and tasty. Will go back for another dinner and to taste more items!,El Gordo,4.5 star rating,$$,"Peruvian,, Seafood"
10,Eh0VD1lDIb8aIBk_VobkNA,Lory M.,3.0 star rating,"The place is very cute inside and the staff was friendly. The prices reasonable. My food (pollo saltado) was just ok. Not saying it was horrible it just needed a little something to give it more flavor. I've had better at other places. My husband's soup (he says) was a little bland too, he had to put salt and lime in it. They gave him a lot of seafood in the soup which is good. The salchipapas appetizer (not pictured) was good and I'd probably come back and try something else from their menu.",El Gordo,4.5 star rating,$$,"Peruvian,, Seafood"
11,gBBWI_DyNJxSkTb6nCTSBQ,Alma A.,3.0 star rating,"The place is clean and nice. The food tasted okay. As a Peruvian myself, I would rather go to other spots for pollo a la brasa. I've been here a few times . The first one I had seco but the times after  they never have it... even if it's still early. I wish they had it because it's honestly the main reason I go there. Las time I went I orderd Lomo Saltado and my food took about 45 minutes to be served really?",El Gordo,4.5 star rating,$$,"Peruvian,, Seafood"
12,-64S8DsjxPZa_AESQM5KjQ,Mazda M.,4.0 star rating,Nice ambience (small place)the food was relatively good and I will most likely come back!thumbs up!!,El Gordo,4.5 star rating,$$,"Peruvian,, Seafood"
