,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,w3czn31CGNmzHFtsWxmuVg,Denise C.,4.0 star rating,"It seems as though this location of El Pollo Supremo gets mixed reviews on almost all the social media sites. However, I'm happy to say I've never had a bad experience here. Only once did I stray from the chicken and get something different (tacos, which came three to an order and were just fine). Chicken has always been tender, flavorful, and juicy. I like their congri rice. My favorite side, though, is their fried yuca. A small order is plenty and each time I've ordered it, it's been perfect: super crispy and golden on the outside, sinfully starchy and creamy on the inside. I don't find it to be terribly expensive as others have said. Generally, a single meal will run you about $6-8, but the portions are pretty filling (at least for me).  You won't stand around here because of slow service, it's because everything is made to order. I'm usually pretty impatient, but this has always been worth the wait.",El Pollo Supremo,3.5 star rating,$,"Latin, American,, Cuban,, Chicken, Shop"
1,XPZOXCjW0pY5ystiGG55zw,Edgar B.,4.0 star rating,"This little jem is not known for its decor, but if you're looking for the MIckey D's of chicken, beans and rice you just found what your looking for.  I for one love the steak with onions which comes with two sides. So if need some Latin food in a flash your in good hands.",El Pollo Supremo,3.5 star rating,$,"Latin, American,, Cuban,, Chicken, Shop"
2,a_i4Ut2GMqwgwn0T7TJEyg,Helmut S.,2.0 star rating,"Ordered a whole chicken, fried plantains, and yucca via Uber eats.   No seasoning was used in food preparation.  Not even salt.  No sauces were provided.  Chicken was char grilled to the point it only tasted charred.   Portions were good for the price.",El Pollo Supremo,3.5 star rating,$,"Latin, American,, Cuban,, Chicken, Shop"
3,G5cLeYC4In5XIKlJCCRdEQ,James P.,1.0 star rating,"I got the PR rice which in the explanation doesnt say pork is inside, chicken was bland and flavorless, I get its grilled but its as if they themselves never heard of adobo or at least salt. Yucca was too sweet, and I ordered dulce de leche and got these sweat bread crumbs thing which was the only highlight of the 30$ wasted.",El Pollo Supremo,3.5 star rating,$,"Latin, American,, Cuban,, Chicken, Shop"
4,wbaw5fFYljHGQgmDNFzNRA,Bethy P.,1.0 star rating,"Horrible service. I just called and placed an order for delivery. They said they'll deliver in 25 minutes. An hour went by and these inept people hadn't delivered. In fact they never delivered. I called and they gave me some bogus excuse. Didn't even apologize. Horrible service, don't eat there.",El Pollo Supremo,3.5 star rating,$,"Latin, American,, Cuban,, Chicken, Shop"
5,FWGKud1x3J0hHuq3W1HkRQ,JP S.,3.0 star rating,"Heard this place had good food for low prices so we stopped by for a quick meal on a gloomy Saturday. Ordered 2 orders of the 2 piece combo, rice and beans, fried bananas and a Snapple - under $20 bucks. The chicken was good, not earth shattering, but definitely worth a try. The rice and plantains were much better made. Eating area was clean. The bathrooms not so much. I would return and try other menu items but not in the near future.",El Pollo Supremo,3.5 star rating,$,"Latin, American,, Cuban,, Chicken, Shop"
6,zOBahND2nh49GcybXNC9Pg,Kerry B.,3.0 star rating,"Food gets 4 stars but had to deduct 1 point for service. This place is your average chicken spot. Relatively clean with a quick turnaround time for food to be ready. You'll find many patrons coming in and out at any given time. My major beef with them is lack of disclosure when something costs extra and this time around they did not give me the parts of the chicken I originally requested.Take-out is an extra charge and when I asked what drinks come with the takeout combo, they listed a plethora of drinks and then I chose the tamarindo drink. I thought the price was a little high when I left, but I was in a rush and the guy seemed a little apprehensive about me viewing my food before leaving. I glanced at it, but I was on my lunch break, working from home so I couldn't tarry.I get home, look at my receipt and open the box and lo and behold, there was a 50 cent charge for the drink and 30 cent charge for takeout. It's kinda silly considering it's pretty much the same kinds of containers for dine-ins. Why not just factor that into the cost in general? Then for the drink, he most certainly should have told me it was extra up front. I'm not going to lose sleep over 80 cents but it the mere principle of the situation. I have a right to know any info that might influence or impact my purchasing decisions.Insult to injury, they gave me a mangey help of a wing, dried up small leg and a thick chicken breast. I specifically asked for dark meat. I don't like white meat, especially when grilled and not cut up/butterflied as this is the driest part of the chicken and I like it juicy. On the bright side, at least the flavor was good. Will go again but will ask what's extra upfront and check my food before leaving.",El Pollo Supremo,3.5 star rating,$,"Latin, American,, Cuban,, Chicken, Shop"
7,QbgD_YCLF-TdJZ10KE9taw,Lisa S.,5.0 star rating,"Love getting catering from here! Pablo is the best, always helps me get the order right :)",El Pollo Supremo,3.5 star rating,$,"Latin, American,, Cuban,, Chicken, Shop"
8,ucToMCzloGohI6_CHBSBpQ,Frank L.,4.0 star rating,"Love this place!!., food is great and people are friendly!!.. order a descent amount of food online .. and it was ready for me when I picked it up .. had the chicken.. ribs and 2 types of rice !!., oh and a beef taco .. everything was great !!",El Pollo Supremo,3.5 star rating,$,"Latin, American,, Cuban,, Chicken, Shop"
9,-jNxEJzXNWtbCy5VEyS3Lw,Mark A.,5.0 star rating,"Food is just as good as it was when i had to go to bergenline to get it...now that its closer my way even better!...the half chicken burned to death.....idk its just me but i like the grilled charred flavor they give the chicken....with my choice of beans and rice, fries, side of sweet plantains ...a must try",El Pollo Supremo,3.5 star rating,$,"Latin, American,, Cuban,, Chicken, Shop"
