,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,jmflTILhHggVTZfXf4A_CA,PeNa J.,5.0 star rating,"Cesar,Thanks for the fantastic dinner experience. The ceviche, tallarin verde and mazamorra were delicious. The ceviche was in the top 3 I have ever had. Including ceviches I ate in Callao. But not only the food was great. I really enjoyed the conversation we had afterwards. It was great fun to speak with a fellow futbol fanatic about the world of  Soccer.  The fantastic food and the relaxed no rush atmosphere made me a huge fan of your restaurant. We will see you again soon. Peter",El Rinkoncito Peruano,4.0 star rating,$$,"Peruvian,, Latin, American,, Breakfast, &, Brunch"
1,9zh4z0JtYORvL2munEk3rA,Nzingha Z.,5.0 star rating,"I absolutely love the food at this restaurant!!! I've never physically been to the restaurant but have had Fastboy Delivery, delivey their food right to my door...two times so far!!!Each time I've ordered from them I've never been disappointed. I ordered this food for delivery from El Rinkoncito Whole Chicken Fried Sweet Plantains, Chufa, House Salad and French Fries w sliced Hot Dogs in it...yumm!!I'd never had Peruvian food before but if this is what it's like keep me signed into the happy club!! The chicken tastes like it's been marinated for days! The flavor is truly to the bone. As I said I ordered from them before and I had the same order with the addition of their Ceviche. I've had plenty of Ceviche in my day but this one literally melts in your mouth! OMG!!I'm telling you this food tastes like someone's Grandmother was in the kitchen making everything by hand. It's got a home food taste and feel. I would like to try the Chica Morada (purple corn) drink one of these days. Peruvian food is delicious and that green sauce they have definitely needs to be bottled...OKAY!!!I'm definitely a return customer by way of delivery but one day I'll find the time to drop in for a sit down dinner.",El Rinkoncito Peruano,4.0 star rating,$$,"Peruvian,, Latin, American,, Breakfast, &, Brunch"
2,z8bAxk2tya8aH8C9LYFe2A,Pearce D.,4.0 star rating,Good food at a great value. Got the half chicken special and was not disappointed at all either in terms of the quality or quantity. Service was very prompt. Haven't tried delivery yet but highly recommend picking up to go.,El Rinkoncito Peruano,4.0 star rating,$$,"Peruvian,, Latin, American,, Breakfast, &, Brunch"
3,yBVjHh3xwqAZq6iy5pk5Dg,Sara M.,1.0 star rating,Terrible! 45 minutes for an order of medium anticuchos and a medium thin steak with tallarines verde to go which ended up being overly well done! Such a shame because it was a place I used to like to go to. Will not be coming back.,El Rinkoncito Peruano,4.0 star rating,$$,"Peruvian,, Latin, American,, Breakfast, &, Brunch"
4,kFEs9ycLq7vpiQH8I25yfw,Janelly A.,4.0 star rating,Great pollo a la brasa. Wish they would give more sauce. It was really delicious.  A lot of food for a great price!,El Rinkoncito Peruano,4.0 star rating,$$,"Peruvian,, Latin, American,, Breakfast, &, Brunch"
5,g0heGXpkjz7-aoPE9ggD0A,Angela R.,1.0 star rating,"So bad. Please don't go here if you want real good Peruvian food. Green sauce: Terrible. It has a very, vert strong cilantro or parsley flavor. Srsly, worst I've ever had.Roasted chicken: Undercooked and the skin was way salty. Also the rub was not great.Anticucho: Left roast chicken in the dust when it came to undercooked food. So undercooked I had to fry it to eat it.Service: I ordered online and went there after 40 min of placing order. Food was still not ready, waited for another 15min. During those 15 min. a lady kept yelling at the kitchen people to hurry up. It was very unprofessional, I felt bad for the waitress girl. The only one good thing was the Chaufa. So just order Chaufa if you don't want to be disappointed.",El Rinkoncito Peruano,4.0 star rating,$$,"Peruvian,, Latin, American,, Breakfast, &, Brunch"
6,zruCyg6usoVyld0Mp_gahg,Dennis R.,5.0 star rating,One of the best lomo saltados I ever had. Jalea is really tasty as well. Owner very friendly.,El Rinkoncito Peruano,4.0 star rating,$$,"Peruvian,, Latin, American,, Breakfast, &, Brunch"
7,hxnXdUgKZozU_KIcO5c-4Q,Hui Ci Wendy W.,5.0 star rating,i love the food the chicken is so juicy everytme order never dispoint the food is the best love the taste,El Rinkoncito Peruano,4.0 star rating,$$,"Peruvian,, Latin, American,, Breakfast, &, Brunch"
8,OMJwlCECjqBtY3cCxhpqyw,Venus R.,5.0 star rating,"Very nice people, food was great, I ordered a quarter chicken with French fries and a salad my fiancé ordered the busted a lo pobre (which included steak, sweet plantains, fried egg, French fries and white rice.) He didn't think he would like it And he did. I was looking for a place for pollo a la brasa since I work in glenrock and get it in fairlawn all the time. Loved it. Only thing that was awkward was when we asked for the check we paid with a card and the lady asked if we wanted to tip on the card. We replied yes and she asked how much? So we had to give her the tip amount in order for her to bring the check with the food.",El Rinkoncito Peruano,4.0 star rating,$$,"Peruvian,, Latin, American,, Breakfast, &, Brunch"
9,VAJK_LOnu66J_C-rICxqTQ,Noni J.,5.0 star rating,"My Girlfriend and I came to this restaurant after hearing raving reviews from a client about the ceviche. Omg...was she right. The ceviche mixto was excellent! It was full of a variety of seafood and seasoned to perfection. We also had the Lomo saltado which was equally tasty. The owner was very nice, warm and welcoming. The waiters was accommodating and very attentive. The place is very small but personal. I truly enjoyed this food and will definitely visit here more often. I have been to several restaurants that sells Ceviche and by far...this is one of the best places yet. I want to extend my Thanks to the staff, cooks and hard workers that took the necessary time out to made my experience worth while. Noni and Has!",El Rinkoncito Peruano,4.0 star rating,$$,"Peruvian,, Latin, American,, Breakfast, &, Brunch"
