,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,9S6KWs0pHgftym6_LogKtQ,CL C.,4.0 star rating,"Did they work on their ventilation? Because before I used to go in there and come out smelling SO MUCH like food. Good food, but still.It's interesting to read that other folks have had trouble ordering on the phone with El Sabroso. I've been ordering for pickup for years and yes, maybe had one experience where I had to get transferred, but they always had my food ready to go and correct. And I don't speak Spanish, so it that's not a factor.But to the food. It's good. Not outstanding, but still good and I'll keep going there. It's comfort food in big portions and I now stick with my favorites. Pernil with yellow rice (if you want the crispy skin be sure to specifically ask for it), baked chicken, empanadas, maduros, and / or their tomato / avocado salad. One of my friends loves the oxtail stew; oxtail is not really my thing, but it was tasty from the few bites I had. YUM!I've tried their mofongo and I didn't particularly like it and there was one other dish years ago that I tried that I wasn't a fan of either, but my usuals hit the spot. I usually take out, and the few times I have sat down to eat, the service is rather slow and I wouldn't say their staff is the perkiest crew around, but it's also not terrible. It's also nice to see the big kitchen in the back and see them scoop the food and rice directly from the pots. Try it for yourself.",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
1,YePQGhkOSNflYAISuDw4Rw,Barony C.,3.0 star rating,The food is really good but the service is consistently terrible.... I can't explain how many times they have screwed up my order- I literally have never been here without them making at least one mistake....,El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
2,C8BRhiuPMZeVVtV94x7wKw,Gail E.,4.0 star rating,"Good food  , huge space,  great flavors not the bestService so order take out . Reasonable prices , casual attire it's worth a shot if your in the area looking for some homey Spanish dishes",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
3,OhVXhkN-Uj9T0gp5j3VxCw,Jonathan C.,5.0 star rating,"Pro1. Alcapurias were Grrrreat I bought 20 to go. I was told they make the Best in Jersey City.2. The Chicken Stew was Awesome.3. The Oxtail Stew was Awesome.4. The Beef Stew was Awesome.5. The Ropa Vieja was Awesome!!6. The Yuca con Mojo is the Best in Hudson County!!7. The Steak and Onions made Fresh and Sooo Good!!8. The Sancocho Soup aka Caribbean Soup surprised me. It was made like Gramma was present. I've never had Bollitas de Platano aka Plantain Balls in my Stews or Soups outside from Home. Finally a Restaurant that gives it a Simple, Textual, Flavor Absorbed Special Abuela Ingredient! I didn't expect that at all. I had to ask another small bowl of what I thought I just ate quick, to make sure I wasn't going crazy. Ha9. I love how the Kitchen is in the Front showing the Work that is Put into Puerto Rican Food. Much Respect!Con1. Less Fresh Peppers to the Chicken Stew since it added a Citrusy Acidic Taste.2. You leave there Smelling like Food and Oil but it's Worth it. (Con/Pro)I wish this place was located Downtown Jersey City. :/I hope they serve Alcapurias at the Jersey City Puerto Rican Festival 2018 and every year! God bless this True Boricua Spot!",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
4,yM88zbw8MkIR9Mpj0YIvBw,Mixmaster C.,5.0 star rating,My beautiful lady took me this nice restaurant in Jersey City and I absolutely loved it! Good ol Puerto Rican food made with lots love. Delicious! This is a hidden gem and I will be back for more.,El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
5,P4yQ_VBRpCKfH-GwT7zi6Q,Chow H.,1.0 star rating,Horrible customer service !!! Don't order for pick up over the phone they will mess up your order big time and then expect you to pay for it . The owner tried approaching the girl infront of me which seamed very unprofessional in my point of view but even then didn't suggest to fix my order or charge me the correct amount for the order placed not even a simple apology just made they're workers look terrible infront of me. Left the place fuming !,El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
6,sgk0J9CJiA9jaeZBNqCEhA,Steph R.,3.0 star rating,I was so annoyed the other day when I went to buy a mofongo for lunch. I asked for it to be plain but it came with chopped up veggies which was okay but I'm allergic to tomatoes so they should have asked. I was already at my job when I opened it up to realized it looked hard like a rock usually other places give a garlic sauce or some kind of chicken broth on the side to make it moist. It had no garlic flavor to me it tasted like old oil and I was so surprised after reading so many good reviews about this. Too expensive also I paid ten or twelve for a fried platano that wasn't even good. I ended up throwing it away never again. Please buy your self a platano and look up the recipe I promise you it'll come out better then el sabrosos and you'll save your self the money to buy some meat on the side lol    *********This is an update of my last review**********  I decided to give this place another chance since isla bonita closed down and I wanted some soup. I was out on break and noticed that they didn't have a line so decided to walk in and saw they had sancocho on the menu so order that to go. I got to my job and noticed the soup came with white rice on the side which is a plus. It tasted good but it was a little different since it didn't have yucca there were pieces of salami in it and batata... maybe next time I'll try something new.,El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
7,yBQi4r09OQnki593GGJc2A,Nell W.,4.0 star rating,"I came here around 12:30 pm on a Saturday and a lot of the tables were already occupied. There was a constant stream of people coming to dine in or get takeout. That's usually a sign that the food was good.We ordered steak, stew beef, chicken empanadas, tostones and sweet plantains plus two bottled sodas. The bill was $35!!! OMG! All of the food was delicious. We ordered a large and was able to bring about half of the food home. Service was good. The waitress came around enough times. I will definitely come back.",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
8,kG08EpdFeuy78jNe0hwYZg,Juan O.,2.0 star rating,This place use to be really good when it was by Lincoln st. They moved and since then the food is not that good anymore. The alcapurias are the only thing that still taste great. The service is terrible especially if you sit down to eat. The people look miserable working there and it shows in the service.,El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
9,5T0ZlFzC3fkmi_VKSISHLw,Scott W.,5.0 star rating,"Very consistent, LARGE portions. Friendly staff. The pickled tongue salad with bananas is amazing, as are their steaks and chicken. Went here for my birthday and they sang to me. It was very nice,--touching even.",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
10,uYJf_uIO6-z0-H7U5-y4kA,Luis R.,5.0 star rating,"Been eating from here for years since they were on Academy Street.  The best items are the alcapurrias, the pasteles, rice and beans, pernil (roast pork), potato salad, surf and turf steak and shrimp in a garlic sazón.   The owners are still the same and keep a tight ship.   Place is always packed so call in your order or get their in time.  The frituras are always fresh and made to order so you might have to wait a few minutes but it's well worth the wait.",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
11,hmvVIVmvpwlBWc8E3RXdGg,Camille G.,4.0 star rating,"I tried this from a store that was ordering their lunch. I decided to order with them . Our order took two hours to arrive at store. They assured me it was going to be worth my wait. I proceed to continue working while I waited .  It finally arrived and the order was short a serving. My friend was kind enough to give me her food. I had ordered the same plate which was pernil with mofongo and accapirria.It was amazing!!! I just had one bite and I couldn't resist. The mofongo had chunks of crispy pork skin and tosino. It was sitting in a delicious garlic sauce with Side of pico de gallo. Absolutely divine, just like I landed in Puerto Rico.I called my friend next day drove 1hr to visit this great restaurant myself in jersey city. I ordered the steak with onions with rice and beans.It was delicious. Since I ate in the restaurant the portion was huge. Definitely taking left overs home.. I also ordered more food to go. I can't wait to try later. Love the food highly recommend eating here for authentic Spanish food.",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
12,4RodkIZKqM2XeqH-NcKNzg,Brooke R.,3.0 star rating,Heard good things about this place so now for the review .I went for lunch and it was a mad house ! Customer service sucks you'll be waiting there forever as your stomach growls of hunger .I ordered codfish it's ok meh not impressed over priced .I may just order the alcapurrias to go they were really good,El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
13,9nVPb_ePNqmw_VOhLVcDig,Nicholas D.,2.0 star rating,"This is not a Puertorican restaurant. Latin food yes, but again it is not Puertorican.",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
14,H7NRCzc00xilUYoylT3KaQ,Deb A.,1.0 star rating,"I called on a Saturday May 6, 17  at 7:45pm. I was transfer to two different people who were unable to take a rice, bean and fried plantain order.  Utterly useless.",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
15,Sl5ue-k93jlCT57jHC_6BA,Patricia B.,5.0 star rating,"The best Spanish food in Jersey City.  We always get the same thing and they never disappoint..  the steak, baked chicken and yellow rice is soooo goood..... the pickled salad is everything.. we order from this place every week.",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
16,hJXTThMdmw7XqIlT45Tkjw,Christeen B.,1.0 star rating,"The food is very delicious (yellow rice, onions and beeg, stew chicken or baked chicken and beans).  But, I have to give a horrible rating for service.  I've been to this restaurant for lunch at work on several ocassions. The credit card policy use to be no minimum. Then, when I went to pay, the lady told me there's a $10 minimum. When I was explaining to her that I always knew it to be no minimum. She denied it (lying of course) and walked away when I was speaking. She then started talking in Spanish about me, thinking I didn't know. I find these sorts of treatments to a customer unprofessional and rude. Wouldn't recommend this place because of this lady's nasty attitude and lying.",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
17,F-hXT08a_t2W14GjNg7V9A,L F.,1.0 star rating,"El Sabroso was a great restaurant when they were the original restaurant...El Sabrosito.The staff is rude and you can wait for 1/2 hour before they help you. No one knows whatthey are doing...Their arroz con gandules maybe had 1 gandul, Their pasteles are greatbut you never know if they have them or not, etc   Ordering over the phone is nearly impossible since you are placed on hold, when they pick up again they don't know whatyou had ordered or you might get a new person. What a shame, horrible over all !!!",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
18,cTC5YNfSxehoHZup_X3kHg,Wanda C.,5.0 star rating,"Five stars, the food is awesome.  I travel from Staten Island to get my alcapurrias and Mofongo. It's reasonably priced and even the desert is fresh",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
19,0_nrLDMRpnWSTODC0rbnqg,Amanda C.,2.0 star rating,"I have so much to say... where to start... first off, the workers there are sooo rude! I waited 10 minutes for them to take my order and mind you there wasn't anyone in front of me. I was literally standing there looking at everyone while they looked at me. When I finally did place my order they kept telling me they did not have anything I wanted, and it was only 12:30 in the afternoon. I ended up ordering a oxtail with white rice and a chicken empanada. The empanada was literally two inches which is really small and not how they used to make them. The oxtail was really dry. I am so disappointed in this place. I remember when it used to be at a different location and back then the food was great and the service. Seems like ever since they expanded into a bigger place and are more known it just gotten worse. Such a shame.",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
20,9S6KWs0pHgftym6_LogKtQ,CL C.,4.0 star rating,"Did they work on their ventilation? Because before I used to go in there and come out smelling SO MUCH like food. Good food, but still.It's interesting to read that other folks have had trouble ordering on the phone with El Sabroso. I've been ordering for pickup for years and yes, maybe had one experience where I had to get transferred, but they always had my food ready to go and correct. And I don't speak Spanish, so it that's not a factor.But to the food. It's good. Not outstanding, but still good and I'll keep going there. It's comfort food in big portions and I now stick with my favorites. Pernil with yellow rice (if you want the crispy skin be sure to specifically ask for it), baked chicken, empanadas, maduros, and / or their tomato / avocado salad. One of my friends loves the oxtail stew; oxtail is not really my thing, but it was tasty from the few bites I had. YUM!I've tried their mofongo and I didn't particularly like it and there was one other dish years ago that I tried that I wasn't a fan of either, but my usuals hit the spot. I usually take out, and the few times I have sat down to eat, the service is rather slow and I wouldn't say their staff is the perkiest crew around, but it's also not terrible. It's also nice to see the big kitchen in the back and see them scoop the food and rice directly from the pots. Try it for yourself.",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
21,YePQGhkOSNflYAISuDw4Rw,Barony C.,3.0 star rating,The food is really good but the service is consistently terrible.... I can't explain how many times they have screwed up my order- I literally have never been here without them making at least one mistake....,El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
22,C8BRhiuPMZeVVtV94x7wKw,Gail E.,4.0 star rating,"Good food  , huge space,  great flavors not the bestService so order take out . Reasonable prices , casual attire it's worth a shot if your in the area looking for some homey Spanish dishes",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
23,OhVXhkN-Uj9T0gp5j3VxCw,Jonathan C.,5.0 star rating,"Pro1. Alcapurias were Grrrreat I bought 20 to go. I was told they make the Best in Jersey City.2. The Chicken Stew was Awesome.3. The Oxtail Stew was Awesome.4. The Beef Stew was Awesome.5. The Ropa Vieja was Awesome!!6. The Yuca con Mojo is the Best in Hudson County!!7. The Steak and Onions made Fresh and Sooo Good!!8. The Sancocho Soup aka Caribbean Soup surprised me. It was made like Gramma was present. I've never had Bollitas de Platano aka Plantain Balls in my Stews or Soups outside from Home. Finally a Restaurant that gives it a Simple, Textual, Flavor Absorbed Special Abuela Ingredient! I didn't expect that at all. I had to ask another small bowl of what I thought I just ate quick, to make sure I wasn't going crazy. Ha9. I love how the Kitchen is in the Front showing the Work that is Put into Puerto Rican Food. Much Respect!Con1. Less Fresh Peppers to the Chicken Stew since it added a Citrusy Acidic Taste.2. You leave there Smelling like Food and Oil but it's Worth it. (Con/Pro)I wish this place was located Downtown Jersey City. :/I hope they serve Alcapurias at the Jersey City Puerto Rican Festival 2018 and every year! God bless this True Boricua Spot!",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
24,yM88zbw8MkIR9Mpj0YIvBw,Mixmaster C.,5.0 star rating,My beautiful lady took me this nice restaurant in Jersey City and I absolutely loved it! Good ol Puerto Rican food made with lots love. Delicious! This is a hidden gem and I will be back for more.,El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
25,P4yQ_VBRpCKfH-GwT7zi6Q,Chow H.,1.0 star rating,Horrible customer service !!! Don't order for pick up over the phone they will mess up your order big time and then expect you to pay for it . The owner tried approaching the girl infront of me which seamed very unprofessional in my point of view but even then didn't suggest to fix my order or charge me the correct amount for the order placed not even a simple apology just made they're workers look terrible infront of me. Left the place fuming !,El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
26,sgk0J9CJiA9jaeZBNqCEhA,Steph R.,3.0 star rating,I was so annoyed the other day when I went to buy a mofongo for lunch. I asked for it to be plain but it came with chopped up veggies which was okay but I'm allergic to tomatoes so they should have asked. I was already at my job when I opened it up to realized it looked hard like a rock usually other places give a garlic sauce or some kind of chicken broth on the side to make it moist. It had no garlic flavor to me it tasted like old oil and I was so surprised after reading so many good reviews about this. Too expensive also I paid ten or twelve for a fried platano that wasn't even good. I ended up throwing it away never again. Please buy your self a platano and look up the recipe I promise you it'll come out better then el sabrosos and you'll save your self the money to buy some meat on the side lol    *********This is an update of my last review**********  I decided to give this place another chance since isla bonita closed down and I wanted some soup. I was out on break and noticed that they didn't have a line so decided to walk in and saw they had sancocho on the menu so order that to go. I got to my job and noticed the soup came with white rice on the side which is a plus. It tasted good but it was a little different since it didn't have yucca there were pieces of salami in it and batata... maybe next time I'll try something new.,El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
27,yBQi4r09OQnki593GGJc2A,Nell W.,4.0 star rating,"I came here around 12:30 pm on a Saturday and a lot of the tables were already occupied. There was a constant stream of people coming to dine in or get takeout. That's usually a sign that the food was good.We ordered steak, stew beef, chicken empanadas, tostones and sweet plantains plus two bottled sodas. The bill was $35!!! OMG! All of the food was delicious. We ordered a large and was able to bring about half of the food home. Service was good. The waitress came around enough times. I will definitely come back.",El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
28,kG08EpdFeuy78jNe0hwYZg,Juan O.,2.0 star rating,This place use to be really good when it was by Lincoln st. They moved and since then the food is not that good anymore. The alcapurias are the only thing that still taste great. The service is terrible especially if you sit down to eat. The people look miserable working there and it shows in the service.,El Sabroso,4.0 star rating,$,"Latin, American,, Puerto, Rican,, Spanish"
