,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,xVCNoPE_c6ciBMZ0siDUog,AJ F.,5.0 star rating,"Classy Classy Classy Classic European style vibe! Definitely not some hipster joint you visit to grab a beer and or light decaf coffee. Just entering the place you kinda get the feeling of being in another country. The interior is pub-like/wooden non-rustic classic, old school decor. Starting  from the first half of the restaurant and the back room where the more lively seating with huge windows and just gives the place a fresh feeling. This place won't disappoint you, trust me. The service was on point and really friendly. The wine/beer selection was great and I heard more likable comments about the mixed drinks from a man seated right by me. The FOOD:Amazing, not dry, and super delicious. Squid good, risotto amazing, and         ....................THE FRIES MAN! BRO....truffle garlic fries...... Phew.... Still dreaming about the perfection! 0/100 real quick. No but really though get these fries^^^^The SERVICE: We were seated right away and absolutely was on point with the water and quality of personal respect. The waiter just seemed like he was actually happy to help. (if that makes any sense).Over all perfect score! CONS: Parking is horrible in Hoboken. PERIOD",Elysian Cafe,3.5 star rating,$$,"American, (New),, French,, Bars"
1,4lAQYtRnSB6qdinlNEwDcA,Lindsay M.,3.0 star rating,"This restaurant was very cute for brunch. When I first walked in, it felt like I was in a cafe in Europe. I was quite pleased.However, it was very sad to see that they were quite understaffed. I had to walk through the restaurant to find someone to put my name down on a waiting list. No one came up to me for 15+ minutes. Once we got seated, it took another 15+ minutes to put in our drink order. I felt bad for our waitress.When we went to order, I asked for a custom omelette with cheese, tomato and spinach. I thought it was a pretty simple request, but they would not take any special requests off the brunch menu given they were busy and understaffed. This was quite disappointing. I ended up settling with Eggs Benedict & my boyfriend got a Burger. Both were satisfying. Overall, I'm sad this wasn't as good of an experience as I had hoped.",Elysian Cafe,3.5 star rating,$$,"American, (New),, French,, Bars"
2,BWKBWyDlO3CtpA21JhEF2w,Mayor Of Flavortown 2.,5.0 star rating,"This review goes out to Blair G., who happened to be sitting next to me this morning and gave this fine establishment a one star review because 1) he's cheap (see his complaints about refills); 2) his kids wouldn't shut up the entire meal; 3) he brought about 15 pieces of luggage to the seating area, obstructing the walking space for waiters and making it uncomfortable for others trying to be seated; and 4) because Blair G. is a miserable dude with low self-esteem. Blair G. most likely hates is life and just takes it out on other people through Yelp reviews. Maybe you shouldn't bring your infant to brunch? Maybe that would have made your experience better. I felt compelled to come on Yelp and post my opinion in response to Blair G.'s totally unjustified, baseless review. Just to show you what kind of slime we are dealing with here, at the conclusion of his meal, Blair G. announced, ""I'm giving this establishment a one star review!"" Really. The guy really did that. His poor wife and kids have to live with this d-bag. I give that family a four star review for living with you, Blair. Also, the food was ""solidly mediocre""? Weird to hear that from a dude who finished his entire plate. Learn to tell the truth, my dude.This is an excellent establishment. The food is fantastic. The service is great (Love you, Benny!). And the atmosphere is pure comfort with a classy finish.",Elysian Cafe,3.5 star rating,$$,"American, (New),, French,, Bars"
3,zgVfsfrvRT8oXcB79GwK1w,Katie A.,4.0 star rating,"Great ambiance, delicious brunch options, and fast, attentive service. I've always wanted to try Elysian Cafe and was able to check out their Saturday brunch today. I had the smoked salmon eggs Benedict with fries on the side, in addition to a few bellinis!Important to note that they don't take reservations for parties with less than four people. My boyfriend and I didn't want to wait for a table, so we opted for bar seats instead, which was fine! Overall, I think it's worth checking out if you're in Hoboken!",Elysian Cafe,3.5 star rating,$$,"American, (New),, French,, Bars"
4,cWmUKEcIZu0Nxyx-eT_o7Q,Tiffany M.,4.0 star rating,"Dined in for Sunday brunch with a group of friends. We made sure to make reservations. When we got there the restaurant was already filled but we didn't have to wait long for our table. Each table is kind of close to each other and the space is tight. It was Halloween season so the restaurant was decked out in decorations, very cute! I opted for the Croque Madame (Ham, Gruyere, Fried Egg, Pommes Frîtes). Delicious and I would get it again. They also serve alcoholic breakfast beverages so we got mimosas & bellinis.",Elysian Cafe,3.5 star rating,$$,"American, (New),, French,, Bars"
5,kfar0wqf3tlsai5FgDqKYg,Joseph S.,4.0 star rating,"Cool restaurant in Hoboken.It has a section with a bar and tvs, playing sports usually and a section for quiet dining.They have amazing mussels and fries and the grilled octopus was decent. Big selection of wines.The staff and waiters are friendly, though they kept forgetting to get me my beer ‍.I would recommend this for a date night, and a nice dinner.",Elysian Cafe,3.5 star rating,$$,"American, (New),, French,, Bars"
6,A206Z5UEmH6aTGjLPN5RSQ,Gisele Y.,3.0 star rating,An average place to have a brunch or dinner. The food quality is ok but nothing special about it. For a holiday weekend it was one of the only places we found that were open,Elysian Cafe,3.5 star rating,$$,"American, (New),, French,, Bars"
7,i2G3Ty5bPDWEim5Vk0QNbg,Sam L.,4.0 star rating,"The background on this place alone is cool, and the way they really hone in on the cool facts about the restaurant is a fun time. I was in Hoboken, NJ visiting friends who live in the area. They insisted we go to this restaurant based on the french onion soup. I did not get the french onion soup, but goodness it smelled and looked awesome. I ended up getting the mussels and I was beyond happy with my choice. The waiter (who was wonderful) even brought me out extra bread to dip in all the extra juices from the mussels (YUM!)When I get back to Hoboken, I'll definitely visit this place again.  Great interior, and awesome patio (although it was raining this day so we couldn't sit outside) and great product.",Elysian Cafe,3.5 star rating,$$,"American, (New),, French,, Bars"
8,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,3.0 star rating,"Elysian looks like an old cafe that has a lot of charm. My boyfriend has been living nearby for about four months and we finally got the chance to try it out after all that time. We came in on a beautiful, sunny and warm Saturday at about 1 pm for brunch. The wait for an outside table was only 15 minutes.We were seated pretty quickly and they took our drink and food orders swiftly as well. The drinks came out shortly after, but our food was nowhere to be seen until about a half an hour later. People who were seated after us, got their food before us. I think it was a fluke (I hope). I'd definitely be willing to give it another chance because I really enjoyed the grilled chicken sandwich (with bacon, avocado, lettuce, tomato, herb mayo, and French fries) when I did finally get it. Plus, it's relatively inexpensive. For $13, you can get a plate of steak and eggs with home fries and toast. Hoping it'll be a better experience next time. Not sure I want to unleash the inner Hulk that takes over when I get hungry.",Elysian Cafe,3.5 star rating,$$,"American, (New),, French,, Bars"
9,W8gPSfYsstwBYEpM-_fWjA,Yinglu W.,4.0 star rating,Actually i like the environment more than the food itself. Wall decoration attracted me a lot. I ordered salmon egg benedict. Salmon tasted really good while the English muffin was overcooked. Frities were tasty as well. Nice brunch place overall.,Elysian Cafe,3.5 star rating,$$,"American, (New),, French,, Bars"
