,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,hU_ubdLYjxrwSlGUBoUuSw,Dennis H.,4.0 star rating,"This place was packed!  Came here for a late night meal around 11pm.  I guess all the professionals in the restaurant industry like coming here after they close up shop.They have a late night menu so I'm trying to remember everything I samples...- Mini steak burgers awesome- Banh Mi type dish awesome- Lamb chops were so so- Drinks, very goodVery generous portion of frites!",Employees Only,4.0 star rating,$$$,"American, (New),, Diners,, Cocktail, Bars"
1,spXe-P_cSV8h0iZkfRcbzA,Frannie Y.,5.0 star rating,"I had a great experience here to celebrate my boyfriend's birthday and our anniversary! I saw bone marrow poppers on the menu and just knew that this was where we had to go. I would definitely recommend making a reservation otherwise you might have to wait outside in the cold (or heat depending on the time of year) while spots open up inside. It does look like a psychic shop, but their logo is on the awning and looks like a key but is really EO. We ordered the thunder in paradise and almost there for the cocktails. The thunder in paradise was honesty too sweet for me, but it's definitely a good choice for those who don't love the taste of alcohol! The almost there was pretty minty and very refreshing. We got the bone marrow poppers and ricotta gnocchi to start, my boyfriend ordered the ribeye, and I ordered the cavatelli. The bone marrow poppers were amazing, and I don't even like bone marrow that much! It comes with 3 in an order, but our waitress offered to make it 4 so we could each have two. We didn't end up doing that so not sure how much extra that would've cost, but it was a nice offer! The gnocchi was pretty small - it only had about 6 gnocchi, but it was delicious! I loved the butternut squash sauce. I also heard the table next to us order it as an entree, and they offered to make it a larger order. The ribeye was ENORMOUS and was so yummy. It was cooked perfectly, and the potato gratin it came with was also amazing. I loved my cavatelli. It tasted like it was made in house, and the texture was perfect. There was also a solid amount of spicy pork sausage in it. I honestly haven't had pasta that good in a long time. Lastly, we ordered the cheesecake for dessert. It was definitely one of the best, if not the best, cheesecake I've ever had. It was so light, almost like a Creme brûlée, and didn't feel heavy at all, which was great considering we were stuffed from our appetizers and entrees. Note: the chocolate tart has the nuts already inside the dish, so we couldn't order it (I'm allergic), but they can put the brittle on the side for the cheesecake!",Employees Only,4.0 star rating,$$$,"American, (New),, Diners,, Cocktail, Bars"
2,JwPbXvWXjMM66nUoc9LzDQ,Cindy U.,4.0 star rating,"Came here for drinks and it really is a good date spot. So much fun with a great crowd behind and in front of the bar. I absolutely love finding a spot where other guests are enjoying the night just as much as you are and are super friendly. Being that the regulars have a good time, definitely reflects on the bar. Managed to snag a spot when we walked in at the bar, super difficult post dinner. Bartenders were very attentive although it was so busy, plus plus plus on that end!Environment is luxurious, romantic, you name it! Would definitely recommend this location, looking forward to another visit for the food in addition to the drinks!",Employees Only,4.0 star rating,$$$,"American, (New),, Diners,, Cocktail, Bars"
3,3OL1nZ8E8RtKvOPquMAyJw,Gab G.,4.0 star rating,"Was looking for nice cocktails and dessert and had been wanting to come here forever. Somehow got a table as a walk in, and proceeded to have The Amelia, which was delicious, and an absolutely incredible chocolate hazelnut torte. One complaint, and it's what's keeping mefrom giving this place five stars: the coat check woman. She asked both my boyfriend and I at separate times if we needed change for a larger bill, then hovered expectantly before even getting our coats. I find this incredibly rude because it felt like she not only expected a tip, but was demanding one. She didn't give us the chance to offer first, and honestly, I was not inclined to tip at all after this attitude-filled encounter. Like I said, she said the same to my boyfriend as he was going to the bathroom, and again to me as I actually retrieved the coats. It left a sour taste in our mouths after an otherwise flawless experience.",Employees Only,4.0 star rating,$$$,"American, (New),, Diners,, Cocktail, Bars"
4,G_LDNA0fuHyiw79sRm3kaQ,Edward W.,4.0 star rating,"Walked in on a Monday night before 9pm and was seated immediately at the bar. Almost there drink - scotch, lime juice and apricot liqueur, fresh mint and splash of soda. Very refreshing and slightly sweet. Real fireplace to keep the place warm and cozy. I love that they have a psychic reader at the front to completely hide the speakeasy. Only reason we found it was because the bouncer waved us over after we looked lost. Totally chill and rustic vibe here.",Employees Only,4.0 star rating,$$$,"American, (New),, Diners,, Cocktail, Bars"
5,BK0naPpWNfBj6lHxATXXYA,Suki W.,5.0 star rating,"Okay, so like. I've been wanting to come here since like forever thanks to my boyfriend talking about the one in Hong Kong. I've had it bookmarked for so long. I finally went last week and the first thing that caught my eye was the fireplace. I personally have a huge admiration for fireplaces.. and now that it is winter time? SUPER AWESOME. I felt amazing standing in front of the fireplace since I came from the cold winter air outside.What I also appreciate is the fact that they have coatcheck! PEOPLE-Please be kind and tip the person who checks your coat. Poor gal--I came with 4 friends and we all had big jackets and had bags. I watched her hold our big coats to go hang them and give us a ticket. Please be kind and tip her!Moving on--when I went, it was around 8 pm on a Thursday and it was PACKED at the bar and at their little dining section in the back. I also love their menu--it's filled with different cocktails that all sound very yummy. Our bartenders--Roger and Brian are also super cool. They were friendly and so talented in crafting these cocktails.I had the Quiet Storm and Almost There--Out of the two, I love the way Almost There looks just because of how colorful it is (super cool for the gram). And if you're someone who likes Moscow Mule (like me hehe), I would recommend you to try the Quiet Storm! It still has ginger beer in it and it's kind of like a slight twist from Moscow Mule. Overall.. I liked both of my drinks so I highly recommend those two. I also tried my friend's Old Fashioned and my gosh, they make a really good Old Fashioned there.If you're around the area, you should DEFINITELY visit Employee's Only and I hope you have Roger or Brian as your bartender though I'm sure all of them are friendly and talented :)Will be back and post more photos soon.",Employees Only,4.0 star rating,$$$,"American, (New),, Diners,, Cocktail, Bars"
6,4wokvkw88IjIAMmEwZCmvQ,Amanda W.,5.0 star rating,"TLDR: cool speakeasy that's lively every night of the week; delicious cocktails and steak tartarHave been here four or five times and definitely consider this place to be one of my favorite speakeasies in WV. During this particular visit, I came with my sister around 2am on a Tuesday. Despite how late it was, the bar area was incredibly lively and crowded while the tables in the back were less-so. We opted for a table and were seated right away.While I didn't order the steak tartar during this visit, I do feel the need to give it a shoutout. At Employees Only, they mix in the spices right in front of you, seasoning it to your liking. The steak tartar here has been more aromatic and flavorful than any other place I've had it.Their drinks are equally delicious and there's a wide variety to choose from. We decided on the fraise sauvage (gin, wild strawberries, vanilla, and prosecco) and amelía (vodka, elderflower liqueur, puréed blackberries, and lemon juice). The fraise sauvage was fruit-forward and sweet while the amelía was a bit punchier and acidic.Noise levels were moderate, so the ambiance is good for catching up with a friend or getting drinks on a date. Would recommend this place to anyone interested in the WV speakeasy scene!",Employees Only,4.0 star rating,$$$,"American, (New),, Diners,, Cocktail, Bars"
7,t0mn7fzcgI-WeO9eGdKf0g,Jeanette Jane G.,5.0 star rating,"What a lovely and cool-cat place! It's as if you're drinking and cheering among Dean Martin, Sinatra and Marilyn.Yet, you can expect Beyonce to walk in at any moment!The bouncers were courteous to my party and it made the trip from San Francisco to NYC worth it! The cocktails and champagne were crisp and the service inside was lovely. I hope this place is ready to see me when I visit NYC, which is often! I am so stoked on this place, I am planning a trip to visit their Los Angeles location when it opens next month. See you @ Employees Only!",Employees Only,4.0 star rating,$$$,"American, (New),, Diners,, Cocktail, Bars"
8,foZSFrOLovdTXnh9bZ1pQQ,Jesse N.,5.0 star rating,"LOVED Employees Only; the drinks, food, and environment were all A+ in my book. It was a pretty busy night but somehow my friend and I managed to get a table and our server was super nice and quick with our orders. I had a Penicillin and the drink was super flavorful and had a good kick of ginger. We also decided to eat the Parmesan fries with garlic aioli and they were addicting (there's nothing better than a crispy French fry). The bill was a bit expensive, but that's probably assumed when going here. Highly recommend for a fun night out, overall great experience. PS- the music the night I went was AMAZING, so many throwbacks from the Backstreet Boys to Ginuwine. I think we stayed longer because the music was so good.",Employees Only,4.0 star rating,$$$,"American, (New),, Diners,, Cocktail, Bars"
9,A206Z5UEmH6aTGjLPN5RSQ,Gisele Y.,4.0 star rating,If you are looking for a tasty and different cocktails this is definitely one place you should try. Till now i check two of their places and both were great.For the food I really don't recommend its over priced compared to the quality you are getting maybe get a snack instead.On weekends it's super packed.,Employees Only,4.0 star rating,$$$,"American, (New),, Diners,, Cocktail, Bars"
