,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,d5cGnNdT22oti7L-s0ejtw,Matt K.,4.0 star rating,"Hit this place up after dinner at Malaparte. We sat downstairs (party of six) and ordered a range of different drinks, from cocktails to beer to wine to prosecco. Gotta love the ambience of those small places in the West Village!Fantastic cocktails. Moscow Mule was made just right; sometimes they can be too sweet! My mom got the Pineapple Thief and enjoyed it thoroughly. I must say it was tasty!Overall had a good time. Hit the spot for what we were looking for.",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
1,RLePuTbmPSOxeATB4BCnnw,Kris P.,2.0 star rating,"By far one of my weirdest experiences. I walked in here for a glass of wine. I literally felt like I walked into a stranger's home. The music - old vinyl sounding record music from the 60s was blaring. The place was empty, all but the bartender guy and a young lady, I asked if they were open because the guy stood there and starred right past me smiling really freakishly like Adam from girls, he even looked like him.  Weird, Weird, Weird. It was about 5pm, I hadn't eaten all day so I really wanted food as well, I initially sat at the bar since this seemed like a quaint little intimate spot to take a call especially since no one was in there- that plan went right out of the window with the loud music. Like the music was way too loud for that little space.Wine- was mehh Food- chicken sandwich served almost like a panini with pesto sauce was pretty darn good.Will I ever go back? eeehhhhh I doubt it.",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
2,6CQC83z9mWr663ywZDyOWQ,Rianna B.,5.0 star rating,"Cheese board and pistachios pair well with your Turkish coffee or Whiskey  Sour (whichever mood you're looking for in when you pop in ). Definitely sit downstairs, the vibe is way cooler there. This should be your after-Whitney chit chat go to!",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
3,fziGckNxwZVy7Li5evbUTQ,Dashiell L.,5.0 star rating,"Just finished having diner here with Kristina after taking a yoga class at Justlikeom the new studio in the garment district where she will be teaching. The service was impeccable and our waitress was attentive and sweet. The cocktails were delicious and even made to order as we both were in need of a coffee laced liquor. The food was scrumptious, they get their cheese and meats from Murray's which is a staple in the W. Village. The dining was intimate and cozy. We can't wait to go back. Thanks",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
4,TP3lAGhfgG4RA4NOF0MlAw,Kristen T.,4.0 star rating,"A cute, intimate and cozy cocktail bar located in the side streets of the Meat Packing District. It's dimly lit, small but charming. The drinks are a treat. I had a grapefruit cocktail and started the night with that. If you're ready to rock the weekend, this place would be a great starter to bar hop around the area. Definitely recommended.",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
5,6CmaWkSyY4lvjByFEoY-7Q,Jessica K.,4.0 star rating,"A hidden cozy little restaurant that we stumbled upon while looking for a late lunch. We had ordered the chicken thigh, which was listed under chef's favorite, the soup of the day- lentil soup, and the choice of 3 toast (wild mushrooms; avocado). All came out tasting really good! The chicken thigh came with mashed potatoes and to my surprise, the potatoes were really tasty! It was fluffy and literally melted away in my mouth. I'm usually not a fan of mashed potatoes, but I got to say this caught my attention. The lentil soup was simple yet very delicious, and definitely perfect in this cold weather. As for the wild mushroom toast, I believe there was cheese on it as well, which made it a perfect combo.",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
6,fbhRFckDkMOCZFSxpOM4xA,Kimberly M.,4.0 star rating,Adorable spot off the beaten path in West Village.  Very friendly and accommodating service.  Happy hour specials are reasonable: we tried the spicy margaritas and the rosé (which was delicious!)  The outdoor patio can be crowded but is nice for 1-2 people or a small group of friends.,Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
7,MSNp9RoaYahbmbkN0NtHbw,Ivan K.,1.0 star rating,"I had a pretty distasteful experience there. I went there on a Friday night with a large crowd (about 15 overall) and the bartender charged me for drinks I didn't order or consume. She admitted this freely--she couldn't remember who ordered the drinks and so just charged me. Other friends of mine had similar issues with their bills, for which the management was brazenly unrepentant. I wouldn't go back--the staff was just very shady about the whole affair.",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
8,a3KtSy16mSmDrH5S9o2U8w,Matthew S.,3.0 star rating,"Cozy bar, but they charged us a $30 corkage fee to open a bottle of prosecco that someone in our group had brought as a birthday gift. This was after we had spent $1,000 on food and drinks. We had asked permission in advance, and knew there'd be some small charge, but that fee seemed excessive and not exactly hospitable.",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
9,DTifCzZzS3NyxuoiNNygJA,Henali P.,4.0 star rating,Cute venue with a patio in the back! HH til 7 with yummy cocktail options :) great date spot!,Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
10,DRhv3KWpelp2cnAArTf07Q,Simon C.,5.0 star rating,What a find this place is. We stopped in for a quick after dinner drink and found this place to have enormous character and even a small outdoor patio. It has a full bar and friendly staff. Did not have food but my guess is it is tasty. The cocktails are remarkable.,Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
11,2yQfYYkwL4XDbjCj8F8Quw,Emily C.,5.0 star rating,"Went here on a date with a very handsome companion, which has nothing to do with anything about Entwine, except to say that it's a suitable environment for good looking companions.We came in just for a drink initially and were planning on getting dinner elsewhere. But the patio was so lovely and the drinks were so good and we saw all this tasty looking food going to other tables, so we decided to stay. What a great idea! We shared the cheese plate, chicken liver pâté, and the sucuk simit - a simple, yet outta control delicious sausage sandwich. We shared a bottle of Sauvignon Blanc with our meal, which had us in a very nice mood, especially after the refreshing cocktails we started with there on that warm summer evening.If you're in the mood to treat yourself after strolling through the Highline or the Whitney or whatever brought you to the area, Entwine is a superb choice to do just that.",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
12,6AY_XBqZe3W7XI7XujxXuQ,Isha R.,4.0 star rating,"This place lived up to its expectations of amazing cocktails and super delicious chicken thigh (with mashed potato). I ordered the moscow mule and gimlet (both in Gin) and they were simply phenomenal. While the gimlet was more strong like a martini, the moscow mule was a lighter drink and indeed refreshing. I read about the chicken thighs on yelp and decided to try them. They were absolutely delicious and perfectly cooked. They had some kind of basil/spinach seasoned through the center and it certainly added a lot of flavour. I had a vegetarian friend order the three toast variety and it was another fav on the list. The only slight apprehension from my side would be that I didn't find the servers and host very forthcoming, maybe that's their style. They were to the point with their hospitality and it was just about alright.The ambience was elegant and good for a Friday post-work chilling crowd (if you know what I mean). Overall good experience.(P.S. - They have happy hour until 7pm - $10 per cocktail)",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
13,5S8_IdyoPfgO8rc9d69Fog,Kim B.,5.0 star rating,"Visiting the city with a group of friends from Pennsylvania and came across this awesome , quaint wine/cocktail bar. Perfect place to stop on a hot day for happy hour starting at 2:00! Dr. V took good care of us along with his wonderful staff. Moscow mule was fabulous .  If we had more time , we would have stayed to eat as the menu looked delicious with Mediterranean influence .  The chef was bringing in fresh produce as we were leaving . Great unique place in NYC!!",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
14,19HhKVo5Kd39r9YGmePfZw,Kerri C.,4.0 star rating,"I love this place.  My husband and I have been coming for years.  I have held off on giving a review for them, because of my own selfishness to keep it quiet and quaint.  They make an excellent cocktail, and it has a very nice lounge-like ambiance in an old brownstone with an outdoor patio.  I had the Moscow Mule and Old Fashioned which were both delicious.  Also have had some great cheese and charcuterie boards.The only downside was the last time I was there, it was 90 degrees and with the doors open, the inside was a bit warm.",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
15,9fpvgiFJJRHTJFBSxZD1ow,Claire F.,4.0 star rating,"This place is absolutely adorable, cozy and one of the greatest long-term NYC establishments. Set up shop with your small group on their back patio. Enjoy some wine and bites among the flattering lighting and intimate nooks.Great for small groups or intimate pairings.",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
16,RHhvcbOItzQ8DYZnow0VlA,Jack L.,5.0 star rating,"Cute place, good drinks and good service. The meat and cheese platter was fantastic. Thankfully it's right around the corner! The outdoor area fills quick but they will move you out there when a table opens up.",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
17,27Iye0erdZpHsOjA78TtOA,Mei L.,5.0 star rating,"The atmosphere is perfect on a quiet night. Cozy, low-key and romantic. The cocktails are on point and are crafted with care. The food is also excellent and the small menu does not distract from this at all but actually enhances the homey feel of the place. I hope it stays a neighborhood secret!",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
18,0mJbHWwwTGdix669PQFCyA,Natalie W.,5.0 star rating,"I had a birthday lunch here for ten people -- the back room was cozy but spacious, the service was flawless, and the food was delicious and well-priced. Unlike most brunch spots in NYC, they don't rush you or pressure you to buy drinks. They handled a large group with aplomb -- we had quiet and privacy. Can't wait to come back here for my birthday next year!",Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
19,blXfLufXvM2u4fXqWRRppQ,Jordan B.,5.0 star rating,Stumbled in from the cold and had mulled wine for the first time and it hit the spot. Super nice bartender and great atmosphere.,Entwine,4.0 star rating,$$,"Mediterranean,, Cocktail, Bars,, Venues, &, Event, Spaces"
