,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,CTSH1ESIGEL9uPmspTmItw,Cheryl N.,5.0 star rating,"I had an amazing dining experience here on a Saturday Night earlier this month. I have been to Fig & Olive before, but never to this location.  We arrived around 6:15 p.m. and I thought I had made a reservation on Open Table. I accidentally had made it for the following Saturday, but before I could ask for to put our names in the manager said that was ok and they still had a table for us since it wasn't that busy yet and sat us right away! Woot!My friend and I were at a corner booth table in the main dining room which boasts a gorgeous wine display behind the bar. Our drinks came out right away. Their specialty cocktails are the same price as well drinks $14 and up, so you may as well get a specialty cocktail if you are into spirits as we learned when we got a G & T for our first round (which had plenty of alcohol in it).The bread with the 3 olive oils came out next from different regions. The first was from Greece, another from Spain. I can't remember where the last one was from, but they all were different and amazing. Their flavors ranged in complexity, and was fun to dip our bread and taste the different olive oils.Their crostinis are amazing. I love the Manchego with fig and marcona almond. We also had the Proscuitto, ricotta, fig, loive, and walnut and the Kabocha Squash with pickled mushroom, and pear. I am drooling just thinking about them! We ordered 6 and just got two of the same thing so we could each try, but you can also order 3 or 6 different ones and then cut them in half.Our server Abigail was fantastic, she was always there when we needed her. Our main courses took forever to come, we didn't complain at all, we just started to wonder since the place was now packed and we wanted to get into The Whitney Museum before it closed. Abigail came over and also notice we didn't have our food and said she had already talked to her manager and apologized and the next round of drinks was on the house! Again, we did not even make a peep, Abigail was proactive, and we really appreciated that about her and it says a lot for the restaurant as well. The second round of cocktails included the Rosellini and the Summer en Provence. Both amazing drinks which I highly recommend.Our main courses were the Bouillabaisse with grilled scallop, Chilean sea bass, mussels, lobster bisque, shaved fennel, and saffron garlic aioli. My friend had this. Make sure you have your camera set to video when it comes out as they pour the lobster bisque into your bowl. I got the Grass Fed Filet Mignon, which I have never had hear. They cooked it perfectly and it boasted five start flavors! Who would have though a Mediterranean Place would do Filet Mignon so well. I enjoyed the haricot vert, mashed potato, olive oil béarnaise that it came with.There was also a DJ at the bar area which was fun! Love this location. I can't wait to come back. Thank you to the peeps at F & O for cultivating such a great dining experience.",Fig & Olive,3.5 star rating,$$$,"Mediterranean,, French,, Vegetarian"
1,KQyfUXe5YusGrSuuWLHJiA,Juliane L.,4.0 star rating,"Una took care of us and she was fantastic! We came in for a brunch pusld deal, and it wasn't a really good deal but the space and the food were nice enough that it was fine. There is a limited menu from which you chose from, and that of course is always a bit annoying, but I get it... Our appetizers were delicious. I ordered the cheese and mushroom croquettes and loved it! Hubby got the carrot soup and the service and presentation of it were quite pretty!! It's a soup-experience. And it was delicious! Annoyingly though, you don't get a bread basket, you have to pay for it because it comes with other baked goods. How about a simple bread basket?... Entree wise, hubby got the best thing! Salmon Benedict toast with a salad. His salmon was delicious, thick cut and abundant. Should have gotten that... I got the lame omelet, and really, I should have known better... the potatoes were NOT fries, the omelet didn't taste like goat cheese, it felt very under -seasoned and underwhelming. Boohoo :( Desert we got the chocolate cream and the crostinis. All good. I like the dinner menu better, but I think that's because we were very limited with our pulsd deal. The table next to us didn't have a deal and I was more into their food than mine haha",Fig & Olive,3.5 star rating,$$$,"Mediterranean,, French,, Vegetarian"
2,s_8li-WjjlPsaOdOsKJESA,Alyssa M.,3.0 star rating,"My boyfriend took me to Fig & Olive for my birthday and while I was extremely excited for dinner, I was ended up leaving the restaurant slightly disappointed.When we arrived, we were seated right away and were offered some fantastic bread with three different types of olive oils. The restaurant was about half full, and we got our appetizers shortly after we ordered them (we had ordered the calamari and mushroom croquette). Then we started waiting for our entree. And waiting. And waiting. My boyfriend had ordered the Chilean sea bass while I had already decided way before arriving that I would get the tajine. Unfortunately, when we finally got the food (a good 45 minutes after our appetizers), the tajine was rather disappointing - it was more or less a deconstructed version of the Moroccan dish I had been so excited for. The sea bass was good, but not worth the long wait.Dessert was fine and arrived quite quickly, but overall I had expected more from this hyped restaurant.",Fig & Olive,3.5 star rating,$$$,"Mediterranean,, French,, Vegetarian"
3,i7yqhI0f1JwqVBGS-bHBfQ,Mathangi D.,5.0 star rating,"A solid spot for brunch/lunch in the meatpacking area. The place itself gives out a spring vibe, ideal for the hangover healing process. Checked in our coats at the front to a smiling gentleman.We were seven of us and the prix fixe option was too good to be real hence we expected some compensation in the quality. But boy oh boy, - Carrot n ginger soup : Soul food- Truffle mushroom croquette : finger licking awesome- Riveria Salmon : Cooked to perfection- Pot de creme : sang to me in FrenchVery impressed with this place, quality & taste to remember.",Fig & Olive,3.5 star rating,$$$,"Mediterranean,, French,, Vegetarian"
4,tucSAq_lgBP6e2-XGDghsw,Elizabeth H.,4.0 star rating,"We came here on a Saturday morning for brunch and it was pretty empty. The inside is super gorgeous though and everyone who worked there was bright and welcoming. I got a blackberry drink which was really good but my only complaint was there was large chunks of blackberry that made it impossible to drink through the straw and even messier to sip. It definitely needed to be strained. For food - do yourself a favor and get the mushroom croquettes. THEY ARE AMAZING! We also got 6 crostini - octopus, shrimp, Gorgonzola, and manchego. The octopus/hummus pairing was kinda weird, wasn't a huge fan. The shrimp was good. The Gorgonzola was amazing. The manchego was good. For an entree we split the poached eggs and prosciutto and it was fairly good. Overall a good experience and I'd come back solely for those mushroom croquettes",Fig & Olive,3.5 star rating,$$$,"Mediterranean,, French,, Vegetarian"
5,Y6V5B_MPMz5PcRki0atxuQ,Alan W.,5.0 star rating,"One of my favorite restaurants in the city. Great selection of apps, entrees, cocktails, and wines. Our waiter explained each very well even the specifics of the flavors and which apps to eat first. The goat cheese and prosciutto finger apps were my fav. Great for dates and get-togethers with friends.",Fig & Olive,3.5 star rating,$$$,"Mediterranean,, French,, Vegetarian"
6,7Lq-2bpt2rJbBdd3-gdhvg,Julie R.,5.0 star rating,"A great little spot in the meat packing district.  We hopped in for lunch after arriving in town and it was a bright and cozy atmosphere in the bar area.  They had a great menu and the service was great!  Highly recommend trying out the crostini's to get you started!  Everyone was unique and delicious.  I ordered robe carrot and ginger soups, which was amazing!  The hubs had the quinoa salad with scallops...he was hoping it was on a bed of greens, but ended up enjoying it none the less!The host was even kind enough to help us with a dinner recommendation for later that day!",Fig & Olive,3.5 star rating,$$$,"Mediterranean,, French,, Vegetarian"
7,9DVEfkJnN4a6FLS6KUeHfA,Nancy C.,4.0 star rating,"So good for brunch I want to come back for dinner. The best thing here is the service! As I waited an eternity for my never punctual family members, the staff graciously seated me and kept the water coming. Menu has an array of tapas that all seem delicious but the octopus is my favorite. The truffle croquette is popular for good reason but it's on the heavier side. As my main I got a *gasp* salad but was relieved to see that it was comprised of a generous portion of salmon and shrimp. My company's dishes were definitely inferior because I can't recall what they were... Funny how my stance on family style eating suddenly switches when my order is clearly the best.",Fig & Olive,3.5 star rating,$$$,"Mediterranean,, French,, Vegetarian"
8,-ZJhvV3dkqEca-cC_TcPUg,Maria D.,4.0 star rating,"Went here for an early dinner on a weekday. The ambience was nice and I liked the decor. Ordered a couple of apps and cocktails which were good. Had the paella for main and although the serving size was smaller than what I expected, it had tons of seafood in it. The servers were attentive as well.",Fig & Olive,3.5 star rating,$$$,"Mediterranean,, French,, Vegetarian"
9,a3gImZSN8l4AIgzBkqa6Gw,Supriya M.,4.0 star rating,"We had a great time cause the drinks were great.Food.. Not so much... 3 starts for foodAmbience 5 stars.We ordered the piscine...freeh strawberry with sparkling wine !! Loved it!, The fight and olive signature drink (was good) and a raspberry mojito.We just munched on some stuff... Not an entire dinner.Got the mushroom crostini plate all the vegetarian ones.. Did not like the manchego with fig...too sweet... The burrata crostini was the best.Also had the truffle risssoto which was awesome!Will go back for sure..soeciaaly if I'm in the area and craving a  fresh strawberry cocktail ;)",Fig & Olive,3.5 star rating,$$$,"Mediterranean,, French,, Vegetarian"
