,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,IB0Kz0Pz_AvdMw_T_XGolQ,Joonas P.,5.0 star rating,"Best food I've ever had and that's no lie. Fresh bread with fresh mozzarella, huge amount of roast beef and garlic marinated hot peppers and on top of that the whole thing was dipped in gravy. GODDAYUMN!I always thought that nothing beats Faicco's subs @ Manhattan, but I was wrong. Since this place is in Jersey, I believe not that many tourists know about this place, because they (or should I say 'we') usually just hang in Manhattan. But my tip for all the tourists is this: take a 15min NJ Transit bus ride from Manhattan Port Authority bus station to Hoboken, walk couple of minutes from Washington 4th St. bus stop to this place and have The Sub of Your Life.I also need to say that people working there are so nice! Cheers mates and 'till next time!",Fiore Deli of Hoboken,4.5 star rating,$,"Deliswfftdfvzztzaxqcuvwesssrrqrbsuxbfedbtd,, Italian"
1,rDRocSa2FGdAkg6MGGaMdw,Jon D.,5.0 star rating,"The good: the mozzarella is out of this world, seriously words and pictures cannot describe how amazing it is. The subs are also amazing they use quality meats, everything was delicious and they're not stingy with the amount of prosciutto, mozzarella or salami, the subs are jam packed!! The bad: it's cash only, no credit cards, checks, money orders IOUs, etc. Cash only!",Fiore Deli of Hoboken,4.5 star rating,$,"Deliswfftdfvzztzaxqcuvwesssrrqrbsuxbfedbtd,, Italian"
2,K-Jw6Qu_tpIOuOkvL5dChg,Bonnie P.,5.0 star rating,"Saturday Morning ReviewPlace is located on the quieter side of Hoboken, thankfully they have their own parking lot which makes it a lot easier to quickly stop in and run out with some sandwiches.This is a small and class little Italian bodega style, line was already out the door by the time I arrived at 10:45AM!!! Line was quick, service is friendly and fast but I highly suggest that you know what you want before hand. Moment you walk in, there is bread selection on the right (you pick your roll/sub). Then you wait patiently to place your order and let them know if you want any pickles, hot peppers or roasted red peppers and they will add that separately last. Amazing selection of pickled condiments!!Roast Beef Sandwich with fresh Motz & gravy (Only served on Thursday and Saturdays!!!!) Roast beef and gravy was hot and so friggin delicious!!! I literally was drooling from the pure smell inside the deli and waiting for my sandwich I almost ate it in the store as we were paying because it smelled amazing and was so garlicky goodness.Turkey with Fresh Motz & Gravy - hubba hubba....sooo good!Prosciutto with Fresh Motz on a hard long roll - amazing!!! Absolutely can not go wrong with anything from here. It was super fresh prosciutto, the fresh motz was chewy and warm still (fresh) and super thick cuts with the roasted red peppers! It was amazing!Only thing is be wary that the price per sub is higher than subway. So bring cash and make sure to bring a hearty appetite for amazing subs.",Fiore Deli of Hoboken,4.5 star rating,$,"Deliswfftdfvzztzaxqcuvwesssrrqrbsuxbfedbtd,, Italian"
3,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,5.0 star rating,This is a knock down 5 star. From the second you walk in the door you know you are in a legit place.There are no menus visible so make sure you know what you want. The roast beef is unbelievable but the italian combo sandwich is also very good.I was unsure what to order and the guy said I can make an italian sandwich and I said sure. It was great. They just know how to make a sandwich. Point blank.,Fiore Deli of Hoboken,4.5 star rating,$,"Deliswfftdfvzztzaxqcuvwesssrrqrbsuxbfedbtd,, Italian"
4,zTYUt-fWQUXDVada-2MGdA,Craig G.,5.0 star rating,"Sandwich Day came to the office at last! Working with the collection of foodies that I do, it was just a matter of time before someone brought in a sack of sandwiches from this old school Hoboken staple. While any Italian deli in Hudson County is going to over some tasty cold cuts and a few may do their own mozz or bread (or both), Fiore's stands out with their Thursday and Saturday special: hot roast beef.A roll is piled high with tender roast beef, topped with fresh mozz and dipped in beef gravy. That garlicky jus cuts through the creaminess of the cheese for a perfect bite, made all the better when you toss on hot peppers.Very highly recommended",Fiore Deli of Hoboken,4.5 star rating,$,"Deliswfftdfvzztzaxqcuvwesssrrqrbsuxbfedbtd,, Italian"
5,x4ywT3dPqwuCuP3JT-NRBg,Dipesh R.,4.0 star rating,"This is your usual deli spot with banging pickles. I recommend going with the turkey sandwich, toasted with American cheese. Jalapeños can be spicy so watch out if you are sensitive to spice. Ample selection of toppings you can add to your deli sandwich. The place is accessible and is a great spot for a quick grab and go during work. I am a fan of their pickles so definitely add that to your food before checking out. Staff is nice and friendly, which is different from most delis in the hobo area! Ample seating will allow you to have a quick convo while enjoying tasty grub!",Fiore Deli of Hoboken,4.5 star rating,$,"Deliswfftdfvzztzaxqcuvwesssrrqrbsuxbfedbtd,, Italian"
6,svFycHjXZYpNVutZ_0_gDQ,Jessica W.,5.0 star rating,"Love this place, aside from Frank SinatraThis should be what Hoboken is known for. Yep even above baseball.. the mozzarella here or ""mutz"" as any Hobokian would say is stellar. It's a little mom and pop shop, cash only, parking lot in the back. They have a lot of anti pasta like stuffed cherry peppers with provolone. They have grilled marinated peppers, stuffed hot peppers.. etcThey have sandwich specials every day. You walk in pick out your bread and then wait your turn and hand them the hero and proceed to tell them what you would like to have. The roast beef, mutz, and gravy are awesome. I think I usually get that when I go. Don't refrigerate the mozzarella it will dry it out although i doubt you will have any leftover !!",Fiore Deli of Hoboken,4.5 star rating,$,"Deliswfftdfvzztzaxqcuvwesssrrqrbsuxbfedbtd,, Italian"
7,AP-QqWMEsyiHb5eRAdQVGg,Jenni K.,4.0 star rating,"The day after I moved to Hoboken, I woke up super tired and super hungry. I searched for the nearest restaurant and Fiore showed up just a block away from me. Needless to say, I was pretty stoked with all of the amazing reviews. I headed over and got the biggest sub of my life. I should've asked for half, but I was kind of caught off guard because I didn't know how to order. Note: you grab your own bread from the box, tell them if you only want half and they'll cut it. They have different specials every day of the week. Their mutz is to die for...I could just get a small order of that and snack on it. I also love LOVE their marinated red peppers. They are so  soft and literally melt in your mouth. Even half of the sub is enough for me, even when I'm super hungry. The bread is tasty, but a little hard to eat and it usually scratched up the roof of my mouth. The last time I went, I got the HOUSE ROASTED BEEF with gravy, mutz, and roasted peppers. The wait can get a little long...I think I waited for 20-30 minutes the last time I went. But it's really worth it, I promise. NOTE: Cash only!",Fiore Deli of Hoboken,4.5 star rating,$,"Deliswfftdfvzztzaxqcuvwesssrrqrbsuxbfedbtd,, Italian"
8,l4MHm-GAtslmjf4rkkNdGg,Tim R.,5.0 star rating,"As old school as it gets. Came here from Brooklyn and just upon my entrance, the staff asked me why I came to Hoboken from Brooklyn for a deli and Italian subs, comedy and a solid start to experience.  They don't really have a menu for sandwiches. You can either get the special of the day or create your own. I just asked them to make me their best sandwich, surprise me. While I was waiting, they gave me some mozzarella to nibble on. The mozzarella was delicious. The sandwich was ready in a few minutes. I got the full size for $16. This was more than enough for me and my wife. Great sandwich on a fresh bouquet. It had a few different cold cuts, mozzarella, olive oil, and a few marinated and pickled veggies. The also have a full deli, in case you don't want a sandwich,Great food and an awesome throwback experience. Cash Only",Fiore Deli of Hoboken,4.5 star rating,$,"Deliswfftdfvzztzaxqcuvwesssrrqrbsuxbfedbtd,, Italian"
9,F7RZF8_6ilAbDS_ZJgYMdg,Angela W.,5.0 star rating,"One of the best sandwiches I ever had. All the ingredients were so fresh, and you could tell that the mozzarella was special. I got the popular roast beef sandwich with brown gravy and mozzarella which is only served on Thursdays and Saturdays. The half sub was $7.50, and it was worth every penny. Make sure to eat it fresh because the gravy will soak through the bread and get very messy.",Fiore Deli of Hoboken,4.5 star rating,$,"Deliswfftdfvzztzaxqcuvwesssrrqrbsuxbfedbtd,, Italian"
