,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,tVKi0GAVc188nv_PxsT1fw,Hardika M.,5.0 star rating,Loved the place..Good choice for vegetarians..Very healthy. Liked the kiosk to order food.The veg platter was delicious. Liked the hospitality as well.,Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
1,zPdaYzImBld8Mg5zmuURJQ,Deb T.,5.0 star rating,"Flatbread grill is one of my Hoboken favorite lunch spots. The salads, sandwiches and platters are all plentiful and flavorful. I love Love LOVE the falafel here. The sauces are also pretty amazing. I pick up lunch 1 - 2 times a week. Never disappointed.",Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
2,7OLCkR-XgMOPotVqpFHc2A,Courtney Y.,4.0 star rating,Ordered to go -- two flat top platters and a Mediterranean salad. All pretty good - good quality and fresh.  Staff was friendly when we walked in to pick up. Place looked clean. Knocked off one star for price -  comparable to Hoboken however not sure its worth it.,Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
3,Kx6PGZFGoF8QKS--anq4tg,Rebecca R.,4.0 star rating,"No idea why I didn't try this gem  earlier but it is delicious!   My husband and I got the goat cheese salad which is topped with roasted peppers, goat cheese, walnuts, balsamic..... and it was delightful and light.  Can't wait to go back and try more! Their melts, platters and pockets look delicious!",Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
4,OQ5q4VR7gXtjp0-0XlgexA,Tejas K.,5.0 star rating,The food here was great! And the staff went out of their way to make sure everything was going well. And they have a lot of vegetarian options. Definitely recommend!,Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
5,94V-snVUg2Gd-OPd7rcZEg,Laila D.,3.0 star rating,"I finally tried the flatbread grill for delivery. I ordered the beef platter with rice flatbread and hummus and shepherd salad. It was pretty good: flavorful but a bit too tart and overly salty and rich. The beef was over cooked and too lean. It also was delivered after 45 minutes so the flatbread was pretty stale and difficult to chew.  I did not feel satisfied after eating it. I must admit sadly I was disappointed as I love Mediterranean food and have not found a place I like in hoboken. I also have high expectations as this is food my family and I make fresh and deliciously (including homemade hummus and homemade grilled flatbread) at home. I will give another try in person...probably would taste better fresh and not after a 45 minute delivery wait, which was also longer than expected on a Tuesday late afternoon, early evening.",Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
6,SiTc65hq5dbv1DZPf9XLgA,Sonal B.,4.0 star rating,"Falafel sandwich is decent - not over the top fantastic but good. What i didn't like is the lack of human interaction here - you enter, order at a machine and your food gets delivered to your table. Ugh :( call me old fashioned but I do not like!!!!",Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
7,k8ToEsaJuHbT-fGtFhpzKw,Bryan C.,4.0 star rating,Places like this are always hard to review as food is great as only issue was chicken a little dry.   There is limited service.  You do not even talk to a human to order as use kiosk.    Place is clean as feel like designed by IKEA.  Have not been to pita pit and maybe will not as liked this place enough to try again if in mood for med food.,Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
8,s6TnINODnAwhHk0e_QXayg,Arshi K.,5.0 star rating,"I was very excited to try Flatbread Grill and fast discovered that this recent entrant is now going to be my go-to spot for Mediterranean in Hoboken. Everything we ate here was a solid five stars - authentic + delicious + fresh = craving for more! We chose the beef flat top platter with chickpea salad, whole wheat pita,  cracked wheat & green tahini. Since the husband and I were sharing, we added a side of falafels (3 for $2) and a scoop of hummus. A meal fit for a king or at least two really hungry people...but since we are foodies, and wanted to try something else from the menu as well, we added a small bowl of the lentil soup to the mix! The soup was delightful and a great start to the meal...comfort food at its best for cold day. The flat top platter has generous portions and teamed with the falafels it was more than enough to share. If you like cracked wheat get it. It's is a great accompaniment to the beef and the falefel...both equally yummy, so difficult to choose a favorite. The whole wheat pita bread had a surprisingly airy texture and paired with the creamy hummus and tahini made for a great combo. Pros:-- Fast, quick service - order at the kiosk or ask for help.-- Plenty of options...vegetarians will not go hungry! -- Gluten free alternatives available -- Immaculately clean and warm space.Can't wait to go back!",Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
9,2glsi4d0P3jwZUozZCPz5A,Penelope H.,3.0 star rating,"I have reviewed flatbread in the past and given it a better rating; however, as the place grows in popularity and Stevens students are back in Hoboken using ""meal exchanges"", it's becoming increasingly obvious that they are understaffed. Oftentimes you will go in and no one is willing to take your order in person; it is becoming increasingly common that you are required to submit your orders through an automated tablet. While some people appreciate the efficiency, first timers and the like might not think fondly of the lack of personal interaction and inability to ask questions about the menu. As thy are swamped with orders, both delivery and in person, you'll have to wait ages for your food. Even when you're the only party in the restaurant, you'll at times have to wait upwards of thirty minutes or more. However, the food is still high quality and I will still most definitely be eating here (when I have the patience).",Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
10,6UnwBrc7YLt2-ZGIAi1qWQ,Pamela R.,1.0 star rating,Not worth the price. I ordered the platter - the chicken (that I paid extra for it) was cold and they forgot the hummus (also paid extra). Definitely not worth $20.,Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
11,1JDxaio4xWG1sa71GJKHsw,Evan M.,4.0 star rating,"Solid new entry in the Hoboken market for Mediterranean casual food. The restaurant is quaint and kept very clean. There are about 7 or 8 tables comfortably spaced in the front of the restaurant. It's tastefully decorated with a Middle Eastern look. On a random note I love their mini ceiling fans that keep the air recirculating and fresh.I've gone twice and had chicken and beef pitas. Good spice, the meats are grilled and tender, and the salad and dressing very fresh. The pita is a bit doughy for my preference, so I might opt for the rice platter or toasted pita in the future.  The Flatbread Grill also has a very nice and welcoming staff. There is a computer flatscreen for ordering but so far I've just ordered at the register.  Expect to spend $7-10 dollars for lunch.  It's a very good place, check it out.",Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
12,Tn0KdOfM8WBOFr1QSIKEqw,Sai P.,5.0 star rating,Just amazing food. The way of presentation and perfect portion for me is just awesome,Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
13,WkQZJk334e36g8ST_RxSag,Devon J.,5.0 star rating,This place is great go to spot for delivery. Always fresh. Always fast. Consistently good stuff. I like the favorite platter with the whole wheat bread. Try their chicken chipotle if you are in the mood for a sandwich. Its one of a kind. Served on a type of bread only they make.,Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
14,fwYb-qiMZvnGTgkw8wefsA,Saundra R.,4.0 star rating,"My chicken platter plate was nice and flavorful, large juicy chunks of chicken that are seasoned well and the chickpea salad is spot on for taste and temperature (not too hot or cold). Seemed very fresh. Whole wheat pits was just okay to me. Wish I got to try the green tahini but they forgot to add it to my to go bag as requested. Not the best/most authentic I've ever head but definitely up there and I feel good after eating it. Pretty large size, enough for leftovers",Flatbread Grill,4.0 star rating,$$,"Mediterranean,, Turkish,, Middle, Eastern"
