,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,d6HM-nXGGz_yoJZ-IZcxQQ,Rob A.,5.0 star rating,"Had this bookmarked for a while and was excited to try it when I was in the area.  This place did not disappoint, as I enjoyed the concept and layout of the restaurant.  Philipino American style food with a Mexican twist to it.  This spot is small but has a real cozy feel to it.  I really enjoyed the decor of it as It reminds me of Cali a bit. The bartender/waiter was super friendly and attentive while bumping some hip-hop music which I always enjoy.  I originally bookmarked this place for the Flip-N-Out Burger ($10.95) but went with the Cal burrito ($9.95) which was so good.  Loved the combination of the pork belly, pulled chicken, crispy fries, sour cream and avocado.  None of the foods were too overpowering and complimented each other well. They also have three different sauces you can try with the burrito.  Neither of them was too hot but they do offer a spicy sauce upon request. Next time I come here I'm going with the burger and probably something else.  The prices here are very affordable for both the food and drinks.  I also want to try their fried chicken sandwich, which is currently their special for the month of February.  Each month they have a featured sandwich or dish.  If in the area or even if not, I recommend coming here and trying a few things off the menu as all their food looks delicious.  There's also a takeout section for those who want to grab & go.  I'll be back to get that burger along with a few other items.",Flip Sigi,4.5 star rating,$$,"Filipino,, Asian, Fusion,, Mexican"
1,W4C2hx1NqhoVHS4YVl_QCA,Annabelle V.,4.0 star rating,"This is the spot for meat lovers. The meats take the front seat- well seasoned and well cooked, so all the meats are the soft-melty kind. Honestly wasn't planning on ordering when I came here with friends, but the food smelled so good I had to!The bi curious tacos are HUGE and come with two corn tortillas each so if you're only wanting a snack, you can share those with someone because they are definitely a meal. The short rib is great, super flavorful. The adobo chicken is very juicy and well seasoned. You have to use all the sauces- 2nd base is the best. It's vinegary and punchy and brings brightness to the heavy aspect of the meats.The Cali burrito is allegedly their most popular, but it was kind of underwhelming. It was sadly quite thin and had probably three soggy French fries in it. It also had tons of cheese and no sour cream, differing from what the menu said. It's still good, yes, but doesn't stand out. The tacos let the flavors of the meat stand on their own- get those. For $8, they're a pretty good deal.Come here for a quick bite with friends before you wander out somewhere else- it's a tiny shop and gets super crowded. They do have a bar and make cocktails in addition to beer and wine if you're wondering.",Flip Sigi,4.5 star rating,$$,"Filipino,, Asian, Fusion,, Mexican"
2,tiS4gvVf2MboMcEKST4LAg,Basilmoore M.,4.0 star rating,"This place is probably the best place on the Upper East Side. Here are the Useful details:Price: $$Service: 5 Stars!Food: Very nice! I got the Dan Dan noodles, and they were super! Atmosphere: Not much atmosphere...The only bad thing about this place is that it is small, and there is only a bar and about 3- 4 two person tables.",Flip Sigi,4.5 star rating,$$,"Filipino,, Asian, Fusion,, Mexican"
3,DfA_sM9b1pqzgKYG0AWhWg,Lindsey S.,4.0 star rating,"(This review is for the 62 Spring St. location)We came to the pop up location on Spring St.  The restaurant is huge!  It's counter service, so we placed our order and grabbed a booth.  This location serves beer and wine.  We split the Longanisa Poutine (adobo gravy, longanisa, mozzarella) and the Buncha Nice Buns (pork belly bao).  Both share plates were so tasty, especially the poutine that exploded with flavor.  These dishes are heavy but it was the perfect snack to share.  Would love to come back and try more items at either location.",Flip Sigi,4.5 star rating,$$,"Filipino,, Asian, Fusion,, Mexican"
4,G_LDNA0fuHyiw79sRm3kaQ,Edward W.,4.0 star rating,"4.5 starsI came on a Saturday afternoon for lunch and was immediately able to snag a seat near the bar. I ordered the Cali burrito per the recommendation of the bartender. Nice thing about ordering for here is that they have three different sauces you can try with the burrito. The sauces were mild, vinegar, and hot. The mild sauce was the thickest and easiest to apply to the burrito. The vinegar and hot sauces were very liquidity, oily and quite messy. All three sauces went well with the burrito, and the hot sauce wasn't actually very hot. What makes it a Cali burrito are the fries. The carnitas is very flavorful and not overpowering. The avocado sour cream doesn't even really taste like sour cream. I don't like sour cream and it was good. Burrito almost a bit bland without the sauces. I thoroughly enjoyed the burrito here and look forward to trying their other specialities.",Flip Sigi,4.5 star rating,$$,"Filipino,, Asian, Fusion,, Mexican"
5,jV5WQygpek60EsfZXL2VNw,Alexandra C.,5.0 star rating,This place has food bursting with flavor. I had been planning to visit for months during my N.Y. trip and I definitely plan to go back when I return. They truly have unique options and everything on their menu is very flavorful. It's a tiny hole in the wall that I recommend!,Flip Sigi,4.5 star rating,$$,"Filipino,, Asian, Fusion,, Mexican"
6,X7PqstTh8I49mAUwhenRpg,Kendra C.,5.0 star rating,"If this place were easier to get to for me I'd be frequenting here a lot more. Alas I got takeout and tried a few things. The tacos: I had the short rib tacos. Plenty of meat on the tacos and it was well done, and the tacos were actually kind of spicy.Buns: the crispy pork belly was delicious, buns soft.Plan B rito: this is a delicious breakfast burrito. Filled with meats, cheese, egg, avocado (which was a nice surprise), and hash brown. Delicious combination, only downfall is that it is only served on Saturdays and Sundays. With takeout, the presentation wasn't spectacular, but who am I to complain the food was delicious and that's all that matters.So many more things that I'd love to try, so maybe next time I'll have to make the trek up here",Flip Sigi,4.5 star rating,$$,"Filipino,, Asian, Fusion,, Mexican"
7,r9pFYIcp4ygKddBVNY-yPg,Andrew C.,4.0 star rating,"Saw this on a friend's page and decided to give the place a try. We only got take out and didn't dine in.I ordered the bi-curious tacos($7.95),plan b-rito($9.95) and the nice buns($7.95). The order was available for pick up in about 25 minutes. Once I got home, I excitedly opened up my food.First thing I ate was the nice buns, which were crispy fried pork belly on a nap bun. The pork was fried nicely where it was slightly crispy but the meat still juicy. The bao was pretty standard but the main selling point is the pork belly, which tasted great.The best thing to me out of the whole order was the plan b-Rito. It is a meat lover's dream with longanisa, eggs, cheese, ham, hash browns and bacon. While there is only ham and bacon, they provide chunky amounts of it. The eggs and hash browns give it a breakfast feel and he cheese is the finishing touch on it. It looked small in the box but was definitely very filling. Overall, I think a cheap price for some fusion food and recommend you give it a try. You won't be disappointed!",Flip Sigi,4.5 star rating,$$,"Filipino,, Asian, Fusion,, Mexican"
8,uJC3_q-PSV_EtaRx5QIrxg,Mylene T.,3.0 star rating,"So I was so excited to try this place out but I didn't get the WOW feeling.  Why the 3 stars:- Had to keep getting up to close the front door to stop the cold air from coming in- The ""hashish"" was good but too sweet.  I think if they eased up on the sauce it would of been a lot better.  The sauce reminded me of the sweetness to tocino and I couldn't eat a lot of it and I LOVE HASH BROWNS AND PORK BELLY...wish I placed the sauce on the side - The sinigang flip side was not what I expected.  The short ribs were excellent but I could of removed the carrots and limited the diced tomatoes....I would rather have my regular sinigang with white rice.- Special: Poutine Fries felt like it was disco fries....hardly saw any longanisa pieces.... Fries were crunchy.... It was just ok.I would try it again if I'm around that area .....the tacos sound really good.  My daughter enjoyed the Plan B burrito.  Staff was very friendly, good music, calamansi juice was on point.  Just beware....its more of a take out place....its tight if you eat with the family especially with kids.",Flip Sigi,4.5 star rating,$$,"Filipino,, Asian, Fusion,, Mexican"
9,LoBNVH5E5VHm8Us5_6Hs3A,Ashkan H.,4.0 star rating,"I am always in search of good pork belly buns in the city, and this is how I came across Flip Sigi. However, it was not the pork buns that blew my mind. It was the short rib tacos! I found the pork buns to be drenched in sauce, and the sauce was way too over powering. Tasty, but over-powering. On the other hand the short rib taco exceeded my expectations! It was super juicy, and packed with lots flavors. I would probably skip the pork buns, and just get the short rib tacos. They also have great happy hour deals here for both food and drinks. Don't miss out.",Flip Sigi,4.5 star rating,$$,"Filipino,, Asian, Fusion,, Mexican"
