,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,dD-e4MWK3p5xUK9gcWpu9w,Emma P.,4.0 star rating,"Had a very enjoyable brunch at Fox and Crow. To be honest I wasn't sure what to expect but I was very pleasantly surprised! Situated in J.C. Heights it's easy to get to as it is near to the Hoboken elevator and a short walk from Central Avenue. Inside there's two rooms, I think they have music in the back room and the front is the main bar area. It's nicely decorated in a hipster/ industrial kind of way and the servers are efficient. I liked the atmosphere, it's sort of like a 'nice' dive bar!The bar is known for it's cocktails which we didn't try as there is a great selection of beers, both bottled and on tap. The food is mostly burgers/sandwiches along with a few other bar food classics such as wings and nachos, a couple of salads and brunchy egg dishes and toasts. (They do serve the full menu during the weekend brunch but we did have to ask our server for it). We ordered burgers, there's a whole range of different patties and toppings to choose all served on onion brioche rolls, they were a good size and very tasty. Burgers come with hand cut fries that were excellent, very crispy and salted correctly. Prices are very reasonable for the quality of food and drink. I'll definitely be back for brunch and I'll also come back to check out their happy hour during the week and try a cocktail!",Fox and Crow,4.0 star rating,$$,"Cocktail, Bars,, Burgers,, Pubs"
1,0WzT84TJm-3uPMO3OKYS8g,Sasha G.,3.0 star rating,"I like Fox and Crow, especially their speakeasy-esque live music venue and bar at the back. They make a bangin' black bean veggie burger- I def recommend it. Not sure if it's vegan, vegan folks.Their ""fancy"" cocktails are also pretty darn good. And their french fries are crispy but they don't give enough ketchup. I also think they fancy up their ketchup by adding cumin or some other ish. My only reservation with this bar is that it has a personality disorder which confuses me. Is it a cool laidback bar/restaurant in The Heights or an overpriced, overhyped bar downtown? I can't tell. I do know, however, that their fries though crispy are too thick for my liking and that a few cocktails and some food will cost you a pretty penny. It also annoys me that this bar and their prices are a direct result of yuppies moving into the Heights.",Fox and Crow,4.0 star rating,$$,"Cocktail, Bars,, Burgers,, Pubs"
2,yng1Qey0-YrDyreCjwDwzw,Dan G.,3.0 star rating,"Pluses and minuses, I don't think I'll be back anytime soon. Truth is I was considering a 2 star review but again, pluses and minuses so I'm going with 3 stars. Simple take is that its a better bar than restaurant and they have some staffing issues that I think are a direct reflection of ownership...and not in a good way. If the owner is reading this (and I highly doubt they take any time to read Yelp reviews) then please know I am not exaggerating nor getting self righteous or mean spirited on this post. We walked in on a slow and chilly Saturday afternoon for lunch and were impressed with the small dining area. Nicely put together in a fun off beat funky novel manner. I commented on how much i liked the wall-paper. The drink menu was very interesting as was they brunch menu....we wound up asking for and ordering off their lunch menu as would turn out. The bar tender was a super friendly young guy with thick beard and long hair. A very nice smile and up beat personality, he made some lovely drinks too. We wound up having a bean burger sandwich and a fried chicken cutlet sandwich. Both came out after a small wait but we had no cutlery....which soon followed. The bean burger was tasty and were really happy with it. The chicken sandwich, not so much. It was under-seasoned and quite honestly it was at mere room temperature. The thin cutlet was overwhelmed by the bun and simply failed to impress at all. I was a bit let down. The waitstaff handled it well and i quickly asked for a basic burger and continued to munch on my fries.....which now a couple hours later I wish I hadn't. So about the fries; Gordon Ramsey says over and over the key to french fried potatoes is uniformity of the cut because if they are not uniformly cut they they come out over fried and under fried. The slices of potato dont fry at the same rate when they are sloppily prepared. I also suspect the frier was not hot enough because they absorbed too much oil. Gordon Ramsey's words, not mine. But true indeed the fries were sloppy, oily, and heavy. The burger came out eventually and it was fine. Thats all, tasted fine. So we're getting ready to leave but strike up an enjoyable conversation with the bar tender asking questions about different drinks etc and an old couple come walking in carrying supplies of some sort. The man walks back in the kitchen and the old woman comes back behind the bar with out greeting anyone. The owners I figured. So while we're chatting with the bar tender the older woman who I am guessing is the owner is fussing about behind the bar, taking visual inventory, looking displeased, fussing about some more, critical stares at the bar tender, the bar, the shelf of liquors etc. We sort of acknowledged to the bar tender that she was back there and he turned to address her and she just starting asking him questions, giving him direction again not with the friendliest tone about her. And poof, just like that our rather enjoyable conversation was over. Done, gone, buh-bye, dont let the door hit you on the way out, OVAH! I found it rather rude they she'd just walking in, kill the mood, not acknowledge a single customer and literally interrupt a conversation we're having with her bar tender. It was just damn strange and something I have never seen before. So much of the restaurant business is show business and making your guests feel welcomed and comfortable. Whoever this woman was could do well to respect that in my opinion. So in short, funky decor, great bar, interesting menu poorly executed and not a fun inviting gracious environment that I am eager to revisit anytime soon.",Fox and Crow,4.0 star rating,$$,"Cocktail, Bars,, Burgers,, Pubs"
3,GOB0-D73iA_CdXskMYHY6w,Monique S.,4.0 star rating,"Cute place with an awesome mural on the outside. For brunch they have $4 mimosas. The only vegan option is fries but they do have a vegan veggie burger patty. However, the buns have milk and dairy. Also, the nachos should be easily veganized.  The mimosas are only $4, and they are delicious. They also have a full bar and beer. If the brunch options aren't enough, they offer a full menu all day.Great music and friendly staff.",Fox and Crow,4.0 star rating,$$,"Cocktail, Bars,, Burgers,, Pubs"
4,Gc922csFDhfj2fPR3F1kvA,Wilma O.,1.0 star rating,"Not the first time we've eaten there, but definitely the last. Our ""waiter"" was anything but. First of all he looked disgusting, as if he had just come to work after digging through garbage. Then when we told him that the soda he gave us was flat, he explained that the can was just opened, implying that we don't know what soda tastes like. My husband asked for a beer and our dumpster diver asked him to say please. At that moment we realized we wouldn't be coming back.Our waiter avoided us like we were a clean shirt and good hygiene. We were sooner to be offered an attitude than any customer service. Gross.",Fox and Crow,4.0 star rating,$$,"Cocktail, Bars,, Burgers,, Pubs"
5,0oP1JjchbOMrqQ7Km1tMoA,Corella F.,4.0 star rating,"My husband and I ate here on our honeymoon. We had non-alcoholic ginger beer which was really good. I had the crabby patty and thick cut fries. The fries were really good. The crab seemed to lack salt or something and didn't really go well with the sweet onion bun it was on. I guess I'm just used to some good old remoulade sauce or something since we are from Houston and the seafood is heavily influenced by Louisiana. My husband had nachos with beef. It has raw jalapeños but we're used to pickled ones. And he beef had BBQ sauce on it which we've never seen before. So I put the crab on one of his nacho chips and piled on the pico and queso and it was awesome, haha! The server was a really sweet younger brunette. :) It was family friendly (we ate around 6pm) and it has a really cute mural covering the whole front of the outside.",Fox and Crow,4.0 star rating,$$,"Cocktail, Bars,, Burgers,, Pubs"
6,60xT8IJErBIOe1q8dGfIJw,Christina D.,4.0 star rating,"There drinks are the most perfect creation to mankind.  If I had to grade this place on drinks alone, they would be OFF THE STARS CHARTS!Their margarita is literally one of the best I have ever tasted in my life.  The fact that they use decent tequila for their house margarita has got to say something about their dedication.  The flavor of the margarita mix is perfectly sweet and sour and paired with tequila, there is nothing better.Another highlight and unique drink is the Mod Fashioned...an old fashioned made with ModCup coffee!  Forget red bull and vodka!  I have found my new pick me up drink!!!  The hubs went out on a limp and ordered it since he's a fan of Old Fashioned and Mod Cup (separately) and boy are we glad that he did!  The coffee is a perfect blend with the bitters and the result is perfection and sophistication in a glass.Some other wonderful drinks include the gin fizz and the Shy Fox...don't ask me what was in it but its was good and pretty...they make a cute little fox design on the foam on the top of the drink, much like the way baritas make designs on top of lattes and cappuccinos.For dinner, stick to the burgers as those are definitely the winners. I had their beet salad the first time, and I mean...it was a beet salad in a bar, what else did I expect?  For bar salad, it was definitely one of the better ones...but trust me, stick to the burgers and sandwiches with the huge and homey fries!Their chicken sandwiches is one of our favorites; the chicken is fried crispy and the sauce on top just melts onto the crispy chicken...oww oww!  Howling away we go!",Fox and Crow,4.0 star rating,$$,"Cocktail, Bars,, Burgers,, Pubs"
7,dl4ENy4Bk6-lCu59A8vxbg,Bloss C.,4.0 star rating,"By now it is apparent to me I definitely have a love hate relationship with Fox and Crow.  There have been a few recent new arrivals to the Heights since Fox and Crow opened in 2015, so I may have a little more perspective on new bars/restaurants in the neighborhhod at this point.  I like Fox and Crow as a restaurant.  I find their food to be expensive, but the portions are large and the quality is consistently excellent.  I also like that they now have brunch and have added a few new items to their regular menu.  I dislike Fox and Crow as a bar.  The cocktails are hit and miss and while the beer selection is to my taste, it's pricey.  Happy hour is from 5-7 during which time you save $1 off of mixed drinks and cocktails.  An entire dollar.I love Fox and Crow as a music venue.  They do a really good job booking talented musicians and having the option to lazily step out on a Friday or Saturday and see live music is a game changer for me.  I was mistaken in my last review; there is no cover but I recommend making sure you have some cash on hand for when the band passes around their hat for donations at the end of the night.",Fox and Crow,4.0 star rating,$$,"Cocktail, Bars,, Burgers,, Pubs"
8,lugGZ72fMKaFId6s6r6EUw,Oleg D.,2.0 star rating,"Hit or miss, last few visits left me feeling like this place is going down the drain. Nobody knows what they're doing.",Fox and Crow,4.0 star rating,$$,"Cocktail, Bars,, Burgers,, Pubs"
9,tUQo-BWvcOpC4QTpvxmjKw,Galen R.,4.0 star rating,"Made my way over to Jersey on a whim because she wouldn't stop raving about how amazing these burgers were. To be honest I was skeptical AF because I consider myself a burger connoisseur/expert and don't take this burger life lightly. HOWEVER, to be fair, these burgers were extremely on point. The menu demonstrated creativity and variety, with an emphasis on pairing flavors that actually made sense without overreaching. AKA they were the shit. Also, the fries were delicious.My one critique would be docking them points for billing themselves as a cocktail bar but only boasting fairly basic interpretations of longtime classics. Mix it up!Still, go here",Fox and Crow,4.0 star rating,$$,"Cocktail, Bars,, Burgers,, Pubs"
