,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,DWrdiqGZwunii2zL1kjzPg,Selene M.,5.0 star rating,Fredi espresso yes!! Finally! Amazing backlava and what a wonderful warm space to come in when it's cold outside! that tsoureki filled with hazelnut omg!!!,GFG Bakery,4.0 star rating,$$,"Bakeries,, Greek,, Sandwiches"
1,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,4.0 star rating,"Delicious greek bakery and as authentic as you will find in america in terms of taste. If you want a taste of something you normally would not find in america order the bougatsa. There is the savory and sweet one. Order the sweet one it is magnificent. Get it with sugar/cinnamon on it. It is a fillo pastry with a creamy sweet custard inside. It has the perfect balance of flavor but isnt necessarily the healthiest thing. We also tried the tiropita (cheese pie) which was also awesome. You know when a tiropita is bad when the cheese is salty but this was not. It was well balanced and great. I will say it is definitely overpriced and that is one of the only issues i had.  If we are comparing authenticity in terms of price this does not compare to a real greek bakery. A real greek bakery is an ""every-mans"" place where you can get great pastries at a good price.  I understand we are in america so that is why i did not penalize the place too much. I would recommend this place for anyone wanting an authentic taste of greece but bring your wallet!!The prices are a little expenisive but with the skilled labor and rent I can understand. This is not a place you can come every day but it is a place worth visiting every week.",GFG Bakery,4.0 star rating,$$,"Bakeries,, Greek,, Sandwiches"
2,tsty8YjBo4Z1DGIHlCghDQ,R N.,4.0 star rating,"I had excellent though pricey frozen yogurt here. There was only one yogurt flavor, but it was creamy and delicious vanilla! They had limited toppings (no nuts, etc, mostly just different syrups), I got it topped with caramel syrup. It was around $5.50 for one size. Reminded me of Go Greek yogurt in socal. So good.The baklava was ok, kind of dry on the top. Around $5 for 2 small pieces.",GFG Bakery,4.0 star rating,$$,"Bakeries,, Greek,, Sandwiches"
3,l5OeubzeM9kvahfpHu4OCg,Judy H.,4.0 star rating,I stopped in for an iced latte and was very pleased with the friendly service and quality of the coffee drink.  I plan to go back for some of the spinach pie and other baked goods.,GFG Bakery,4.0 star rating,$$,"Bakeries,, Greek,, Sandwiches"
4,2Xf8YyKoGsb0x_P5YxORyA,Natty C.,4.0 star rating,"GFG is something different for Hoboken. There are no other Greek bakeries around. They have something for everyone and would be great for a casual breakfast or lunch.It's very modern inside. They have a large array of pastries, desserts, hot and cold dishes, yogurt and gelato. It was a bit overwhelming. Being Greek myself, everything was super authentic. I tried a cheese and spinach pie. The spinach pie was one of the best I've ever had. I'd come here just for a frappe (Greek iced coffee). It was excellent and I don't know anywhere else to get one. I will say that the prices are on the high side. I think they can get away with it because it's Hoboken. Quality and taste is there, but I think I'd come here only once in a while because of the prices.",GFG Bakery,4.0 star rating,$$,"Bakeries,, Greek,, Sandwiches"
5,60xT8IJErBIOe1q8dGfIJw,Christina D.,5.0 star rating,"I have to say I am a huge fan!We spent our honeymoon in Greece and have been craving some authentic baklava and GFG delivered!  And then some!!!The Greek dessert display is FILLED with classics drenched in honey!  OMG get EVERYTHING, especially the baklava and the small nuggets of fried dough in honey.  Gosh I wish I knew what they were called but you cannot miss them when you go.We also love their baked spinach pie (spanakopita), and any variety of the baked goods with toppings (the Mediterranean is really good, they was one with egg on top and the tomato feta and olive).Their Greek coffee is a must get as the iced coffee drinks are also delicious.Sign up for their rewards program and see how far you get!!We have been back twice, nice easy walk from our home and we love to buy an assortment of goodies to eat in the park or bring back home to enjoy on the balcony.",GFG Bakery,4.0 star rating,$$,"Bakeries,, Greek,, Sandwiches"
6,n820iagT3Y6TrbCEU6_BUg,Vineet S.,3.0 star rating,"This is a welcome addition to the neighborhood. We definitely needed something new when it comes to the bakery goods and GFG does fill up that gap.The bakery itself is quite spacious and carries a lot of Greek authentic goodies. They also carry some of the usual bakery stuff, you know what I mean (Cheesecake, Macrons etc.)We got ourselves an assorted box of sweets, one can pick and choose from different variety of sweets(Price per pound is same). I really liked the one with pistachio flavoring, it was some kind of rolled dough.Would definitely come back to try some other things off the menu.",GFG Bakery,4.0 star rating,$$,"Bakeries,, Greek,, Sandwiches"
7,s6TnINODnAwhHk0e_QXayg,Arshi K.,4.0 star rating,"New bakery in town and had to check it out! The Greek delights are absolutely delicious and the space is open, airy and can seat tons of people... great plus. No expenses have been spared to make it look modern and welcoming. We tried the traditional cheese pie ($6 a slice), Greek coffee ($3.15 for a small shot), mini Baklava and Saragli Chocolate mini. Everything was delicious - I love cheese pies and this one had a a Greek version of feta. The chocolate mini was my favorite find - a flaky pastry covered in chocolate and dipped in sugar syrup, hollow from inside and flaky under the chocolate layer. Excellent. GFG is not exactly cheap, so I don't see myself making a daily run for their crispy delights, but  over all it's a great addition to Hoboken!",GFG Bakery,4.0 star rating,$$,"Bakeries,, Greek,, Sandwiches"
8,gxENC_UdtelREs0DEsrmrg,Michael N.,4.0 star rating,"Sitting in GFG for the first time- extremely impressed! As of this review, the bakery is fairly new, and also quite unique for Hoboken. My first impression is this place is attempting to be your morning cup of joe, a quick lunch outlet, a nice afternoon snack, and a sweet or savory dessert all in one shop. The ambiance is pleasant, with lots of space to sit with a laptop and do work, the wifi is fast and free. I imagine it is perfect for the people who work in the surrounding buildings on River Street.I entered and was immediately greeted by the staff ready to take my order at the counter, the service was exceptionally fast and friendly, and you could tell they cared about their product. Actually, this has to be some of the best service I've had in Hoboken. The owner appeared to be on the floor surveying all of the different food stations around the bakery, I assume just ensure the quality of the food was fresh, which is always appreciated. The quality of the turkey sandwich I ordered was top notch!Overall, I was pleased with my first experience here, and I will certainly be back for the fresh squeezed orange juice, greek pies, specialty hot beverages, and gelato!",GFG Bakery,4.0 star rating,$$,"Bakeries,, Greek,, Sandwiches"
9,1JDxaio4xWG1sa71GJKHsw,Evan M.,4.0 star rating,"What an impressive new business on the Hoboken Waterfront! Located on River Street a block from the W hotel, GFG Bakery is serving up Greek specialities.  The selection is vast; it's a good place to relax and have a coffee and a pastry. There are also light meals like the spinach and cheese pies, (had the feta cheese pie, delicious!), some hot foods, etc.  There's certainly plenty of sweets like frozen yogurt, walnut cake, baklava, etc.  This bakery cafe  is very large, unquestionably an ambitious undertaking by the owners. The staff is super friendly and informative, they'll walk you through some of the unfamiliarities until you find something you like. The decor is neat, modern, casual, with high ceilings and plenty of space. The prices are reasonable, about what I was expecting. Overall it's a great spot, check it out!",GFG Bakery,4.0 star rating,$$,"Bakeries,, Greek,, Sandwiches"
