,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,TFgD60NMFdJbsw5cpOuVBQ,Alison K.,4.0 star rating,"Tried GP's last night for my fiancé's birthday. It's exactly the kind of place we were looking for. Good, hearty Italian food with a nice vibe. As soon as we sat down we were greeted with a small salad. Best touch of the night in my opinion. I LOVE having a salad with my pasta but never am interested in paying $10 for an appetizer salad bc it's always too big and too much food. Loved that touch! Bread was also great!Ordered a bottle of the Montipulciano, our fav! Wine was very nicely priced. We started with the meatball app. The meatballs were really big and the sauce was amazing. However, they looked pretty pink on the inside. We werent sure if it was the sauce that made them appear pink but we risked it and devoured them anyways. Needless to say, we spent the night sick when we got home. I don't want to blame the delicious meatballs, but it was the only thing we both ate so sadly I think they were the culprit. :(. This is the ONLY reason I gave this place four stars instead of five. For entrees I got the orecchiette and he got a steak. Again, both awesome! Prices are right, portions are right, and the service was impeccable. That being said, we will definitely return to give it another chance. Just may skip the meatballs this time!",GP’s Restaurant,4.0 star rating,$$,"Italian,, Wine, Bars,, Breakfast, &, Brunch"
1,g5o0ixP6avZ8fyjw9R5nbQ,Danesh J.,2.0 star rating,"Cliff notes: Not so good. Long wait for nothing stellar. Came here for lunch during the week. We we're six people, the place was empty, but didn't get served food for about 60 minutes. The server was nice but didn't once acknowledge how long it was taking, rarely came over to fill up drinks, and acted as if the long wait was normal, which was odd. When we asked how much longer it would be they stated ambiguously ""they're working on it"". Mind you this was about 30 minutes into it. We ordered fries to start and that didn't come out until after our food came. Since we did order two baked salmons, I could understand if that took time, but the other items (all pasta related) should have been pretty quick. It really reminded me of a restaurant out of Kitchen Nightmares. Foodwise, it was okay but probably because we  were starving by the end of it. Oddly enough some of the fries were still frozen. Even after the wait, nothing was comped or even acknowledged, which really was a put off. So obviously if you're looking for Italian during the day for a work related team lunch, seek it elsewhere. Maybe they're better at timing at night, but after this experience I wouldn't chance it.",GP’s Restaurant,4.0 star rating,$$,"Italian,, Wine, Bars,, Breakfast, &, Brunch"
2,2YUqpuq9pIrCYBVFFfGfFQ,Graziela L.,5.0 star rating,"This Italian restaurant is located at a nice part of the town of jersey city . The hostess greet us with a warm smile and the wait for a table is of no more than 10 minutes. Meanwhile, we were sipping very well made drinks at the sound of girl from Ipanema that's been played by a soothing voice at the piano in front of us. The restaurant warm hearted owner gives us recommendations for our main course and the Shrimp scampi and meatballs recommended were outstanding!The restaurant vibe promotes good conversation, laughs and a high quality time. Highly recommend the place for delicious meals, well prepared drinks, excellent wine list and for overall dining experience!",GP’s Restaurant,4.0 star rating,$$,"Italian,, Wine, Bars,, Breakfast, &, Brunch"
3,rtOgvrSLb8at6qIEIKu1_g,Sampad D.,4.0 star rating,The place is nice . The servers and friendly and nice.The food is also great. They start with complimentary bread and salad. Everything is very fresh.They also have large collection of wine !We had ordered salmon (comes with pasta). It was fresh and tasty..Great food for the price !,GP’s Restaurant,4.0 star rating,$$,"Italian,, Wine, Bars,, Breakfast, &, Brunch"
4,QMuoam92eea__Z6epdaxGA,Juan C.,4.0 star rating,Great place. Italian food and Italian basics. A little pricy for what they offer. Nice decor. Excellent service. Be sure to make reservations,GP’s Restaurant,4.0 star rating,$$,"Italian,, Wine, Bars,, Breakfast, &, Brunch"
5,y_LETSyVwMVKbMSHwHDioQ,Erin A.,2.0 star rating,"Basically don't go here.Why are there so many good reviews, where have you people been eating? We randomly came here seeing the good reviews on yelp. They have nice out door seating, which is probably the old good thing about this restaurant.My boyfriend go the pino g ($9) , I got the prosecco ($11) it was sadly very flat. They gave us bread and salad before the meal. Funny thing, the waiter was putting down my salad and he hesitated for a bit then I looked at it and saw what he saw a hair. He still put it down though, he saw that I noticed than he took it away! Why wouldn't you just remove it once you saw that hair, that's just awful!! I got passed that, maybe he felt lazy for that second, so whatever. We got the garlic bread with cheese ($7) for something I could make at home in 5 minutes. I got the egg plant parm ($19)  - so much oils  - flavor was very basic. Olive garden has more flavor in their egg plant parm than this!  - the sauce just was so bland, for this price you'd think you would be getting better food My boyfriend got the fettuccini Alfredo ($18) - he absolutely hated it.  -no flavor so ordinary We literally had like 3 to 5 bites of the food. The waiter didn't even ask if we liked it or wanted to take it. He just tossed it in the garbage. Maybe they get this a lot.For the prices here, they should have better food and service it's a bit crazy.  Don't go here!",GP’s Restaurant,4.0 star rating,$$,"Italian,, Wine, Bars,, Breakfast, &, Brunch"
6,wU62o5mwLK14jtk0eRRvqg,Tom B.,5.0 star rating,"A hidden gem located right on Hamilton Park. This old school Italian restaurant exudes charm and authenticity. Living a block away for almost a year, I visited weekly and can honestly say I've never had a bad meal here. While the service is generally excellent, special mention has to be made of Sebastian who must be one of the nicest blokes I've had the pleasure of meeting. If you're stuck on what to order, do yourself a favour and get a serve of the meatballs to start, followed by the Veal Saltimbocca. You really can't go wrong no matter what you choose, however I find myself consistently coming back to these classics!",GP’s Restaurant,4.0 star rating,$$,"Italian,, Wine, Bars,, Breakfast, &, Brunch"
7,I-cIvsDlNlV1dk3pWCT69w,Esther J.,4.0 star rating,"Really liked this modern but traditional, chill to semi-romantic/family style restaurant set in front of Hamilton Park and below a beautiful apartment complex with a few other beloved stores.Their service and food (pasta and chicken) was solid and was happy to be able to outdoors. Looking forward to trying them again.",GP’s Restaurant,4.0 star rating,$$,"Italian,, Wine, Bars,, Breakfast, &, Brunch"
8,LBdiL0R5uXPbO533yFCa5A,Ariel J.,4.0 star rating,"I am surprised I have not reviewed this establishment before. Located a bit off the beaten path in Hamilton park - area, GP's is great for brunch, drinks and dinner with small groups. Their ricotta pancakes get me every time and whenever I do brunch there at least someone in my party needs to get them to share. Similarly, while their dinner menu has some staples, I do love their specials and more seasonal fare as well. I had this spaghetti squash and turkey sausage dish which had me go home and try to re-make myself. The space is small, intimate and the waitstaff is friendly.",GP’s Restaurant,4.0 star rating,$$,"Italian,, Wine, Bars,, Breakfast, &, Brunch"
9,FJ99XtJg4dEfP475VKkE-Q,Y W.,4.0 star rating,"This is really a little gem hidden around Pavonia Ave in JC. (Though it has such a long history) Came here for dinner and everything was fantastic. The on-the-house salad made my friend really happy  Linguine with clams was superb, and so is the tiramisu. As someone that studied aboard in Italy, the expectation for Italian food is always higher than usual, and GP's meets and exceeds that expectation. You can tell that their sauce and ingredients are very fresh, and everything is prepared with great detail. Not to mention their decor is very welcoming. Would definitely recommend it to anyone looking for a good Italian place around Jersey City!",GP’s Restaurant,4.0 star rating,$$,"Italian,, Wine, Bars,, Breakfast, &, Brunch"
