,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,_6AITb066BWAZSUC2D3fmQ,Marlo V.,5.0 star rating,"We moved here 1 month ago this place is delicious, we have ordered over a dozen times we have tried a regular pie, Sicilian and grandma Sicilian which was our favorite !! The cheese and sauce is the best the employees are friendly and welcoming !!!",Gino’s Pizzeria,4.0 star rating,$,"Pizza,, Italian"
1,qwZ5l6qTzUm1Z9YaayWNYg,Ed A.,3.0 star rating,"A Heights staple and a place that I had fond memories of as a kid...but even still, their slices have not withstood the test of time. The plain is still decent, but with so many other options (especially Pizzamasters, but also Mama Leonas), the bar has been set higher and Gino's is having trouble keeping up. The specialty slices also leave much to be desired. They seem interesting as an artisanal creation, but without the taste to match. The worst offender, however, is the fried calamari, which should be crispy as it is in many other pizzerias. Alas, the fried calamari here lacks that fried crunchy goodness, and the texture is very plain and bland.Gino's best days might be behind it - it's not a bad spot by any means, especially with the nice attached sit-down restaurant, but it's no longer my automatic #1 go to for pizza in the Heights. Hopefully my next review here is a more positive one.",Gino’s Pizzeria,4.0 star rating,$,"Pizza,, Italian"
2,dXivjh9B9w_qqrohwjSw8A,Sameera B.,2.0 star rating,"I got their 16"" pizza and mozzarella sticks delivered. Up until I tried their pizza, I didn't think pizza from any place could taste bad. But for some reason, I just didn't like their pizza. It was so bland! The mozzarella sticks were good tho. I would definitely recommend mozzarella sticks tho!",Gino’s Pizzeria,4.0 star rating,$,"Pizza,, Italian"
3,a1kzRy3ft_C55rDyBH-zYQ,Aryeh C.,1.0 star rating,"What's the point in listing your phone number and offering deliver if you can't reach the store?! I waited and hour and a half for a delivery and tried calling the place dozens of times to check on the order. After getting the busy signal for the hundredth time I just walked over to cancel my order.When I got in the store the delivery guy was furious about my refusal for delivery and said it had only been an hour 45 minutes!! Sorry, not a justification for a simple wrap. One and done at this place, I'd advise they get a burner phone from cricket wireless at the corner, it'll help your business and may actually provide some customer service",Gino’s Pizzeria,4.0 star rating,$,"Pizza,, Italian"
4,td4FqluG9EapIicSvCezvA,E.M N.,3.0 star rating,"I turned to Gino's as my go-to delivery option when I first moved to Hoboken and LOVED IT.  My sample size is quite large after 1.5 years so I feel comfortable stating the quality on the Grandma's Pie has changed for the worse. The pizza is now too doughy, not as crisp, and doesn't taste as fresh as it should.  Hopefully, they'll view this post as constructive criticism.  (I also had the Insalata pie recently, which was pretty good and worth a try.)",Gino’s Pizzeria,4.0 star rating,$,"Pizza,, Italian"
5,qi1WZiuwruoIP3eGj7Qwmg,Ron L.,2.0 star rating,"We waited 10-15 minutes before someone greeted us for the dining area.  Finally we asked someone if we should sit ourselves but they said to wait for a ""clean table.""  The man wiped a table top not the seats then says to sit there.  It looks as if he wiped the table to the seats since they were all full of crumbs.   Already very annoyed, the menu is just too long.  We ordered salad, entrees and pizza.  They bring out salad and one entree. ?????? Then at the end the pizza and the second entree.  Doesn't make any sense at all.   We were just very hungry and wanted to eat and get out.  Had to ask for a refill even though cup strategically placed at the end of table in plain view whenever they walked by.  Finally we asked for check and the man took forever to bring it back at least 20 minutes.  Zero attentiveness to dining tables needs, patrons waiting to sit or sense of urgency for checking out.  The food was good/ok.   I'll definitely be heading to pizza masters next time.",Gino’s Pizzeria,4.0 star rating,$,"Pizza,, Italian"
6,dGz6gIwFGYtX0PEc4xH0pw,Markus S.,4.0 star rating,I love this place ! All of their prices are extremely reasonable and it's always a good time when I come. Great place for an impromptu date night.,Gino’s Pizzeria,4.0 star rating,$,"Pizza,, Italian"
7,VP7by_kdiN8r1MguxkYQlA,Ana G.,4.0 star rating,Hands down best pizza spot in Jersey City!! Their pizza is nice and thin and crispy! And they deliver quickly! Staff is very nice as well! My boyfriend and I are very loyal to Gino's!!! Definitely recommend!,Gino’s Pizzeria,4.0 star rating,$,"Pizza,, Italian"
8,kw9QncjWjL_fvizJBN_23A,Mildred O.,4.0 star rating,"Pizza is really good! I love that they deliver to Union City and their service is awesome, super nice and always polite!",Gino’s Pizzeria,4.0 star rating,$,"Pizza,, Italian"
9,l9CPfaoURUHFWw-KadLCFg,Jasmine C.,5.0 star rating,"Gino's pizzeria has been around for years! Since I was a little girl, I would go in and buy a slice of pepperoni pizza after school. In my early childhood years in the summer, this was the spot and my go to for lunch & dinner. They are one of the best pizzeria's in town!",Gino’s Pizzeria,4.0 star rating,$,"Pizza,, Italian"
