,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,m3k9fEx00ICeIyJyL92vEw,Cat A.,5.0 star rating,"I love this place, it's crazy addicting! I almost wish it wasn't so conveniently located next to the Path.I did the Um, Because Bacon Bowl-it's got all the K-BBQ necessities: pickled everything, kimchi, and a cilantro lime sauce with the perfect kick! Try it-you won't be sorry!",Gogi Grill - Hoboken,4.0 star rating,$$,"Korean, Asian Fusion, Fast Food"
1,PdpvHKbgJ43K2lh3lSC0jw,Rachael O.,4.0 star rating,"Ordered a beef bulgogi bowl and my partner ordered a chicken bowl. There were so many amazing options, even for a picky eater like myself. I love kimchi so I ended up with a spicier variation, and my partner got teriyaki sauce so his food was a little sweeter. The purple rice wasn't bad, but I'd like to tried kimchi fried rice next time. Overall a great experience! We didn't finish everything so it was warmed up the next day -- still tasted very good after microwaving. Another bonus is that it shares the building space with an ice cream shop so we got some right after eating lunch.",Gogi Grill - Hoboken,4.0 star rating,$$,"Korean, Asian Fusion, Fast Food"
2,YMMakzUBcmgcKMguWy9baQ,Alex C.,3.0 star rating,"Okay, it's decent - there's a lot of food, probably enough for 2 people if you're appetite isn't that big. The concept is easy enough, pick a base, then protein then toppings and a sauce.My issue is that the extra protein of Galbi was overcooked, burnt really and it's tough. That really ruined an otherwise fine meal.Just get Bulgogi, which was soft and flavorful and definitely worth it.",Gogi Grill - Hoboken,4.0 star rating,$$,"Korean, Asian Fusion, Fast Food"
3,s6TnINODnAwhHk0e_QXayg,Arshi K.,4.0 star rating,"Oh Gogi Grill, why aren't thou more spicy? All of us Kimchi fried rice lovers are asking! Having said that the Kimchi fried rice bowl is my go-to and I get it every time with tofu. The freshness can't be beat and it's a super convenient Korean BBQ option in Hoboken. My favorite toppings are spinach, corn, sprouts, spicy slaw and zucchini. I also love their green and brown sauces, but the green has a tangy flavor which I prefer (cilantro-lime-jalapeno). I would love it if they would kick it up a notch on their spice level and go bold! Definitely a solid option for lunch. Looking forward to trying the ice-creams soon!",Gogi Grill - Hoboken,4.0 star rating,$$,"Korean, Asian Fusion, Fast Food"
4,8-nBwgknhT42h1Qu7fR6Mw,Jerry C.,4.0 star rating,"Delicious Korean BBQ fast food has finally come to Hoboken. I stopped by based on yelp reviews. Very much like Chipotle's with its ordering: select choice of rice, protein and 4 sides to add to your rice bowl bibimbap plus your sauce. Try the purple rice (a mixture of white and wild rice), the thin sliced bulgogi rib-eye beef and whatever sides you want as long as you get kimchi. Yum! The server gave me two sauces (green and spicy red) because I couldn't decide. They were good mixed together, but I was partial to the cilantro lime jalapeño green sauce.Gogi Grill is a welcome and needed restaurant in a city with such a diverse and cosmopolitan population. Hopefully it lasts a long time in a spot where successive restaurants have failed every six months or so. Office tenant growth nearby bodes well for Gogi!",Gogi Grill - Hoboken,4.0 star rating,$$,"Korean, Asian Fusion, Fast Food"
5,dl4ENy4Bk6-lCu59A8vxbg,Bloss C.,2.0 star rating,"Meh.  I don't understand why Gogi Grill does not have soondubu soup without beef on their menu; every Korean restaurant has tofu soondubu as the standard with options to add meat, seafood, or more veggies.  I had shrimp tacos which were okay; they have you pick what topping you want rather than a set ingredient combination for the tacos.  My fella had a burrito and really liked it.  I came for quick soondubu and left with tacos, the tacos had a flour shell, not scallion pancake shell.  Kimchi was okay.  I would not go back.",Gogi Grill - Hoboken,4.0 star rating,$$,"Korean, Asian Fusion, Fast Food"
6,LQ6co97L_Pq-Bz6um4WBrA,Brooklyn L.,5.0 star rating,"The Korean BBQ version of Chipotle, in a very good way. Came here and was super satisfied with my bulgogi beef create-your-own bowl for the very reasonable grand total of $11.96. The bowl comes with 4 toppings and is BIG in terms of portions. Would definitely come again! Wish they had this back in South Florida or California.",Gogi Grill - Hoboken,4.0 star rating,$$,"Korean, Asian Fusion, Fast Food"
7,8j-l9RVKcF6iKp_KX86SCQ,Jason B.,5.0 star rating,Great flavor and variety of options! Conveniently 2 blocks from the Hoboken terminal.,Gogi Grill - Hoboken,4.0 star rating,$$,"Korean, Asian Fusion, Fast Food"
8,tK2MtC42Sx81DldZIlSGow,Jay V.,4.0 star rating,"Fantastic Korean fusion food! We ordered the rib eye bowl and the dumplings. The dumplings were so-so, but the rib-eye bowl just hit the stop so good! Definitely stopping by here again!",Gogi Grill - Hoboken,4.0 star rating,$$,"Korean, Asian Fusion, Fast Food"
9,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,5.0 star rating,"LOVE Gogi Grill. The bulgogi bowls with sriracha mayo always hit the spot. The only disappointing thing is they changed their tacos to include regular flour rather than scallion pancakes. Since this, I've always opted for the bowls as they're more filling and don't fall apart.",Gogi Grill - Hoboken,4.0 star rating,$$,"Korean, Asian Fusion, Fast Food"
