,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,WaaxiXjrFsrcIU6_IaA0vg,Meghan S.,5.0 star rating,"SO GOOD.  I finally found my great Chinese place around my apartment, but it's going to be dangerous.  I already ordered 3 Times this week",Good Year Chinese Cuisine,3.5 star rating,$,Chinese
1,U_UvZKuqTV35_R_QaUsVPA,Christina G.,3.0 star rating,"consistent spot for chinese delivery in terms of food, it gets the job done. they aren't consistent on hitting expected delivery time. i have a tendency of wanting bad food on sunday nights (hi sunday scaries) and they usually are 15-20mins past they expected delivery time. i can forgive them on the delivery time though, because the menu prices ARE SO AFFORDABLE. i appreciate that they have an after 4pm dinner special that allows you to get a soup or egg roll, with an entree for under $10. you can also upgrade your side of rice to some type of fried for just +$2, instead of having to order an entire separate side of fried rice (one of my MAJOR issues with hoboken spots) if you don't want white or brown. also, the fried rice is good. i tried lo mein and chicken wings last night, these weren't bad, but i dont think i will order again. all of the chicken dishes have been good along with hunan beef. egg rolls and wonton soup are also delicious.",Good Year Chinese Cuisine,3.5 star rating,$,Chinese
2,qcNmOjfYtDiuu4Uwa2HQ3Q,Tatiana C.,2.0 star rating,Terrible customer service. Rude cashier. Ice cold inside the restaurant and hot in the summer. They don't use their heating and cooling to save money. Go to Mrs. Lee on Summit Ave.,Good Year Chinese Cuisine,3.5 star rating,$,Chinese
3,WOuxAClWdQKq2XZcBdNNqg,Danan R.,2.0 star rating,"Ordered a few lunch specials for delivery and they were FAST - I got my order in about 20 min after being quoted 45-60.Overall, the food is your standard Chinese takeout.  Lunch specials are about $5 for veg only and $5.65+ for anything with protein.  The portions are definitely on the small side but you can at least tell that the ingredients quality is decent with fresh veggies and white meat.We tried:1. Chicken with broccoli: Pretty standard although the sauce was a bit on the salty side - likely from an imbalance of soy vs. broth.  It's ok but not the best.2. Basil Chicken: This was better with a slightly sweet and spicy sauce.  Plenty of peppers and onions with sliced white meat chicken.  Not exactly authentic Thai but solid taken on its own.3. Garlic Chicken: Again - The sauce was a bit on the bland side.  There was not a lot of flavor at all - typically this sauce is slightly sweet and spicy but both were lacking.4. Egg drop soup: Basically JUST chicken broth with cornstarch and a FEW shreds of egg.  SKIP.5. Vegetable fried rice: Your standard fried rice.  Greasy and almost no veggies.  SKIP.Overall, it's not BAD but I definitely wouldn't come out of my way.  Maybe the fried dishes are better but the sauteed ones are definitely too salty and bland/flat.",Good Year Chinese Cuisine,3.5 star rating,$,Chinese
4,S-daUb1oFb9mU2jVhigoZQ,Chelsea W.,5.0 star rating,"We order this ALL THE TIME! It's soooo good! Maybe it's cause I'm from Arizona and we didnt have great Chinese food there but this place is legit! Super quick delivery too. The chicken fried rice is good(although you can't really screw that up), orange chicken is probably the best Orange Chicken we've ever had.. it's crunchy, fried to perfection, not overly saucy. The Szechuan beef is yummy, I like to ask them to make it extra spicy! Sometimes they do over load on the peppers in that meal but it's really good so I ignore that. The beef and broccoli is really simple, and the broccoli pieces are really big, so I won't get that again. Over all just wasnt enough flavor. Overall a great place for Chinese delivery!",Good Year Chinese Cuisine,3.5 star rating,$,Chinese
5,7N5qYI5rcvkSSEijWxNVzw,Cecilia C.,1.0 star rating,"Got my take out order wrong. When I called back, the lady yelled at me that it was my fault.  The girl on the phone does not listen and rushes through with the order.  I don't need the stress knowing that I overpaid for fried rice.  Good riddance. I have been ordering for over 4 years and never got so insulted by another Chinese women. It was recommended by my co-worker, but I will let all my co-workers know not to order ever again.  We have more options now.",Good Year Chinese Cuisine,3.5 star rating,$,Chinese
6,PHFewNK_-erHOghJww94VQ,Celeste M.,1.0 star rating,I can't even rate the food because it's over an hour late arriving to me. I've now called three times and gotten attitude from the girl that answered the phone. I live 12 minutes away and over 20 minutes ago she told me they were on their way to me. Last time I ever order from here.,Good Year Chinese Cuisine,3.5 star rating,$,Chinese
7,_yOns2O0IrgHCjxvJ1UlfA,Kwabea O.,1.0 star rating,"While eating the Lo Mein I ordered, I found a STAPLE in it. While Seamless customer care was as helpful as they could be, the restaurant refused to give me a refund because they claim I could have put the staple in my own food. Why would anyone do that?! Then the woman at the restaurant that I spoke to called me back and said the only way I could get a refund would be if her driver came to get the Lo Mein with the staple in it. Never ordering from this place ever again.",Good Year Chinese Cuisine,3.5 star rating,$,Chinese
8,3kqNwgqORGwbEnthqv0aHg,Hey J.,1.0 star rating,"Be prepared the girl that takes the orders there is always a nightmare to speak to. The 1 stars is for the fact that the woman is effortlessly consistent. You have to give a little something for that. Tip: Know what you want to eat... She will def rush you by saying,""What else"" after every item you request. She may even rush so much that she forgets to tell you the total. She has definately hung up on me because she has been in such a hurry to sit behind that counter. The delivery person is really nice though. Food is ok but there are other options in the neighborhood.9/10 Walked in for a quick take out and immediately walked right out. Someone was clearly smoking in the restaurant.",Good Year Chinese Cuisine,3.5 star rating,$,Chinese
9,8z2KujeFSNH4wyTJWmoObQ,Kirk L.,1.0 star rating,I'm not one to post negative comments on any businesses but the attitude of the girl that took my order was beyond horrible. If i wasnt starving and too tired to go somewhere else i would habe high tailed out of there soo fast. Customer service sucks!!,Good Year Chinese Cuisine,3.5 star rating,$,Chinese
